,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MILWAUKEE_ACTION,NEW YORK_SCORE,MILWAUKEE_SCORE
0,1,11:34.0,I. Shumpert makes 2-pt jump shot from 15 ft (assist by J. Smith),,2,0
1,1,11:21.0,,B. Knight misses 2-pt layup at rim,2,0
2,1,11:18.0,,Offensive rebound by J. Parker,2,0
3,1,11:14.0,,J. Parker makes 2-pt hook shot at rim,2,2
4,1,10:59.0,Personal foul by G. Antetokounmpo (drawn by C. Anthony),,2,2
5,1,10:55.0,I. Shumpert misses 2-pt jump shot from 16 ft,,2,2
6,1,10:52.0,,Defensive rebound by G. Antetokounmpo,2,2
7,1,10:42.0,,Z. Pachulia makes 2-pt jump shot from 14 ft (assist by K. Middleton),2,4
8,1,10:25.0,I. Shumpert makes 2-pt layup at rim (assist by C. Anthony),,4,4
9,1,10:25.0,Shooting foul by G. Antetokounmpo (drawn by I. Shumpert),,4,4
10,1,10:25.0,,J. Dudley enters the game for G. Antetokounmpo,4,4
11,1,10:25.0,I. Shumpert makes free throw 1 of 1,,5,4
12,1,10:15.0,,Turnover by Z. Pachulia (bad pass),5,4
13,1,10:04.0,Turnover by S. Dalembert (bad pass; steal by Z. Pachulia),,5,4
14,1,10:01.0,,J. Parker makes 2-pt dunk at rim (assist by B. Knight),5,6
15,1,9:52.0,Personal foul by K. Middleton (drawn by I. Shumpert),,5,6
16,1,9:46.0,S. Dalembert makes 2-pt jump shot from 15 ft (assist by I. Shumpert),,7,6
17,1,9:25.0,,Z. Pachulia misses 2-pt layup at rim,7,6
18,1,9:22.0,,Offensive rebound by Z. Pachulia,7,6
19,1,9:14.0,,K. Middleton makes 3-pt jump shot from 25 ft (assist by B. Knight),7,9
20,1,9:03.0,Shooting block foul by J. Dudley (drawn by C. Anthony),,7,9
21,1,9:03.0,C. Anthony makes free throw 1 of 2,,8,9
22,1,9:03.0,C. Anthony misses free throw 2 of 2,,8,9
23,1,9:02.0,,Defensive rebound by J. Parker,8,9
24,1,8:42.0,,J. Dudley makes 3-pt jump shot from 22 ft (assist by J. Parker),8,12
25,1,8:28.0,Turnover by S. Dalembert (lost ball),,8,12
26,1,8:12.0,,Personal foul by S. Larkin (drawn by B. Knight),8,12
27,1,7:59.0,,Turnover by Z. Pachulia (lost ball; steal by I. Shumpert),8,12
28,1,7:36.0,I. Shumpert makes 2-pt jump shot from 13 ft,,10,12
29,1,7:24.0,,J. Dudley misses 2-pt jump shot from 3 ft (block by S. Dalembert),10,12
30,1,7:21.0,Defensive rebound by I. Shumpert,,10,12
31,1,7:17.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by I. Shumpert),,13,12
32,1,7:00.0,,K. Middleton makes 3-pt jump shot from 23 ft (assist by B. Knight),13,15
33,1,6:48.0,C. Anthony misses 2-pt jump shot from 11 ft,,13,15
34,1,6:47.0,Offensive rebound by S. Dalembert,,13,15
35,1,6:46.0,Turnover by I. Shumpert (bad pass),,13,15
36,1,6:46.0,,J. Henson enters the game for Z. Pachulia,13,15
37,1,6:37.0,,B. Knight misses 3-pt jump shot from 28 ft,13,15
38,1,6:36.0,,Offensive rebound by J. Parker,13,15
