,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CHARLOTTE_ACTION,ATLANTA_SCORE,CHARLOTTE_SCORE
0,1,11:38.0,,M. Williams misses 2-pt jump shot from 9 ft,0,0
1,1,11:37.0,Defensive rebound by M. Muscala,,0,0
2,1,11:21.0,D. Schröder makes 2-pt layup from 1 ft (assist by M. Muscala),,2,0
3,1,11:01.0,,Shooting foul by K. Bazemore (drawn by J. Taylor),2,0
4,1,11:01.0,,J. Taylor makes free throw 1 of 2,2,1
5,1,11:01.0,,J. Taylor makes free throw 2 of 2,2,2
6,1,10:50.0,E. Brand makes 2-pt jump shot from 16 ft (assist by D. Schröder),,4,2
7,1,10:32.0,,G. Henderson makes 2-pt jump shot from 15 ft,4,4
8,1,10:12.0,K. Bazemore misses 3-pt jump shot from 23 ft,,4,4
9,1,10:11.0,,Defensive rebound by M. Williams,4,4
10,1,9:58.0,,M. Williams misses 3-pt jump shot from 25 ft,4,4
11,1,9:57.0,Defensive rebound by K. Bazemore,,4,4
12,1,9:41.0,E. Brand misses 2-pt jump shot from 13 ft,,4,4
13,1,9:39.0,,Defensive rebound by G. Henderson,4,4
14,1,9:25.0,,G. Henderson makes 2-pt jump shot from 20 ft,4,6
15,1,8:56.0,D. Schröder misses 2-pt jump shot from 16 ft,,4,6
16,1,8:55.0,,Defensive rebound by K. Walker,4,6
17,1,8:42.0,,K. Walker misses 2-pt jump shot from 12 ft,4,6
18,1,8:40.0,Defensive rebound by K. Bazemore,,4,6
19,1,8:23.0,J. Jenkins makes 3-pt jump shot from 22 ft (assist by D. Schröder),,7,6
20,1,8:04.0,,J. Taylor misses 3-pt jump shot from 26 ft,7,6
21,1,8:03.0,Defensive rebound by E. Brand,,7,6
22,1,7:57.0,K. Bazemore makes 3-pt jump shot from 23 ft (assist by D. Schröder),,10,6
23,1,7:36.0,,J. Taylor misses 3-pt jump shot from 22 ft,10,6
24,1,7:35.0,Defensive rebound by J. Jenkins,,10,6
25,1,7:18.0,M. Muscala makes 2-pt jump shot from 17 ft (assist by D. Schröder),,12,6
26,1,7:17.0,,Charlotte full timeout,12,6
27,1,7:17.0,S. Mack enters the game for K. Bazemore,,12,6
28,1,7:17.0,P. Antić enters the game for M. Muscala,,12,6
29,1,6:57.0,,A. Jefferson misses 2-pt layup from 2 ft,12,6
30,1,6:55.0,Defensive rebound by D. Schröder,,12,6
31,1,6:40.0,D. Schröder misses 2-pt jump shot from 12 ft,,12,6
32,1,6:39.0,,Defensive rebound by A. Jefferson,12,6
33,1,6:32.0,,Shooting foul by P. Antić (drawn by K. Walker),12,6
34,1,6:32.0,,K. Walker makes free throw 1 of 2,12,7
35,1,6:32.0,,K. Walker makes free throw 2 of 2,12,8
36,1,6:14.0,Shooting foul by K. Walker (drawn by D. Schröder),,12,8
37,1,6:14.0,D. Schröder makes free throw 1 of 2,,13,8
38,1,6:14.0,D. Schröder makes free throw 2 of 2,,14,8
39,1,6:02.0,,Personal foul by P. Antić (drawn by G. Henderson),14,8
40,1,5:54.0,,J. Taylor makes 2-pt dunk at rim (assist by G. Henderson),14,10
41,1,5:29.0,J. Jenkins misses 3-pt jump shot from 25 ft,,14,10
42,1,5:29.0,Offensive rebound by Team,,14,10
43,1,5:29.0,Turnover by Team (shot clock),,14,10
44,1,5:14.0,,K. Walker makes 3-pt jump shot from 26 ft (assist by G. Henderson),14,13
45,1,4:57.0,S. Mack misses 2-pt layup from 1 ft,,14,13
46,1,4:57.0,,Defensive rebound by A. Jefferson,14,13
47,1,4:49.0,,K. Walker misses 2-pt layup at rim,14,13
48,1,4:47.0,,Offensive rebound by A. Jefferson,14,13
49,1,4:46.0,,A. Jefferson misses 2-pt layup at rim,14,13
50,1,4:44.0,,Offensive rebound by A. Jefferson,14,13
51,1,4:44.0,,A. Jefferson makes 2-pt layup from 2 ft,14,15
52,1,4:30.0,D. Schröder misses 2-pt jump shot from 19 ft,,14,15
53,1,4:29.0,,Defensive rebound by G. Henderson,14,15
54,1,4:26.0,,K. Walker makes 2-pt layup at rim (assist by G. Henderson),14,17
55,1,4:26.0,,Shooting foul by J. Jenkins (drawn by K. Walker),14,17
56,1,4:26.0,Atlanta full timeout,,14,17
57,1,4:26.0,M. Muscala enters the game for E. Brand,,14,17
58,1,4:26.0,T. Sefolosha enters the game for D. Schröder,,14,17
59,1,4:26.0,,B. Biyombo enters the game for J. Taylor,14,17
60,1,4:26.0,,P. Hairston enters the game for A. Jefferson,14,17
61,1,4:26.0,,K. Walker makes free throw 1 of 1,14,18
62,1,4:15.0,Personal foul by G. Henderson (drawn by J. Jenkins),,14,18
63,1,4:09.0,S. Mack misses 3-pt jump shot from 27 ft,,14,18
64,1,4:08.0,,Defensive rebound by M. Williams,14,18
65,1,3:51.0,,G. Henderson makes 3-pt jump shot from 23 ft (assist by K. Walker),14,21
