,QUARTER,TIME_REMAINING,NEW YORK_ACTION,ORLANDO_ACTION,NEW YORK_SCORE,ORLANDO_SCORE
0,1,11:41.0,J. Smith makes 2-pt jump shot from 16 ft,,2,0
1,1,11:18.0,,V. Oladipo misses 2-pt jump shot from 20 ft,2,0
2,1,11:16.0,Defensive rebound by J. Smith,,2,0
3,1,11:01.0,C. Aldrich misses 2-pt jump shot from 8 ft,,2,0
4,1,11:00.0,,Defensive rebound by N. Vučević,2,0
5,1,10:48.0,,T. Harris misses 3-pt jump shot from 27 ft,2,0
6,1,10:46.0,Defensive rebound by C. Aldrich,,2,0
7,1,10:40.0,L. Galloway misses 2-pt jump shot from 16 ft,,2,0
8,1,10:37.0,,Defensive rebound by D. Dedmon,2,0
9,1,10:24.0,,T. Harris makes 2-pt layup from 2 ft (assist by D. Dedmon),2,2
10,1,10:10.0,T. Hardaway misses 2-pt jump shot from 19 ft,,2,2
11,1,10:08.0,,Defensive rebound by D. Dedmon,2,2
12,1,9:55.0,,D. Dedmon misses 2-pt hook shot from 8 ft,2,2
13,1,9:53.0,Defensive rebound by C. Aldrich,,2,2
14,1,9:39.0,C. Aldrich makes 2-pt layup from 3 ft (assist by T. Hardaway),,4,2
15,1,9:16.0,,T. Harris misses 2-pt jump shot from 13 ft,4,2
16,1,9:15.0,,Offensive rebound by Team,4,2
17,1,9:11.0,,V. Oladipo misses 3-pt jump shot from 26 ft,4,2
18,1,9:09.0,Defensive rebound by C. Aldrich,,4,2
19,1,9:00.0,L. Galloway misses 2-pt jump shot from 18 ft,,4,2
20,1,8:59.0,Offensive rebound by C. Aldrich,,4,2
21,1,8:56.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by C. Aldrich),,7,2
22,1,8:43.0,,Shooting foul by J. Smith (drawn by T. Harris),7,2
23,1,8:43.0,,T. Harris makes free throw 1 of 2,7,3
24,1,8:43.0,,T. Harris makes free throw 2 of 2,7,4
25,1,8:31.0,L. Thomas misses 3-pt jump shot from 23 ft,,7,4
26,1,8:30.0,Offensive rebound by J. Smith,,7,4
27,1,8:27.0,T. Hardaway misses 3-pt jump shot from 25 ft,,7,4
28,1,8:25.0,Offensive rebound by L. Thomas,,7,4
29,1,8:25.0,L. Thomas misses 2-pt tip-in from 1 ft,,7,4
30,1,8:22.0,Offensive rebound by J. Smith,,7,4
31,1,8:22.0,J. Smith misses 2-pt layup from 2 ft (block by N. Vučević),,7,4
32,1,8:22.0,,Defensive rebound by N. Vučević,7,4
33,1,8:22.0,,Personal foul by L. Thomas (drawn by N. Vučević),7,4
34,1,8:06.0,,V. Oladipo makes 3-pt jump shot from 25 ft (assist by T. Harris),7,7
35,1,7:46.0,C. Aldrich makes 2-pt jump shot from 9 ft (assist by J. Smith),,9,7
36,1,7:35.0,,D. Dedmon makes 2-pt layup from 2 ft (assist by E. Payton),9,9
37,1,7:35.0,,Shooting foul by C. Aldrich (drawn by D. Dedmon),9,9
38,1,7:35.0,,D. Dedmon makes free throw 1 of 1,9,10
39,1,7:17.0,Shooting foul by N. Vučević (drawn by J. Smith),,9,10
40,1,7:17.0,J. Smith makes free throw 1 of 2,,10,10
41,1,7:17.0,J. Smith makes free throw 2 of 2,,11,10
42,1,7:03.0,,Turnover by N. Vučević (lost ball; steal by C. Aldrich),11,10
43,1,6:53.0,L. Galloway misses 2-pt jump shot from 14 ft,,11,10
44,1,6:52.0,,Defensive rebound by D. Dedmon,11,10
45,1,6:40.0,,T. Harris misses 2-pt jump shot from 19 ft,11,10
46,1,6:39.0,Defensive rebound by Team,,11,10
