,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MILWAUKEE_ACTION,CLEVELAND_SCORE,MILWAUKEE_SCORE
0,1,11:45.0,,M. Carter-Williams makes 2-pt jump shot from 17 ft (assist by J. Dudley),0,2
1,1,11:25.0,J. Smith misses 3-pt jump shot from 24 ft,,0,2
2,1,11:24.0,,Defensive rebound by M. Carter-Williams,0,2
3,1,11:11.0,,Z. Pachulia makes 2-pt jump shot from 15 ft (assist by J. Dudley),0,4
4,1,10:52.0,K. Irving misses 3-pt jump shot from 23 ft,,0,4
5,1,10:51.0,,Defensive rebound by Z. Pachulia,0,4
6,1,10:27.0,,Z. Pachulia makes 2-pt jump shot from 13 ft (assist by J. Dudley),0,6
7,1,10:07.0,L. James makes 2-pt jump shot from 16 ft (assist by K. Irving),,2,6
8,1,9:46.0,,M. Carter-Williams makes 2-pt jump shot from 10 ft,2,8
9,1,9:25.0,K. Love makes 2-pt layup at rim (assist by K. Irving),,4,8
10,1,9:10.0,,E. İlyasova misses 2-pt layup from 1 ft,4,8
11,1,9:08.0,Defensive rebound by K. Love,,4,8
12,1,9:02.0,Personal block foul by E. İlyasova (drawn by K. Irving),,4,8
13,1,8:49.0,L. James makes 3-pt jump shot from 27 ft,,7,8
14,1,8:34.0,,M. Carter-Williams misses 3-pt jump shot from 26 ft,7,8
15,1,8:33.0,Defensive rebound by T. Mozgov,,7,8
16,1,8:20.0,K. Love makes 2-pt jump shot from 14 ft (assist by K. Irving),,9,8
17,1,8:07.0,,E. İlyasova misses 2-pt jump shot from 14 ft,9,8
18,1,8:05.0,Defensive rebound by L. James,,9,8
19,1,8:03.0,,Violation by M. Carter-Williams (kicked ball),9,8
20,1,7:57.0,Turnover by K. Irving (bad pass; steal by M. Carter-Williams),,9,8
21,1,7:54.0,,M. Carter-Williams makes 2-pt dunk at rim (assist by E. İlyasova),9,10
22,1,7:36.0,L. James makes 2-pt dunk at rim (assist by T. Mozgov),,11,10
23,1,7:16.0,,M. Carter-Williams misses 2-pt jump shot from 7 ft,11,10
24,1,7:15.0,Defensive rebound by K. Love,,11,10
25,1,7:09.0,L. James misses 3-pt jump shot from 24 ft,,11,10
26,1,7:08.0,Offensive rebound by J. Smith,,11,10
27,1,6:57.0,K. Irving misses 3-pt jump shot from 24 ft,,11,10
28,1,6:56.0,Offensive rebound by K. Love,,11,10
29,1,6:50.0,K. Irving makes 2-pt layup at rim,,13,10
30,1,6:34.0,,M. Carter-Williams makes 2-pt layup at rim,13,12
31,1,6:20.0,L. James makes 2-pt dunk at rim (assist by K. Irving),,15,12
32,1,6:01.0,,Z. Pachulia makes 2-pt layup at rim (assist by E. İlyasova),15,14
33,1,5:36.0,K. Love misses 2-pt jump shot from 15 ft,,15,14
34,1,5:35.0,,Defensive rebound by Z. Pachulia,15,14
35,1,5:28.0,,E. İlyasova makes 2-pt layup at rim (assist by M. Carter-Williams),15,16
36,1,5:11.0,Turnover by J. Smith (bad pass; steal by J. Dudley),,15,16
37,1,5:06.0,,J. Dudley makes 2-pt layup from 1 ft,15,18
38,1,5:06.0,Cleveland full timeout,,15,18
39,1,5:06.0,M. Dellavedova enters the game for K. Irving,,15,18
40,1,5:06.0,,O. Mayo enters the game for K. Middleton,15,18
41,1,4:48.0,Turnover by K. Love (bad pass; steal by E. İlyasova),,15,18
42,1,4:34.0,,M. Carter-Williams misses 2-pt jump shot from 5 ft (block by K. Love),15,18
43,1,4:27.0,Defensive rebound by K. Love,,15,18
44,1,4:20.0,M. Dellavedova makes 3-pt jump shot from 26 ft,,18,18
45,1,4:03.0,,E. İlyasova misses 3-pt jump shot from 25 ft,18,18
46,1,4:02.0,Defensive rebound by T. Mozgov,,18,18
47,1,3:56.0,Shooting block foul by Z. Pachulia (drawn by T. Mozgov),,18,18
48,1,3:56.0,T. Mozgov makes free throw 1 of 2,,19,18
49,1,3:56.0,,J. Henson enters the game for Z. Pachulia,19,18
50,1,3:56.0,I. Shumpert enters the game for J. Smith,,19,18
51,1,3:56.0,T. Mozgov makes free throw 2 of 2,,20,18
52,1,3:43.0,,M. Carter-Williams makes 2-pt hook shot from 4 ft,20,20
53,1,3:29.0,T. Thompson enters the game for T. Mozgov,,20,20
54,1,3:28.0,Personal foul by M. Carter-Williams (drawn by M. Dellavedova),,20,20
55,1,3:22.0,M. Dellavedova misses 3-pt jump shot from 27 ft,,20,20
56,1,3:20.0,,Defensive rebound by E. İlyasova,20,20
57,1,3:07.0,,J. Dudley misses 3-pt jump shot from 25 ft,20,20
58,1,3:06.0,Defensive rebound by L. James,,20,20
59,1,3:03.0,I. Shumpert makes 2-pt dunk at rim (assist by L. James),,22,20
60,1,2:52.0,,Personal foul by M. Dellavedova (drawn by J. Dudley),22,20
61,1,2:52.0,,Milwaukee full timeout,22,20
