,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,ATLANTA_ACTION,LA CLIPPERS_SCORE,ATLANTA_SCORE
0,1,11:45.0,C. Paul makes 2-pt jump shot from 17 ft,,2,0
1,1,11:26.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by P. Millsap),2,3
2,1,11:12.0,J. Redick makes 3-pt jump shot from 24 ft (assist by M. Barnes),,5,3
3,1,10:51.0,,K. Korver misses 3-pt jump shot from 25 ft,5,3
4,1,10:49.0,Defensive rebound by D. Jordan,,5,3
5,1,10:31.0,M. Barnes makes 3-pt jump shot from 24 ft (assist by B. Griffin),,8,3
6,1,10:11.0,,A. Horford makes 2-pt jump shot from 14 ft,8,5
7,1,9:58.0,C. Paul misses 2-pt jump shot from 18 ft,,8,5
8,1,9:57.0,,Defensive rebound by D. Carroll,8,5
9,1,9:44.0,,A. Horford misses 2-pt dunk at rim,8,5
10,1,9:43.0,,Offensive rebound by Team,8,5
11,1,9:37.0,,Shooting foul by M. Barnes (drawn by A. Horford),8,5
12,1,9:37.0,,A. Horford makes free throw 1 of 2,8,6
13,1,9:37.0,,A. Horford makes free throw 2 of 2,8,7
14,1,9:25.0,J. Redick misses 3-pt jump shot from 25 ft,,8,7
15,1,9:24.0,,Defensive rebound by D. Carroll,8,7
16,1,9:11.0,,D. Schröder makes 2-pt layup from 3 ft,8,9
17,1,8:57.0,Shooting foul by P. Millsap (drawn by M. Barnes),,8,9
18,1,8:57.0,M. Barnes makes free throw 1 of 2,,9,9
19,1,8:57.0,M. Barnes makes free throw 2 of 2,,10,9
20,1,8:41.0,,D. Carroll makes 3-pt jump shot from 23 ft (assist by P. Millsap),10,12
21,1,8:30.0,M. Barnes misses 2-pt layup from 2 ft,,10,12
22,1,8:29.0,,Defensive rebound by P. Millsap,10,12
23,1,8:22.0,,P. Millsap makes 2-pt layup at rim,10,14
24,1,8:00.0,B. Griffin makes 2-pt dunk at rim (assist by C. Paul),,12,14
25,1,7:39.0,,A. Horford misses 2-pt jump shot from 16 ft,12,14
26,1,7:37.0,Defensive rebound by B. Griffin,,12,14
27,1,7:28.0,B. Griffin makes 2-pt jump shot from 19 ft (assist by M. Barnes),,14,14
28,1,7:13.0,,D. Carroll makes 2-pt layup from 1 ft (assist by P. Millsap),14,16
29,1,7:08.0,Turnover by C. Paul (bad pass; steal by D. Schröder),,14,16
30,1,6:59.0,,K. Korver makes 3-pt jump shot from 22 ft (assist by P. Millsap),14,19
31,1,6:46.0,LA Clippers full timeout,,14,19
32,1,6:46.0,,E. Brand enters the game for P. Millsap,14,19
33,1,6:37.0,D. Jordan misses 2-pt dunk at rim,,14,19
34,1,6:36.0,,Defensive rebound by D. Carroll,14,19
35,1,6:30.0,,K. Korver misses 3-pt jump shot from 24 ft,14,19
36,1,6:29.0,Defensive rebound by D. Jordan,,14,19
37,1,6:21.0,B. Griffin makes 2-pt layup at rim,,16,19
38,1,6:06.0,,D. Schröder misses 2-pt jump shot from 5 ft (block by D. Jordan),16,19
39,1,6:05.0,,Offensive rebound by D. Carroll,16,19
40,1,5:59.0,,A. Horford misses 2-pt jump shot from 18 ft,16,19
41,1,5:57.0,Defensive rebound by D. Jordan,,16,19
42,1,5:50.0,C. Paul makes 2-pt jump shot from 8 ft,,18,19
43,1,5:34.0,,A. Horford makes 2-pt hook shot from 4 ft (assist by D. Schröder),18,21
44,1,5:17.0,J. Redick makes 2-pt jump shot from 19 ft (assist by C. Paul),,20,21
45,1,5:02.0,,E. Brand misses 2-pt jump shot from 9 ft,20,21
46,1,5:00.0,Defensive rebound by J. Redick,,20,21
47,1,4:52.0,B. Griffin misses 2-pt jump shot from 19 ft,,20,21
48,1,4:51.0,Offensive rebound by D. Jordan,,20,21
49,1,4:51.0,Personal foul by D. Carroll (drawn by D. Jordan),,20,21
50,1,4:51.0,G. Davis enters the game for D. Jordan,,20,21
51,1,4:51.0,,T. Sefolosha enters the game for D. Carroll,20,21
52,1,4:51.0,,J. Teague enters the game for A. Horford,20,21
53,1,4:51.0,,P. Millsap enters the game for D. Schröder,20,21
54,1,4:45.0,M. Barnes misses 3-pt jump shot from 24 ft,,20,21
55,1,4:43.0,,Defensive rebound by E. Brand,20,21
56,1,4:30.0,,J. Teague makes 2-pt layup from 1 ft (assist by K. Korver),20,23
57,1,4:14.0,B. Griffin makes 2-pt jump shot from 5 ft,,22,23
58,1,4:05.0,,Turnover by J. Teague (bad pass; steal by C. Paul),22,23
59,1,4:01.0,Shooting foul by K. Korver (drawn by B. Griffin),,22,23
60,1,4:01.0,B. Griffin makes free throw 1 of 2,,23,23
61,1,4:01.0,J. Crawford enters the game for M. Barnes,,23,23
62,1,4:01.0,B. Griffin misses free throw 2 of 2,,23,23
63,1,4:00.0,,Defensive rebound by P. Millsap,23,23
64,1,3:46.0,,T. Sefolosha makes 2-pt jump shot from 8 ft (assist by J. Teague),23,25
65,1,3:29.0,C. Paul misses 3-pt jump shot from 22 ft,,23,25
66,1,3:28.0,,Defensive rebound by E. Brand,23,25
67,1,3:16.0,,P. Millsap makes 2-pt jump shot from 6 ft,23,27
68,1,3:16.0,,Shooting foul by G. Davis (drawn by P. Millsap),23,27
69,1,3:16.0,,P. Millsap misses free throw 1 of 1,23,27
70,1,3:15.0,Defensive rebound by J. Crawford,,23,27
71,1,3:05.0,Personal foul by E. Brand (drawn by B. Griffin),,23,27
72,1,3:05.0,R. Bullock enters the game for J. Redick,,23,27
73,1,2:57.0,B. Griffin misses 2-pt jump shot from 16 ft,,23,27
74,1,2:56.0,,Defensive rebound by P. Millsap,23,27
75,1,2:42.0,,J. Teague misses 3-pt jump shot from 24 ft,23,27
76,1,2:40.0,Defensive rebound by B. Griffin,,23,27
77,1,2:28.0,J. Crawford misses 2-pt jump shot from 13 ft,,23,27
78,1,2:27.0,,Defensive rebound by P. Millsap,23,27
79,1,2:19.0,,J. Teague misses 2-pt jump shot from 6 ft,23,27
80,1,2:18.0,Defensive rebound by G. Davis,,23,27
81,1,2:07.0,C. Paul makes 2-pt jump shot from 6 ft,,25,27
82,1,1:46.0,,P. Millsap makes 2-pt jump shot from 5 ft (assist by T. Sefolosha),25,29
83,1,1:26.0,B. Griffin misses 2-pt jump shot from 4 ft,,25,29
84,1,1:25.0,Offensive rebound by G. Davis,,25,29
85,1,1:24.0,G. Davis misses 2-pt layup from 1 ft,,25,29
86,1,1:23.0,,Defensive rebound by E. Brand,25,29
87,1,1:23.0,,Personal foul by B. Griffin (drawn by E. Brand),25,29
88,1,1:23.0,,Atlanta full timeout,25,29
89,1,1:23.0,H. Türkoğlu enters the game for B. Griffin,,25,29
