,QUARTER,TIME_REMAINING,ORLANDO_ACTION,ATLANTA_ACTION,ORLANDO_SCORE,ATLANTA_SCORE
0,1,11:46.0,,Turnover by D. Carroll (bad pass),0,0
1,1,11:36.0,Turnover by K. O'Quinn (bad pass; steal by K. Korver),,0,0
2,1,11:26.0,,A. Horford makes 2-pt jump shot from 16 ft (assist by J. Teague),0,2
3,1,11:14.0,T. Harris misses 3-pt jump shot from 24 ft,,0,2
4,1,11:13.0,,Defensive rebound by J. Teague,0,2
5,1,11:00.0,,Turnover by J. Teague (bad pass; steal by V. Oladipo),0,2
6,1,10:46.0,K. O'Quinn makes 2-pt jump shot from 12 ft,,2,2
7,1,10:21.0,,J. Teague misses 3-pt jump shot from 24 ft,2,2
8,1,10:19.0,Defensive rebound by T. Harris,,2,2
9,1,10:10.0,E. Fournier makes 2-pt dunk at rim (assist by T. Harris),,4,2
10,1,9:56.0,Violation by C. Frye (kicked ball),,4,2
11,1,9:46.0,,P. Millsap makes 2-pt layup from 1 ft (assist by K. Korver),4,4
12,1,9:29.0,T. Harris misses 3-pt jump shot from 25 ft,,4,4
13,1,9:28.0,,Defensive rebound by A. Horford,4,4
14,1,9:08.0,,A. Horford makes 2-pt jump shot from 17 ft (assist by D. Carroll),4,6
15,1,8:54.0,V. Oladipo makes 3-pt jump shot from 23 ft (assist by T. Harris),,7,6
16,1,8:40.0,,P. Millsap makes 2-pt jump shot from 17 ft (assist by D. Carroll),7,8
17,1,8:27.0,E. Fournier misses 3-pt jump shot from 24 ft,,7,8
18,1,8:26.0,,Defensive rebound by D. Carroll,7,8
19,1,8:04.0,,A. Horford makes 2-pt layup from 1 ft (assist by D. Carroll),7,10
20,1,7:50.0,C. Frye makes 3-pt jump shot from 24 ft (assist by V. Oladipo),,10,10
21,1,7:26.0,,J. Teague makes 3-pt jump shot from 25 ft (assist by A. Horford),10,13
22,1,6:58.0,E. Fournier makes 2-pt layup from 3 ft,,12,13
23,1,6:44.0,,Shooting foul by V. Oladipo (drawn by D. Carroll),12,13
24,1,6:44.0,,D. Carroll makes free throw 1 of 2,12,14
25,1,6:44.0,,D. Carroll makes free throw 2 of 2,12,15
26,1,6:31.0,Shooting foul by D. Carroll (drawn by T. Harris),,12,15
27,1,6:31.0,T. Harris makes free throw 1 of 2,,13,15
28,1,6:31.0,T. Harris makes free throw 2 of 2,,14,15
29,1,6:21.0,,A. Horford makes 2-pt jump shot from 6 ft (assist by J. Teague),14,17
30,1,6:07.0,V. Oladipo makes 2-pt jump shot from 21 ft,,16,17
31,1,5:59.0,,Atlanta full timeout,16,17
32,1,5:54.0,Violation by V. Oladipo (kicked ball),,16,17
33,1,5:42.0,,D. Carroll misses 2-pt jump shot from 17 ft,16,17
34,1,5:40.0,Defensive rebound by K. O'Quinn,,16,17
35,1,5:27.0,V. Oladipo makes 2-pt layup from 1 ft,,18,17
36,1,5:14.0,,D. Carroll makes 2-pt layup from 1 ft (assist by K. Korver),18,19
37,1,4:54.0,,Offensive charge foul by T. Harris (drawn by K. Korver),18,19
38,1,4:54.0,Turnover by T. Harris (offensive foul),,18,19
39,1,4:54.0,D. Dedmon enters the game for K. O'Quinn,,18,19
40,1,4:54.0,,E. Brand enters the game for A. Horford,18,19
41,1,4:37.0,,J. Teague makes 2-pt jump shot from 19 ft (assist by P. Millsap),18,21
42,1,4:22.0,Turnover by C. Frye (bad pass),,18,21
43,1,4:22.0,,T. Sefolosha enters the game for D. Carroll,18,21
44,1,4:00.0,,P. Millsap misses 3-pt jump shot from 25 ft,18,21
45,1,3:58.0,Defensive rebound by E. Fournier,,18,21
46,1,3:51.0,Turnover by E. Fournier (bad pass; steal by E. Brand),,18,21
47,1,3:46.0,,Personal foul by E. Fournier (drawn by J. Teague),18,21
48,1,3:46.0,,S. Mack enters the game for K. Korver,18,21
49,1,3:46.0,B. Gordon enters the game for E. Fournier,,18,21
50,1,3:41.0,,P. Millsap makes 2-pt layup from 2 ft (assist by T. Sefolosha),18,23
51,1,3:26.0,C. Frye misses 3-pt jump shot from 25 ft,,18,23
52,1,3:25.0,,Defensive rebound by E. Brand,18,23
53,1,3:08.0,,T. Sefolosha misses 3-pt jump shot from 23 ft,18,23
54,1,3:06.0,Defensive rebound by C. Frye,,18,23
55,1,2:57.0,V. Oladipo makes 2-pt layup from 1 ft (assist by B. Gordon),,20,23
56,1,2:41.0,,Personal foul by V. Oladipo (drawn by J. Teague),20,23
57,1,2:41.0,Orlando full timeout,,20,23
58,1,2:41.0,,D. Schröder enters the game for J. Teague,20,23
59,1,2:41.0,K. O'Quinn enters the game for C. Frye,,20,23
60,1,2:41.0,E. Payton enters the game for V. Oladipo,,20,23
61,1,2:30.0,,P. Millsap misses 2-pt jump shot from 19 ft,20,23
62,1,2:28.0,Defensive rebound by T. Harris,,20,23
63,1,2:20.0,B. Gordon makes 2-pt jump shot from 17 ft,,22,23
64,1,2:08.0,,T. Sefolosha misses 3-pt jump shot from 24 ft,22,23
