,QUARTER,TIME_REMAINING,MIAMI_ACTION,UTAH_ACTION,MIAMI_SCORE,UTAH_SCORE
0,1,11:40.0,C. Bosh makes 2-pt jump shot from 10 ft (assist by D. Wade),,2,0
1,1,11:24.0,,Turnover by T. Burke (bad pass; steal by D. Wade),2,0
2,1,11:21.0,N. Cole makes 2-pt dunk at rim (assist by D. Wade),,4,0
3,1,10:55.0,,A. Burks misses 3-pt jump shot from 24 ft,4,0
4,1,10:54.0,Defensive rebound by L. Deng,,4,0
5,1,10:42.0,Shooting foul by A. Burks (drawn by J. Hamilton),,4,0
6,1,10:42.0,J. Hamilton makes free throw 1 of 2,,5,0
7,1,10:42.0,J. Hamilton misses free throw 2 of 2,,5,0
8,1,10:41.0,,Defensive rebound by E. Freedom,5,0
9,1,10:17.0,,E. Freedom makes 2-pt layup from 2 ft (assist by A. Burks),5,2
10,1,10:03.0,L. Deng makes 2-pt jump shot from 16 ft,,7,2
11,1,9:44.0,,A. Burks makes 3-pt jump shot from 24 ft (assist by T. Burke),7,5
12,1,9:28.0,N. Cole makes 3-pt jump shot from 23 ft (assist by D. Wade),,10,5
13,1,9:10.0,,T. Burke makes 3-pt jump shot from 26 ft (assist by A. Burks),10,8
14,1,8:49.0,J. Hamilton makes 2-pt hook shot from 5 ft (assist by D. Wade),,12,8
15,1,8:36.0,,D. Favors misses 2-pt jump shot from 7 ft,12,8
16,1,8:34.0,Defensive rebound by C. Bosh,,12,8
17,1,8:23.0,C. Bosh makes 2-pt hook shot from 1 ft (assist by J. Hamilton),,14,8
18,1,7:58.0,,E. Freedom misses 2-pt jump shot from 3 ft,14,8
19,1,7:56.0,,Offensive rebound by D. Favors,14,8
20,1,7:56.0,,D. Favors misses 2-pt tip-in from 3 ft,14,8
21,1,7:54.0,,Offensive rebound by D. Favors,14,8
22,1,7:54.0,,D. Favors makes 2-pt layup from 1 ft,14,10
23,1,7:38.0,Shooting foul by D. Favors (drawn by L. Deng),,14,10
24,1,7:38.0,L. Deng makes free throw 1 of 2,,15,10
25,1,7:38.0,L. Deng makes free throw 2 of 2,,16,10
26,1,7:27.0,,Turnover by G. Hayward (lost ball),16,10
27,1,7:16.0,N. Cole misses 2-pt jump shot from 21 ft,,16,10
28,1,7:14.0,Offensive rebound by L. Deng,,16,10
29,1,7:14.0,L. Deng makes 2-pt layup from 2 ft,,18,10
30,1,7:13.0,,Utah full timeout,18,10
31,1,6:53.0,,G. Hayward makes 2-pt jump shot from 15 ft,18,12
32,1,6:37.0,D. Wade misses 2-pt jump shot from 19 ft,,18,12
33,1,6:36.0,,Defensive rebound by G. Hayward,18,12
34,1,6:27.0,,Personal foul by J. Hamilton (drawn by G. Hayward),18,12
35,1,6:19.0,,E. Freedom misses 2-pt jump shot from 17 ft,18,12
36,1,6:18.0,Defensive rebound by C. Bosh,,18,12
37,1,6:06.0,Turnover by D. Wade (traveling),,18,12
38,1,6:06.0,U. Haslem enters the game for C. Bosh,,18,12
39,1,5:41.0,,T. Burke makes 2-pt jump shot from 21 ft,18,14
40,1,5:25.0,D. Wade makes 2-pt layup from 2 ft (assist by N. Cole),,20,14
41,1,5:10.0,,D. Favors misses 2-pt jump shot from 9 ft,20,14
42,1,5:08.0,,Offensive rebound by A. Burks,20,14
43,1,4:55.0,,T. Burke misses 2-pt jump shot from 14 ft,20,14
44,1,4:53.0,Defensive rebound by L. Deng,,20,14
45,1,4:47.0,D. Wade makes 2-pt jump shot from 12 ft (assist by L. Deng),,22,14
46,1,4:23.0,,Turnover by T. Burke (bad pass; steal by N. Cole),22,14
47,1,4:22.0,Shooting foul by T. Burke (drawn by D. Wade),,22,14
48,1,4:22.0,D. Wade makes free throw 1 of 2,,23,14
49,1,4:22.0,,R. Hood enters the game for A. Burks,23,14
50,1,4:22.0,,T. Booker enters the game for E. Freedom,23,14
51,1,4:22.0,D. Wade makes free throw 2 of 2,,24,14
52,1,4:09.0,,D. Favors makes 2-pt dunk at rim (assist by T. Burke),24,16
53,1,4:06.0,Miami full timeout,,24,16
54,1,4:06.0,M. Chalmers enters the game for D. Wade,,24,16
55,1,3:54.0,Turnover by L. Deng (traveling),,24,16
56,1,3:33.0,,R. Hood misses 2-pt layup from 2 ft,24,16
57,1,3:32.0,Defensive rebound by J. Hamilton,,24,16
58,1,3:22.0,J. Hamilton misses 2-pt layup from 2 ft (block by D. Favors),,24,16
59,1,3:20.0,Offensive rebound by U. Haslem,,24,16
60,1,2:58.0,L. Deng makes 3-pt jump shot from 23 ft (assist by M. Chalmers),,27,16
61,1,2:36.0,,Turnover by R. Hood (lost ball; steal by J. Hamilton),27,16
62,1,2:17.0,U. Haslem misses 2-pt layup from 1 ft,,27,16
63,1,2:16.0,,Defensive rebound by T. Booker,27,16
64,1,2:06.0,,Utah full timeout,27,16
65,1,2:06.0,C. Bosh enters the game for J. Hamilton,,27,16
66,1,2:06.0,,R. Gobert enters the game for D. Favors,27,16
67,1,2:06.0,,D. Exum enters the game for T. Burke,27,16
68,1,1:57.0,,G. Hayward misses 3-pt jump shot from 24 ft,27,16
69,1,1:56.0,,Offensive rebound by R. Gobert,27,16
