,QUARTER,TIME_REMAINING,CHICAGO_ACTION,BROOKLYN_ACTION,CHICAGO_SCORE,BROOKLYN_SCORE
0,1,11:41.0,,D. Williams misses 2-pt jump shot from 8 ft,0,0
1,1,11:40.0,Defensive rebound by D. Rose,,0,0
2,1,11:33.0,Turnover by D. Rose (lost ball),,0,0
3,1,11:21.0,,B. Lopez makes 2-pt jump shot from 18 ft (assist by J. Johnson),0,2
4,1,11:04.0,M. Dunleavy makes 2-pt layup from 1 ft (assist by P. Gasol),,2,2
5,1,10:42.0,,B. Lopez misses 2-pt hook shot from 12 ft,2,2
6,1,10:41.0,Defensive rebound by D. Rose,,2,2
7,1,10:31.0,Turnover by D. Rose (bad pass; steal by K. Garnett),,2,2
8,1,10:22.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by K. Garnett),2,5
9,1,10:00.0,D. Rose misses 3-pt jump shot from 26 ft,,2,5
10,1,9:59.0,,Defensive rebound by Team,2,5
11,1,9:44.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,2,5
12,1,9:43.0,Defensive rebound by P. Gasol,,2,5
13,1,9:30.0,M. Dunleavy makes 2-pt layup from 2 ft,,4,5
14,1,9:15.0,,D. Williams misses 2-pt layup from 1 ft,4,5
15,1,9:14.0,Defensive rebound by D. Rose,,4,5
16,1,9:12.0,Personal foul by B. Bogdanović (drawn by D. Rose),,4,5
17,1,9:00.0,P. Gasol makes 2-pt jump shot from 17 ft (assist by M. Dunleavy),,6,5
18,1,8:49.0,,B. Lopez makes 2-pt hook shot from 6 ft (assist by K. Garnett),6,7
19,1,8:49.0,,Shooting foul by J. Noah (drawn by B. Lopez),6,7
20,1,8:49.0,,B. Lopez makes free throw 1 of 1,6,8
21,1,8:31.0,J. Butler misses 2-pt jump shot from 19 ft,,6,8
22,1,8:30.0,Offensive rebound by J. Noah,,6,8
23,1,8:18.0,Turnover by D. Rose (bad pass),,6,8
24,1,8:11.0,,Turnover by J. Johnson (back court),6,8
25,1,7:47.0,P. Gasol misses 2-pt jump shot from 16 ft,,6,8
26,1,7:46.0,,Defensive rebound by D. Williams,6,8
27,1,7:38.0,,K. Garnett misses 2-pt jump shot from 16 ft,6,8
28,1,7:37.0,Defensive rebound by J. Butler,,6,8
29,1,7:26.0,D. Rose misses 3-pt jump shot from 24 ft,,6,8
30,1,7:25.0,,Defensive rebound by B. Bogdanović,6,8
31,1,7:15.0,,B. Bogdanović misses 2-pt layup from 1 ft (block by P. Gasol),6,8
32,1,7:14.0,Defensive rebound by J. Noah,,6,8
33,1,7:08.0,M. Dunleavy misses 2-pt jump shot from 20 ft,,6,8
34,1,7:06.0,,Defensive rebound by J. Johnson,6,8
35,1,7:04.0,,Brooklyn full timeout,6,8
36,1,7:04.0,,M. Plumlee enters the game for K. Garnett,6,8
37,1,6:46.0,,M. Plumlee misses 2-pt hook shot from 9 ft,6,8
38,1,6:45.0,Defensive rebound by P. Gasol,,6,8
39,1,6:28.0,Turnover by P. Gasol (bad pass; steal by B. Bogdanović),,6,8
40,1,6:17.0,,M. Plumlee makes 2-pt layup at rim (assist by D. Williams),6,10
41,1,6:05.0,M. Dunleavy misses 2-pt jump shot from 19 ft,,6,10
42,1,6:04.0,,Defensive rebound by J. Johnson,6,10
43,1,5:57.0,,B. Lopez misses 2-pt hook shot from 7 ft,6,10
44,1,5:56.0,,Offensive rebound by B. Bogdanović,6,10
45,1,5:55.0,,B. Bogdanović misses 2-pt tip-in from 2 ft,6,10
46,1,5:54.0,,Offensive rebound by M. Plumlee,6,10
47,1,5:48.0,,Personal foul by D. Rose (drawn by D. Williams),6,10
48,1,5:35.0,,B. Bogdanović makes 2-pt jump shot from 11 ft,6,12
49,1,5:18.0,Shooting foul by J. Johnson (drawn by D. Rose),,6,12
50,1,5:18.0,D. Rose makes 2-pt layup from 2 ft (assist by J. Noah),,8,12
51,1,5:18.0,D. Rose makes free throw 1 of 1,,9,12
52,1,5:00.0,,D. Williams misses 2-pt jump shot from 18 ft,9,12
53,1,4:59.0,Defensive rebound by P. Gasol,,9,12
54,1,4:43.0,M. Dunleavy misses 3-pt jump shot from 27 ft,,9,12
55,1,4:42.0,,Defensive rebound by J. Johnson,9,12
56,1,4:33.0,,J. Johnson misses 2-pt jump shot from 10 ft,9,12
57,1,4:32.0,Defensive rebound by J. Butler,,9,12
58,1,4:22.0,Turnover by J. Noah (bad pass),,9,12
59,1,4:22.0,K. Hinrich enters the game for D. Rose,,9,12
60,1,4:22.0,N. Mirotić enters the game for J. Noah,,9,12
61,1,4:13.0,,Personal foul by M. Dunleavy (drawn by B. Bogdanović),9,12
62,1,3:59.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,9,12
63,1,3:58.0,Defensive rebound by J. Butler,,9,12
64,1,3:42.0,P. Gasol makes 2-pt hook shot from 7 ft,,11,12
65,1,3:31.0,,Turnover by M. Plumlee (lost ball; steal by J. Butler),11,12
66,1,3:26.0,J. Butler makes 3-pt jump shot from 24 ft,,14,12
67,1,3:05.0,,B. Lopez misses 2-pt hook shot from 13 ft,14,12
68,1,3:04.0,Defensive rebound by M. Dunleavy,,14,12
69,1,2:58.0,Shooting foul by B. Lopez (drawn by P. Gasol),,14,12
70,1,2:58.0,Chicago full timeout,,14,12
71,1,2:58.0,,J. Jack enters the game for D. Williams,14,12
72,1,2:58.0,P. Gasol makes free throw 1 of 2,,15,12
73,1,2:58.0,,Violation by B. Bogdanović (lane),15,12
74,1,2:58.0,P. Gasol makes free throw 2 of 2,,16,12
75,1,2:43.0,,M. Teletović enters the game for B. Lopez,16,12
76,1,2:43.0,A. Brooks enters the game for M. Dunleavy,,16,12
77,1,2:40.0,,Personal foul by A. Brooks (drawn by J. Jack),16,12
78,1,2:34.0,,Shooting foul by K. Hinrich (drawn by M. Plumlee),16,12
79,1,2:34.0,,M. Plumlee makes free throw 1 of 2,16,13
80,1,2:34.0,,M. Plumlee misses free throw 2 of 2,16,13
81,1,2:33.0,Defensive rebound by P. Gasol,,16,13
82,1,2:14.0,Personal foul by M. Plumlee (drawn by P. Gasol),,16,13
83,1,2:03.0,K. Hinrich misses 2-pt jump shot from 19 ft,,16,13
84,1,2:01.0,Offensive rebound by N. Mirotić,,16,13
85,1,1:57.0,K. Hinrich makes 3-pt jump shot from 25 ft (assist by N. Mirotić),,19,13
86,1,1:45.0,,J. Jack makes 2-pt jump shot from 20 ft,19,15
87,1,1:31.0,A. Brooks makes 2-pt layup from 3 ft,,21,15
88,1,1:12.0,,J. Johnson misses 2-pt jump shot from 5 ft,21,15
89,1,1:11.0,Defensive rebound by N. Mirotić,,21,15
90,1,1:06.0,J. Butler makes 2-pt dunk at rim (assist by A. Brooks),,23,15
91,1,0:45.0,,J. Jack makes 2-pt jump shot from 18 ft,23,17
92,1,0:35.0,A. Brooks misses 2-pt layup from 3 ft,,23,17
93,1,0:34.0,,Defensive rebound by M. Teletović,23,17
94,1,0:30.0,,Shooting foul by K. Hinrich (drawn by M. Plumlee),23,17
95,1,0:30.0,,M. Plumlee makes free throw 1 of 2,23,18
96,1,0:30.0,,A. Anderson enters the game for J. Johnson,23,18
97,1,0:30.0,,M. Plumlee makes free throw 2 of 2,23,19
98,1,0:20.0,Personal foul by A. Anderson (drawn by J. Butler),,23,19
99,1,0:20.0,J. Butler makes free throw 1 of 2,,24,19
100,1,0:20.0,J. Butler makes free throw 2 of 2,,25,19
101,1,0:01.0,,A. Anderson makes 3-pt jump shot from 24 ft (assist by J. Jack),25,22
102,2,11:36.0,Turnover by Team (shot clock),,25,22
103,2,11:22.0,,Turnover by M. Teletović (bad pass; steal by N. Mirotić),25,22
104,2,11:16.0,A. Brooks misses 2-pt jump shot from 7 ft,,25,22
105,2,11:15.0,Offensive rebound by N. Mirotić,,25,22
106,2,11:06.0,,Violation by M. Plumlee (def goaltending),25,22
107,2,11:06.0,N. Mirotić makes 2-pt layup from 1 ft (assist by J. Noah),,27,22
108,2,10:55.0,,J. Jack misses 2-pt jump shot from 17 ft,27,22
109,2,10:52.0,Defensive rebound by N. Mirotić,,27,22
110,2,10:44.0,J. Noah misses 2-pt jump shot from 6 ft,,27,22
111,2,10:43.0,,Defensive rebound by M. Plumlee,27,22
112,2,10:28.0,,B. Bogdanović makes 2-pt jump shot from 12 ft,27,24
113,2,10:15.0,J. Noah makes 2-pt jump shot from 17 ft (assist by K. Hinrich),,29,24
114,2,10:09.0,,Personal foul by A. Brooks (drawn by J. Jack),29,24
115,2,9:56.0,,M. Plumlee misses 2-pt hook shot from 11 ft,29,24
116,2,9:55.0,Defensive rebound by J. Noah,,29,24
117,2,9:55.0,Personal foul by A. Anderson (drawn by J. Noah),,29,24
118,2,9:30.0,K. Hinrich makes 2-pt layup from 2 ft,,31,24
119,2,9:10.0,,B. Bogdanović makes 2-pt hook shot from 8 ft,31,26
120,2,8:56.0,Turnover by A. Brooks (bad pass),,31,26
121,2,8:56.0,Official timeout,,31,26
122,2,8:56.0,J. Butler enters the game for D. McDermott,,31,26
123,2,8:56.0,,K. Garnett enters the game for M. Plumlee,31,26
124,2,8:56.0,,J. Johnson enters the game for A. Anderson,31,26
125,2,8:56.0,,D. Williams enters the game for B. Bogdanović,31,26
126,2,8:38.0,,Turnover by J. Johnson (lost ball; steal by K. Hinrich),31,26
127,2,8:21.0,A. Brooks misses 3-pt jump shot from 26 ft,,31,26
128,2,8:20.0,,Defensive rebound by K. Garnett,31,26
129,2,8:10.0,,K. Garnett misses 2-pt jump shot from 7 ft,31,26
130,2,8:09.0,Defensive rebound by J. Noah,,31,26
131,2,8:01.0,Shooting foul by J. Johnson (drawn by J. Butler),,31,26
132,2,8:01.0,J. Butler makes free throw 1 of 2,,32,26
133,2,8:01.0,,B. Lopez enters the game for M. Teletović,32,26
134,2,8:01.0,J. Butler makes free throw 2 of 2,,33,26
135,2,7:46.0,,J. Johnson misses 3-pt jump shot from 24 ft,33,26
