,QUARTER,TIME_REMAINING,HOUSTON_ACTION,PHOENIX_ACTION,HOUSTON_SCORE,PHOENIX_SCORE
0,1,11:42.0,Turnover by T. Ariza (traveling),,0,0
1,1,11:29.0,,Turnover by M. Plumlee (traveling),0,0
2,1,11:16.0,,Violation by M. Morris (kicked ball),0,0
3,1,11:11.0,T. Ariza makes 2-pt jump shot from 20 ft (assist by D. Motiejūnas),,2,0
4,1,11:02.0,,Def 3 sec tech foul by D. Motiejūnas,2,0
5,1,11:02.0,,E. Bledsoe makes technical free throw,2,1
6,1,10:49.0,,M. Plumlee misses 2-pt hook shot from 4 ft,2,1
7,1,10:47.0,Defensive rebound by J. Harden,,2,1
8,1,10:42.0,J. Harden misses 2-pt jump shot from 3 ft (block by M. Plumlee),,2,1
9,1,10:42.0,Offensive rebound by Team,,2,1
10,1,10:41.0,Shooting foul by M. Plumlee (drawn by D. Motiejūnas),,2,1
11,1,10:41.0,D. Motiejūnas makes free throw 1 of 2,,3,1
12,1,10:41.0,D. Motiejūnas makes free throw 2 of 2,,4,1
13,1,10:28.0,,G. Dragić misses 2-pt jump shot from 20 ft,4,1
14,1,10:27.0,Defensive rebound by J. Dorsey,,4,1
15,1,10:17.0,D. Motiejūnas makes 2-pt jump shot from 5 ft (assist by P. Beverley),,6,1
16,1,10:06.0,,M. Morris misses 2-pt jump shot from 11 ft,6,1
17,1,10:05.0,Defensive rebound by J. Dorsey,,6,1
18,1,9:57.0,Turnover by D. Motiejūnas (lost ball; steal by E. Bledsoe),,6,1
19,1,9:51.0,,G. Dragić makes 2-pt layup from 1 ft (assist by E. Bledsoe),6,3
20,1,9:43.0,D. Motiejūnas makes 2-pt jump shot from 9 ft (assist by T. Ariza),,8,3
21,1,9:29.0,,M. Morris misses 2-pt jump shot from 16 ft,8,3
22,1,9:29.0,Defensive rebound by J. Harden,,8,3
23,1,9:20.0,J. Harden misses 2-pt layup at rim,,8,3
24,1,9:19.0,Offensive rebound by J. Dorsey,,8,3
25,1,9:19.0,J. Dorsey makes 2-pt layup from 2 ft,,10,3
26,1,9:08.0,,P. Tucker makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),10,6
27,1,8:56.0,Turnover by J. Dorsey (3 sec),,10,6
28,1,8:32.0,,M. Morris misses 2-pt jump shot from 11 ft,10,6
29,1,8:31.0,,Offensive rebound by P. Tucker,10,6
30,1,8:26.0,,Turnover by E. Bledsoe (bad pass; steal by D. Motiejūnas),10,6
31,1,8:16.0,T. Ariza misses 2-pt layup from 2 ft,,10,6
32,1,8:15.0,Offensive rebound by P. Beverley,,10,6
33,1,8:09.0,P. Beverley makes 3-pt jump shot from 24 ft (assist by T. Ariza),,13,6
34,1,7:47.0,,M. Plumlee makes 2-pt dunk at rim (assist by M. Morris),13,8
35,1,7:31.0,P. Beverley misses 3-pt jump shot from 24 ft,,13,8
36,1,7:31.0,Offensive rebound by J. Dorsey,,13,8
37,1,7:18.0,Shooting foul by G. Dragić (drawn by J. Harden),,13,8
38,1,7:18.0,J. Harden makes free throw 1 of 2,,14,8
39,1,7:18.0,J. Harden makes free throw 2 of 2,,15,8
40,1,7:07.0,,Personal block foul by D. Motiejūnas (drawn by E. Bledsoe),15,8
41,1,7:03.0,,Turnover by G. Dragić (bad pass; steal by D. Motiejūnas),15,8
42,1,6:59.0,T. Ariza makes 2-pt layup from 1 ft (assist by J. Harden),,17,8
43,1,6:55.0,,Turnover by P. Tucker (step out of bounds),17,8
44,1,6:55.0,Houston full timeout,,17,8
45,1,6:36.0,D. Motiejūnas misses 3-pt jump shot from 23 ft,,17,8
46,1,6:35.0,,Defensive rebound by M. Plumlee,17,8
47,1,6:29.0,,Turnover by P. Tucker (bad pass),17,8
48,1,6:19.0,,B. Wright enters the game for M. Plumlee,17,8
49,1,6:11.0,P. Beverley misses 3-pt jump shot from 25 ft,,17,8
50,1,6:10.0,,Defensive rebound by Team,17,8
51,1,5:55.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),17,11
52,1,5:40.0,Turnover by J. Harden (lost ball),,17,11
53,1,5:40.0,,Phoenix full timeout,17,11
54,1,5:17.0,,E. Bledsoe misses 2-pt jump shot from 15 ft,17,11
55,1,5:15.0,,Offensive rebound by M. Morris,17,11
56,1,5:15.0,,M. Morris misses 2-pt tip-in from 1 ft,17,11
57,1,5:14.0,Defensive rebound by J. Dorsey,,17,11
58,1,4:58.0,D. Motiejūnas makes 2-pt hook shot from 11 ft (assist by P. Beverley),,19,11
59,1,4:50.0,,Personal foul by J. Dorsey (drawn by B. Wright),19,11
60,1,4:50.0,J. Smith enters the game for J. Dorsey,,19,11
61,1,4:46.0,,Turnover by E. Bledsoe (offensive foul),19,11
62,1,4:46.0,,Offensive foul by E. Bledsoe (drawn by P. Beverley),19,11
63,1,4:28.0,P. Beverley misses 2-pt jump shot from 3 ft (block by E. Bledsoe),,19,11
64,1,4:28.0,Offensive rebound by Team,,19,11
65,1,4:28.0,,I. Thomas enters the game for E. Bledsoe,19,11
66,1,4:26.0,P. Beverley makes 2-pt layup at rim (assist by T. Ariza),,21,11
67,1,4:09.0,,Turnover by M. Morris (bad pass; steal by J. Harden),21,11
68,1,4:03.0,T. Ariza makes 3-pt jump shot from 22 ft (assist by D. Motiejūnas),,24,11
69,1,3:47.0,,G. Dragić misses 2-pt layup from 1 ft,24,11
70,1,3:46.0,,Offensive rebound by B. Wright,24,11
71,1,3:43.0,,B. Wright misses 2-pt jump shot from 2 ft,24,11
72,1,3:41.0,,Offensive rebound by G. Dragić,24,11
73,1,3:41.0,,G. Dragić misses 2-pt layup from 1 ft (block by J. Smith),24,11
74,1,3:39.0,,Offensive rebound by B. Wright,24,11
75,1,3:38.0,,B. Wright makes 2-pt jump shot from 3 ft,24,13
76,1,3:30.0,Shooting foul by P. Tucker (drawn by J. Harden),,24,13
77,1,3:30.0,J. Harden misses free throw 1 of 2,,24,13
78,1,3:30.0,Offensive rebound by Team,,24,13
79,1,3:30.0,K. Papanikolaou enters the game for T. Ariza,,24,13
