,QUARTER,TIME_REMAINING,PORTLAND_ACTION,ATLANTA_ACTION,PORTLAND_SCORE,ATLANTA_SCORE
0,1,11:38.0,,J. Teague makes 3-pt jump shot from 22 ft (assist by A. Horford),0,3
1,1,11:15.0,C. Kaman makes 2-pt hook shot from 4 ft (assist by L. Aldridge),,2,3
2,1,10:54.0,,T. Sefolosha misses 3-pt jump shot from 23 ft,2,3
3,1,10:52.0,Defensive rebound by L. Aldridge,,2,3
4,1,10:42.0,L. Aldridge makes 3-pt jump shot from 24 ft (assist by D. Lillard),,5,3
5,1,10:26.0,,P. Millsap makes 3-pt jump shot from 24 ft (assist by J. Teague),5,6
6,1,10:08.0,Turnover by W. Matthews (bad pass; steal by P. Millsap),,5,6
7,1,9:59.0,,T. Sefolosha misses 2-pt layup from 2 ft,5,6
8,1,9:57.0,,Offensive rebound by T. Sefolosha,5,6
9,1,9:53.0,,K. Korver misses 3-pt jump shot from 24 ft,5,6
10,1,9:51.0,Defensive rebound by L. Aldridge,,5,6
11,1,9:39.0,Personal take foul by T. Sefolosha (drawn by C. Kaman),,5,6
12,1,9:39.0,,K. Bazemore enters the game for T. Sefolosha,5,6
13,1,9:35.0,D. Lillard makes 2-pt jump shot from 17 ft (assist by N. Batum),,7,6
14,1,9:25.0,,Personal foul by D. Lillard (drawn by J. Teague),7,6
15,1,9:12.0,,P. Millsap misses 2-pt jump shot from 7 ft,7,6
16,1,9:11.0,Defensive rebound by C. Kaman,,7,6
17,1,9:02.0,L. Aldridge makes 2-pt jump shot from 4 ft,,9,6
18,1,8:44.0,,A. Horford makes 2-pt layup from 1 ft (assist by K. Bazemore),9,8
19,1,8:20.0,L. Aldridge misses 2-pt jump shot from 21 ft,,9,8
20,1,8:16.0,,Defensive rebound by K. Korver,9,8
21,1,8:05.0,,A. Horford misses 2-pt jump shot from 4 ft,9,8
22,1,8:04.0,Defensive rebound by L. Aldridge,,9,8
23,1,7:47.0,Turnover by N. Batum (bad pass),,9,8
24,1,7:37.0,,Turnover by J. Teague (lost ball; steal by D. Lillard),9,8
25,1,7:28.0,Turnover by W. Matthews (lost ball; steal by J. Teague),,9,8
26,1,7:27.0,,Personal foul by W. Matthews (drawn by P. Millsap),9,8
27,1,7:11.0,,A. Horford misses 2-pt jump shot from 9 ft,9,8
28,1,7:09.0,,Offensive rebound by A. Horford,9,8
29,1,7:02.0,,A. Horford misses 2-pt jump shot from 4 ft,9,8
30,1,7:00.0,Defensive rebound by L. Aldridge,,9,8
31,1,6:48.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. Lillard),,11,8
32,1,6:29.0,,J. Teague makes 2-pt jump shot from 19 ft,11,10
33,1,6:05.0,L. Aldridge misses 2-pt jump shot from 4 ft,,11,10
34,1,6:03.0,,Defensive rebound by K. Korver,11,10
35,1,5:59.0,,Turnover by J. Teague (bad pass),11,10
36,1,5:59.0,,Atlanta full timeout,11,10
37,1,5:59.0,,P. Antić enters the game for A. Horford,11,10
38,1,5:59.0,,D. Schröder enters the game for K. Korver,11,10
39,1,5:59.0,M. Leonard enters the game for C. Kaman,,11,10
40,1,5:59.0,S. Blake enters the game for W. Matthews,,11,10
41,1,5:45.0,Turnover by N. Batum (bad pass),,11,10
42,1,5:26.0,,P. Millsap makes 2-pt jump shot from 4 ft,11,12
43,1,5:11.0,L. Aldridge misses 2-pt jump shot from 17 ft,,11,12
44,1,5:11.0,Offensive rebound by Team,,11,12
45,1,5:02.0,M. Leonard makes 3-pt jump shot from 24 ft (assist by S. Blake),,14,12
46,1,4:46.0,,Personal foul by S. Blake (drawn by J. Teague),14,12
47,1,4:41.0,,D. Schröder misses 2-pt jump shot from 14 ft (block by D. Lillard),14,12
48,1,4:39.0,Defensive rebound by M. Leonard,,14,12
49,1,4:32.0,D. Lillard makes 2-pt jump shot from 16 ft,,16,12
50,1,4:20.0,,J. Teague misses 2-pt jump shot from 8 ft,16,12
51,1,4:20.0,,Offensive rebound by P. Antić,16,12
52,1,4:20.0,,Shooting foul by S. Blake (drawn by P. Antić),16,12
53,1,4:20.0,,P. Antić makes 2-pt tip-in at rim,16,14
54,1,4:20.0,,P. Antić makes free throw 1 of 1,16,15
55,1,4:10.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. Lillard),,18,15
56,1,3:48.0,Offensive charge foul by D. Schröder (drawn by S. Blake),,18,15
57,1,3:48.0,,Turnover by D. Schröder (offensive foul),18,15
58,1,3:40.0,Personal foul by J. Teague (drawn by D. Lillard),,18,15
59,1,3:29.0,N. Batum misses 2-pt jump shot from 18 ft,,18,15
60,1,3:27.0,,Defensive rebound by J. Teague,18,15
61,1,3:19.0,,P. Millsap misses 2-pt jump shot from 3 ft,18,15
62,1,3:19.0,,Offensive rebound by Team,18,15
63,1,3:19.0,Loose ball foul by M. Leonard (drawn by P. Antić),,18,15
64,1,3:19.0,Portland full timeout,,18,15
65,1,3:19.0,,K. Korver enters the game for J. Teague,18,15
66,1,3:19.0,W. Matthews enters the game for N. Batum,,18,15
67,1,3:19.0,,P. Antić makes free throw 1 of 2,18,16
68,1,3:19.0,,P. Antić misses free throw 2 of 2,18,16
69,1,3:18.0,Defensive rebound by M. Leonard,,18,16
70,1,2:58.0,Turnover by D. Lillard (lost ball; steal by D. Schröder),,18,16
71,1,2:52.0,,D. Schröder misses 2-pt layup from 1 ft,18,16
72,1,2:51.0,Defensive rebound by M. Leonard,,18,16
73,1,2:39.0,D. Lillard misses 3-pt jump shot from 25 ft,,18,16
74,1,2:38.0,,Defensive rebound by K. Bazemore,18,16
75,1,2:31.0,,K. Bazemore makes 2-pt layup from 2 ft,18,18
