,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CLEVELAND_ACTION,ATLANTA_SCORE,CLEVELAND_SCORE
0,1,11:34.0,P. Millsap makes 2-pt jump shot from 17 ft,,2,0
1,1,11:14.0,,S. Marion misses 2-pt jump shot from 17 ft,2,0
2,1,11:12.0,Defensive rebound by T. Sefolosha,,2,0
3,1,10:56.0,K. Korver misses 2-pt jump shot from 12 ft,,2,0
4,1,10:54.0,Offensive rebound by A. Horford,,2,0
5,1,10:39.0,J. Teague misses 3-pt jump shot from 25 ft,,2,0
6,1,10:39.0,,Defensive rebound by K. Love,2,0
7,1,10:30.0,,L. James makes 3-pt jump shot from 24 ft,2,3
8,1,10:09.0,T. Sefolosha misses 2-pt jump shot from 9 ft,,2,3
9,1,10:08.0,,Defensive rebound by L. James,2,3
10,1,9:58.0,,K. Love makes 3-pt jump shot from 23 ft (assist by K. Irving),2,6
11,1,9:44.0,Shooting foul by L. James (drawn by T. Sefolosha),,2,6
12,1,9:44.0,T. Sefolosha makes free throw 1 of 2,,3,6
13,1,9:44.0,T. Sefolosha makes free throw 2 of 2,,4,6
14,1,9:29.0,,L. James makes 3-pt jump shot from 27 ft (assist by K. Irving),4,9
15,1,9:11.0,Turnover by T. Sefolosha (bad pass; steal by K. Irving),,4,9
16,1,9:06.0,,L. James makes 2-pt dunk at rim (assist by K. Irving),4,11
17,1,9:06.0,Atlanta full timeout,,4,11
18,1,8:48.0,A. Horford makes 2-pt hook shot from 5 ft,,6,11
19,1,8:37.0,,Turnover by A. Varejão (lost ball; steal by T. Sefolosha),6,11
20,1,8:32.0,T. Sefolosha makes 2-pt dunk at rim,,8,11
21,1,8:16.0,,L. James makes 3-pt jump shot from 24 ft (assist by S. Marion),8,14
22,1,7:48.0,J. Teague makes 2-pt jump shot from 11 ft,,10,14
23,1,7:25.0,,K. Love makes 2-pt hook shot from 5 ft,10,16
24,1,7:01.0,A. Horford makes 2-pt jump shot from 18 ft (assist by J. Teague),,12,16
25,1,6:49.0,,Shooting foul by J. Teague (drawn by K. Love),12,16
26,1,6:49.0,,K. Irving makes free throw 1 of 2,12,17
27,1,6:49.0,,K. Irving makes free throw 2 of 2,12,18
28,1,6:23.0,J. Teague misses 2-pt jump shot from 3 ft,,12,18
29,1,6:22.0,,Defensive rebound by K. Love,12,18
30,1,6:19.0,,Turnover by K. Love (lost ball; steal by J. Teague),12,18
31,1,6:13.0,J. Teague makes 3-pt jump shot from 23 ft,,15,18
32,1,5:58.0,,L. James misses 2-pt layup at rim,15,18
33,1,5:56.0,Defensive rebound by J. Teague,,15,18
34,1,5:53.0,P. Millsap makes 2-pt layup from 1 ft (assist by T. Sefolosha),,17,18
35,1,5:34.0,,S. Marion makes 3-pt jump shot from 25 ft (assist by L. James),17,21
36,1,5:27.0,Personal foul by A. Varejão (drawn by P. Millsap),,17,21
37,1,5:27.0,P. Antić enters the game for A. Horford,,17,21
38,1,5:27.0,,D. Waiters enters the game for K. Irving,17,21
39,1,5:20.0,P. Millsap makes 2-pt jump shot from 14 ft (assist by K. Korver),,19,21
40,1,5:07.0,,Personal foul by P. Millsap (drawn by K. Love),19,21
41,1,5:07.0,D. Schröder enters the game for K. Korver,,19,21
42,1,4:56.0,,K. Love misses 2-pt jump shot from 5 ft (block by P. Antić),19,21
43,1,4:54.0,Defensive rebound by D. Schröder,,19,21
44,1,4:44.0,Turnover by J. Teague (bad pass),,19,21
45,1,4:44.0,,J. Harris enters the game for S. Marion,19,21
46,1,4:31.0,,Turnover by L. James (bad pass),19,21
47,1,4:11.0,Turnover by J. Teague (step out of bounds),,19,21
48,1,4:11.0,S. Mack enters the game for J. Teague,,19,21
49,1,3:55.0,,K. Love makes 3-pt jump shot from 22 ft (assist by D. Waiters),19,24
50,1,3:36.0,P. Millsap misses 3-pt jump shot from 25 ft,,19,24
51,1,3:35.0,,Defensive rebound by L. James,19,24
52,1,3:23.0,,D. Waiters misses 2-pt jump shot from 21 ft,19,24
53,1,3:22.0,Defensive rebound by P. Millsap,,19,24
54,1,3:13.0,D. Schröder makes 2-pt layup from 1 ft,,21,24
55,1,3:03.0,,Cleveland full timeout,21,24
56,1,3:03.0,,K. Irving enters the game for L. James,21,24
57,1,3:03.0,,T. Thompson enters the game for A. Varejão,21,24
58,1,3:03.0,K. Korver enters the game for T. Sefolosha,,21,24
59,1,2:49.0,,J. Harris makes 3-pt jump shot from 24 ft (assist by D. Waiters),21,27
60,1,2:39.0,Personal foul by J. Harris (drawn by D. Schröder),,21,27
61,1,2:28.0,Turnover by S. Mack (bad pass; steal by J. Harris),,21,27
62,1,2:19.0,,D. Waiters makes 2-pt jump shot from 18 ft (assist by J. Harris),21,29
63,1,1:59.0,P. Millsap misses 2-pt jump shot from 8 ft,,21,29
64,1,1:58.0,,Defensive rebound by K. Irving,21,29
65,1,1:47.0,,K. Love makes 2-pt jump shot from 18 ft (assist by K. Irving),21,31
66,1,1:35.0,D. Schröder misses 2-pt jump shot from 19 ft,,21,31
67,1,1:33.0,Offensive rebound by P. Antić,,21,31
68,1,1:26.0,D. Schröder makes 2-pt layup at rim,,23,31
69,1,1:11.0,,D. Waiters makes 3-pt jump shot from 24 ft (assist by K. Irving),23,34
70,1,0:59.0,Turnover by S. Mack (lost ball; steal by D. Waiters),,23,34
71,1,0:55.0,,D. Waiters makes 2-pt layup at rim (assist by K. Love),23,36
72,1,0:38.0,S. Mack makes 2-pt jump shot from 7 ft,,25,36
73,1,0:28.0,,Shooting foul by D. Schröder (drawn by K. Irving),25,36
74,1,0:28.0,,K. Irving makes free throw 1 of 2,25,37
75,1,0:28.0,A. Horford enters the game for P. Antić,,25,37
76,1,0:28.0,M. Scott enters the game for P. Millsap,,25,37
77,1,0:28.0,,A. Varejão enters the game for K. Love,25,37
78,1,0:28.0,,K. Irving makes free throw 2 of 2,25,38
79,1,0:05.0,A. Horford misses 2-pt jump shot from 16 ft,,25,38
80,1,0:04.0,Offensive rebound by S. Mack,,25,38
81,1,0:04.0,Turnover by Team (shot clock),,25,38
82,1,0:00.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by A. Varejão),25,41
83,2,11:40.0,,D. Waiters misses 2-pt jump shot from 22 ft,25,41
84,2,11:39.0,,Offensive rebound by A. Varejão,25,41
85,2,11:35.0,,K. Irving makes 3-pt jump shot from 25 ft (assist by A. Varejão),25,44
86,2,11:25.0,M. Scott misses 2-pt jump shot from 7 ft,,25,44
87,2,11:22.0,,Defensive rebound by J. Harris,25,44
88,2,11:17.0,Violation by D. Schröder (kicked ball),,25,44
89,2,11:05.0,,K. Irving makes 2-pt jump shot from 20 ft (assist by J. Harris),25,46
90,2,10:44.0,A. Horford makes 2-pt dunk at rim (assist by D. Schröder),,27,46
91,2,10:17.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by T. Thompson),27,49
92,2,10:05.0,A. Horford misses 2-pt jump shot from 16 ft,,27,49
93,2,10:03.0,Offensive rebound by A. Horford,,27,49
94,2,9:52.0,M. Scott misses 3-pt jump shot from 22 ft,,27,49
95,2,9:50.0,,Defensive rebound by K. Irving,27,49
96,2,9:42.0,,K. Irving misses 3-pt jump shot from 25 ft,27,49
97,2,9:41.0,,Offensive rebound by A. Varejão,27,49
98,2,9:40.0,,Personal foul by A. Horford (drawn by A. Varejão),27,49
99,2,9:40.0,,S. Marion enters the game for K. Irving,27,49
100,2,9:40.0,,L. James enters the game for J. Harris,27,49
101,2,9:40.0,K. Bazemore enters the game for S. Mack,,27,49
102,2,9:26.0,,L. James misses 2-pt jump shot from 8 ft,27,49
103,2,9:25.0,,Offensive rebound by D. Waiters,27,49
104,2,9:15.0,,T. Thompson makes 2-pt layup from 1 ft (assist by L. James),27,51
105,2,9:03.0,D. Schröder misses 3-pt jump shot from 24 ft,,27,51
106,2,9:02.0,,Defensive rebound by A. Varejão,27,51
107,2,8:50.0,,A. Varejão makes 2-pt dunk at rim (assist by D. Waiters),27,53
108,2,8:50.0,Atlanta full timeout,,27,53
109,2,8:50.0,J. Teague enters the game for D. Schröder,,27,53
110,2,8:34.0,M. Scott misses 2-pt jump shot from 8 ft,,27,53
111,2,8:32.0,,Defensive rebound by A. Varejão,27,53
112,2,8:23.0,,L. James makes 2-pt layup at rim (assist by A. Varejão),27,55
113,2,8:23.0,,Shooting foul by K. Bazemore (drawn by L. James),27,55
114,2,8:23.0,M. Muscala enters the game for A. Horford,,27,55
115,2,8:23.0,T. Sefolosha enters the game for K. Korver,,27,55
116,2,8:23.0,,L. James makes free throw 1 of 1,27,56
117,2,8:04.0,T. Sefolosha misses 3-pt jump shot from 23 ft,,27,56
118,2,8:03.0,,Defensive rebound by A. Varejão,27,56
119,2,7:59.0,,Shooting foul by M. Scott (drawn by T. Thompson),27,56
120,2,7:59.0,,T. Thompson makes free throw 1 of 2,27,57
121,2,7:59.0,,T. Thompson makes free throw 2 of 2,27,58
122,2,7:47.0,Turnover by K. Bazemore (bad pass),,27,58
123,2,7:47.0,P. Millsap enters the game for M. Scott,,27,58
124,2,7:35.0,,S. Marion makes 2-pt dunk at rim (assist by A. Varejão),27,60
125,2,7:19.0,Turnover by P. Millsap (lost ball; steal by T. Thompson),,27,60
126,2,7:13.0,,S. Marion misses 2-pt jump shot from 6 ft,27,60
127,2,7:11.0,Defensive rebound by K. Bazemore,,27,60
128,2,7:04.0,T. Sefolosha misses 2-pt jump shot from 21 ft,,27,60
129,2,7:03.0,,Defensive rebound by A. Varejão,27,60
130,2,6:58.0,,T. Thompson makes 2-pt layup at rim (assist by L. James),27,62
131,2,6:57.0,Atlanta full timeout,,27,62
132,2,6:57.0,,K. Love enters the game for A. Varejão,27,62
133,2,6:46.0,J. Teague misses 2-pt jump shot from 5 ft,,27,62
134,2,6:45.0,,Defensive rebound by T. Thompson,27,62
135,2,6:32.0,,Turnover by S. Marion (traveling),27,62
136,2,6:14.0,K. Bazemore makes 2-pt layup at rim (assist by P. Millsap),,29,62
137,2,5:58.0,,Turnover by T. Thompson (bad pass; steal by T. Sefolosha),29,62
138,2,5:52.0,P. Millsap misses 3-pt jump shot from 25 ft,,29,62
139,2,5:49.0,,Defensive rebound by K. Love,29,62
140,2,5:39.0,,S. Marion makes 2-pt jump shot from 9 ft (assist by K. Love),29,64
141,2,5:20.0,T. Sefolosha misses 3-pt jump shot from 23 ft,,29,64
142,2,5:19.0,Offensive rebound by M. Muscala,,29,64
143,2,5:15.0,M. Muscala misses 2-pt jump shot from 7 ft,,29,64
144,2,5:14.0,Offensive rebound by T. Sefolosha,,29,64
145,2,5:14.0,T. Sefolosha makes 2-pt dunk at rim,,31,64
146,2,4:56.0,,D. Waiters misses 2-pt jump shot from 17 ft,31,64
147,2,4:52.0,Defensive rebound by P. Millsap,,31,64
148,2,4:47.0,J. Teague misses 2-pt jump shot from 8 ft,,31,64
149,2,4:46.0,,Defensive rebound by T. Thompson,31,64
150,2,4:33.0,,K. Love misses 2-pt jump shot from 3 ft,31,64
151,2,4:31.0,,Offensive rebound by T. Thompson,31,64
152,2,4:31.0,,T. Thompson misses 2-pt jump shot from 5 ft (block by P. Millsap),31,64
153,2,4:31.0,,Offensive rebound by Team,31,64
154,2,4:31.0,,K. Irving enters the game for D. Waiters,31,64
155,2,4:25.0,,L. James misses 2-pt jump shot from 8 ft (block by M. Muscala),31,64
156,2,4:24.0,Defensive rebound by K. Bazemore,,31,64
157,2,4:20.0,T. Sefolosha makes 2-pt layup at rim (assist by K. Bazemore),,33,64
158,2,4:19.0,,Cleveland full timeout,33,64
159,2,4:07.0,,K. Irving misses 3-pt jump shot from 26 ft,33,64
160,2,4:05.0,Defensive rebound by Team,,33,64
161,2,3:38.0,M. Muscala makes 2-pt jump shot from 20 ft (assist by P. Millsap),,35,64
162,2,3:17.0,,K. Love misses 3-pt jump shot from 23 ft,35,64
163,2,3:15.0,Defensive rebound by M. Muscala,,35,64
164,2,2:57.0,P. Millsap misses 2-pt jump shot from 10 ft,,35,64
165,2,2:55.0,Offensive rebound by M. Muscala,,35,64
166,2,2:55.0,M. Muscala misses 2-pt tip-in at rim,,35,64
167,2,2:52.0,,Defensive rebound by L. James,35,64
168,2,2:50.0,,Shooting foul by K. Bazemore (drawn by L. James),35,64
169,2,2:50.0,,L. James misses free throw 1 of 2,35,64
170,2,2:50.0,,Offensive rebound by Team,35,64
171,2,2:50.0,D. Schröder enters the game for J. Teague,,35,64
172,2,2:50.0,,J. Harris enters the game for S. Marion,35,64
173,2,2:50.0,,L. James makes free throw 2 of 2,35,65
174,2,2:37.0,J. Jenkins enters the game for T. Sefolosha,,35,65
175,2,2:28.0,D. Schröder misses 3-pt jump shot from 24 ft,,35,65
176,2,2:27.0,Offensive rebound by P. Millsap,,35,65
177,2,2:24.0,P. Millsap makes 2-pt layup from 1 ft,,37,65
178,2,2:08.0,,T. Thompson misses 2-pt layup from 2 ft (block by M. Muscala),37,65
179,2,2:06.0,Defensive rebound by P. Millsap,,37,65
180,2,2:02.0,Turnover by D. Schröder (bad pass),,37,65
181,2,1:39.0,,L. James makes 3-pt jump shot from 24 ft,37,68
182,2,1:21.0,K. Bazemore misses 2-pt jump shot from 4 ft,,37,68
183,2,1:20.0,Offensive rebound by M. Muscala,,37,68
184,2,1:20.0,M. Muscala misses 2-pt tip-in at rim,,37,68
185,2,1:20.0,Offensive rebound by Team,,37,68
186,2,1:20.0,,A. Varejão enters the game for T. Thompson,37,68
187,2,1:10.0,P. Millsap misses 2-pt layup from 2 ft,,37,68
188,2,1:08.0,Offensive rebound by P. Millsap,,37,68
189,2,1:08.0,P. Millsap makes 2-pt tip-in at rim,,39,68
190,2,0:51.0,,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),39,71
191,2,0:37.0,P. Millsap makes 2-pt jump shot from 7 ft (assist by K. Bazemore),,41,71
192,2,0:27.0,,L. James misses 3-pt jump shot from 25 ft,41,71
193,2,0:26.0,Defensive rebound by D. Schröder,,41,71
194,2,0:09.0,P. Millsap makes 2-pt jump shot from 17 ft (assist by D. Schröder),,43,71
195,2,0:09.0,,Cleveland full timeout,43,71
196,2,0:09.0,T. Sefolosha enters the game for J. Jenkins,,43,71
197,2,0:09.0,,D. Waiters enters the game for A. Varejão,43,71
198,3,11:46.0,,Personal foul by J. Teague (drawn by K. Irving),43,71
199,3,11:31.0,,K. Irving misses 3-pt jump shot from 23 ft,43,71
200,3,11:28.0,Defensive rebound by T. Sefolosha,,43,71
201,3,11:16.0,A. Horford misses 2-pt jump shot from 17 ft,,43,71
202,3,11:15.0,,Defensive rebound by K. Love,43,71
203,3,11:09.0,,Turnover by L. James (bad pass; steal by J. Jenkins),43,71
204,3,11:01.0,J. Jenkins makes 3-pt jump shot from 22 ft (assist by A. Horford),,46,71
205,3,10:45.0,,K. Love misses 3-pt jump shot from 26 ft,46,71
206,3,10:44.0,Defensive rebound by T. Sefolosha,,46,71
207,3,10:29.0,A. Horford makes 2-pt jump shot from 12 ft (assist by T. Sefolosha),,48,71
208,3,10:23.0,,Cleveland full timeout,48,71
209,3,10:07.0,,L. James makes 2-pt jump shot from 18 ft,48,73
210,3,10:02.0,Turnover by J. Teague (bad pass),,48,73
211,3,9:39.0,,L. James makes 2-pt jump shot from 18 ft,48,75
212,3,9:16.0,A. Horford makes 2-pt jump shot from 12 ft,,50,75
213,3,8:54.0,,L. James misses 2-pt jump shot from 17 ft (block by T. Sefolosha),50,75
214,3,8:53.0,Defensive rebound by T. Sefolosha,,50,75
215,3,8:50.0,T. Sefolosha misses 2-pt dunk at rim,,50,75
216,3,8:49.0,,Defensive rebound by A. Varejão,50,75
217,3,8:46.0,,L. James makes 2-pt layup at rim (assist by A. Varejão),50,77
218,3,8:46.0,,Shooting foul by P. Millsap (drawn by L. James),50,77
219,3,8:46.0,,L. James misses free throw 1 of 1,50,77
220,3,8:38.0,,Offensive rebound by A. Varejão,50,77
221,3,8:38.0,,A. Varejão misses 2-pt tip-in at rim,50,77
222,3,8:38.0,,Offensive rebound by A. Varejão,50,77
223,3,8:38.0,,A. Varejão misses 2-pt layup at rim,50,77
224,3,8:38.0,Defensive rebound by J. Teague,,50,77
225,3,8:36.0,A. Horford makes 2-pt layup at rim (assist by J. Teague),,52,77
226,3,8:23.0,,L. James makes 2-pt layup at rim (assist by K. Love),52,79
227,3,8:10.0,,Violation by K. Love (kicked ball),52,79
228,3,8:10.0,,D. Waiters enters the game for S. Marion,52,79
229,3,8:03.0,T. Sefolosha makes 2-pt hook shot from 6 ft (assist by J. Teague),,54,79
230,3,7:46.0,,L. James misses 2-pt layup from 1 ft,54,79
231,3,7:45.0,Defensive rebound by A. Horford,,54,79
232,3,7:39.0,T. Sefolosha misses 3-pt jump shot from 24 ft,,54,79
