,QUARTER,TIME_REMAINING,TORONTO_ACTION,CHARLOTTE_ACTION,TORONTO_SCORE,CHARLOTTE_SCORE
0,1,11:45.0,,C. Zeller misses 2-pt layup from 1 ft (block by J. Valančiūnas),0,0
1,1,11:43.0,Defensive rebound by A. Johnson,,0,0
2,1,11:36.0,K. Lowry misses 2-pt layup from 2 ft,,0,0
3,1,11:34.0,,Defensive rebound by M. Kidd-Gilchrist,0,0
4,1,11:28.0,Violation by T. Ross (kicked ball),,0,0
5,1,11:22.0,,C. Zeller misses 2-pt layup from 1 ft,0,0
6,1,11:20.0,Defensive rebound by J. Valančiūnas,,0,0
7,1,11:05.0,D. DeRozan misses 2-pt jump shot from 20 ft,,0,0
8,1,11:04.0,,Defensive rebound by M. Williams,0,0
9,1,10:58.0,,M. Williams makes 3-pt jump shot from 25 ft,0,3
10,1,10:33.0,T. Ross misses 3-pt jump shot from 26 ft,,0,3
11,1,10:32.0,,Defensive rebound by A. Jefferson,0,3
12,1,10:24.0,,Turnover by M. Williams (lost ball),0,3
13,1,10:15.0,D. DeRozan makes 2-pt jump shot from 17 ft (assist by T. Ross),,2,3
14,1,9:57.0,,G. Henderson makes 2-pt jump shot from 15 ft (assist by M. Kidd-Gilchrist),2,5
15,1,9:42.0,D. DeRozan misses 2-pt jump shot from 16 ft,,2,5
16,1,9:41.0,,Defensive rebound by G. Henderson,2,5
17,1,9:29.0,,A. Jefferson misses 2-pt jump shot from 3 ft,2,5
18,1,9:28.0,Defensive rebound by K. Lowry,,2,5
19,1,9:23.0,K. Lowry misses 3-pt jump shot from 25 ft,,2,5
20,1,9:21.0,,Defensive rebound by G. Henderson,2,5
21,1,9:15.0,,Turnover by G. Henderson (bad pass),2,5
22,1,8:56.0,D. DeRozan makes 2-pt layup from 2 ft (assist by K. Lowry),,4,5
23,1,8:35.0,,G. Henderson makes 2-pt jump shot from 19 ft (assist by M. Kidd-Gilchrist),4,7
24,1,8:14.0,D. DeRozan misses 2-pt jump shot from 6 ft (block by C. Zeller),,4,7
25,1,8:12.0,,Defensive rebound by C. Zeller,4,7
26,1,8:01.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,4,7
27,1,8:00.0,Defensive rebound by D. DeRozan,,4,7
28,1,7:52.0,D. DeRozan misses 2-pt jump shot from 9 ft,,4,7
29,1,7:51.0,,Defensive rebound by C. Zeller,4,7
30,1,7:43.0,,M. Williams makes 3-pt jump shot from 28 ft,4,10
31,1,7:25.0,T. Ross misses 2-pt jump shot from 9 ft,,4,10
32,1,7:25.0,Offensive rebound by J. Valančiūnas,,4,10
33,1,7:25.0,Shooting foul by C. Zeller (drawn by J. Valančiūnas),,4,10
34,1,7:25.0,J. Valančiūnas makes free throw 1 of 2,,5,10
35,1,7:25.0,J. Valančiūnas makes free throw 2 of 2,,6,10
36,1,7:11.0,,A. Jefferson makes 2-pt hook shot from 7 ft,6,12
37,1,6:49.0,K. Lowry misses 2-pt jump shot from 15 ft (block by M. Williams),,6,12
38,1,6:48.0,,Defensive rebound by A. Jefferson,6,12
39,1,6:41.0,,Personal foul by A. Johnson (drawn by M. Kidd-Gilchrist),6,12
40,1,6:37.0,,Shooting foul by J. Valančiūnas (drawn by C. Zeller),6,12
41,1,6:37.0,,C. Zeller makes free throw 1 of 2,6,13
42,1,6:37.0,,C. Zeller makes free throw 2 of 2,6,14
