,QUARTER,TIME_REMAINING,MIAMI_ACTION,ATLANTA_ACTION,MIAMI_SCORE,ATLANTA_SCORE
0,1,11:43.0,L. Deng misses 2-pt jump shot from 10 ft,,0,0
1,1,11:41.0,,Defensive rebound by P. Millsap,0,0
2,1,11:25.0,,A. Horford makes 2-pt jump shot from 19 ft (assist by K. Korver),0,2
3,1,11:10.0,J. Ennis misses 2-pt jump shot from 11 ft,,0,2
4,1,11:09.0,,Defensive rebound by P. Millsap,0,2
5,1,10:55.0,,A. Horford makes 3-pt jump shot from 23 ft (assist by J. Teague),0,5
6,1,10:35.0,C. Bosh misses 2-pt jump shot from 18 ft,,0,5
7,1,10:34.0,,Defensive rebound by P. Millsap,0,5
8,1,10:18.0,,T. Sefolosha misses 3-pt jump shot from 25 ft,0,5
9,1,10:17.0,Defensive rebound by Team,,0,5
10,1,10:01.0,Turnover by C. Bosh (lost ball; steal by A. Horford),,0,5
11,1,9:51.0,,Shooting foul by J. Ennis (drawn by A. Horford),0,5
12,1,9:51.0,,A. Horford makes free throw 1 of 2,0,6
13,1,9:51.0,,A. Horford makes free throw 2 of 2,0,7
14,1,9:42.0,Shooting foul by A. Horford (drawn by J. Ennis),,0,7
15,1,9:42.0,J. Ennis makes free throw 1 of 2,,1,7
16,1,9:42.0,J. Ennis misses free throw 2 of 2,,1,7
17,1,9:41.0,,Defensive rebound by T. Sefolosha,1,7
18,1,9:26.0,,J. Teague misses 3-pt jump shot from 25 ft,1,7
19,1,9:24.0,,Offensive rebound by T. Sefolosha,1,7
20,1,9:15.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by J. Teague),1,10
21,1,8:52.0,Turnover by C. Bosh (lost ball; steal by K. Korver),,1,10
22,1,8:47.0,,T. Sefolosha makes 2-pt dunk at rim (assist by J. Teague),1,12
23,1,8:46.0,Miami full timeout,,1,12
24,1,8:31.0,C. Bosh makes 2-pt dunk at rim (assist by N. Cole),,3,12
25,1,8:14.0,,J. Teague makes 2-pt layup from 1 ft (assist by A. Horford),3,14
26,1,8:14.0,,Shooting foul by N. Cole (drawn by J. Teague),3,14
27,1,8:14.0,,J. Teague makes free throw 1 of 1,3,15
28,1,7:51.0,C. Bosh misses 2-pt jump shot from 20 ft,,3,15
29,1,7:48.0,Offensive rebound by J. Ennis,,3,15
30,1,7:41.0,S. Williams misses 2-pt jump shot from 15 ft,,3,15
31,1,7:40.0,,Defensive rebound by A. Horford,3,15
32,1,7:29.0,,P. Millsap misses 2-pt jump shot from 11 ft,3,15
33,1,7:27.0,Defensive rebound by C. Bosh,,3,15
34,1,7:17.0,Turnover by S. Williams (bad pass; steal by T. Sefolosha),,3,15
35,1,7:11.0,,Turnover by T. Sefolosha (bad pass; steal by J. Ennis),3,15
36,1,7:03.0,Personal foul by A. Horford (drawn by C. Bosh),,3,15
37,1,7:03.0,M. Chalmers enters the game for J. Ennis,,3,15
38,1,7:03.0,,P. Antić enters the game for A. Horford,3,15
39,1,6:57.0,N. Cole misses 2-pt layup from 1 ft (block by T. Sefolosha),,3,15
40,1,6:55.0,,Defensive rebound by J. Teague,3,15
41,1,6:51.0,,J. Teague misses 3-pt jump shot from 24 ft,3,15
42,1,6:49.0,Defensive rebound by L. Deng,,3,15
43,1,6:44.0,S. Williams makes 2-pt dunk at rim (assist by N. Cole),,5,15
44,1,6:27.0,,P. Antić makes 2-pt layup from 1 ft (assist by T. Sefolosha),5,17
45,1,6:27.0,,Shooting foul by C. Bosh (drawn by P. Antić),5,17
46,1,6:27.0,,P. Antić makes free throw 1 of 1,5,18
47,1,6:16.0,L. Deng misses 2-pt jump shot from 21 ft (block by T. Sefolosha),,5,18
48,1,6:14.0,,Defensive rebound by P. Millsap,5,18
49,1,6:13.0,,Turnover by P. Millsap (bad pass; steal by C. Bosh),5,18
50,1,6:07.0,N. Cole misses 2-pt layup from 1 ft,,5,18
51,1,6:06.0,,Defensive rebound by K. Korver,5,18
52,1,6:02.0,,Turnover by T. Sefolosha (lost ball),5,18
53,1,5:55.0,M. Chalmers makes 2-pt layup from 1 ft (assist by N. Cole),,7,18
54,1,5:55.0,Shooting foul by K. Korver (drawn by M. Chalmers),,7,18
55,1,5:55.0,M. Chalmers makes free throw 1 of 1,,8,18
56,1,5:41.0,,T. Sefolosha makes 3-pt jump shot from 23 ft (assist by K. Korver),8,21
57,1,5:29.0,,D. Schröder enters the game for K. Korver,8,21
58,1,5:26.0,N. Cole misses 2-pt jump shot from 16 ft,,8,21
59,1,5:24.0,,Defensive rebound by P. Millsap,8,21
60,1,5:07.0,,P. Antić misses 3-pt jump shot from 24 ft,8,21
61,1,5:05.0,Defensive rebound by S. Williams,,8,21
62,1,4:57.0,Personal foul by P. Antić (drawn by C. Bosh),,8,21
63,1,4:57.0,C. Andersen enters the game for C. Bosh,,8,21
64,1,4:42.0,S. Williams makes 3-pt jump shot from 22 ft (assist by M. Chalmers),,11,21
65,1,4:26.0,,Shooting foul by S. Williams (drawn by P. Millsap),11,21
66,1,4:26.0,,P. Millsap misses free throw 1 of 2,11,21
67,1,4:26.0,,Offensive rebound by Team,11,21
68,1,4:26.0,,S. Mack enters the game for J. Teague,11,21
69,1,4:26.0,,P. Millsap makes free throw 2 of 2,11,22
70,1,4:07.0,Turnover by N. Cole (bad pass; steal by P. Millsap),,11,22
71,1,4:01.0,,Personal foul by S. Williams (drawn by P. Millsap),11,22
72,1,4:01.0,,P. Millsap makes free throw 1 of 2,11,23
73,1,4:01.0,S. Napier enters the game for N. Cole,,11,23
74,1,4:01.0,,P. Millsap misses free throw 2 of 2,11,23
75,1,4:00.0,Defensive rebound by L. Deng,,11,23
76,1,3:37.0,S. Napier makes 2-pt jump shot from 17 ft,,13,23
77,1,3:19.0,,Shooting foul by S. Napier (drawn by T. Sefolosha),13,23
78,1,3:19.0,,T. Sefolosha makes free throw 1 of 2,13,24
79,1,3:19.0,,M. Scott enters the game for P. Millsap,13,24
80,1,3:19.0,C. Bosh enters the game for S. Williams,,13,24
81,1,3:19.0,,T. Sefolosha makes free throw 2 of 2,13,25
82,1,2:54.0,C. Bosh makes 2-pt layup at rim (assist by S. Napier),,15,25
83,1,2:45.0,,Atlanta full timeout,15,25
84,1,2:40.0,,D. Schröder makes 2-pt layup from 1 ft (assist by P. Antić),15,27
85,1,2:40.0,Violation by C. Andersen (def goaltending),,15,27
86,1,2:26.0,Personal foul by P. Antić (drawn by M. Chalmers),,15,27
87,1,2:26.0,M. Chalmers makes free throw 1 of 2,,16,27
88,1,2:26.0,S. Brown enters the game for L. Deng,,16,27
89,1,2:26.0,M. Chalmers makes free throw 2 of 2,,17,27
90,1,2:14.0,,Shooting foul by S. Napier (drawn by D. Schröder),17,27
91,1,2:14.0,,D. Schröder makes free throw 1 of 2,17,28
92,1,2:14.0,,D. Schröder makes free throw 2 of 2,17,29
93,1,1:54.0,M. Chalmers misses 3-pt jump shot from 22 ft,,17,29
94,1,1:53.0,,Defensive rebound by P. Antić,17,29
95,1,1:31.0,,S. Mack makes 3-pt jump shot from 25 ft (assist by D. Schröder),17,32
96,1,1:15.0,C. Bosh makes 2-pt jump shot from 19 ft (assist by M. Chalmers),,19,32
97,1,1:06.0,,Shooting foul by C. Andersen (drawn by T. Sefolosha),19,32
98,1,1:06.0,,T. Sefolosha makes free throw 1 of 2,19,33
99,1,1:06.0,,A. Horford enters the game for P. Antić,19,33
100,1,1:06.0,,T. Sefolosha misses free throw 2 of 2,19,33
101,1,1:04.0,Defensive rebound by C. Andersen,,19,33
102,1,0:42.0,Shooting foul by T. Sefolosha (drawn by M. Chalmers),,19,33
103,1,0:42.0,M. Chalmers makes free throw 1 of 2,,20,33
104,1,0:42.0,,K. Korver enters the game for T. Sefolosha,20,33
105,1,0:42.0,M. Chalmers makes free throw 2 of 2,,21,33
106,1,0:30.0,,D. Schröder makes 2-pt layup from 2 ft,21,35
107,1,0:13.0,M. Chalmers makes 2-pt jump shot from 16 ft (assist by C. Andersen),,23,35
108,1,0:00.0,,D. Schröder misses 3-pt jump shot from 24 ft,23,35
109,1,0:00.0,,Offensive rebound by Team,23,35
110,2,11:44.0,,M. Scott makes 2-pt jump shot from 9 ft (assist by D. Schröder),23,37
111,2,11:23.0,S. Brown misses 2-pt jump shot from 11 ft,,23,37
112,2,11:23.0,Offensive rebound by Team,,23,37
113,2,11:23.0,Personal foul by S. Mack (drawn by C. Andersen),,23,37
114,2,11:16.0,Turnover by M. Chalmers (lost ball; steal by S. Mack),,23,37
115,2,11:12.0,,S. Mack makes 2-pt layup from 1 ft (assist by M. Scott),23,39
116,2,10:50.0,S. Napier makes 2-pt layup from 1 ft (assist by M. Chalmers),,25,39
117,2,10:38.0,,A. Horford misses 2-pt hook shot from 5 ft,25,39
118,2,10:36.0,Defensive rebound by C. Bosh,,25,39
119,2,10:26.0,S. Brown makes 3-pt jump shot from 23 ft,,28,39
