,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,LA CLIPPERS_ACTION,MINNESOTA_SCORE,LA CLIPPERS_SCORE
0,1,11:42.0,,M. Barnes misses 2-pt jump shot from 3 ft,0,0
1,1,11:41.0,Defensive rebound by G. Dieng,,0,0
2,1,11:22.0,G. Dieng misses 2-pt jump shot from 15 ft,,0,0
3,1,11:21.0,,Defensive rebound by M. Barnes,0,0
4,1,11:13.0,,J. Redick makes 3-pt jump shot from 23 ft (assist by C. Paul),0,3
5,1,10:53.0,A. Wiggins makes 2-pt layup from 1 ft (assist by G. Dieng),,2,3
6,1,10:53.0,Shooting foul by M. Barnes (drawn by A. Wiggins),,2,3
7,1,10:53.0,A. Wiggins makes free throw 1 of 1,,3,3
8,1,10:43.0,,M. Barnes misses 3-pt jump shot from 23 ft,3,3
9,1,10:41.0,,Offensive rebound by B. Griffin,3,3
10,1,10:38.0,,B. Griffin misses 2-pt dunk at rim,3,3
11,1,10:35.0,,Offensive rebound by D. Jordan,3,3
12,1,10:32.0,,Turnover by D. Jordan (lost ball; steal by A. Wiggins),3,3
13,1,10:25.0,T. Young makes 2-pt layup at rim,,5,3
14,1,10:17.0,,J. Redick makes 2-pt jump shot from 21 ft (assist by B. Griffin),5,5
15,1,9:53.0,C. Brewer makes 3-pt jump shot from 24 ft (assist by G. Dieng),,8,5
16,1,9:41.0,,B. Griffin makes 2-pt dunk at rim (assist by D. Jordan),8,7
17,1,9:21.0,C. Brewer misses 2-pt jump shot from 17 ft,,8,7
18,1,9:19.0,,Defensive rebound by B. Griffin,8,7
19,1,9:06.0,,B. Griffin makes 2-pt jump shot from 18 ft (assist by C. Paul),8,9
20,1,8:50.0,T. Young makes 2-pt layup from 2 ft (assist by M. Williams),,10,9
21,1,8:40.0,,Personal foul by T. Young (drawn by B. Griffin),10,9
22,1,8:32.0,,B. Griffin makes 2-pt layup from 2 ft (assist by D. Jordan),10,11
23,1,8:18.0,Turnover by M. Williams (bad pass),,10,11
24,1,8:12.0,,Turnover by C. Paul (bad pass; steal by G. Dieng),10,11
25,1,7:59.0,T. Young misses 3-pt jump shot from 24 ft,,10,11
26,1,7:57.0,Offensive rebound by G. Dieng,,10,11
27,1,7:53.0,C. Brewer makes 2-pt dunk at rim (assist by G. Dieng),,12,11
28,1,7:46.0,,J. Redick makes 3-pt jump shot from 26 ft,12,14
29,1,7:46.0,,Shooting foul by C. Brewer (drawn by J. Redick),12,14
30,1,7:46.0,,J. Redick makes free throw 1 of 1,12,15
31,1,7:32.0,Shooting foul by J. Redick (drawn by C. Brewer),,12,15
32,1,7:32.0,C. Brewer makes free throw 1 of 2,,13,15
33,1,7:32.0,C. Brewer makes free throw 2 of 2,,14,15
34,1,7:23.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by C. Paul),14,18
35,1,7:09.0,T. Young misses 2-pt jump shot from 4 ft,,14,18
36,1,7:07.0,,Defensive rebound by M. Barnes,14,18
37,1,7:01.0,,C. Paul misses 3-pt jump shot from 26 ft,14,18
38,1,7:01.0,,Offensive rebound by Team,14,18
39,1,7:01.0,Loose ball foul by G. Dieng (drawn by D. Jordan),,14,18
40,1,6:53.0,,Personal foul by C. Brewer (drawn by D. Jordan),14,18
41,1,6:53.0,Minnesota full timeout,,14,18
42,1,6:53.0,Technical foul by C. Brewer,,14,18
43,1,6:53.0,S. Muhammad enters the game for C. Brewer,,14,18
44,1,6:53.0,,J. Redick makes technical free throw,14,19
45,1,6:45.0,,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),14,21
46,1,6:29.0,G. Dieng makes 2-pt layup from 2 ft (assist by M. Williams),,16,21
47,1,6:29.0,Shooting foul by D. Jordan (drawn by G. Dieng),,16,21
48,1,6:29.0,G. Dieng makes free throw 1 of 1,,17,21
49,1,6:29.0,,Technical foul by Team,17,21
50,1,6:29.0,M. Williams makes technical free throw,,18,21
51,1,6:09.0,,J. Redick misses 3-pt jump shot from 25 ft,18,21
52,1,6:08.0,Defensive rebound by S. Muhammad,,18,21
53,1,5:56.0,T. Young misses 2-pt layup from 2 ft,,18,21
54,1,5:54.0,,Defensive rebound by Team,18,21
55,1,5:46.0,,Personal foul by T. Young (drawn by B. Griffin),18,21
56,1,5:46.0,,B. Griffin misses free throw 1 of 2,18,21
57,1,5:46.0,,Offensive rebound by Team,18,21
58,1,5:46.0,A. Bennett enters the game for T. Young,,18,21
59,1,5:46.0,,B. Griffin makes free throw 2 of 2,18,22
60,1,5:28.0,M. Williams misses 2-pt jump shot from 19 ft (block by D. Jordan),,18,22
61,1,5:26.0,,Defensive rebound by C. Paul,18,22
62,1,5:26.0,,Personal foul by M. Williams (drawn by C. Paul),18,22
