,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,NEW YORK_ACTION,CHARLOTTE_SCORE,NEW YORK_SCORE
0,1,11:37.0,,C. Anthony makes 2-pt jump shot from 15 ft (assist by Q. Acy),0,2
1,1,11:09.0,M. Williams misses 3-pt jump shot from 25 ft,,0,2
2,1,11:08.0,,Defensive rebound by S. Dalembert,0,2
3,1,10:57.0,,I. Shumpert makes 2-pt jump shot from 19 ft (assist by C. Anthony),0,4
4,1,10:48.0,Turnover by M. Williams (bad pass; steal by C. Anthony),,0,4
5,1,10:44.0,,C. Anthony misses 2-pt layup from 1 ft (block by M. Kidd-Gilchrist),0,4
6,1,10:43.0,,Offensive rebound by Team,0,4
7,1,10:39.0,,I. Shumpert misses 2-pt jump shot from 17 ft,0,4
8,1,10:38.0,,Offensive rebound by S. Dalembert,0,4
9,1,10:36.0,,Turnover by S. Dalembert (bad pass; steal by L. Stephenson),0,4
10,1,10:30.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by K. Walker),,2,4
11,1,10:17.0,,I. Shumpert misses 2-pt jump shot from 15 ft,2,4
12,1,10:16.0,Defensive rebound by A. Jefferson,,2,4
13,1,10:09.0,Personal foul by I. Shumpert (drawn by L. Stephenson),,2,4
14,1,10:03.0,Turnover by K. Walker (lost ball; steal by S. Larkin),,2,4
15,1,9:59.0,,I. Shumpert misses 2-pt layup from 1 ft,2,4
16,1,9:57.0,Defensive rebound by L. Stephenson,,2,4
17,1,9:39.0,Turnover by A. Jefferson (bad pass),,2,4
18,1,9:29.0,,Shooting foul by L. Stephenson (drawn by I. Shumpert),2,4
19,1,9:29.0,,I. Shumpert makes free throw 1 of 2,2,5
20,1,9:29.0,,I. Shumpert makes free throw 2 of 2,2,6
21,1,9:16.0,M. Williams makes 3-pt jump shot from 24 ft (assist by L. Stephenson),,5,6
22,1,8:58.0,,S. Larkin makes 3-pt jump shot from 24 ft (assist by I. Shumpert),5,9
23,1,8:26.0,L. Stephenson misses 3-pt jump shot from 22 ft,,5,9
24,1,8:25.0,,Defensive rebound by Team,5,9
25,1,8:11.0,,I. Shumpert makes 3-pt jump shot from 27 ft (assist by S. Larkin),5,12
26,1,7:49.0,A. Jefferson misses 2-pt jump shot from 15 ft,,5,12
27,1,7:48.0,,Defensive rebound by S. Larkin,5,12
28,1,7:42.0,,C. Anthony makes 3-pt jump shot from 25 ft (assist by S. Larkin),5,15
29,1,7:35.0,Charlotte full timeout,,5,15
30,1,7:21.0,A. Jefferson misses 2-pt jump shot from 4 ft,,5,15
31,1,7:18.0,Offensive rebound by Team,,5,15
32,1,7:18.0,Charlotte full timeout,,5,15
33,1,7:05.0,A. Jefferson makes 2-pt layup from 1 ft,,7,15
34,1,6:52.0,,I. Shumpert makes 2-pt jump shot from 14 ft (assist by S. Dalembert),7,17
35,1,6:41.0,Personal foul by I. Shumpert (drawn by L. Stephenson),,7,17
36,1,6:41.0,,J. Smith enters the game for I. Shumpert,7,17
37,1,6:29.0,M. Kidd-Gilchrist misses 2-pt jump shot from 10 ft,,7,17
38,1,6:28.0,,Defensive rebound by Team,7,17
39,1,6:19.0,,Q. Acy misses 2-pt jump shot from 21 ft,7,17
40,1,6:18.0,Defensive rebound by M. Kidd-Gilchrist,,7,17
41,1,6:01.0,K. Walker makes 3-pt jump shot from 25 ft (assist by L. Stephenson),,10,17
42,1,5:49.0,,J. Smith makes 3-pt jump shot from 24 ft (assist by S. Larkin),10,20
43,1,5:35.0,K. Walker misses 3-pt jump shot from 24 ft,,10,20
44,1,5:34.0,Offensive rebound by M. Williams,,10,20
45,1,5:21.0,A. Jefferson misses 2-pt jump shot from 17 ft,,10,20
46,1,5:20.0,,Defensive rebound by Q. Acy,10,20
47,1,5:13.0,,Turnover by S. Dalembert (bad pass),10,20
48,1,5:07.0,Personal foul by S. Dalembert (drawn by A. Jefferson),,10,20
49,1,4:56.0,Turnover by A. Jefferson (bad pass; steal by S. Larkin),,10,20
50,1,4:51.0,,S. Larkin misses 2-pt layup from 1 ft,10,20
51,1,4:49.0,Defensive rebound by M. Kidd-Gilchrist,,10,20
52,1,4:43.0,K. Walker makes 2-pt jump shot from 18 ft,,12,20
53,1,4:25.0,,C. Anthony makes 2-pt jump shot from 13 ft,12,22
54,1,4:11.0,M. Williams misses 3-pt jump shot from 23 ft,,12,22
55,1,4:10.0,,Defensive rebound by J. Smith,12,22
56,1,4:05.0,,A. Stoudemire enters the game for S. Dalembert,12,22
57,1,4:05.0,,J. Smith enters the game for Q. Acy,12,22
58,1,4:05.0,C. Zeller enters the game for M. Williams,,12,22
59,1,3:57.0,,J. Smith misses 2-pt jump shot from 20 ft,12,22
60,1,3:55.0,,Offensive rebound by Team,12,22
61,1,3:55.0,G. Neal enters the game for L. Stephenson,,12,22
62,1,3:55.0,J. Maxiell enters the game for A. Jefferson,,12,22
63,1,3:49.0,,J. Smith makes 2-pt jump shot from 17 ft,12,24
64,1,3:28.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by C. Zeller),,14,24
65,1,3:10.0,,Turnover by C. Anthony (lost ball; steal by M. Kidd-Gilchrist),14,24
66,1,3:05.0,,P. Prigioni enters the game for S. Larkin,14,24
67,1,2:54.0,M. Kidd-Gilchrist makes 2-pt jump shot from 19 ft (assist by C. Zeller),,16,24
68,1,2:43.0,,J. Smith misses 3-pt jump shot from 24 ft,16,24
69,1,2:42.0,Defensive rebound by M. Kidd-Gilchrist,,16,24
70,1,2:38.0,Shooting foul by P. Prigioni (drawn by M. Kidd-Gilchrist),,16,24
71,1,2:38.0,,New York full timeout,16,24
72,1,2:38.0,,T. Hardaway enters the game for C. Anthony,16,24
73,1,2:38.0,M. Kidd-Gilchrist misses free throw 1 of 2,,16,24
74,1,2:38.0,Offensive rebound by Team,,16,24
75,1,2:38.0,M. Kidd-Gilchrist misses free throw 2 of 2,,16,24
76,1,2:37.0,,Defensive rebound by A. Stoudemire,16,24
77,1,2:26.0,,Shooting foul by J. Maxiell (drawn by A. Stoudemire),16,24
78,1,2:26.0,,A. Stoudemire misses free throw 1 of 2,16,24
79,1,2:26.0,,Offensive rebound by Team,16,24
80,1,2:26.0,G. Henderson enters the game for M. Kidd-Gilchrist,,16,24
81,1,2:26.0,,A. Stoudemire makes free throw 2 of 2,16,25
