,QUARTER,TIME_REMAINING,MIAMI_ACTION,MILWAUKEE_ACTION,MIAMI_SCORE,MILWAUKEE_SCORE
0,1,11:40.0,,Turnover by M. Carter-Williams (bad pass; steal by G. Dragić),0,0
1,1,11:35.0,Turnover by H. Whiteside (lost ball; steal by Z. Pachulia),,0,0
2,1,11:28.0,,Offensive foul by G. Antetokounmpo (drawn by G. Dragić),0,0
3,1,11:28.0,,Turnover by G. Antetokounmpo (offensive foul),0,0
4,1,11:13.0,U. Haslem misses 2-pt jump shot from 17 ft,,0,0
5,1,11:12.0,,Defensive rebound by K. Middleton,0,0
6,1,11:00.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by Z. Pachulia),0,3
7,1,10:35.0,L. Deng misses 2-pt jump shot from 10 ft,,0,3
8,1,10:33.0,,Defensive rebound by K. Middleton,0,3
9,1,10:23.0,,Shooting foul by U. Haslem (drawn by E. İlyasova),0,3
10,1,10:23.0,,E. İlyasova makes free throw 1 of 2,0,4
11,1,10:23.0,,E. İlyasova makes free throw 2 of 2,0,5
12,1,10:12.0,L. Deng makes 2-pt layup from 1 ft (assist by D. Wade),,2,5
13,1,9:54.0,,E. İlyasova misses 3-pt jump shot from 23 ft,2,5
14,1,9:54.0,Defensive rebound by Team,,2,5
15,1,9:41.0,Personal foul by M. Carter-Williams (drawn by G. Dragić),,2,5
16,1,9:26.0,H. Whiteside makes 2-pt dunk at rim (assist by D. Wade),,4,5
17,1,9:04.0,,K. Middleton makes 2-pt jump shot from 19 ft (assist by M. Carter-Williams),4,7
18,1,8:49.0,Shooting foul by G. Antetokounmpo (drawn by L. Deng),,4,7
19,1,8:49.0,L. Deng misses free throw 1 of 2,,4,7
20,1,8:49.0,Offensive rebound by Team,,4,7
21,1,8:49.0,,J. Bayless enters the game for G. Antetokounmpo,4,7
22,1,8:49.0,L. Deng makes free throw 2 of 2,,5,7
23,1,8:27.0,,M. Carter-Williams misses 2-pt jump shot from 16 ft,5,7
24,1,8:26.0,Defensive rebound by G. Dragić,,5,7
25,1,8:12.0,G. Dragić misses 2-pt layup at rim,,5,7
26,1,8:10.0,Offensive rebound by H. Whiteside,,5,7
27,1,8:10.0,H. Whiteside makes 2-pt tip-in at rim,,7,7
28,1,7:50.0,,M. Carter-Williams misses 2-pt jump shot from 7 ft (block by H. Whiteside),7,7
29,1,7:47.0,Defensive rebound by H. Whiteside,,7,7
30,1,7:43.0,U. Haslem misses 2-pt layup at rim (block by E. İlyasova),,7,7
31,1,7:40.0,,Defensive rebound by E. İlyasova,7,7
32,1,7:32.0,,Z. Pachulia misses 2-pt layup from 2 ft,7,7
33,1,7:28.0,,Offensive rebound by E. İlyasova,7,7
34,1,7:28.0,,E. İlyasova makes 2-pt tip-in from 1 ft,7,9
35,1,7:12.0,Shooting foul by K. Middleton (drawn by D. Wade),,7,9
36,1,7:12.0,D. Wade makes free throw 1 of 2,,8,9
37,1,7:12.0,D. Wade makes free throw 2 of 2,,9,9
38,1,7:01.0,,M. Carter-Williams makes 2-pt layup at rim,9,11
39,1,6:43.0,H. Whiteside misses 2-pt hook shot from 5 ft,,9,11
40,1,6:41.0,,Defensive rebound by Z. Pachulia,9,11
41,1,6:33.0,,Z. Pachulia misses 2-pt jump shot from 16 ft,9,11
42,1,6:32.0,Defensive rebound by H. Whiteside,,9,11
43,1,6:25.0,D. Wade makes 3-pt jump shot from 26 ft (assist by G. Dragić),,12,11
44,1,6:12.0,,Turnover by M. Carter-Williams (bad pass; steal by H. Whiteside),12,11
