,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DENVER_ACTION,SAN ANTONIO_SCORE,DENVER_SCORE
0,1,11:44.0,D. Green misses 3-pt jump shot from 25 ft,,0,0
1,1,11:42.0,,Defensive rebound by W. Chandler,0,0
2,1,11:28.0,,W. Chandler makes 2-pt dunk at rim (assist by T. Lawson),0,2
3,1,11:16.0,K. Leonard misses 2-pt jump shot from 19 ft,,0,2
4,1,11:14.0,,Defensive rebound by K. Faried,0,2
5,1,11:08.0,,J. Nurkić misses 2-pt layup from 1 ft,0,2
6,1,11:07.0,Defensive rebound by T. Parker,,0,2
7,1,10:45.0,T. Splitter makes 2-pt layup from 2 ft (assist by T. Duncan),,2,2
8,1,10:24.0,,Shooting foul by K. Leonard (drawn by A. Afflalo),2,2
9,1,10:24.0,,A. Afflalo misses free throw 1 of 2,2,2
10,1,10:24.0,,Offensive rebound by Team,2,2
11,1,10:24.0,,A. Afflalo makes free throw 2 of 2,2,3
12,1,9:58.0,D. Green misses 2-pt jump shot from 13 ft,,2,3
13,1,9:56.0,,Defensive rebound by W. Chandler,2,3
14,1,9:43.0,,W. Chandler makes 2-pt jump shot from 9 ft,2,5
15,1,9:29.0,T. Parker misses 2-pt jump shot from 18 ft,,2,5
16,1,9:27.0,,Defensive rebound by W. Chandler,2,5
17,1,9:15.0,,Turnover by J. Nurkić (lost ball; steal by T. Splitter),2,5
18,1,9:08.0,D. Green misses 3-pt jump shot from 22 ft,,2,5
19,1,9:06.0,Offensive rebound by K. Leonard,,2,5
20,1,9:03.0,D. Green misses 3-pt jump shot from 22 ft,,2,5
21,1,9:02.0,Offensive rebound by Team,,2,5
22,1,9:02.0,,Loose ball foul by A. Afflalo (drawn by T. Splitter),2,5
23,1,8:55.0,Turnover by D. Green (lost ball; steal by A. Afflalo),,2,5
24,1,8:50.0,,K. Faried makes 2-pt dunk at rim (assist by A. Afflalo),2,7
25,1,8:34.0,T. Duncan misses 2-pt jump shot from 19 ft,,2,7
26,1,8:32.0,,Defensive rebound by A. Afflalo,2,7
27,1,8:26.0,,Turnover by A. Afflalo (bad pass),2,7
28,1,8:14.0,T. Duncan misses 2-pt jump shot from 11 ft,,2,7
29,1,8:13.0,,Defensive rebound by W. Chandler,2,7
30,1,8:07.0,,W. Chandler misses 3-pt jump shot from 26 ft,2,7
31,1,8:05.0,Defensive rebound by K. Leonard,,2,7
32,1,7:59.0,K. Leonard misses 3-pt jump shot from 25 ft,,2,7
33,1,7:58.0,,Defensive rebound by J. Nurkić,2,7
34,1,7:50.0,,W. Chandler makes 2-pt layup from 2 ft,2,9
35,1,7:50.0,San Antonio full timeout,,2,9
36,1,7:50.0,P. Mills enters the game for K. Leonard,,2,9
37,1,7:50.0,A. Baynes enters the game for T. Splitter,,2,9
38,1,7:50.0,M. Ginóbili enters the game for D. Green,,2,9
39,1,7:50.0,C. Joseph enters the game for T. Parker,,2,9
40,1,7:26.0,T. Duncan misses 2-pt jump shot from 12 ft,,2,9
41,1,7:24.0,,Defensive rebound by A. Afflalo,2,9
42,1,7:13.0,,Turnover by A. Afflalo (lost ball; steal by C. Joseph),2,9
43,1,7:09.0,Personal foul by A. Afflalo (drawn by P. Mills),,2,9
44,1,7:09.0,,J. Nelson enters the game for A. Afflalo,2,9
45,1,6:58.0,C. Joseph misses 2-pt jump shot from 8 ft,,2,9
46,1,6:57.0,,Defensive rebound by J. Nurkić,2,9
47,1,6:49.0,,Shooting foul by T. Duncan (drawn by K. Faried),2,9
48,1,6:49.0,,K. Faried makes free throw 1 of 2,2,10
49,1,6:49.0,,K. Faried misses free throw 2 of 2,2,10
50,1,6:47.0,Defensive rebound by A. Baynes,,2,10
51,1,6:33.0,A. Baynes makes 2-pt hook shot from 6 ft (assist by P. Mills),,4,10
52,1,6:33.0,Shooting foul by J. Nurkić (drawn by A. Baynes),,4,10
53,1,6:33.0,A. Baynes makes free throw 1 of 1,,5,10
54,1,6:16.0,,Turnover by J. Nelson (lost ball; steal by T. Duncan),5,10
55,1,6:02.0,A. Baynes makes 2-pt jump shot from 18 ft (assist by M. Ginóbili),,7,10
56,1,5:51.0,,K. Faried misses 2-pt layup from 2 ft,7,10
57,1,5:50.0,,Offensive rebound by J. Nurkić,7,10
58,1,5:49.0,,J. Nurkić makes 2-pt layup at rim,7,12
59,1,5:48.0,Turnover by A. Baynes (bad pass; steal by T. Lawson),,7,12
60,1,5:47.0,,K. Faried misses 2-pt layup from 2 ft (block by A. Baynes),7,12
61,1,5:46.0,Defensive rebound by A. Baynes,,7,12
62,1,5:39.0,Turnover by C. Joseph (lost ball),,7,12
63,1,5:20.0,,J. Nelson misses 2-pt jump shot from 22 ft,7,12
64,1,5:19.0,,Offensive rebound by J. Nurkić,7,12
65,1,5:15.0,,J. Nurkić misses 2-pt jump shot from 3 ft,7,12
66,1,5:13.0,,Offensive rebound by J. Nurkić,7,12
67,1,5:13.0,,J. Nurkić makes 2-pt tip-in from 2 ft,7,14
68,1,5:00.0,M. Ginóbili misses 2-pt layup from 1 ft,,7,14
69,1,5:00.0,,Defensive rebound by K. Faried,7,14
70,1,5:00.0,Loose ball foul by A. Baynes (drawn by K. Faried),,7,14
71,1,5:00.0,B. Diaw enters the game for T. Duncan,,7,14
72,1,4:42.0,,Turnover by J. Nelson (step out of bounds),7,14
