,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,WASHINGTON_ACTION,SACRAMENTO_SCORE,WASHINGTON_SCORE
0,1,11:43.0,,Turnover by D. Gooden (bad pass; steal by B. McLemore),0,0
1,1,11:40.0,Shooting foul by D. Gooden (drawn by B. McLemore),,0,0
2,1,11:40.0,B. McLemore makes free throw 1 of 2,,1,0
3,1,11:40.0,B. McLemore makes free throw 2 of 2,,2,0
4,1,11:25.0,,D. Gooden misses 2-pt jump shot from 19 ft,2,0
5,1,11:24.0,Defensive rebound by R. McCallum,,2,0
6,1,11:17.0,Turnover by O. Casspi (lost ball; steal by D. Gooden),,2,0
7,1,11:06.0,,M. Gortat makes 2-pt jump shot from 6 ft,2,2
8,1,10:44.0,D. Cousins makes 2-pt jump shot from 20 ft,,4,2
9,1,10:31.0,,B. Beal misses 2-pt jump shot from 20 ft,4,2
10,1,10:30.0,Defensive rebound by R. McCallum,,4,2
11,1,10:19.0,D. Cousins makes 2-pt jump shot from 21 ft (assist by R. McCallum),,6,2
12,1,9:58.0,,P. Pierce misses 3-pt jump shot from 24 ft,6,2
13,1,9:57.0,,Offensive rebound by M. Gortat,6,2
14,1,9:52.0,,M. Gortat makes 2-pt jump shot from 9 ft,6,4
15,1,9:38.0,D. Cousins makes 2-pt jump shot from 22 ft (assist by R. McCallum),,8,4
16,1,9:12.0,,M. Gortat misses 2-pt jump shot from 10 ft,8,4
17,1,9:11.0,Defensive rebound by B. McLemore,,8,4
18,1,9:05.0,B. McLemore misses 3-pt jump shot from 25 ft,,8,4
19,1,9:03.0,,Defensive rebound by D. Gooden,8,4
20,1,8:51.0,Violation by B. McLemore (kicked ball),,8,4
21,1,8:46.0,,B. Beal misses 2-pt jump shot from 17 ft,8,4
22,1,8:45.0,,Offensive rebound by D. Gooden,8,4
23,1,8:42.0,,Personal foul by D. Cousins (drawn by D. Gooden),8,4
24,1,8:28.0,,D. Gooden misses 3-pt jump shot from 25 ft,8,4
