,QUARTER,TIME_REMAINING,MIAMI_ACTION,CHARLOTTE_ACTION,MIAMI_SCORE,CHARLOTTE_SCORE
0,1,11:38.0,,A. Jefferson misses 2-pt jump shot from 13 ft,0,0
1,1,11:37.0,Defensive rebound by L. Deng,,0,0
2,1,11:27.0,D. Wade misses 2-pt jump shot from 14 ft,,0,0
3,1,11:26.0,,Defensive rebound by M. Williams,0,0
4,1,11:11.0,,G. Henderson makes 2-pt dunk at rim (assist by A. Jefferson),0,2
5,1,10:49.0,Turnover by C. Bosh (lost ball; steal by K. Walker),,0,2
6,1,10:29.0,,A. Jefferson misses 2-pt layup from 1 ft,0,2
7,1,10:28.0,Defensive rebound by C. Bosh,,0,2
8,1,10:20.0,S. Williams makes 3-pt jump shot from 22 ft (assist by N. Cole),,3,2
9,1,10:05.0,,L. Stephenson misses 2-pt jump shot from 3 ft,3,2
10,1,10:03.0,,Offensive rebound by Team,3,2
11,1,9:56.0,,L. Stephenson misses 3-pt jump shot from 25 ft,3,2
12,1,9:55.0,Defensive rebound by C. Bosh,,3,2
13,1,9:43.0,L. Deng misses 2-pt layup from 2 ft (block by A. Jefferson),,3,2
14,1,9:43.0,,Defensive rebound by Team,3,2
15,1,9:32.0,,Personal foul by S. Williams (drawn by A. Jefferson),3,2
16,1,9:20.0,,Turnover by A. Jefferson (bad pass; steal by L. Deng),3,2
17,1,9:11.0,N. Cole misses 2-pt jump shot from 20 ft,,3,2
18,1,9:10.0,,Defensive rebound by L. Stephenson,3,2
19,1,9:04.0,,A. Jefferson makes 2-pt jump shot from 7 ft (assist by G. Henderson),3,4
20,1,8:43.0,C. Bosh misses 2-pt jump shot from 17 ft,,3,4
21,1,8:42.0,,Defensive rebound by G. Henderson,3,4
22,1,8:27.0,,A. Jefferson makes 2-pt jump shot from 8 ft (assist by G. Henderson),3,6
23,1,8:10.0,D. Wade misses 2-pt jump shot from 6 ft (block by A. Jefferson),,3,6
24,1,8:08.0,,Defensive rebound by M. Williams,3,6
