,QUARTER,TIME_REMAINING,INDIANA_ACTION,BROOKLYN_ACTION,INDIANA_SCORE,BROOKLYN_SCORE
0,1,11:40.0,G. Hill makes 2-pt jump shot from 12 ft (assist by R. Stuckey),,2,0
1,1,11:28.0,,Turnover by J. Johnson (bad pass; steal by R. Stuckey),2,0
2,1,11:20.0,R. Hibbert misses 2-pt layup from 2 ft (block by M. Plumlee),,2,0
3,1,11:18.0,,Defensive rebound by K. Garnett,2,0
4,1,11:09.0,,K. Garnett makes 2-pt jump shot from 18 ft,2,2
5,1,10:47.0,R. Stuckey makes 2-pt jump shot from 19 ft,,4,2
6,1,10:29.0,,S. Karasev makes 3-pt jump shot from 24 ft (assist by J. Johnson),4,5
7,1,10:03.0,R. Stuckey misses 2-pt jump shot from 22 ft,,4,5
8,1,10:02.0,,Defensive rebound by J. Johnson,4,5
9,1,9:58.0,,Shooting foul by G. Hill (drawn by M. Plumlee),4,5
10,1,9:58.0,,M. Plumlee makes free throw 1 of 2,4,6
11,1,9:58.0,,M. Plumlee makes free throw 2 of 2,4,7
12,1,9:47.0,D. West misses 2-pt layup from 3 ft,,4,7
13,1,9:46.0,,Defensive rebound by M. Plumlee,4,7
14,1,9:38.0,,J. Jack makes 2-pt jump shot from 21 ft,4,9
15,1,9:18.0,S. Hill misses 2-pt jump shot from 12 ft,,4,9
16,1,9:17.0,,Defensive rebound by M. Plumlee,4,9
17,1,9:07.0,,J. Johnson makes 2-pt jump shot from 21 ft,4,11
18,1,8:53.0,Personal foul by K. Garnett (drawn by D. West),,4,11
19,1,8:39.0,D. West misses 2-pt jump shot from 18 ft,,4,11
20,1,8:38.0,,Defensive rebound by M. Plumlee,4,11
21,1,8:30.0,,K. Garnett misses 2-pt jump shot from 15 ft,4,11
22,1,8:28.0,Defensive rebound by R. Hibbert,,4,11
23,1,8:22.0,R. Stuckey makes 2-pt layup from 3 ft,,6,11
24,1,8:05.0,,J. Jack makes 2-pt jump shot from 14 ft,6,13
25,1,7:48.0,G. Hill misses 2-pt jump shot from 18 ft,,6,13
26,1,7:47.0,,Defensive rebound by S. Karasev,6,13
27,1,7:39.0,,Personal foul by S. Hill (drawn by J. Johnson),6,13
28,1,7:29.0,,J. Johnson misses 2-pt jump shot from 15 ft,6,13
29,1,7:28.0,Defensive rebound by R. Stuckey,,6,13
30,1,7:25.0,Personal foul by S. Karasev (drawn by R. Stuckey),,6,13
31,1,7:15.0,G. Hill makes 2-pt layup from 1 ft (assist by R. Stuckey),,8,13
32,1,7:02.0,,M. Plumlee misses 2-pt layup from 1 ft (block by D. West),8,13
33,1,7:00.0,Defensive rebound by G. Hill,,8,13
34,1,6:54.0,Personal foul by K. Garnett (drawn by D. West),,8,13
35,1,6:54.0,Technical foul by D. West,,8,13
36,1,6:54.0,,J. Jack makes technical free throw,8,14
37,1,6:54.0,,B. Lopez enters the game for K. Garnett,8,14
38,1,6:43.0,G. Hill makes 3-pt jump shot from 22 ft (assist by S. Hill),,11,14
39,1,6:33.0,,J. Johnson makes 3-pt jump shot from 25 ft,11,17
40,1,6:23.0,Personal foul by M. Plumlee (drawn by D. West),,11,17
41,1,6:09.0,Shooting foul by S. Karasev (drawn by R. Stuckey),,11,17
42,1,6:09.0,R. Stuckey misses free throw 1 of 2,,11,17
43,1,6:09.0,Offensive rebound by Team,,11,17
44,1,6:09.0,,A. Anderson enters the game for S. Karasev,11,17
45,1,6:09.0,R. Stuckey misses free throw 2 of 2,,11,17
46,1,6:08.0,,Defensive rebound by B. Lopez,11,17
47,1,5:53.0,,J. Jack makes 2-pt jump shot from 8 ft,11,19
48,1,5:29.0,R. Hibbert makes 2-pt jump shot from 19 ft (assist by S. Hill),,13,19
49,1,5:06.0,,B. Lopez misses 2-pt jump shot from 17 ft,13,19
50,1,5:05.0,Defensive rebound by G. Hill,,13,19
51,1,4:55.0,G. Hill misses 2-pt jump shot from 5 ft,,13,19
52,1,4:54.0,Offensive rebound by G. Hill,,13,19
53,1,4:44.0,R. Hibbert makes 2-pt hook shot from 7 ft (assist by G. Hill),,15,19
54,1,4:23.0,,A. Anderson misses 3-pt jump shot from 23 ft,15,19
