,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PHOENIX_ACTION,CLEVELAND_SCORE,PHOENIX_SCORE
0,1,11:31.0,,P. Tucker misses 3-pt jump shot from 23 ft,0,0
1,1,11:29.0,Defensive rebound by T. Mozgov,,0,0
2,1,11:15.0,K. Love misses 2-pt hook shot from 9 ft,,0,0
3,1,11:11.0,,Defensive rebound by P. Tucker,0,0
4,1,11:04.0,,A. Len makes 2-pt layup at rim (assist by G. Dragić),0,2
5,1,10:40.0,Turnover by T. Mozgov (traveling),,0,2
6,1,10:23.0,,Turnover by G. Dragić (bad pass; steal by L. James),0,2
7,1,10:11.0,Personal foul by P. Tucker (drawn by L. James),,0,2
8,1,10:07.0,J. Smith makes 2-pt jump shot from 17 ft (assist by L. James),,2,2
9,1,9:41.0,,G. Dragić misses 3-pt jump shot from 24 ft,2,2
10,1,9:39.0,Defensive rebound by L. James,,2,2
11,1,9:33.0,L. James misses 3-pt jump shot from 24 ft,,2,2
12,1,9:30.0,,Defensive rebound by M. Morris,2,2
13,1,9:23.0,,M. Morris makes 2-pt jump shot from 18 ft (assist by E. Bledsoe),2,4
14,1,9:00.0,Turnover by K. Irving (lost ball; steal by G. Dragić),,2,4
15,1,8:57.0,,G. Dragić makes 2-pt layup at rim (assist by A. Len),2,6
16,1,8:39.0,K. Irving misses 3-pt jump shot from 23 ft,,2,6
17,1,8:37.0,Offensive rebound by K. Love,,2,6
18,1,8:32.0,Turnover by K. Love (traveling),,2,6
19,1,8:17.0,,M. Morris misses 2-pt jump shot from 14 ft,2,6
20,1,8:14.0,Defensive rebound by T. Mozgov,,2,6
21,1,7:59.0,L. James makes 2-pt dunk at rim,,4,6
22,1,7:46.0,,G. Dragić makes 2-pt layup at rim (assist by E. Bledsoe),4,8
23,1,7:31.0,Turnover by L. James (lost ball; steal by E. Bledsoe),,4,8
24,1,7:27.0,,Shooting foul by J. Smith (drawn by G. Dragić),4,8
25,1,7:27.0,,G. Dragić misses free throw 1 of 2,4,8
26,1,7:27.0,,Offensive rebound by Team,4,8
27,1,7:27.0,,G. Dragić makes free throw 2 of 2,4,9
28,1,7:16.0,L. James misses 2-pt layup from 1 ft,,4,9
29,1,7:16.0,Offensive rebound by Team,,4,9
30,1,7:07.0,L. James makes 3-pt jump shot from 28 ft,,7,9
31,1,6:50.0,,Shooting foul by T. Mozgov (drawn by A. Len),7,9
32,1,6:50.0,,A. Len makes free throw 1 of 2,7,10
33,1,6:50.0,,A. Len misses free throw 2 of 2,7,10
34,1,6:49.0,Defensive rebound by K. Love,,7,10
35,1,6:37.0,K. Love makes 3-pt jump shot from 24 ft (assist by L. James),,10,10
36,1,6:22.0,,Turnover by E. Bledsoe (bad pass; steal by J. Smith),10,10
37,1,6:18.0,Shooting foul by E. Bledsoe (drawn by L. James),,10,10
38,1,6:18.0,L. James misses free throw 1 of 2,,10,10
39,1,6:18.0,Offensive rebound by Team,,10,10
40,1,6:18.0,L. James makes free throw 2 of 2,,11,10
41,1,6:14.0,,Phoenix full timeout,11,10
42,1,6:14.0,S. Marion enters the game for L. James,,11,10
43,1,6:03.0,,M. Morris misses 2-pt jump shot from 15 ft,11,10
44,1,6:01.0,Defensive rebound by S. Marion,,11,10
45,1,5:49.0,K. Love misses 3-pt jump shot from 25 ft,,11,10
46,1,5:47.0,,Defensive rebound by P. Tucker,11,10
47,1,5:35.0,,M. Morris makes 2-pt jump shot from 11 ft,11,12
48,1,5:26.0,Offensive foul by T. Mozgov (drawn by E. Bledsoe),,11,12
49,1,5:26.0,Turnover by T. Mozgov (offensive foul),,11,12
50,1,5:26.0,,I. Thomas enters the game for G. Dragić,11,12
51,1,5:26.0,,M. Morris enters the game for P. Tucker,11,12
52,1,5:26.0,T. Thompson enters the game for T. Mozgov,,11,12
