,QUARTER,TIME_REMAINING,INDIANA_ACTION,ATLANTA_ACTION,INDIANA_SCORE,ATLANTA_SCORE
0,1,11:40.0,,J. Teague makes 2-pt jump shot from 20 ft,0,2
1,1,11:21.0,R. Hibbert makes 2-pt dunk at rim (assist by S. Hill),,2,2
2,1,11:05.0,,D. Carroll makes 2-pt jump shot from 21 ft (assist by A. Horford),2,4
3,1,10:38.0,L. Scola misses 2-pt jump shot from 20 ft,,2,4
4,1,10:37.0,,Defensive rebound by Team,2,4
5,1,10:14.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by D. Carroll),2,7
6,1,9:48.0,C. Miles misses 3-pt jump shot from 23 ft,,2,7
7,1,9:47.0,,Defensive rebound by K. Korver,2,7
8,1,9:41.0,,J. Teague misses 2-pt layup from 2 ft,2,7
9,1,9:41.0,Defensive rebound by Team,,2,7
10,1,9:41.0,,Loose ball foul by A. Horford (drawn by R. Hibbert),2,7
11,1,9:29.0,C. Miles misses 3-pt jump shot from 25 ft,,2,7
12,1,9:27.0,Offensive rebound by L. Scola,,2,7
13,1,9:15.0,,Violation by P. Millsap (def goaltending),2,7
14,1,9:15.0,D. Sloan makes 2-pt layup from 1 ft (assist by R. Hibbert),,4,7
15,1,9:01.0,,J. Teague makes 2-pt jump shot from 19 ft (assist by A. Horford),4,9
16,1,8:38.0,R. Hibbert makes 2-pt layup from 1 ft (assist by D. Sloan),,6,9
17,1,8:33.0,,Shooting foul by D. Sloan (drawn by J. Teague),6,9
18,1,8:33.0,,J. Teague makes free throw 1 of 2,6,10
19,1,8:33.0,,J. Teague makes free throw 2 of 2,6,11
20,1,8:12.0,S. Hill misses 3-pt jump shot from 24 ft,,6,11
21,1,8:11.0,,Defensive rebound by Team,6,11
22,1,7:59.0,,D. Carroll misses 3-pt jump shot from 24 ft,6,11
23,1,7:58.0,Defensive rebound by L. Scola,,6,11
24,1,7:46.0,D. Sloan makes 3-pt jump shot from 24 ft (assist by C. Miles),,9,11
25,1,7:33.0,,Personal foul by C. Miles (drawn by D. Carroll),9,11
26,1,7:23.0,,A. Horford makes 2-pt jump shot from 19 ft (assist by J. Teague),9,13
27,1,7:08.0,L. Scola makes 2-pt jump shot from 18 ft (assist by S. Hill),,11,13
28,1,6:56.0,,Shooting foul by D. Sloan (drawn by J. Teague),11,13
29,1,6:56.0,,J. Teague makes free throw 1 of 2,11,14
30,1,6:56.0,,P. Antić enters the game for A. Horford,11,14
31,1,6:56.0,R. Stuckey enters the game for D. Sloan,,11,14
32,1,6:56.0,,J. Teague makes free throw 2 of 2,11,15
33,1,6:41.0,S. Hill misses 2-pt layup from 1 ft (block by P. Millsap),,11,15
34,1,6:39.0,,Defensive rebound by P. Millsap,11,15
35,1,6:35.0,Offensive charge foul by P. Millsap (drawn by L. Scola),,11,15
36,1,6:35.0,,Turnover by P. Millsap (offensive foul),11,15
37,1,6:24.0,L. Scola misses 2-pt jump shot from 18 ft,,11,15
38,1,6:23.0,,Defensive rebound by D. Carroll,11,15
39,1,5:59.0,,Turnover by Team (shot clock),11,15
40,1,5:59.0,,Atlanta full timeout,11,15
41,1,5:41.0,Turnover by C. Miles (bad pass; steal by D. Carroll),,11,15
42,1,5:17.0,,J. Teague misses 2-pt layup from 1 ft,11,15
43,1,5:15.0,Defensive rebound by L. Scola,,11,15
44,1,5:07.0,C. Miles misses 2-pt hook shot from 5 ft,,11,15
45,1,5:06.0,,Defensive rebound by D. Carroll,11,15
46,1,4:55.0,,P. Millsap misses 3-pt jump shot from 25 ft,11,15
47,1,4:54.0,Defensive rebound by S. Hill,,11,15
48,1,4:34.0,Turnover by L. Scola (bad pass),,11,15
49,1,4:34.0,,K. Bazemore enters the game for K. Korver,11,15
50,1,4:24.0,,P. Millsap makes 2-pt jump shot from 16 ft (assist by J. Teague),11,17
51,1,4:03.0,R. Stuckey misses 2-pt jump shot from 18 ft (block by J. Teague),,11,17
52,1,4:02.0,,Defensive rebound by K. Bazemore,11,17
53,1,3:44.0,,P. Millsap makes 2-pt jump shot from 16 ft,11,19
54,1,3:31.0,Turnover by C. Miles (step out of bounds),,11,19
55,1,3:31.0,,T. Sefolosha enters the game for D. Carroll,11,19
56,1,3:31.0,C. Copeland enters the game for S. Hill,,11,19
57,1,3:16.0,,J. Teague makes 3-pt jump shot from 25 ft (assist by P. Millsap),11,22
58,1,3:15.0,Indiana full timeout,,11,22
59,1,3:15.0,L. Allen enters the game for L. Scola,,11,22
60,1,3:05.0,C. Copeland misses 2-pt jump shot from 15 ft,,11,22
61,1,3:03.0,Offensive rebound by R. Hibbert,,11,22
62,1,3:03.0,Shooting foul by P. Antić (drawn by R. Hibbert),,11,22
63,1,3:03.0,R. Hibbert makes free throw 1 of 2,,12,22
64,1,3:03.0,R. Hibbert makes free throw 2 of 2,,13,22
65,1,2:49.0,,T. Sefolosha misses 2-pt jump shot from 5 ft,13,22
66,1,2:48.0,Defensive rebound by R. Hibbert,,13,22
67,1,2:36.0,C. Miles misses 2-pt jump shot from 13 ft (block by T. Sefolosha),,13,22
68,1,2:34.0,,Defensive rebound by T. Sefolosha,13,22
69,1,2:32.0,,Turnover by K. Bazemore (lost ball; steal by R. Stuckey),13,22
70,1,2:25.0,,Offensive charge foul by R. Stuckey (drawn by P. Antić),13,22
71,1,2:25.0,Turnover by R. Stuckey (offensive foul),,13,22
72,1,2:25.0,,S. Mack enters the game for P. Millsap,13,22
73,1,2:25.0,,M. Scott enters the game for J. Teague,13,22
74,1,2:06.0,,T. Sefolosha misses 3-pt jump shot from 23 ft,13,22
75,1,2:05.0,Defensive rebound by C. Miles,,13,22
76,1,1:53.0,R. Hibbert misses 2-pt jump shot from 19 ft,,13,22
77,1,1:52.0,,Defensive rebound by S. Mack,13,22
78,1,1:36.0,,S. Mack misses 3-pt jump shot from 25 ft,13,22
