,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,WASHINGTON_ACTION,LA CLIPPERS_SCORE,WASHINGTON_SCORE
0,1,11:45.0,,P. Pierce makes 2-pt jump shot from 19 ft (assist by J. Wall),0,2
1,1,11:29.0,M. Barnes makes 2-pt jump shot from 6 ft,,2,2
2,1,11:14.0,,Offensive foul by K. Humphries (drawn by J. Redick),2,2
3,1,11:14.0,,Turnover by K. Humphries (offensive foul),2,2
4,1,10:52.0,M. Barnes misses 3-pt jump shot from 26 ft,,2,2
5,1,10:51.0,,Defensive rebound by M. Gortat,2,2
6,1,10:40.0,,M. Gortat makes 2-pt jump shot from 17 ft (assist by K. Humphries),2,4
7,1,10:14.0,C. Paul misses 3-pt jump shot from 23 ft,,2,4
8,1,10:12.0,,Defensive rebound by P. Pierce,2,4
9,1,10:06.0,,P. Pierce misses 2-pt layup at rim,2,4
10,1,10:05.0,,Offensive rebound by K. Humphries,2,4
11,1,10:05.0,,K. Humphries misses 2-pt layup from 2 ft,2,4
12,1,10:05.0,,Offensive rebound by Team,2,4
13,1,10:05.0,Loose ball foul by B. Griffin (drawn by M. Gortat),,2,4
14,1,9:59.0,,K. Humphries makes 2-pt jump shot from 21 ft (assist by B. Beal),2,6
15,1,9:41.0,B. Griffin misses 2-pt jump shot from 20 ft,,2,6
16,1,9:40.0,,Defensive rebound by J. Wall,2,6
17,1,9:28.0,,K. Humphries makes 2-pt dunk at rim (assist by J. Wall),2,8
18,1,8:58.0,D. Jordan makes 2-pt dunk at rim (assist by M. Barnes),,4,8
19,1,8:35.0,,Shooting foul by D. Jordan (drawn by M. Gortat),4,8
20,1,8:35.0,,M. Gortat makes free throw 1 of 2,4,9
21,1,8:35.0,,M. Gortat makes free throw 2 of 2,4,10
22,1,8:25.0,M. Barnes misses 3-pt jump shot from 23 ft,,4,10
23,1,8:23.0,Offensive rebound by D. Jordan,,4,10
24,1,8:19.0,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Griffin),,7,10
25,1,8:06.0,,B. Beal makes 2-pt jump shot from 6 ft (assist by J. Wall),7,12
26,1,7:53.0,C. Paul misses 2-pt jump shot from 11 ft (block by M. Gortat),,7,12
27,1,7:51.0,Offensive rebound by D. Jordan,,7,12
28,1,7:45.0,Turnover by D. Jordan (lost ball; steal by K. Humphries),,7,12
29,1,7:41.0,,K. Humphries misses 2-pt jump shot from 14 ft,7,12
30,1,7:41.0,Defensive rebound by Team,,7,12
31,1,7:41.0,,Loose ball foul by M. Gortat (drawn by B. Griffin),7,12
32,1,7:41.0,LA Clippers full timeout,,7,12
33,1,7:26.0,D. Jordan makes 2-pt layup from 2 ft (assist by C. Paul),,9,12
