,QUARTER,TIME_REMAINING,ORLANDO_ACTION,GOLDEN STATE_ACTION,ORLANDO_SCORE,GOLDEN STATE_SCORE
0,1,11:42.0,,D. Green misses 3-pt jump shot from 23 ft,0,0
1,1,11:41.0,Defensive rebound by T. Harris,,0,0
2,1,11:23.0,C. Frye misses 3-pt jump shot from 25 ft,,0,0
3,1,11:22.0,,Defensive rebound by K. Thompson,0,0
4,1,11:11.0,,D. Green misses 3-pt jump shot from 27 ft,0,0
5,1,11:10.0,Defensive rebound by C. Frye,,0,0
6,1,11:02.0,T. Harris misses 2-pt jump shot from 13 ft,,0,0
7,1,11:01.0,,Defensive rebound by S. Curry,0,0
8,1,10:53.0,,Shooting foul by K. O'Quinn (drawn by A. Bogut),0,0
9,1,10:53.0,,A. Bogut makes free throw 1 of 2,0,1
10,1,10:53.0,,A. Bogut misses free throw 2 of 2,0,1
11,1,10:52.0,,Offensive rebound by H. Barnes,0,1
12,1,10:45.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Curry),0,4
13,1,10:23.0,E. Fournier misses 2-pt layup from 2 ft,,0,4
14,1,10:22.0,,Defensive rebound by K. Thompson,0,4
15,1,10:17.0,,K. Thompson misses 3-pt jump shot from 27 ft,0,4
16,1,10:16.0,Defensive rebound by K. O'Quinn,,0,4
17,1,10:12.0,D. Dedmon enters the game for K. O'Quinn,,0,4
18,1,9:52.0,D. Dedmon makes 2-pt hook shot from 8 ft,,2,4
19,1,9:38.0,,S. Curry misses 3-pt jump shot from 23 ft,2,4
20,1,9:36.0,Defensive rebound by T. Harris,,2,4
21,1,9:29.0,T. Harris makes 2-pt layup from 2 ft,,4,4
22,1,9:16.0,,Turnover by D. Green (bad pass; steal by C. Frye),4,4
23,1,9:00.0,V. Oladipo makes 2-pt layup from 1 ft,,6,4
24,1,8:38.0,,D. Green makes 2-pt dunk at rim (assist by K. Thompson),6,6
25,1,8:13.0,C. Frye misses 2-pt jump shot from 15 ft,,6,6
26,1,8:12.0,,Defensive rebound by A. Bogut,6,6
27,1,8:01.0,,D. Green misses 3-pt jump shot from 22 ft,6,6
28,1,8:00.0,,Offensive rebound by A. Bogut,6,6
29,1,7:51.0,,D. Green misses 2-pt layup from 1 ft,6,6
30,1,7:50.0,Defensive rebound by C. Frye,,6,6
31,1,7:39.0,V. Oladipo makes 3-pt jump shot from 25 ft (assist by T. Harris),,9,6
32,1,7:17.0,,Turnover by S. Curry (bad pass),9,6
33,1,7:00.0,T. Harris makes 2-pt hook shot from 8 ft,,11,6
34,1,6:49.0,,S. Curry makes 2-pt layup from 2 ft,11,8
35,1,6:29.0,D. Dedmon makes 2-pt hook shot from 5 ft (assist by E. Fournier),,13,8
36,1,6:20.0,,Turnover by S. Curry (lost ball; steal by V. Oladipo),13,8
37,1,6:16.0,V. Oladipo makes 2-pt layup at rim,,15,8
38,1,6:09.0,,Golden State full timeout,15,8
39,1,6:09.0,,A. Iguodala enters the game for D. Green,15,8
40,1,6:04.0,,S. Curry misses 3-pt jump shot from 27 ft,15,8
41,1,6:03.0,,Offensive rebound by A. Bogut,15,8
42,1,5:59.0,,H. Barnes makes 2-pt dunk at rim (assist by A. Bogut),15,10
43,1,5:40.0,Shooting foul by K. Thompson (drawn by V. Oladipo),,15,10
44,1,5:40.0,V. Oladipo makes free throw 1 of 2,,16,10
45,1,5:40.0,E. Payton enters the game for D. Dedmon,,16,10
46,1,5:40.0,V. Oladipo makes free throw 2 of 2,,17,10
47,1,5:26.0,,A. Bogut makes 2-pt dunk at rim (assist by K. Thompson),17,12
48,1,5:03.0,V. Oladipo misses 3-pt jump shot from 23 ft,,17,12
49,1,5:01.0,,Defensive rebound by S. Curry,17,12
50,1,4:55.0,,H. Barnes misses 2-pt layup from 1 ft,17,12
51,1,4:54.0,Defensive rebound by C. Frye,,17,12
52,1,4:54.0,Personal foul by A. Bogut (drawn by C. Frye),,17,12
53,1,4:54.0,,M. Speights enters the game for A. Bogut,17,12
54,1,4:54.0,K. O'Quinn enters the game for C. Frye,,17,12
55,1,4:42.0,K. O'Quinn misses 2-pt hook shot from 7 ft,,17,12
56,1,4:41.0,,Defensive rebound by H. Barnes,17,12
57,1,4:28.0,,H. Barnes makes 2-pt dunk at rim (assist by A. Iguodala),17,14
58,1,4:19.0,Offensive foul by E. Payton (drawn by M. Speights),,17,14
59,1,4:19.0,Turnover by E. Payton (offensive foul),,17,14
60,1,4:19.0,,L. Barbosa enters the game for K. Thompson,17,14
61,1,4:06.0,,M. Speights makes 2-pt jump shot from 18 ft (assist by S. Curry),17,16
62,1,3:47.0,T. Harris misses 2-pt layup from 2 ft,,17,16
63,1,3:46.0,Offensive rebound by K. O'Quinn,,17,16
64,1,3:46.0,K. O'Quinn makes 2-pt layup from 2 ft,,19,16
65,1,3:46.0,Shooting foul by M. Speights (drawn by K. O'Quinn),,19,16
66,1,3:46.0,W. Green enters the game for V. Oladipo,,19,16
67,1,3:46.0,B. Gordon enters the game for E. Fournier,,19,16
68,1,3:46.0,K. O'Quinn makes free throw 1 of 1,,20,16
69,1,3:32.0,,M. Speights makes 2-pt layup from 1 ft (assist by S. Curry),20,18
70,1,3:26.0,Orlando full timeout,,20,18
71,1,3:26.0,C. Frye enters the game for T. Harris,,20,18
72,1,3:14.0,W. Green misses 2-pt jump shot from 9 ft,,20,18
73,1,3:13.0,,Defensive rebound by H. Barnes,20,18
74,1,3:06.0,,Shooting foul by B. Gordon (drawn by L. Barbosa),20,18
75,1,3:06.0,,L. Barbosa makes free throw 1 of 2,20,19
76,1,3:06.0,,L. Barbosa makes free throw 2 of 2,20,20
77,1,2:51.0,B. Gordon misses 2-pt jump shot from 13 ft,,20,20
78,1,2:50.0,,Defensive rebound by A. Iguodala,20,20
79,1,2:32.0,,M. Speights misses 2-pt jump shot from 9 ft,20,20
80,1,2:31.0,,Offensive rebound by H. Barnes,20,20
81,1,2:31.0,,H. Barnes makes 2-pt tip-in from 1 ft,20,22
82,1,2:31.0,,Shooting foul by B. Gordon (drawn by H. Barnes),20,22
83,1,2:31.0,,H. Barnes makes free throw 1 of 1,20,23
84,1,2:10.0,E. Payton makes 2-pt layup from 2 ft,,22,23
85,1,1:49.0,,Offensive foul by M. Speights (drawn by B. Gordon),22,23
86,1,1:49.0,,Turnover by M. Speights (offensive foul),22,23
87,1,1:35.0,K. O'Quinn makes 2-pt hook shot from 6 ft,,24,23
88,1,1:23.0,,S. Curry misses 2-pt layup from 2 ft,24,23
89,1,1:21.0,,Offensive rebound by M. Speights,24,23
90,1,1:21.0,,M. Speights misses 2-pt tip-in at rim,24,23
91,1,1:19.0,,Offensive rebound by H. Barnes,24,23
92,1,1:15.0,,Shooting foul by K. O'Quinn (drawn by H. Barnes),24,23
93,1,1:15.0,,H. Barnes misses free throw 1 of 2,24,23
94,1,1:15.0,,Offensive rebound by Team,24,23
95,1,1:15.0,,A. Bogut enters the game for M. Speights,24,23
96,1,1:15.0,,S. Livingston enters the game for S. Curry,24,23
97,1,1:15.0,,H. Barnes makes free throw 2 of 2,24,24
98,1,0:59.0,W. Green misses 2-pt jump shot from 23 ft,,24,24
99,1,0:58.0,,Defensive rebound by H. Barnes,24,24
100,1,0:41.0,,Turnover by A. Bogut (lost ball; steal by E. Payton),24,24
101,1,0:33.0,B. Gordon misses 3-pt jump shot from 26 ft,,24,24
102,1,0:32.0,Offensive rebound by E. Payton,,24,24
103,1,0:30.0,Shooting foul by A. Bogut (drawn by E. Payton),,24,24
104,1,0:30.0,E. Payton misses free throw 1 of 2,,24,24
105,1,0:30.0,Offensive rebound by Team,,24,24
106,1,0:30.0,V. Oladipo enters the game for K. O'Quinn,,24,24
107,1,0:30.0,E. Payton makes free throw 2 of 2,,25,24
108,1,0:11.0,,L. Barbosa misses 2-pt jump shot from 21 ft,25,24
109,1,0:10.0,Defensive rebound by W. Green,,25,24
110,1,0:01.0,C. Frye misses 3-pt jump shot from 26 ft,,25,24
111,1,0:00.0,Offensive rebound by Team,,25,24
112,2,11:44.0,E. Payton misses 2-pt jump shot from 12 ft,,25,24
113,2,11:43.0,,Defensive rebound by D. Green,25,24
114,2,11:31.0,,L. Barbosa misses 3-pt jump shot from 27 ft,25,24
115,2,11:30.0,Defensive rebound by V. Oladipo,,25,24
116,2,11:23.0,Shooting foul by S. Livingston (drawn by V. Oladipo),,25,24
117,2,11:23.0,V. Oladipo makes free throw 1 of 2,,26,24
118,2,11:23.0,V. Oladipo makes free throw 2 of 2,,27,24
119,2,11:11.0,,M. Speights makes 2-pt jump shot from 18 ft (assist by D. Green),27,26
120,2,10:53.0,B. Gordon makes 2-pt layup from 1 ft,,29,26
121,2,10:42.0,,Offensive foul by D. Green (drawn by W. Green),29,26
122,2,10:42.0,,Turnover by D. Green (offensive foul),29,26
123,2,10:42.0,,K. Thompson enters the game for L. Barbosa,29,26
124,2,10:31.0,E. Payton misses 3-pt jump shot from 23 ft,,29,26
125,2,10:30.0,,Defensive rebound by K. Thompson,29,26
126,2,10:14.0,,D. Green makes 2-pt layup from 1 ft (assist by A. Iguodala),29,28
127,2,9:56.0,W. Green misses 2-pt jump shot from 18 ft,,29,28
128,2,9:54.0,,Defensive rebound by M. Speights,29,28
129,2,9:49.0,,D. Green makes 2-pt layup from 1 ft (assist by M. Speights),29,30
130,2,9:42.0,Orlando full timeout,,29,30
131,2,9:42.0,K. O'Quinn enters the game for D. Dedmon,,29,30
132,2,9:42.0,E. Fournier enters the game for W. Green,,29,30
133,2,9:42.0,T. Harris enters the game for B. Gordon,,29,30
134,2,9:28.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by V. Oladipo),,32,30
135,2,9:08.0,,S. Livingston makes 2-pt jump shot from 13 ft (assist by M. Speights),32,32
136,2,8:52.0,V. Oladipo makes 2-pt jump shot from 18 ft,,34,32
137,2,8:31.0,,S. Livingston makes 2-pt jump shot from 13 ft (assist by D. Green),34,34
138,2,8:12.0,Turnover by K. O'Quinn (bad pass; steal by K. Thompson),,34,34
139,2,8:06.0,,A. Iguodala makes 2-pt dunk at rim (assist by K. Thompson),34,36
140,2,7:41.0,K. O'Quinn makes 2-pt layup from 1 ft (assist by T. Harris),,36,36
141,2,7:28.0,,M. Speights makes 2-pt jump shot from 18 ft (assist by K. Thompson),36,38
142,2,7:05.0,Personal foul by S. Livingston (drawn by T. Harris),,36,38
143,2,7:05.0,T. Harris makes free throw 1 of 2,,37,38
144,2,7:05.0,T. Harris makes free throw 2 of 2,,38,38
145,2,6:59.0,,Turnover by D. Green (bad pass),38,38
146,2,6:44.0,E. Payton misses 2-pt jump shot from 10 ft,,38,38
147,2,6:43.0,Offensive rebound by T. Harris,,38,38
148,2,6:41.0,T. Harris misses 2-pt jump shot from 3 ft,,38,38
149,2,6:39.0,Offensive rebound by K. O'Quinn,,38,38
150,2,6:35.0,E. Fournier misses 3-pt jump shot from 26 ft,,38,38
151,2,6:34.0,,Defensive rebound by S. Livingston,38,38
152,2,6:31.0,,Personal foul by E. Payton (drawn by S. Livingston),38,38
153,2,6:24.0,,Turnover by M. Speights (lost ball; steal by V. Oladipo),38,38
154,2,6:18.0,T. Harris makes 2-pt dunk at rim (assist by K. O'Quinn),,40,38
155,2,6:07.0,,Golden State full timeout,40,38
156,2,6:07.0,,S. Curry enters the game for A. Iguodala,40,38
