,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CHARLOTTE_ACTION,ORLANDO_SCORE,CHARLOTTE_SCORE
0,1,11:37.0,,L. Stephenson misses 2-pt jump shot from 17 ft,0,0
1,1,11:36.0,Defensive rebound by N. Vučević,,0,0
2,1,11:25.0,N. Vučević makes 2-pt jump shot from 9 ft (assist by V. Oladipo),,2,0
3,1,11:17.0,,Personal foul by C. Frye (drawn by A. Jefferson),2,0
4,1,11:09.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by L. Stephenson),2,3
5,1,10:44.0,N. Vučević misses 2-pt jump shot from 17 ft,,2,3
6,1,10:43.0,,Defensive rebound by A. Jefferson,2,3
7,1,10:35.0,,A. Jefferson makes 2-pt dunk at rim (assist by K. Walker),2,5
8,1,10:19.0,V. Oladipo misses 2-pt jump shot from 18 ft,,2,5
9,1,10:18.0,,Defensive rebound by M. Williams,2,5
10,1,10:04.0,,K. Walker makes 2-pt layup from 1 ft,2,7
11,1,9:51.0,V. Oladipo misses 2-pt jump shot from 18 ft,,2,7
12,1,9:50.0,,Defensive rebound by K. Walker,2,7
13,1,9:41.0,,M. Williams misses 3-pt jump shot from 25 ft,2,7
14,1,9:40.0,Defensive rebound by T. Harris,,2,7
15,1,9:30.0,Turnover by T. Harris (bad pass),,2,7
16,1,9:30.0,Loose ball foul by C. Frye (drawn by K. Walker),,2,7
17,1,9:30.0,A. Nicholson enters the game for C. Frye,,2,7
18,1,9:14.0,,A. Jefferson misses 2-pt hook shot from 15 ft,2,7
19,1,9:12.0,Defensive rebound by T. Harris,,2,7
20,1,9:01.0,Turnover by N. Vučević (bad pass),,2,7
21,1,8:47.0,,M. Williams misses 3-pt jump shot from 24 ft,2,7
22,1,8:46.0,Defensive rebound by E. Fournier,,2,7
23,1,8:40.0,E. Fournier makes 2-pt layup from 2 ft,,4,7
24,1,8:40.0,Shooting foul by A. Jefferson (drawn by E. Fournier),,4,7
25,1,8:40.0,E. Fournier makes free throw 1 of 1,,5,7
26,1,8:25.0,,A. Jefferson makes 2-pt layup at rim (assist by K. Walker),5,9
27,1,8:18.0,Orlando full timeout,,5,9
28,1,8:05.0,T. Harris misses 2-pt jump shot from 7 ft,,5,9
