,QUARTER,TIME_REMAINING,PORTLAND_ACTION,CHICAGO_ACTION,PORTLAND_SCORE,CHICAGO_SCORE
0,1,11:43.0,,P. Gasol misses 2-pt jump shot from 11 ft,0,0
1,1,11:42.0,Defensive rebound by D. Lillard,,0,0
2,1,11:27.0,R. Lopez misses 2-pt jump shot from 16 ft,,0,0
3,1,11:25.0,,Defensive rebound by P. Gasol,0,0
4,1,11:09.0,,J. Butler misses 2-pt jump shot from 21 ft,0,0
5,1,11:08.0,Defensive rebound by D. Lillard,,0,0
6,1,10:54.0,L. Aldridge makes 2-pt jump shot from 16 ft,,2,0
7,1,10:37.0,,P. Gasol makes 2-pt hook shot from 6 ft,2,2
8,1,10:16.0,N. Batum misses 2-pt jump shot from 20 ft,,2,2
9,1,10:15.0,Offensive rebound by R. Lopez,,2,2
10,1,10:15.0,R. Lopez misses 2-pt tip-in from 2 ft,,2,2
11,1,10:14.0,Offensive rebound by R. Lopez,,2,2
12,1,10:11.0,L. Aldridge makes 2-pt jump shot from 8 ft (assist by R. Lopez),,4,2
13,1,10:06.0,,Chicago full timeout,4,2
14,1,10:06.0,,K. Hinrich enters the game for M. Dunleavy,4,2
15,1,9:56.0,,P. Gasol misses 2-pt jump shot from 6 ft (block by W. Matthews),4,2
16,1,9:56.0,,Offensive rebound by Team,4,2
17,1,9:55.0,,Turnover by P. Gasol (bad pass),4,2
18,1,9:36.0,L. Aldridge makes 2-pt jump shot from 11 ft,,6,2
19,1,9:21.0,,D. Rose makes 2-pt jump shot from 4 ft,6,4
20,1,9:21.0,,Shooting foul by D. Lillard (drawn by D. Rose),6,4
21,1,9:21.0,,D. Rose makes free throw 1 of 1,6,5
22,1,9:02.0,L. Aldridge misses 2-pt jump shot from 15 ft,,6,5
23,1,9:01.0,,Defensive rebound by D. Rose,6,5
24,1,8:56.0,,D. Rose makes 2-pt layup from 1 ft,6,7
25,1,8:42.0,W. Matthews makes 2-pt jump shot from 9 ft,,8,7
26,1,8:27.0,,D. Rose makes 2-pt jump shot from 13 ft,8,9
27,1,8:08.0,L. Aldridge makes 2-pt jump shot from 16 ft (assist by D. Lillard),,10,9
28,1,7:44.0,,D. Rose makes 2-pt jump shot from 9 ft,10,11
29,1,7:29.0,D. Lillard misses 3-pt jump shot from 24 ft,,10,11
30,1,7:28.0,Offensive rebound by L. Aldridge,,10,11
31,1,7:27.0,L. Aldridge makes 2-pt dunk at rim,,12,11
32,1,7:11.0,,D. Rose misses 2-pt jump shot from 19 ft,12,11
33,1,7:10.0,Defensive rebound by W. Matthews,,12,11
34,1,7:00.0,L. Aldridge makes 3-pt jump shot from 24 ft (assist by D. Lillard),,15,11
35,1,6:52.0,,Chicago full timeout,15,11
36,1,6:52.0,,M. Dunleavy enters the game for K. Hinrich,15,11
37,1,6:43.0,,D. Rose misses 2-pt jump shot from 12 ft,15,11
38,1,6:42.0,,Offensive rebound by P. Gasol,15,11
39,1,6:42.0,,P. Gasol makes 2-pt layup from 1 ft,15,13
40,1,6:22.0,N. Batum misses 3-pt jump shot from 22 ft,,15,13
41,1,6:20.0,,Defensive rebound by P. Gasol,15,13
42,1,6:07.0,,Turnover by T. Gibson (lost ball; steal by L. Aldridge),15,13
43,1,6:04.0,Turnover by D. Lillard (bad pass),,15,13
44,1,5:52.0,,Shooting foul by R. Lopez (drawn by P. Gasol),15,13
45,1,5:52.0,,P. Gasol misses free throw 1 of 2,15,13
46,1,5:52.0,,Offensive rebound by Team,15,13
47,1,5:52.0,S. Blake enters the game for W. Matthews,,15,13
48,1,5:52.0,,P. Gasol makes free throw 2 of 2,15,14
49,1,5:37.0,N. Batum misses 3-pt jump shot from 23 ft,,15,14
