,QUARTER,TIME_REMAINING,ORLANDO_ACTION,NEW YORK_ACTION,ORLANDO_SCORE,NEW YORK_SCORE
0,1,11:43.0,,I. Shumpert misses 2-pt jump shot from 8 ft,0,0
1,1,11:42.0,,Offensive rebound by Q. Acy,0,0
2,1,11:23.0,,C. Anthony makes 2-pt jump shot from 23 ft (assist by S. Larkin),0,2
3,1,10:59.0,E. Fournier makes 3-pt jump shot from 24 ft (assist by N. Vučević),,3,2
4,1,10:45.0,,S. Dalembert misses 2-pt jump shot from 14 ft,3,2
5,1,10:44.0,Defensive rebound by T. Harris,,3,2
6,1,10:21.0,Shooting foul by I. Shumpert (drawn by E. Fournier),,3,2
7,1,10:21.0,E. Fournier makes free throw 1 of 2,,4,2
8,1,10:21.0,E. Fournier makes free throw 2 of 2,,5,2
9,1,10:02.0,,I. Shumpert makes 2-pt dunk at rim (assist by S. Dalembert),5,4
10,1,9:36.0,N. Vučević misses 2-pt hook shot from 4 ft (block by S. Dalembert),,5,4
11,1,9:35.0,,Defensive rebound by Q. Acy,5,4
12,1,9:29.0,,I. Shumpert makes 2-pt jump shot from 14 ft,5,6
13,1,9:27.0,,Violation by Team (delay of game),5,6
14,1,9:20.0,Personal foul by S. Larkin (drawn by C. Frye),,5,6
15,1,9:08.0,N. Vučević makes 2-pt jump shot from 17 ft (assist by T. Harris),,7,6
16,1,8:51.0,,I. Shumpert misses 2-pt jump shot from 18 ft,7,6
17,1,8:50.0,,Offensive rebound by Q. Acy,7,6
18,1,8:39.0,,Personal foul by T. Harris (drawn by C. Anthony),7,6
19,1,8:34.0,,S. Larkin makes 2-pt jump shot from 19 ft (assist by Q. Acy),7,8
20,1,8:24.0,N. Vučević makes 2-pt jump shot from 18 ft (assist by E. Payton),,9,8
21,1,8:15.0,,Personal foul by E. Fournier (drawn by I. Shumpert),9,8
22,1,8:09.0,,Shooting foul by E. Payton (drawn by S. Larkin),9,8
23,1,8:09.0,,S. Larkin makes free throw 1 of 2,9,9
24,1,8:09.0,,S. Larkin makes free throw 2 of 2,9,10
25,1,7:52.0,T. Harris misses 2-pt jump shot from 13 ft,,9,10
26,1,7:51.0,Offensive rebound by N. Vučević,,9,10
27,1,7:48.0,E. Fournier misses 3-pt jump shot from 26 ft,,9,10
28,1,7:47.0,,Defensive rebound by Q. Acy,9,10
29,1,7:30.0,,Turnover by Q. Acy (bad pass; steal by E. Fournier),9,10
30,1,7:26.0,Shooting foul by Q. Acy (drawn by E. Fournier),,9,10
31,1,7:26.0,E. Fournier makes free throw 1 of 2,,10,10
32,1,7:26.0,E. Fournier misses free throw 2 of 2,,10,10
33,1,7:26.0,,Defensive rebound by I. Shumpert,10,10
34,1,7:07.0,,Q. Acy makes 2-pt jump shot from 19 ft (assist by S. Dalembert),10,12
35,1,6:51.0,Shooting foul by C. Anthony (drawn by T. Harris),,10,12
36,1,6:51.0,T. Harris misses free throw 1 of 2,,10,12
37,1,6:51.0,Offensive rebound by Team,,10,12
38,1,6:51.0,T. Harris makes free throw 2 of 2,,11,12
39,1,6:33.0,,S. Larkin misses 2-pt jump shot from 7 ft,11,12
40,1,6:32.0,,Offensive rebound by S. Dalembert,11,12
41,1,6:27.0,,Turnover by Team (shot clock),11,12
42,1,6:17.0,E. Fournier makes 2-pt dunk at rim (assist by E. Payton),,13,12
43,1,6:03.0,,I. Shumpert makes 2-pt jump shot from 18 ft,13,14
44,1,5:53.0,E. Fournier makes 3-pt jump shot from 24 ft (assist by C. Frye),,16,14
45,1,5:41.0,,Def 3 sec tech foul by N. Vučević,16,14
46,1,5:41.0,,New York full timeout,16,14
47,1,5:41.0,,C. Anthony makes technical free throw,16,15
48,1,5:38.0,,Personal foul by T. Harris (drawn by C. Anthony),16,15
49,1,5:38.0,A. Gordon enters the game for T. Harris,,16,15
50,1,5:31.0,,S. Larkin misses 2-pt jump shot from 12 ft,16,15
51,1,5:30.0,Defensive rebound by C. Frye,,16,15
52,1,5:11.0,Shooting foul by I. Shumpert (drawn by A. Gordon),,16,15
53,1,5:11.0,A. Gordon makes free throw 1 of 2,,17,15
54,1,5:11.0,A. Nicholson enters the game for N. Vučević,,17,15
55,1,5:11.0,,J. Smith enters the game for I. Shumpert,17,15
56,1,5:11.0,,A. Stoudemire enters the game for S. Dalembert,17,15
57,1,5:11.0,A. Gordon makes free throw 2 of 2,,18,15
58,1,4:50.0,,C. Anthony makes 2-pt jump shot from 19 ft,18,17
59,1,4:28.0,C. Frye misses 3-pt jump shot from 23 ft,,18,17
60,1,4:27.0,,Defensive rebound by C. Anthony,18,17
61,1,4:21.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by S. Larkin),18,20
62,1,4:09.0,E. Payton misses 2-pt layup from 3 ft (block by C. Anthony),,18,20
63,1,4:08.0,Offensive rebound by Team,,18,20
64,1,4:02.0,A. Nicholson makes 2-pt jump shot from 19 ft (assist by E. Payton),,20,20
65,1,3:50.0,,Personal foul by A. Gordon (drawn by C. Anthony),20,20
66,1,3:50.0,,C. Anthony makes free throw 1 of 2,20,21
67,1,3:50.0,,C. Anthony makes free throw 2 of 2,20,22
68,1,3:32.0,E. Fournier makes 2-pt jump shot from 18 ft (assist by E. Payton),,22,22
69,1,3:12.0,,Turnover by C. Anthony (bad pass; steal by E. Fournier),22,22
70,1,2:55.0,E. Fournier makes 2-pt layup from 2 ft,,24,22
71,1,2:48.0,,S. Larkin makes 3-pt jump shot from 24 ft (assist by J. Smith),24,25
72,1,2:41.0,Orlando full timeout,,24,25
73,1,2:41.0,L. Ridnour enters the game for E. Fournier,,24,25
74,1,2:41.0,W. Green enters the game for E. Payton,,24,25
75,1,2:41.0,,P. Prigioni enters the game for S. Larkin,24,25
76,1,2:33.0,A. Nicholson misses 2-pt hook shot from 7 ft,,24,25
77,1,2:32.0,,Defensive rebound by C. Anthony,24,25
78,1,2:17.0,,J. Smith misses 3-pt jump shot from 25 ft,24,25
79,1,2:16.0,Defensive rebound by A. Nicholson,,24,25
80,1,2:00.0,Turnover by A. Gordon (traveling),,24,25
81,1,1:51.0,,Shooting foul by C. Frye (drawn by J. Smith),24,25
82,1,1:51.0,,J. Smith makes free throw 1 of 2,24,26
83,1,1:51.0,,T. Wear enters the game for C. Anthony,24,26
84,1,1:51.0,,J. Smith makes free throw 2 of 2,24,27
85,1,1:37.0,A. Gordon makes 3-pt jump shot from 23 ft (assist by A. Nicholson),,27,27
86,1,1:18.0,,J. Smith misses 2-pt jump shot from 20 ft,27,27
87,1,1:17.0,,Offensive rebound by T. Wear,27,27
88,1,1:04.0,,A. Stoudemire misses 2-pt jump shot from 8 ft,27,27
89,1,1:03.0,Defensive rebound by Team,,27,27
90,1,1:03.0,,Loose ball foul by T. Wear (drawn by A. Gordon),27,27
91,1,1:03.0,A. Gordon makes free throw 1 of 2,,28,27
92,1,1:03.0,N. Vučević enters the game for C. Frye,,28,27
93,1,1:03.0,,J. Smith enters the game for Q. Acy,28,27
94,1,1:03.0,A. Gordon makes free throw 2 of 2,,29,27
95,1,0:45.0,,A. Stoudemire misses 2-pt jump shot from 4 ft,29,27
96,1,0:44.0,Defensive rebound by A. Gordon,,29,27
97,1,0:22.0,A. Nicholson makes 2-pt hook shot from 13 ft,,31,27
98,1,0:03.0,,J. Smith misses 2-pt jump shot from 20 ft,31,27
99,1,0:01.0,Defensive rebound by Team,,31,27
