,QUARTER,TIME_REMAINING,CHICAGO_ACTION,CLEVELAND_ACTION,CHICAGO_SCORE,CLEVELAND_SCORE
0,1,11:37.0,,J. Smith makes 3-pt jump shot from 26 ft (assist by L. James),0,3
1,1,11:15.0,A. Brooks makes 2-pt jump shot from 13 ft (assist by P. Gasol),,2,3
2,1,10:59.0,,J. Smith misses 3-pt jump shot from 25 ft,2,3
3,1,10:58.0,Defensive rebound by Team,,2,3
4,1,10:36.0,A. Brooks misses 2-pt jump shot from 9 ft,,2,3
5,1,10:33.0,,Defensive rebound by T. Mozgov,2,3
6,1,10:22.0,,K. Love misses 2-pt jump shot from 16 ft,2,3
7,1,10:21.0,Defensive rebound by M. Dunleavy,,2,3
8,1,10:17.0,Turnover by A. Brooks (bad pass; steal by K. Irving),,2,3
9,1,10:09.0,,Turnover by K. Love (lost ball; steal by A. Brooks),2,3
10,1,10:03.0,Turnover by J. Noah (lost ball; steal by K. Love),,2,3
11,1,9:46.0,,K. Irving misses 2-pt jump shot from 13 ft,2,3
12,1,9:44.0,Defensive rebound by J. Noah,,2,3
13,1,9:37.0,M. Dunleavy makes 3-pt jump shot from 24 ft (assist by J. Noah),,5,3
14,1,9:21.0,,K. Love misses 3-pt jump shot from 24 ft,5,3
15,1,9:20.0,Defensive rebound by J. Butler,,5,3
16,1,9:05.0,P. Gasol makes 2-pt jump shot from 15 ft,,7,3
17,1,8:42.0,,L. James makes 3-pt jump shot from 25 ft (assist by T. Mozgov),7,6
18,1,8:28.0,M. Dunleavy makes 2-pt jump shot from 18 ft (assist by J. Noah),,9,6
19,1,8:12.0,,K. Irving misses 2-pt jump shot from 16 ft,9,6
20,1,8:11.0,,Offensive rebound by T. Mozgov,9,6
21,1,7:59.0,,L. James misses 2-pt jump shot from 3 ft,9,6
22,1,7:58.0,Defensive rebound by A. Brooks,,9,6
23,1,7:43.0,P. Gasol makes 2-pt jump shot from 12 ft (assist by M. Dunleavy),,11,6
24,1,7:27.0,,K. Love makes 2-pt dunk at rim (assist by J. Smith),11,8
25,1,7:11.0,Personal foul by K. Love (drawn by J. Noah),,11,8
26,1,6:58.0,A. Brooks makes 3-pt jump shot from 24 ft (assist by P. Gasol),,14,8
27,1,6:33.0,Loose ball foul by M. Dunleavy (drawn by J. Smith),,14,8
28,1,6:23.0,,Personal foul by P. Gasol (drawn by T. Mozgov),14,8
29,1,6:08.0,,L. James misses 3-pt jump shot from 25 ft,14,8
30,1,6:07.0,Defensive rebound by P. Gasol,,14,8
31,1,5:57.0,P. Gasol misses 2-pt jump shot from 18 ft,,14,8
32,1,5:57.0,,Defensive rebound by L. James,14,8
33,1,5:54.0,,L. James makes 2-pt layup at rim (assist by K. Irving),14,10
34,1,5:43.0,M. Dunleavy makes 2-pt layup at rim (assist by J. Noah),,16,10
35,1,5:35.0,,Cleveland full timeout,16,10
36,1,5:35.0,,I. Shumpert enters the game for J. Smith,16,10
37,1,5:21.0,,L. James makes 2-pt layup from 1 ft,16,12
38,1,4:59.0,J. Butler misses 2-pt jump shot from 19 ft,,16,12
39,1,4:58.0,Offensive rebound by P. Gasol,,16,12
40,1,4:53.0,J. Noah makes 2-pt layup at rim (assist by P. Gasol),,18,12
41,1,4:39.0,,K. Irving makes 2-pt layup at rim,18,14
42,1,4:30.0,A. Brooks misses 3-pt jump shot from 24 ft,,18,14
43,1,4:29.0,,Defensive rebound by K. Irving,18,14
44,1,4:18.0,,I. Shumpert misses 3-pt jump shot from 23 ft,18,14
45,1,4:17.0,Defensive rebound by M. Dunleavy,,18,14
46,1,4:06.0,M. Dunleavy misses 2-pt jump shot from 4 ft,,18,14
47,1,4:05.0,,Defensive rebound by K. Love,18,14
48,1,4:05.0,T. Gibson enters the game for J. Noah,,18,14
49,1,4:05.0,,T. Thompson enters the game for K. Love,18,14
50,1,3:58.0,,K. Irving makes 3-pt jump shot from 24 ft (assist by T. Mozgov),18,17
51,1,3:41.0,P. Gasol misses 2-pt jump shot from 12 ft,,18,17
52,1,3:39.0,,Defensive rebound by L. James,18,17
53,1,3:30.0,,Shooting foul by J. Butler (drawn by L. James),18,17
54,1,3:30.0,,L. James misses free throw 1 of 2,18,17
55,1,3:30.0,,Offensive rebound by Team,18,17
56,1,3:30.0,,L. James misses free throw 2 of 2,18,17
57,1,3:29.0,Defensive rebound by P. Gasol,,18,17
58,1,3:17.0,J. Butler misses 2-pt jump shot from 18 ft,,18,17
59,1,3:16.0,,Defensive rebound by I. Shumpert,18,17
60,1,3:00.0,,I. Shumpert misses 3-pt jump shot from 23 ft,18,17
61,1,2:59.0,Defensive rebound by Team,,18,17
62,1,2:58.0,Chicago full timeout,,18,17
63,1,2:58.0,,J. Smith enters the game for L. James,18,17
64,1,2:44.0,A. Brooks makes 2-pt jump shot from 17 ft,,20,17
65,1,2:32.0,,Turnover by K. Irving (bad pass; steal by M. Dunleavy),20,17
66,1,2:28.0,Shooting foul by J. Smith (drawn by M. Dunleavy),,20,17
67,1,2:28.0,M. Dunleavy makes free throw 1 of 2,,21,17
68,1,2:28.0,T. Snell enters the game for J. Butler,,21,17
69,1,2:28.0,M. Dunleavy makes free throw 2 of 2,,22,17
70,1,2:14.0,,J. Smith makes 3-pt jump shot from 25 ft,22,20
71,1,1:52.0,M. Dunleavy misses 3-pt jump shot from 27 ft,,22,20
72,1,1:51.0,,Defensive rebound by I. Shumpert,22,20
73,1,1:38.0,,K. Irving makes 2-pt jump shot from 14 ft,22,22
74,1,1:19.0,T. Snell misses 3-pt jump shot from 25 ft,,22,22
75,1,1:18.0,Offensive rebound by Team,,22,22
76,1,1:17.0,N. Mirotić enters the game for M. Dunleavy,,22,22
77,1,1:17.0,,K. Love enters the game for T. Mozgov,22,22
78,1,1:11.0,Offensive foul by T. Gibson (drawn by I. Shumpert),,22,22
79,1,1:11.0,Turnover by T. Gibson (offensive foul),,22,22
80,1,0:54.0,,T. Thompson makes 2-pt jump shot from 10 ft (assist by K. Irving),22,24
81,1,0:41.0,T. Gibson misses 2-pt jump shot from 4 ft (block by J. Smith),,22,24
82,1,0:38.0,,Defensive rebound by T. Thompson,22,24
83,1,0:34.0,,K. Irving misses 2-pt layup from 1 ft,22,24
84,1,0:33.0,,Offensive rebound by T. Thompson,22,24
85,1,0:33.0,,T. Thompson misses 2-pt tip-in at rim,22,24
86,1,0:30.0,Defensive rebound by N. Mirotić,,22,24
87,1,0:27.0,Shooting foul by K. Irving (drawn by A. Brooks),,22,24
88,1,0:27.0,A. Brooks misses free throw 1 of 2,,22,24
89,1,0:27.0,Offensive rebound by Team,,22,24
90,1,0:27.0,A. Brooks makes free throw 2 of 2,,23,24
91,1,0:02.0,,K. Irving misses 2-pt jump shot from 14 ft,23,24
92,1,0:01.0,,Offensive rebound by Team,23,24
93,1,0:01.0,Loose ball foul by T. Gibson (drawn by K. Love),,23,24
94,1,0:00.0,,K. Irving makes 3-pt jump shot from 22 ft (assist by I. Shumpert),23,27
95,2,11:46.0,N. Mirotić makes 3-pt jump shot from 25 ft (assist by J. Butler),,26,27
96,2,11:28.0,,K. Love misses 2-pt layup from 2 ft (block by T. Gibson),26,27
97,2,11:26.0,,Offensive rebound by J. Smith,26,27
98,2,11:18.0,,Turnover by Team (shot clock),26,27
99,2,11:00.0,J. Butler misses 2-pt jump shot from 18 ft,,26,27
100,2,10:59.0,,Defensive rebound by L. James,26,27
101,2,10:52.0,,L. James misses 2-pt layup from 1 ft,26,27
102,2,10:50.0,,Offensive rebound by K. Love,26,27
103,2,10:30.0,,L. James misses 2-pt jump shot from 13 ft,26,27
104,2,10:29.0,Defensive rebound by T. Gibson,,26,27
105,2,10:17.0,T. Gibson misses 2-pt jump shot from 15 ft,,26,27
106,2,10:16.0,,Defensive rebound by K. Love,26,27
107,2,10:08.0,,K. Love misses 3-pt jump shot from 24 ft,26,27
108,2,10:07.0,Defensive rebound by N. Mirotić,,26,27
109,2,10:07.0,E. Moore misses 3-pt jump shot from 25 ft,,26,27
110,2,10:07.0,,Defensive rebound by T. Thompson,26,27
111,2,10:06.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by L. James),26,30
112,2,9:46.0,J. Noah makes 2-pt jump shot from 7 ft (assist by E. Moore),,28,30
113,2,9:33.0,,J. Smith makes 3-pt jump shot from 24 ft,28,33
114,2,9:18.0,N. Mirotić misses 3-pt jump shot from 24 ft,,28,33
115,2,9:17.0,,Defensive rebound by K. Love,28,33
116,2,9:12.0,,L. James makes 2-pt layup from 1 ft (assist by K. Love),28,35
117,2,8:51.0,T. Gibson makes 2-pt dunk at rim (assist by J. Butler),,30,35
118,2,8:30.0,,K. Love misses 2-pt layup from 2 ft (block by T. Gibson),30,35
119,2,8:28.0,Defensive rebound by J. Noah,,30,35
120,2,8:12.0,J. Butler misses 2-pt jump shot from 9 ft,,30,35
121,2,8:11.0,Offensive rebound by J. Noah,,30,35
122,2,8:05.0,J. Butler makes 3-pt jump shot from 23 ft (assist by E. Moore),,33,35
123,2,7:42.0,,Shooting foul by E. Moore (drawn by T. Thompson),33,35
