,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CHICAGO_ACTION,ATLANTA_SCORE,CHICAGO_SCORE
0,1,11:43.0,,J. Butler misses 2-pt jump shot from 17 ft,0,0
1,1,11:42.0,,Offensive rebound by T. Gibson,0,0
2,1,11:39.0,,P. Gasol misses 2-pt jump shot from 16 ft,0,0
3,1,11:38.0,Defensive rebound by P. Millsap,,0,0
4,1,11:22.0,D. Carroll misses 2-pt jump shot from 20 ft,,0,0
5,1,11:21.0,,Defensive rebound by D. Rose,0,0
6,1,11:12.0,,Turnover by T. Gibson (bad pass; steal by J. Teague),0,0
7,1,11:04.0,P. Millsap misses 2-pt layup from 1 ft (block by T. Gibson),,0,0
8,1,11:02.0,,Defensive rebound by P. Gasol,0,0
9,1,11:00.0,,Turnover by M. Dunleavy (bad pass),0,0
10,1,10:36.0,D. Carroll misses 2-pt layup from 1 ft,,0,0
11,1,10:35.0,,Defensive rebound by P. Gasol,0,0
12,1,10:28.0,,M. Dunleavy misses 3-pt jump shot from 25 ft,0,0
13,1,10:27.0,Defensive rebound by P. Millsap,,0,0
14,1,10:27.0,Personal foul by P. Gasol (drawn by P. Millsap),,0,0
15,1,10:10.0,D. Carroll misses 3-pt jump shot from 23 ft,,0,0
16,1,10:09.0,Offensive rebound by A. Horford,,0,0
17,1,10:09.0,A. Horford makes 2-pt tip-in from 1 ft,,2,0
18,1,9:53.0,,M. Dunleavy misses 3-pt jump shot from 25 ft,2,0
19,1,9:51.0,Defensive rebound by A. Horford,,2,0
20,1,9:37.0,J. Teague misses 2-pt jump shot from 14 ft,,2,0
21,1,9:36.0,,Defensive rebound by D. Rose,2,0
22,1,9:31.0,,Turnover by D. Rose (bad pass),2,0
23,1,9:18.0,P. Millsap misses 2-pt jump shot from 16 ft,,2,0
24,1,9:17.0,,Defensive rebound by P. Gasol,2,0
25,1,9:07.0,,Turnover by P. Gasol (bad pass; steal by P. Millsap),2,0
26,1,8:57.0,J. Teague makes 2-pt jump shot from 8 ft,,4,0
27,1,8:45.0,,D. Rose makes 2-pt layup at rim,4,2
28,1,8:40.0,A. Horford makes 2-pt layup from 1 ft (assist by J. Teague),,6,2
29,1,8:26.0,,T. Gibson misses 2-pt layup from 2 ft (block by A. Horford),6,2
30,1,8:24.0,Defensive rebound by K. Korver,,6,2
31,1,8:16.0,A. Horford makes 2-pt jump shot from 16 ft,,8,2
32,1,7:58.0,,D. Rose misses 3-pt jump shot from 25 ft (block by J. Teague),8,2
33,1,7:56.0,Defensive rebound by J. Teague,,8,2
34,1,7:55.0,J. Teague makes 2-pt layup from 2 ft,,10,2
35,1,7:55.0,,Chicago full timeout,10,2
36,1,7:39.0,,J. Butler makes 2-pt jump shot from 11 ft (assist by P. Gasol),10,4
37,1,7:30.0,A. Horford makes 2-pt jump shot from 19 ft (assist by J. Teague),,12,4
38,1,7:10.0,,D. Rose misses 3-pt jump shot from 25 ft,12,4
39,1,7:09.0,Defensive rebound by P. Millsap,,12,4
40,1,6:59.0,A. Horford makes 2-pt jump shot from 12 ft (assist by J. Teague),,14,4
41,1,6:42.0,,Turnover by P. Gasol (bad pass; steal by P. Millsap),14,4
42,1,6:33.0,A. Horford misses 2-pt layup from 2 ft,,14,4
43,1,6:31.0,Offensive rebound by P. Millsap,,14,4
44,1,6:31.0,P. Millsap makes 2-pt layup from 1 ft,,16,4
45,1,6:10.0,Violation by P. Millsap (kicked ball),,16,4
46,1,6:05.0,,J. Butler makes 2-pt layup from 1 ft,16,6
47,1,5:40.0,Turnover by P. Millsap (bad pass; steal by P. Gasol),,16,6
48,1,5:35.0,,Turnover by D. Rose (lost ball),16,6
49,1,5:35.0,,Chicago full timeout,16,6
50,1,5:35.0,,A. Brooks enters the game for D. Rose,16,6
51,1,5:18.0,Turnover by J. Teague (bad pass; steal by M. Dunleavy),,16,6
52,1,5:13.0,,Turnover by P. Gasol (lost ball),16,6
53,1,5:13.0,K. Bazemore enters the game for K. Korver,,16,6
54,1,4:45.0,D. Carroll misses 2-pt jump shot from 20 ft,,16,6
55,1,4:44.0,,Defensive rebound by T. Gibson,16,6
56,1,4:34.0,,M. Dunleavy makes 3-pt jump shot from 25 ft (assist by J. Butler),16,9
57,1,4:25.0,Personal foul by M. Dunleavy (drawn by A. Horford),,16,9
58,1,4:25.0,P. Antić enters the game for A. Horford,,16,9
59,1,4:25.0,,T. Snell enters the game for J. Butler,16,9
60,1,4:25.0,,N. Mirotić enters the game for P. Gasol,16,9
61,1,4:15.0,J. Teague misses 2-pt jump shot from 15 ft,,16,9
62,1,4:14.0,,Defensive rebound by M. Dunleavy,16,9
63,1,4:02.0,,Personal foul by P. Antić (drawn by N. Mirotić),16,9
64,1,3:49.0,,T. Snell misses 3-pt jump shot from 23 ft,16,9
65,1,3:48.0,Defensive rebound by P. Antić,,16,9
66,1,3:35.0,D. Carroll misses 3-pt jump shot from 24 ft,,16,9
67,1,3:34.0,,Defensive rebound by A. Brooks,16,9
68,1,3:19.0,,T. Snell misses 3-pt jump shot from 24 ft,16,9
69,1,3:18.0,Defensive rebound by D. Carroll,,16,9
70,1,3:06.0,Personal foul by N. Mirotić (drawn by P. Millsap),,16,9
71,1,3:06.0,D. Schröder enters the game for J. Teague,,16,9
72,1,3:06.0,S. Mack enters the game for D. Carroll,,16,9
73,1,3:06.0,Atlanta full timeout,,16,9
74,1,3:06.0,M. Muscala enters the game for P. Millsap,,16,9
75,1,2:56.0,S. Mack misses 2-pt jump shot from 23 ft,,16,9
76,1,2:55.0,,Defensive rebound by N. Mirotić,16,9
77,1,2:40.0,,A. Brooks makes 2-pt layup at rim,16,11
78,1,2:30.0,D. Schröder makes 3-pt jump shot from 25 ft,,19,11
79,1,2:16.0,,N. Mirotić misses 3-pt jump shot from 25 ft,19,11
80,1,2:15.0,Defensive rebound by S. Mack,,19,11
81,1,2:02.0,D. Schröder misses 2-pt layup from 1 ft,,19,11
82,1,2:01.0,,Defensive rebound by A. Brooks,19,11
83,1,1:40.0,,T. Gibson misses 2-pt jump shot from 13 ft,19,11
84,1,1:39.0,Defensive rebound by K. Bazemore,,19,11
85,1,1:34.0,Personal foul by M. Dunleavy (drawn by D. Schröder),,19,11
