,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,INDIANA_ACTION,CHARLOTTE_SCORE,INDIANA_SCORE
0,1,11:39.0,,Turnover by R. Hibbert (3 sec),0,0
1,1,11:23.0,M. Williams misses 2-pt jump shot from 15 ft,,0,0
2,1,11:21.0,,Defensive rebound by S. Hill,0,0
3,1,11:06.0,,R. Hibbert makes 2-pt hook shot from 6 ft,0,2
4,1,10:44.0,A. Jefferson misses 2-pt layup from 1 ft,,0,2
5,1,10:43.0,,Defensive rebound by R. Hibbert,0,2
6,1,10:28.0,,C. Copeland makes 2-pt layup from 3 ft,0,4
7,1,10:16.0,A. Jefferson makes 2-pt layup at rim,,2,4
8,1,10:00.0,,Shooting foul by A. Jefferson (drawn by R. Hibbert),2,4
9,1,10:00.0,,R. Hibbert misses free throw 1 of 2,2,4
10,1,10:00.0,,Offensive rebound by Team,2,4
11,1,10:00.0,,R. Hibbert makes free throw 2 of 2,2,5
12,1,9:43.0,K. Walker makes 2-pt layup from 1 ft (assist by A. Jefferson),,4,5
13,1,9:31.0,,S. Hill misses 3-pt jump shot from 27 ft,4,5
14,1,9:30.0,Defensive rebound by K. Walker,,4,5
15,1,9:16.0,G. Henderson misses 2-pt jump shot from 19 ft,,4,5
16,1,9:15.0,,Defensive rebound by R. Hibbert,4,5
17,1,9:04.0,,D. Sloan misses 2-pt jump shot from 9 ft,4,5
18,1,9:03.0,Defensive rebound by L. Stephenson,,4,5
19,1,8:58.0,Turnover by L. Stephenson (lost ball; steal by L. Scola),,4,5
20,1,8:44.0,,R. Hibbert makes 2-pt jump shot from 18 ft (assist by D. Sloan),4,7
21,1,8:28.0,M. Williams misses 2-pt jump shot from 18 ft,,4,7
22,1,8:27.0,,Defensive rebound by R. Hibbert,4,7
23,1,8:18.0,,Shooting foul by M. Williams (drawn by L. Scola),4,7
24,1,8:18.0,,L. Scola makes 2-pt jump shot from 6 ft (assist by R. Hibbert),4,9
25,1,8:18.0,,L. Scola makes free throw 1 of 1,4,10
26,1,8:05.0,G. Henderson misses 2-pt jump shot from 3 ft (block by R. Hibbert),,4,10
27,1,8:04.0,,Defensive rebound by D. Sloan,4,10
28,1,7:59.0,,C. Copeland misses 3-pt jump shot from 25 ft,4,10
29,1,7:58.0,Defensive rebound by K. Walker,,4,10
30,1,7:48.0,K. Walker misses 2-pt jump shot from 15 ft,,4,10
31,1,7:47.0,,Defensive rebound by R. Hibbert,4,10
32,1,7:37.0,,R. Hibbert makes 2-pt jump shot from 19 ft (assist by C. Copeland),4,12
33,1,7:10.0,A. Jefferson makes 2-pt jump shot from 7 ft,,6,12
34,1,6:50.0,,R. Hibbert misses 2-pt jump shot from 7 ft,6,12
35,1,6:49.0,Defensive rebound by A. Jefferson,,6,12
36,1,6:48.0,Personal foul by L. Scola (drawn by A. Jefferson),,6,12
37,1,6:28.0,Shooting foul by R. Hibbert (drawn by A. Jefferson),,6,12
38,1,6:28.0,A. Jefferson makes free throw 1 of 2,,7,12
39,1,6:28.0,C. Zeller enters the game for M. Williams,,7,12
40,1,6:28.0,A. Jefferson makes free throw 2 of 2,,8,12
41,1,6:15.0,,R. Hibbert misses 2-pt jump shot from 7 ft,8,12
42,1,6:15.0,Defensive rebound by Team,,8,12
43,1,6:04.0,Turnover by K. Walker (bad pass; steal by D. Sloan),,8,12
44,1,5:58.0,,Shooting foul by K. Walker (drawn by D. Sloan),8,12
45,1,5:58.0,,Indiana full timeout,8,12
46,1,5:58.0,,D. Sloan misses free throw 1 of 2,8,12
47,1,5:58.0,,Offensive rebound by Team,8,12
48,1,5:58.0,,D. Sloan makes free throw 2 of 2,8,13
49,1,5:43.0,A. Jefferson misses 2-pt jump shot from 8 ft,,8,13
50,1,5:42.0,,Defensive rebound by D. Sloan,8,13
51,1,5:24.0,,C. Copeland makes 2-pt layup at rim,8,15
52,1,5:06.0,A. Jefferson makes 2-pt hook shot from 6 ft,,10,15
53,1,4:54.0,,Personal foul by L. Stephenson (drawn by S. Hill),10,15
54,1,4:54.0,B. Roberts enters the game for K. Walker,,10,15
55,1,4:41.0,,R. Hibbert makes 2-pt jump shot from 17 ft (assist by D. Sloan),10,17
56,1,4:29.0,L. Stephenson makes 2-pt jump shot from 15 ft,,12,17
57,1,4:16.0,,R. Hibbert misses 2-pt layup from 2 ft (block by L. Stephenson),12,17
58,1,4:15.0,Defensive rebound by A. Jefferson,,12,17
59,1,4:09.0,L. Stephenson makes 2-pt jump shot from 17 ft,,14,17
60,1,3:54.0,,S. Hill misses 3-pt jump shot from 25 ft,14,17
61,1,3:53.0,,Offensive rebound by Team,14,17
62,1,3:53.0,Loose ball foul by C. Zeller (drawn by L. Scola),,14,17
63,1,3:53.0,,L. Scola misses free throw 1 of 2,14,17
64,1,3:53.0,,Offensive rebound by Team,14,17
65,1,3:53.0,,R. Stuckey enters the game for S. Hill,14,17
66,1,3:53.0,B. Biyombo enters the game for A. Jefferson,,14,17
67,1,3:53.0,,L. Scola makes free throw 2 of 2,14,18
68,1,3:40.0,L. Stephenson misses 2-pt jump shot from 16 ft,,14,18
69,1,3:39.0,Offensive rebound by Team,,14,18
70,1,3:39.0,,L. Allen enters the game for L. Scola,14,18
71,1,3:28.0,B. Roberts makes 2-pt jump shot from 20 ft,,16,18
72,1,3:10.0,K. Walker enters the game for G. Henderson,,16,18
73,1,3:10.0,M. Williams enters the game for L. Stephenson,,16,18
74,1,3:04.0,,C. Copeland misses 3-pt jump shot from 25 ft,16,18
75,1,3:03.0,Defensive rebound by C. Zeller,,16,18
76,1,2:53.0,C. Zeller makes 2-pt jump shot from 20 ft (assist by K. Walker),,18,18
77,1,2:32.0,,R. Hibbert misses 2-pt jump shot from 7 ft (block by B. Biyombo),18,18
78,1,2:30.0,Defensive rebound by B. Roberts,,18,18
79,1,2:22.0,B. Roberts makes 2-pt jump shot from 18 ft,,20,18
80,1,2:08.0,,R. Stuckey misses 2-pt jump shot from 18 ft,20,18
