,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,INDIANA_ACTION,SAN ANTONIO_SCORE,INDIANA_SCORE
0,1,11:49.0,T. Parker makes 2-pt jump shot from 16 ft,,2,0
1,1,11:31.0,,Shooting foul by M. Bonner (drawn by D. West),2,0
2,1,11:31.0,,D. West makes free throw 1 of 2,2,1
3,1,11:31.0,,D. West makes free throw 2 of 2,2,2
4,1,11:16.0,K. Leonard makes 2-pt layup from 2 ft,,4,2
5,1,11:02.0,,C. Miles makes 2-pt dunk at rim (assist by R. Hibbert),4,4
6,1,10:49.0,T. Duncan makes 2-pt jump shot from 6 ft (assist by T. Parker),,6,4
7,1,10:39.0,,R. Hibbert makes 2-pt jump shot from 18 ft (assist by G. Hill),6,6
8,1,10:25.0,D. Green makes 3-pt jump shot from 27 ft (assist by T. Parker),,9,6
9,1,10:08.0,,D. West misses 2-pt jump shot from 19 ft,9,6
10,1,10:07.0,Defensive rebound by T. Duncan,,9,6
11,1,9:57.0,T. Parker makes 2-pt layup from 3 ft,,11,6
12,1,9:45.0,,G. Hill makes 2-pt layup from 1 ft,11,8
13,1,9:33.0,Turnover by T. Duncan (bad pass; steal by R. Stuckey),,11,8
14,1,9:22.0,,R. Hibbert misses 2-pt jump shot from 18 ft,11,8
15,1,9:21.0,Defensive rebound by D. Green,,11,8
16,1,9:00.0,T. Duncan misses 2-pt jump shot from 5 ft,,11,8
17,1,8:59.0,,Defensive rebound by D. West,11,8
18,1,8:51.0,,R. Hibbert makes 2-pt dunk at rim (assist by G. Hill),11,10
19,1,8:31.0,T. Parker makes 2-pt layup from 3 ft,,13,10
20,1,8:15.0,,R. Hibbert misses 2-pt jump shot from 20 ft,13,10
21,1,8:14.0,Defensive rebound by T. Parker,,13,10
22,1,8:06.0,T. Parker makes 2-pt jump shot from 18 ft,,15,10
23,1,8:05.0,,Indiana full timeout,15,10
24,1,7:48.0,,D. West misses 2-pt jump shot from 14 ft,15,10
25,1,7:47.0,Defensive rebound by D. Green,,15,10
26,1,7:32.0,K. Leonard makes 3-pt jump shot from 26 ft (assist by T. Parker),,18,10
27,1,7:16.0,,G. Hill makes 2-pt jump shot from 17 ft,18,12
28,1,6:56.0,T. Parker misses 2-pt jump shot from 17 ft,,18,12
