,QUARTER,TIME_REMAINING,DALLAS_ACTION,WASHINGTON_ACTION,DALLAS_SCORE,WASHINGTON_SCORE
0,1,11:43.0,,M. Gortat makes 2-pt layup at rim (assist by J. Wall),0,2
1,1,11:21.0,J. Nelson misses 2-pt jump shot from 14 ft,,0,2
2,1,11:21.0,,Defensive rebound by M. Gortat,0,2
3,1,11:11.0,,J. Wall misses 2-pt jump shot from 16 ft,0,2
4,1,11:10.0,Defensive rebound by T. Chandler,,0,2
5,1,11:09.0,Turnover by J. Nelson (traveling),,0,2
6,1,10:57.0,,P. Pierce misses 2-pt jump shot from 13 ft,0,2
7,1,10:56.0,Defensive rebound by J. Nelson,,0,2
8,1,10:45.0,M. Ellis makes 2-pt jump shot from 21 ft,,2,2
9,1,10:33.0,,M. Gortat misses 2-pt layup at rim (block by T. Chandler),2,2
10,1,10:31.0,Defensive rebound by J. Nelson,,2,2
11,1,10:18.0,D. Nowitzki misses 2-pt jump shot from 17 ft,,2,2
12,1,10:17.0,,Defensive rebound by N. Hilário,2,2
13,1,10:14.0,,Personal block foul by C. Parsons (drawn by J. Wall),2,2
14,1,10:02.0,,M. Gortat makes 2-pt hook shot from 10 ft,2,4
15,1,9:42.0,C. Parsons misses 2-pt jump shot from 20 ft,,2,4
16,1,9:41.0,,Defensive rebound by Team,2,4
17,1,9:15.0,,J. Wall misses 2-pt jump shot from 21 ft,2,4
18,1,9:14.0,,Offensive rebound by N. Hilário,2,4
19,1,9:11.0,,J. Wall misses 2-pt jump shot from 4 ft,2,4
20,1,9:10.0,Defensive rebound by D. Nowitzki,,2,4
21,1,9:01.0,Turnover by M. Ellis (lost ball; steal by G. Temple),,2,4
22,1,8:57.0,,N. Hilário makes 2-pt dunk at rim (assist by J. Wall),2,6
23,1,8:41.0,J. Nelson misses 2-pt jump shot from 20 ft,,2,6
24,1,8:40.0,,Defensive rebound by P. Pierce,2,6
25,1,8:29.0,,N. Hilário misses 2-pt jump shot from 15 ft,2,6
26,1,8:28.0,Defensive rebound by T. Chandler,,2,6
27,1,8:23.0,Personal foul by N. Hilário (drawn by D. Nowitzki),,2,6
28,1,8:14.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,2,6
29,1,8:13.0,,Defensive rebound by M. Gortat,2,6
30,1,8:08.0,,P. Pierce makes 2-pt jump shot from 14 ft (assist by J. Wall),2,8
31,1,8:02.0,Dallas full timeout,,2,8
32,1,7:49.0,Shooting foul by G. Temple (drawn by D. Nowitzki),,2,8
33,1,7:49.0,D. Nowitzki makes free throw 1 of 2,,3,8
34,1,7:49.0,D. Nowitzki makes free throw 2 of 2,,4,8
35,1,7:31.0,,M. Gortat misses 2-pt jump shot from 6 ft,4,8
36,1,7:30.0,Defensive rebound by D. Nowitzki,,4,8
