,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA LAKERS_ACTION,GOLDEN STATE_SCORE,LA LAKERS_SCORE
0,1,11:41.0,,W. Ellington misses 2-pt jump shot from 5 ft (block by K. Thompson),0,0
1,1,11:39.0,Defensive rebound by K. Thompson,,0,0
2,1,11:35.0,Turnover by K. Thompson (lost ball; steal by R. Price),,0,0
3,1,11:21.0,,Turnover by W. Ellington (lost ball),0,0
4,1,11:02.0,D. Green misses 2-pt jump shot from 17 ft,,0,0
5,1,11:00.0,,Defensive rebound by E. Davis,0,0
6,1,10:49.0,,W. Johnson misses 2-pt jump shot from 18 ft,0,0
7,1,10:48.0,Defensive rebound by D. Green,,0,0
8,1,10:33.0,K. Thompson makes 3-pt jump shot from 25 ft,,3,0
9,1,10:18.0,,Personal foul by H. Barnes (drawn by W. Johnson),3,0
10,1,10:14.0,,W. Johnson makes 3-pt jump shot from 26 ft (assist by E. Davis),3,3
11,1,10:00.0,H. Barnes misses 2-pt layup from 1 ft (block by J. Hill),,3,3
12,1,9:58.0,,Defensive rebound by W. Johnson,3,3
13,1,9:50.0,,R. Price misses 3-pt jump shot from 26 ft,3,3
14,1,9:49.0,Defensive rebound by K. Thompson,,3,3
15,1,9:37.0,S. Curry makes 2-pt hook shot from 4 ft,,5,3
16,1,9:20.0,,W. Johnson misses 2-pt jump shot from 21 ft,5,3
17,1,9:19.0,Defensive rebound by Team,,5,3
18,1,9:09.0,H. Barnes makes 2-pt dunk at rim,,7,3
19,1,8:53.0,,Turnover by J. Hill (traveling),7,3
20,1,8:38.0,F. Ezeli makes 2-pt dunk at rim (assist by K. Thompson),,9,3
21,1,8:25.0,,W. Ellington misses 2-pt jump shot from 18 ft,9,3
22,1,8:24.0,,Offensive rebound by E. Davis,9,3
23,1,8:14.0,Offensive charge foul by R. Price (drawn by S. Curry),,9,3
24,1,8:14.0,,Turnover by R. Price (offensive foul),9,3
25,1,8:04.0,D. Green misses 2-pt jump shot from 18 ft,,9,3
26,1,8:03.0,,Defensive rebound by E. Davis,9,3
27,1,7:57.0,,W. Johnson misses 3-pt jump shot from 25 ft,9,3
28,1,7:54.0,,Offensive rebound by E. Davis,9,3
29,1,7:54.0,,E. Davis makes 2-pt tip-in from 1 ft,9,5
30,1,7:42.0,F. Ezeli misses 2-pt jump shot from 15 ft,,9,5
31,1,7:40.0,,Defensive rebound by J. Hill,9,5
32,1,7:34.0,,R. Price makes 2-pt layup at rim,9,7
33,1,7:21.0,F. Ezeli misses 2-pt dunk at rim,,9,7
34,1,7:20.0,Offensive rebound by F. Ezeli,,9,7
35,1,7:18.0,F. Ezeli makes 2-pt hook shot from 1 ft,,11,7
36,1,6:55.0,,J. Hill misses 2-pt jump shot from 19 ft,11,7
37,1,6:54.0,,Offensive rebound by Team,11,7
38,1,6:51.0,,J. Hill makes 2-pt dunk at rim (assist by W. Johnson),11,9
39,1,6:40.0,Turnover by S. Curry (bad pass; steal by W. Ellington),,11,9
40,1,6:35.0,,E. Davis makes 2-pt dunk at rim (assist by R. Price),11,11
41,1,6:23.0,K. Thompson misses 3-pt jump shot from 25 ft,,11,11
42,1,6:22.0,,Defensive rebound by J. Hill,11,11
43,1,6:14.0,,W. Johnson makes 2-pt layup from 1 ft (assist by R. Price),11,13
44,1,5:57.0,D. Green misses 2-pt jump shot from 14 ft,,11,13
45,1,5:56.0,,Defensive rebound by J. Hill,11,13
46,1,5:49.0,,LA Lakers full timeout,11,13
47,1,5:49.0,M. Speights enters the game for F. Ezeli,,11,13
48,1,5:49.0,A. Iguodala enters the game for H. Barnes,,11,13
49,1,5:42.0,,Turnover by R. Price (bad pass; steal by S. Curry),11,13
50,1,5:32.0,S. Curry makes 3-pt jump shot from 25 ft,,14,13
51,1,5:13.0,,W. Johnson makes 2-pt jump shot from 13 ft (assist by J. Hill),14,15
52,1,4:58.0,S. Curry misses 3-pt jump shot from 25 ft,,14,15
53,1,4:57.0,,Defensive rebound by J. Hill,14,15
54,1,4:50.0,,Personal foul by D. Green (drawn by E. Davis),14,15
55,1,4:36.0,,Shooting foul by M. Speights (drawn by J. Hill),14,15
