,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHILADELPHIA_ACTION,ATLANTA_SCORE,PHILADELPHIA_SCORE
0,1,11:41.0,,N. Noel misses 2-pt jump shot from 4 ft (block by A. Horford),0,0
1,1,11:40.0,,Offensive rebound by Team,0,0
2,1,11:31.0,,L. Mbah a Moute makes 2-pt jump shot from 20 ft (assist by I. Canaan),0,2
3,1,11:14.0,M. Muscala makes 2-pt jump shot from 19 ft (assist by J. Teague),,2,2
4,1,10:55.0,,N. Noel misses 2-pt hook shot from 3 ft,2,2
5,1,10:54.0,,Offensive rebound by N. Noel,2,2
6,1,10:52.0,,N. Noel misses 2-pt jump shot from 3 ft (block by A. Horford),2,2
7,1,10:50.0,Defensive rebound by K. Bazemore,,2,2
8,1,10:47.0,Shooting foul by R. Covington (drawn by K. Bazemore),,2,2
9,1,10:47.0,K. Bazemore misses free throw 1 of 2,,2,2
10,1,10:47.0,Offensive rebound by Team,,2,2
11,1,10:47.0,K. Bazemore makes free throw 2 of 2,,3,2
12,1,10:36.0,,R. Covington misses 3-pt jump shot from 25 ft (block by K. Bazemore),3,2
13,1,10:35.0,Defensive rebound by J. Jenkins,,3,2
14,1,10:29.0,J. Teague makes 3-pt jump shot from 25 ft,,6,2
15,1,10:06.0,,J. Sampson misses 3-pt jump shot from 27 ft,6,2
16,1,10:04.0,,Offensive rebound by J. Sampson,6,2
17,1,9:56.0,,Turnover by R. Covington (bad pass),6,2
18,1,9:36.0,Turnover by J. Teague (bad pass; steal by J. Sampson),,6,2
19,1,9:27.0,,I. Canaan misses 3-pt jump shot from 25 ft,6,2
20,1,9:26.0,Defensive rebound by M. Muscala,,6,2
21,1,9:16.0,J. Teague misses 2-pt layup from 2 ft,,6,2
22,1,9:15.0,,Defensive rebound by L. Mbah a Moute,6,2
23,1,9:00.0,,L. Mbah a Moute makes 3-pt jump shot from 24 ft (assist by I. Canaan),6,5
24,1,8:45.0,J. Jenkins misses 2-pt jump shot from 17 ft,,6,5
25,1,8:44.0,,Defensive rebound by L. Mbah a Moute,6,5
26,1,8:25.0,,J. Sampson misses 3-pt jump shot from 26 ft,6,5
27,1,8:23.0,Defensive rebound by K. Bazemore,,6,5
28,1,8:19.0,K. Bazemore misses 2-pt layup from 2 ft,,6,5
29,1,8:16.0,,Defensive rebound by I. Canaan,6,5
30,1,8:14.0,,Shooting foul by J. Teague (drawn by I. Canaan),6,5
31,1,8:14.0,,I. Canaan makes free throw 1 of 2,6,6
32,1,8:14.0,,I. Canaan makes free throw 2 of 2,6,7
33,1,7:55.0,A. Horford makes 2-pt jump shot from 16 ft,,8,7
34,1,7:41.0,,R. Covington misses 2-pt jump shot from 19 ft,8,7
35,1,7:41.0,,Offensive rebound by Team,8,7
36,1,7:41.0,Loose ball foul by M. Muscala (drawn by N. Noel),,8,7
37,1,7:30.0,,L. Mbah a Moute makes 2-pt jump shot from 20 ft,8,9
38,1,7:15.0,A. Horford misses 2-pt jump shot from 5 ft,,8,9
39,1,7:13.0,Offensive rebound by M. Muscala,,8,9
