,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,SAN ANTONIO_ACTION,SACRAMENTO_SCORE,SAN ANTONIO_SCORE
0,1,11:47.0,,T. Duncan misses 2-pt jump shot from 5 ft,0,0
1,1,11:46.0,Defensive rebound by R. Hollins,,0,0
2,1,11:33.0,R. Hollins makes 2-pt dunk at rim (assist by R. Gay),,2,0
3,1,11:12.0,,T. Duncan misses 2-pt layup from 3 ft,2,0
4,1,11:11.0,Defensive rebound by R. Gay,,2,0
5,1,10:59.0,J. Thompson makes 2-pt jump shot from 15 ft (assist by R. Gay),,4,0
6,1,10:43.0,,T. Parker makes 2-pt jump shot from 6 ft,4,2
7,1,10:32.0,Turnover by D. Collison (bad pass; steal by D. Green),,4,2
8,1,10:19.0,,T. Parker makes 2-pt jump shot from 5 ft,4,4
9,1,9:57.0,Turnover by R. Gay (bad pass; steal by D. Green),,4,4
10,1,9:51.0,,D. Green makes 2-pt layup at rim,4,6
11,1,9:40.0,R. Hollins makes 2-pt jump shot from 4 ft (assist by B. McLemore),,6,6
12,1,9:23.0,,T. Parker makes 2-pt jump shot from 6 ft,6,8
13,1,9:05.0,B. McLemore misses 2-pt layup from 2 ft (block by T. Duncan),,6,8
14,1,9:04.0,,Defensive rebound by D. Green,6,8
15,1,8:49.0,,K. Leonard misses 3-pt jump shot from 24 ft,6,8
16,1,8:48.0,Defensive rebound by B. McLemore,,6,8
17,1,8:42.0,D. Collison misses 2-pt jump shot from 5 ft (block by D. Green),,6,8
18,1,8:40.0,,Defensive rebound by T. Duncan,6,8
19,1,8:26.0,,T. Parker misses 2-pt jump shot from 9 ft,6,8
20,1,8:25.0,Defensive rebound by R. Hollins,,6,8
21,1,8:17.0,D. Collison misses 2-pt jump shot from 5 ft (block by D. Green),,6,8
22,1,8:16.0,Offensive rebound by R. Hollins,,6,8
23,1,8:09.0,R. Gay makes 2-pt jump shot from 16 ft,,8,8
24,1,7:54.0,,D. Green misses 2-pt jump shot from 19 ft,8,8
25,1,7:53.0,Defensive rebound by R. Gay,,8,8
26,1,7:39.0,R. Hollins makes 2-pt jump shot from 4 ft (assist by R. Gay),,10,8
27,1,7:21.0,,T. Duncan makes 2-pt layup from 1 ft,10,10
28,1,7:04.0,D. Collison misses 3-pt jump shot from 23 ft,,10,10
29,1,7:03.0,,Defensive rebound by T. Duncan,10,10
30,1,6:42.0,,B. Diaw misses 2-pt jump shot from 14 ft,10,10
31,1,6:36.0,Defensive rebound by J. Thompson,,10,10
32,1,6:32.0,R. Gay misses 2-pt layup from 1 ft,,10,10
33,1,6:30.0,Offensive rebound by R. Hollins,,10,10
34,1,6:30.0,R. Hollins makes 2-pt layup from 2 ft,,12,10
35,1,6:30.0,,San Antonio full timeout,12,10
36,1,6:21.0,,K. Leonard misses 2-pt jump shot from 19 ft,12,10
37,1,6:19.0,Defensive rebound by J. Thompson,,12,10
38,1,6:04.0,R. Gay makes 2-pt jump shot from 8 ft,,14,10
39,1,5:49.0,,D. Green makes 3-pt jump shot from 23 ft (assist by T. Parker),14,13
40,1,5:34.0,B. McLemore misses 2-pt jump shot from 18 ft,,14,13
41,1,5:33.0,,Defensive rebound by D. Green,14,13
42,1,5:26.0,,Personal foul by B. McLemore (drawn by T. Duncan),14,13
43,1,5:26.0,,M. Ginóbili enters the game for D. Green,14,13
44,1,5:17.0,,T. Duncan misses 2-pt jump shot from 18 ft,14,13
45,1,5:16.0,Defensive rebound by J. Thompson,,14,13
46,1,5:01.0,Turnover by R. Hollins (lost ball; steal by K. Leonard),,14,13
47,1,4:56.0,,Shooting foul by R. Hollins (drawn by T. Duncan),14,13
48,1,4:56.0,,T. Duncan makes free throw 1 of 2,14,14
49,1,4:56.0,,C. Joseph enters the game for T. Parker,14,14
50,1,4:56.0,,M. Bonner enters the game for B. Diaw,14,14
51,1,4:56.0,O. Casspi enters the game for R. Gay,,14,14
52,1,4:56.0,,T. Duncan misses free throw 2 of 2,14,14
53,1,4:55.0,Defensive rebound by B. McLemore,,14,14
54,1,4:42.0,Personal foul by C. Joseph (drawn by D. Collison),,14,14
55,1,4:42.0,D. Williams enters the game for R. Hollins,,14,14
56,1,4:34.0,Turnover by B. McLemore (lost ball; steal by M. Bonner),,14,14
57,1,4:20.0,,Personal block foul by D. Williams (drawn by M. Ginóbili),14,14
58,1,4:06.0,,C. Joseph misses 3-pt jump shot from 22 ft,14,14
59,1,4:05.0,Defensive rebound by J. Thompson,,14,14
60,1,3:57.0,D. Collison makes 2-pt jump shot from 16 ft,,16,14
61,1,3:40.0,,K. Leonard misses 2-pt jump shot from 18 ft,16,14
62,1,3:39.0,Defensive rebound by J. Thompson,,16,14
63,1,3:27.0,D. Collison misses 2-pt jump shot from 16 ft,,16,14
64,1,3:26.0,,Defensive rebound by M. Ginóbili,16,14
65,1,3:18.0,,T. Duncan makes 2-pt jump shot from 3 ft (assist by M. Ginóbili),16,16
66,1,2:52.0,B. McLemore misses 2-pt jump shot from 13 ft,,16,16
67,1,2:51.0,,Defensive rebound by T. Duncan,16,16
68,1,2:44.0,,K. Leonard makes 2-pt layup from 1 ft (assist by M. Ginóbili),16,18
69,1,2:37.0,Sacramento full timeout,,16,18
70,1,2:37.0,,M. Belinelli enters the game for K. Leonard,16,18
71,1,2:37.0,,A. Baynes enters the game for T. Duncan,16,18
72,1,2:37.0,R. Sessions enters the game for D. Collison,,16,18
73,1,2:37.0,,T. Parker enters the game for C. Joseph,16,18
74,1,2:21.0,D. Williams makes 2-pt jump shot from 7 ft (assist by O. Casspi),,18,18
75,1,2:05.0,,A. Baynes misses 2-pt layup from 1 ft (block by J. Thompson),18,18
76,1,2:04.0,,Offensive rebound by A. Baynes,18,18
77,1,2:03.0,,Turnover by A. Baynes (traveling),18,18
78,1,1:49.0,,Offensive charge foul by J. Thompson (drawn by A. Baynes),18,18
79,1,1:49.0,Turnover by J. Thompson (offensive foul),,18,18
80,1,1:49.0,C. Landry enters the game for J. Thompson,,18,18
81,1,1:27.0,,M. Bonner makes 3-pt jump shot from 25 ft (assist by M. Ginóbili),18,21
82,1,1:10.0,R. Sessions makes 2-pt jump shot from 19 ft (assist by C. Landry),,20,21
83,1,0:49.0,,T. Parker makes 2-pt jump shot from 21 ft,20,23
84,1,0:36.0,Offensive foul by O. Casspi (drawn by M. Belinelli),,20,23
85,1,0:36.0,Turnover by O. Casspi (offensive foul),,20,23
86,1,0:36.0,N. Stauskas enters the game for B. McLemore,,20,23
87,1,0:27.0,,Turnover by T. Parker (lost ball; steal by R. Sessions),20,23
88,1,0:03.0,O. Casspi makes 2-pt layup from 1 ft (assist by R. Sessions),,22,23
89,1,0:00.0,,T. Parker makes 3-pt jump shot from 24 ft (assist by A. Baynes),22,26
90,2,11:47.0,Turnover by O. Casspi (bad pass),,22,26
91,2,11:34.0,,M. Belinelli misses 3-pt jump shot from 25 ft,22,26
92,2,11:33.0,Defensive rebound by O. Casspi,,22,26
93,2,11:24.0,D. Williams makes 3-pt jump shot from 22 ft (assist by O. Casspi),,25,26
94,2,11:11.0,,T. Parker makes 2-pt layup from 2 ft,25,28
95,2,11:05.0,Shooting foul by M. Bonner (drawn by D. Williams),,25,28
96,2,11:05.0,D. Williams makes free throw 1 of 2,,26,28
97,2,11:05.0,,B. Diaw enters the game for M. Bonner,26,28
98,2,11:05.0,D. Williams makes free throw 2 of 2,,27,28
99,2,10:47.0,,A. Baynes makes 2-pt hook shot from 6 ft (assist by B. Diaw),27,30
100,2,10:33.0,Personal foul by A. Baynes (drawn by O. Casspi),,27,30
101,2,10:23.0,Turnover by Team (back court),,27,30
102,2,10:09.0,,M. Belinelli misses 3-pt jump shot from 23 ft,27,30
103,2,10:08.0,Defensive rebound by C. Landry,,27,30
104,2,10:03.0,Shooting block foul by A. Baynes (drawn by O. Casspi),,27,30
105,2,10:03.0,O. Casspi makes free throw 1 of 2,,28,30
106,2,10:03.0,O. Casspi makes free throw 2 of 2,,29,30
107,2,9:47.0,,Personal foul by D. Williams (drawn by B. Diaw),29,30
108,2,9:47.0,,T. Duncan enters the game for A. Baynes,29,30
109,2,9:47.0,,C. Joseph enters the game for T. Parker,29,30
110,2,9:47.0,R. Hollins enters the game for D. Williams,,29,30
111,2,9:40.0,,M. Belinelli misses 3-pt jump shot from 23 ft,29,30
112,2,9:39.0,Defensive rebound by C. Landry,,29,30
113,2,9:29.0,O. Casspi misses 2-pt jump shot from 2 ft,,29,30
114,2,9:28.0,,Defensive rebound by B. Diaw,29,30
115,2,9:15.0,,D. Green makes 3-pt jump shot from 24 ft (assist by B. Diaw),29,33
116,2,8:52.0,R. Sessions misses 3-pt jump shot from 25 ft,,29,33
117,2,8:52.0,,Defensive rebound by Team,29,33
118,2,8:52.0,Official timeout,,29,33
119,2,8:39.0,,Shooting block foul by C. Landry,29,33
120,2,8:39.0,,B. Diaw makes free throw 1 of 2,29,34
121,2,8:39.0,,B. Diaw makes free throw 2 of 2,29,35
