,QUARTER,TIME_REMAINING,TORONTO_ACTION,MIAMI_ACTION,TORONTO_SCORE,MIAMI_SCORE
0,1,11:36.0,J. Valančiūnas makes 2-pt hook shot from 9 ft,,2,0
1,1,11:10.0,,Shooting foul by J. Valančiūnas (drawn by H. Whiteside),2,0
2,1,11:10.0,,H. Whiteside misses free throw 1 of 2,2,0
3,1,11:10.0,,Offensive rebound by Team,2,0
4,1,11:10.0,,H. Whiteside misses free throw 2 of 2,2,0
5,1,11:09.0,Defensive rebound by J. Valančiūnas,,2,0
6,1,10:58.0,D. DeRozan misses 2-pt jump shot from 14 ft,,2,0
7,1,10:57.0,,Defensive rebound by H. Whiteside,2,0
8,1,10:42.0,,U. Haslem misses 3-pt jump shot from 23 ft,2,0
9,1,10:41.0,,Offensive rebound by H. Whiteside,2,0
10,1,10:38.0,,Shooting foul by J. Valančiūnas (drawn by H. Whiteside),2,0
11,1,10:38.0,,H. Whiteside misses free throw 1 of 2,2,0
12,1,10:38.0,,Offensive rebound by Team,2,0
13,1,10:38.0,P. Patterson enters the game for J. Valančiūnas,,2,0
14,1,10:38.0,,H. Whiteside makes free throw 2 of 2,2,1
15,1,10:28.0,T. Ross makes 3-pt jump shot from 23 ft (assist by K. Lowry),,5,1
16,1,10:08.0,,U. Haslem makes 2-pt dunk at rim (assist by G. Dragić),5,3
17,1,9:45.0,P. Patterson makes 2-pt dunk at rim,,7,3
18,1,9:45.0,Shooting foul by U. Haslem (drawn by P. Patterson),,7,3
19,1,9:45.0,P. Patterson misses free throw 1 of 1,,7,3
20,1,9:44.0,,Defensive rebound by H. Whiteside,7,3
21,1,9:33.0,,Personal foul by K. Lowry (drawn by G. Dragić),7,3
22,1,9:27.0,,G. Dragić makes 3-pt jump shot from 24 ft (assist by D. Wade),7,6
23,1,9:05.0,K. Lowry misses 2-pt jump shot from 10 ft,,7,6
24,1,9:04.0,,Defensive rebound by D. Wade,7,6
25,1,8:55.0,,L. Deng misses 3-pt jump shot from 25 ft,7,6
26,1,8:54.0,,Offensive rebound by D. Wade,7,6
27,1,8:51.0,,G. Dragić makes 3-pt jump shot from 24 ft (assist by D. Wade),7,9
28,1,8:22.0,P. Patterson makes 2-pt jump shot from 9 ft,,9,9
29,1,8:02.0,,G. Dragić misses 3-pt jump shot from 24 ft,9,9
30,1,8:01.0,Defensive rebound by T. Hansbrough,,9,9
31,1,7:44.0,T. Ross misses 3-pt jump shot from 24 ft,,9,9
32,1,7:43.0,,Defensive rebound by U. Haslem,9,9
33,1,7:37.0,,U. Haslem makes 2-pt layup from 1 ft (assist by G. Dragić),9,11
34,1,7:25.0,Toronto full timeout,,9,11
35,1,7:16.0,D. DeRozan misses 2-pt jump shot from 15 ft,,9,11
36,1,7:15.0,,Defensive rebound by H. Whiteside,9,11
37,1,6:57.0,,G. Dragić makes 2-pt layup from 1 ft,9,13
38,1,6:47.0,T. Ross makes 2-pt dunk at rim (assist by P. Patterson),,11,13
39,1,6:23.0,,H. Whiteside makes 2-pt jump shot from 4 ft,11,15
40,1,6:05.0,T. Ross misses 2-pt jump shot from 13 ft (block by H. Whiteside),,11,15
41,1,6:04.0,Offensive rebound by T. Hansbrough,,11,15
42,1,6:04.0,Shooting foul by D. Wade (drawn by T. Hansbrough),,11,15
43,1,6:04.0,T. Hansbrough misses free throw 1 of 2,,11,15
44,1,6:04.0,Offensive rebound by Team,,11,15
45,1,6:04.0,T. Hansbrough makes free throw 2 of 2,,12,15
46,1,5:47.0,,Turnover by D. Wade (bad pass; steal by D. DeRozan),12,15
47,1,5:31.0,K. Lowry misses 3-pt jump shot from 23 ft,,12,15
48,1,5:30.0,,Defensive rebound by L. Deng,12,15
49,1,5:19.0,,D. Wade makes 2-pt jump shot from 15 ft,12,17
50,1,5:17.0,,Violation by Team (delay of game),12,17
51,1,4:56.0,D. DeRozan makes 2-pt jump shot from 14 ft,,14,17
52,1,4:40.0,,L. Deng makes 2-pt layup from 1 ft,14,19
53,1,4:21.0,D. DeRozan misses 2-pt jump shot from 5 ft,,14,19
54,1,4:20.0,,Defensive rebound by L. Deng,14,19
55,1,4:10.0,,D. Wade misses 2-pt jump shot from 8 ft,14,19
56,1,4:09.0,,Offensive rebound by D. Wade,14,19
57,1,4:08.0,,D. Wade misses 2-pt tip-in from 1 ft,14,19
58,1,4:07.0,Defensive rebound by T. Hansbrough,,14,19
59,1,4:03.0,P. Patterson misses 2-pt layup from 1 ft (block by H. Whiteside),,14,19
60,1,4:02.0,Offensive rebound by Team,,14,19
61,1,4:02.0,G. Vásquez enters the game for D. DeRozan,,14,19
62,1,4:02.0,,M. Chalmers enters the game for D. Wade,14,19
63,1,4:02.0,L. Williams enters the game for T. Ross,,14,19
64,1,4:02.0,D. DeRozan enters the game for K. Lowry,,14,19
65,1,3:51.0,D. DeRozan makes 3-pt jump shot from 23 ft (assist by P. Patterson),,17,19
66,1,3:39.0,Violation by G. Vásquez (kicked ball),,17,19
67,1,3:39.0,,J. Ennis enters the game for U. Haslem,17,19
68,1,3:33.0,,G. Dragić misses 2-pt jump shot from 15 ft,17,19
69,1,3:31.0,Defensive rebound by D. DeRozan,,17,19
70,1,3:23.0,P. Patterson misses 3-pt jump shot from 24 ft,,17,19
71,1,3:22.0,,Defensive rebound by L. Deng,17,19
72,1,3:06.0,,H. Whiteside misses 2-pt layup from 2 ft,17,19
73,1,3:05.0,,Offensive rebound by Team,17,19
