,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,SAN ANTONIO_ACTION,MILWAUKEE_SCORE,SAN ANTONIO_SCORE
0,1,11:40.0,,K. Leonard misses 3-pt jump shot from 23 ft,0,0
1,1,11:39.0,Defensive rebound by G. Antetokounmpo,,0,0
2,1,11:23.0,Turnover by E. İlyasova (bad pass; steal by D. Green),,0,0
3,1,11:07.0,,D. Green misses 3-pt jump shot from 22 ft,0,0
4,1,11:06.0,Defensive rebound by G. Antetokounmpo,,0,0
5,1,10:54.0,K. Middleton makes 2-pt jump shot from 16 ft (assist by Z. Pachulia),,2,0
6,1,10:41.0,,Turnover by T. Parker (lost ball; steal by G. Antetokounmpo),2,0
7,1,10:35.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,2,0
8,1,10:34.0,,Defensive rebound by D. Green,2,0
9,1,10:27.0,,T. Parker makes 2-pt layup from 1 ft,2,2
10,1,10:14.0,K. Middleton makes 2-pt jump shot from 16 ft (assist by B. Knight),,4,2
11,1,9:49.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by M. Bonner),4,5
12,1,9:36.0,K. Middleton misses 2-pt jump shot from 17 ft,,4,5
13,1,9:35.0,,Defensive rebound by T. Duncan,4,5
14,1,9:32.0,,San Antonio full timeout,4,5
15,1,9:32.0,,C. Joseph enters the game for K. Leonard,4,5
16,1,9:23.0,,Turnover by T. Duncan (lost ball; steal by Z. Pachulia),4,5
17,1,9:04.0,Z. Pachulia misses 2-pt layup from 2 ft,,4,5
18,1,9:03.0,,Defensive rebound by C. Joseph,4,5
19,1,8:51.0,,T. Duncan makes 2-pt jump shot from 3 ft (assist by D. Green),4,7
20,1,8:51.0,,Shooting foul by K. Middleton (drawn by T. Duncan),4,7
21,1,8:51.0,,T. Duncan makes free throw 1 of 1,4,8
22,1,8:37.0,E. İlyasova misses 3-pt jump shot from 24 ft,,4,8
23,1,8:36.0,,Defensive rebound by T. Duncan,4,8
24,1,8:25.0,,T. Duncan makes 2-pt layup at rim (assist by T. Parker),4,10
25,1,8:10.0,E. İlyasova makes 2-pt jump shot from 15 ft (assist by Z. Pachulia),,6,10
26,1,7:55.0,,T. Parker misses 2-pt layup from 1 ft,6,10
