,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MEMPHIS_ACTION,LA CLIPPERS_SCORE,MEMPHIS_SCORE
0,1,11:44.0,,M. Gasol misses 2-pt jump shot from 13 ft,0,0
1,1,11:43.0,Defensive rebound by M. Barnes,,0,0
2,1,11:28.0,J. Redick misses 3-pt jump shot from 22 ft,,0,0
3,1,11:27.0,,Defensive rebound by M. Gasol,0,0
4,1,11:12.0,,Z. Randolph misses 2-pt jump shot from 7 ft,0,0
5,1,11:12.0,,Offensive rebound by Team,0,0
6,1,11:01.0,,C. Lee makes 2-pt jump shot from 15 ft (assist by M. Conley),0,2
7,1,10:37.0,M. Barnes makes 3-pt jump shot from 25 ft (assist by B. Griffin),,3,2
8,1,10:26.0,,M. Gasol makes 2-pt jump shot from 15 ft (assist by M. Conley),3,4
9,1,10:11.0,M. Barnes makes 2-pt layup from 1 ft (assist by J. Redick),,5,4
10,1,9:58.0,,C. Lee misses 2-pt jump shot from 11 ft,5,4
11,1,9:55.0,Defensive rebound by D. Jordan,,5,4
12,1,9:51.0,D. Jordan misses 2-pt dunk at rim,,5,4
13,1,9:49.0,,Defensive rebound by C. Lee,5,4
14,1,9:42.0,,M. Conley makes 3-pt jump shot from 26 ft (assist by C. Lee),5,7
15,1,9:29.0,B. Griffin misses 2-pt jump shot from 20 ft,,5,7
16,1,9:28.0,,Defensive rebound by M. Gasol,5,7
17,1,9:20.0,,M. Gasol makes 2-pt jump shot from 20 ft (assist by M. Conley),5,9
18,1,9:03.0,J. Redick makes 2-pt layup from 1 ft,,7,9
19,1,8:42.0,,Turnover by Z. Randolph (lost ball; steal by C. Paul),7,9
20,1,8:38.0,Shooting foul by M. Conley (drawn by B. Griffin),,7,9
21,1,8:38.0,B. Griffin misses free throw 1 of 2,,7,9
22,1,8:38.0,Offensive rebound by Team,,7,9
23,1,8:38.0,B. Griffin makes free throw 2 of 2,,8,9
24,1,8:28.0,,Turnover by M. Conley (lost ball; steal by D. Jordan),8,9
25,1,8:26.0,Turnover by D. Jordan (bad pass; steal by C. Lee),,8,9
26,1,8:20.0,,M. Gasol makes 2-pt layup at rim (assist by T. Allen),8,11
27,1,8:02.0,M. Barnes makes 2-pt jump shot from 21 ft (assist by B. Griffin),,10,11
28,1,7:52.0,,Shooting foul by C. Paul (drawn by M. Conley),10,11
29,1,7:52.0,,M. Conley misses free throw 1 of 2,10,11
30,1,7:52.0,,Offensive rebound by Team,10,11
31,1,7:52.0,,M. Conley makes free throw 2 of 2,10,12
32,1,7:38.0,M. Barnes misses 3-pt jump shot from 24 ft,,10,12
33,1,7:37.0,,Defensive rebound by Z. Randolph,10,12
34,1,7:30.0,,T. Allen misses 2-pt jump shot from 5 ft,10,12
35,1,7:28.0,Defensive rebound by C. Paul,,10,12
36,1,7:18.0,Shooting foul by Z. Randolph (drawn by M. Barnes),,10,12
37,1,7:18.0,M. Barnes misses free throw 1 of 2,,10,12
38,1,7:18.0,Offensive rebound by Team,,10,12
39,1,7:18.0,M. Barnes misses free throw 2 of 2,,10,12
40,1,7:17.0,,Defensive rebound by T. Allen,10,12
41,1,6:59.0,,Z. Randolph makes 2-pt layup from 2 ft,10,14
42,1,6:52.0,Personal foul by M. Conley (drawn by C. Paul),,10,14
43,1,6:52.0,,V. Carter enters the game for T. Allen,10,14
44,1,6:52.0,,B. Udrih enters the game for M. Conley,10,14
45,1,6:48.0,M. Barnes makes 2-pt layup from 1 ft,,12,14
46,1,6:31.0,,M. Gasol makes 2-pt jump shot from 14 ft,12,16
47,1,6:22.0,J. Redick misses 3-pt jump shot from 24 ft,,12,16
48,1,6:21.0,,Defensive rebound by Z. Randolph,12,16
49,1,6:21.0,Loose ball foul by D. Jordan (drawn by M. Gasol),,12,16
50,1,6:03.0,,M. Gasol makes 2-pt layup at rim,12,18
51,1,5:56.0,LA Clippers full timeout,,12,18
52,1,5:46.0,B. Griffin makes 2-pt hook shot from 6 ft,,14,18
53,1,5:28.0,,Z. Randolph misses 2-pt jump shot from 4 ft,14,18
54,1,5:27.0,Defensive rebound by B. Griffin,,14,18
