,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA CLIPPERS_ACTION,MEMPHIS_SCORE,LA CLIPPERS_SCORE
0,1,11:40.0,J. Green misses 2-pt layup from 3 ft,,0,0
1,1,11:38.0,,Defensive rebound by D. Jordan,0,0
2,1,11:32.0,,LA Clippers full timeout,0,0
3,1,11:23.0,,Turnover by C. Paul (bad pass; steal by J. Green),0,0
4,1,10:58.0,C. Lee misses 2-pt jump shot from 4 ft,,0,0
5,1,10:56.0,,Defensive rebound by D. Jordan,0,0
6,1,10:47.0,,M. Barnes misses 3-pt jump shot from 27 ft,0,0
7,1,10:47.0,Defensive rebound by Team,,0,0
8,1,10:33.0,Z. Randolph misses 2-pt jump shot from 16 ft,,0,0
9,1,10:32.0,,Defensive rebound by J. Redick,0,0
10,1,10:23.0,,J. Redick misses 3-pt jump shot from 25 ft,0,0
11,1,10:21.0,Defensive rebound by J. Green,,0,0
12,1,10:05.0,Z. Randolph misses 2-pt jump shot from 21 ft,,0,0
13,1,10:04.0,,Defensive rebound by D. Jordan,0,0
14,1,9:53.0,,S. Hawes misses 2-pt jump shot from 19 ft,0,0
15,1,9:53.0,,Offensive rebound by Team,0,0
16,1,9:53.0,Loose ball foul by M. Gasol (drawn by D. Jordan),,0,0
17,1,9:43.0,,S. Hawes misses 2-pt layup from 3 ft (block by M. Gasol),0,0
18,1,9:41.0,,Offensive rebound by S. Hawes,0,0
19,1,9:39.0,,S. Hawes misses 2-pt layup from 2 ft,0,0
20,1,9:38.0,Defensive rebound by M. Gasol,,0,0
21,1,9:20.0,J. Green misses 2-pt jump shot from 4 ft (block by S. Hawes),,0,0
22,1,9:17.0,,Defensive rebound by M. Barnes,0,0
23,1,9:13.0,,M. Barnes misses 2-pt layup from 1 ft,0,0
24,1,9:09.0,Defensive rebound by J. Green,,0,0
25,1,9:06.0,J. Green makes 2-pt layup from 2 ft,,2,0
26,1,8:46.0,,J. Redick makes 2-pt jump shot from 17 ft (assist by C. Paul),2,2
27,1,8:24.0,M. Conley misses 3-pt jump shot from 27 ft,,2,2
28,1,8:23.0,,Defensive rebound by Team,2,2
29,1,8:11.0,,C. Paul makes 2-pt jump shot from 19 ft,2,4
30,1,7:48.0,J. Green misses 3-pt jump shot from 26 ft,,2,4
31,1,7:46.0,Offensive rebound by M. Conley,,2,4
32,1,7:37.0,M. Gasol misses 2-pt jump shot from 3 ft (block by S. Hawes),,2,4
33,1,7:36.0,Offensive rebound by Team,,2,4
34,1,7:19.0,M. Gasol makes 2-pt jump shot from 21 ft (assist by J. Green),,4,4
35,1,7:09.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),4,6
36,1,6:39.0,J. Green misses 3-pt jump shot from 25 ft,,4,6
37,1,6:38.0,,Defensive rebound by D. Jordan,4,6
38,1,6:30.0,,C. Paul makes 2-pt jump shot from 17 ft,4,8
39,1,6:24.0,Memphis full timeout,,4,8
