,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MINNESOTA_ACTION,MEMPHIS_SCORE,MINNESOTA_SCORE
74,1,2:00.0,T. Allen makes 2-pt jump shot from 5 ft,,19,20
75,1,1:48.0,,Shooting foul by C. Lee (drawn by K. Martin),19,20
76,1,1:48.0,,K. Martin makes free throw 1 of 2,19,21
77,1,1:48.0,,A. Bennett enters the game for T. Young,19,21
78,1,1:48.0,,K. Martin makes free throw 2 of 2,19,22
79,1,1:36.0,C. Lee misses 2-pt jump shot from 20 ft,,19,22
80,1,1:34.0,,Defensive rebound by M. Williams,19,22
81,1,1:21.0,,A. Bennett misses 2-pt jump shot from 21 ft,19,22
82,1,1:14.0,,Offensive rebound by G. Dieng,19,22
83,1,1:12.0,,G. Dieng misses 2-pt layup at rim,19,22
84,1,1:11.0,Defensive rebound by B. Udrih,,19,22
85,1,1:08.0,M. Gasol makes 2-pt layup at rim (assist by B. Udrih),,21,22
86,1,0:55.0,,Shooting foul by J. Leuer (drawn by A. Wiggins),21,22
87,1,0:55.0,,A. Wiggins makes free throw 1 of 2,21,23
88,1,0:55.0,,Z. LaVine enters the game for K. Martin,21,23
89,1,0:55.0,,A. Wiggins makes free throw 2 of 2,21,24
90,1,0:37.0,M. Gasol makes 2-pt jump shot from 6 ft,,23,24
91,1,0:32.0,,M. Williams misses 3-pt jump shot from 25 ft,23,24
92,1,0:31.0,Defensive rebound by J. Leuer,,23,24
93,1,0:15.0,Turnover by J. Leuer (bad pass; steal by A. Bennett),,23,24
94,1,0:00.0,,M. Williams misses 3-pt jump shot from 26 ft,23,24
95,1,0:00.0,,Offensive rebound by Team,23,24
96,2,11:44.0,,A. Bennett makes 2-pt dunk at rim,23,26
97,2,11:21.0,B. Udrih makes 2-pt jump shot from 18 ft (assist by N. Calathes),,25,26
98,2,11:02.0,,N. Peković makes 2-pt layup from 1 ft,25,28
99,2,10:45.0,B. Udrih misses 2-pt jump shot from 21 ft,,25,28
100,2,10:44.0,,Defensive rebound by A. Bennett,25,28
101,2,10:32.0,,Personal foul by K. Koufos (drawn by N. Peković),25,28
102,2,10:20.0,,N. Peković misses 2-pt jump shot from 7 ft,25,28
103,2,10:18.0,Defensive rebound by Team,,25,28
104,2,10:11.0,Offensive foul by N. Calathes (drawn by Z. LaVine),,25,28
105,2,10:11.0,Turnover by N. Calathes (offensive foul),,25,28
106,2,9:56.0,,M. Williams makes 3-pt jump shot from 24 ft (assist by A. Wiggins),25,31
107,2,9:36.0,N. Calathes misses 3-pt jump shot from 24 ft,,25,31
108,2,9:35.0,,Defensive rebound by Z. LaVine,25,31
109,2,9:30.0,,Z. LaVine misses 2-pt jump shot from 20 ft,25,31
110,2,9:27.0,,Offensive rebound by A. Wiggins,25,31
111,2,9:27.0,,A. Wiggins misses 2-pt tip-in from 1 ft,25,31
112,2,9:25.0,Defensive rebound by B. Udrih,,25,31
113,2,9:21.0,Turnover by B. Udrih (bad pass; steal by N. Peković),,25,31
114,2,9:16.0,,A. Bennett makes 2-pt dunk at rim (assist by A. Wiggins),25,33
115,2,9:10.0,Memphis full timeout,,25,33
116,2,9:10.0,J. Green enters the game for C. Lee,,25,33
117,2,9:10.0,,T. Young enters the game for A. Wiggins,25,33
118,2,9:10.0,J. Green enters the game for J. Leuer,,25,33
119,2,9:01.0,J. Green makes 2-pt layup from 2 ft (assist by B. Udrih),,27,33
120,2,8:45.0,,Shooting foul by J. Green (drawn by A. Bennett),27,33
121,2,8:45.0,,A. Bennett makes free throw 1 of 2,27,34
122,2,8:45.0,,A. Bennett makes free throw 2 of 2,27,35
123,2,8:36.0,Turnover by K. Koufos (traveling),,27,35
124,2,8:23.0,,Z. LaVine misses 2-pt jump shot from 17 ft,27,35
125,2,8:21.0,,Offensive rebound by A. Bennett,27,35
126,2,8:19.0,,N. Peković makes 2-pt layup from 1 ft (assist by A. Bennett),27,37
127,2,7:58.0,J. Green makes 2-pt jump shot from 7 ft (assist by B. Udrih),,29,37
128,2,7:33.0,,Z. LaVine misses 3-pt jump shot from 25 ft,29,37
129,2,7:32.0,,Offensive rebound by A. Bennett,29,37
130,2,7:11.0,,N. Peković misses 2-pt jump shot from 5 ft,29,37
131,2,7:10.0,Defensive rebound by J. Green,,29,37
132,2,7:05.0,N. Calathes makes 2-pt jump shot from 4 ft,,31,37
133,2,6:57.0,,Minnesota full timeout,31,37
134,2,6:57.0,,R. Rubio enters the game for Z. LaVine,31,37
135,2,6:57.0,M. Conley enters the game for B. Udrih,,31,37
136,2,6:50.0,,Turnover by N. Peković (bad pass; steal by K. Koufos),31,37
137,2,6:35.0,Shooting foul by N. Peković (drawn by J. Green),,31,37
138,2,6:35.0,J. Green misses free throw 1 of 2,,31,37
139,2,6:35.0,Offensive rebound by Team,,31,37
140,2,6:35.0,,G. Dieng enters the game for N. Peković,31,37
141,2,6:35.0,,K. Martin enters the game for M. Williams,31,37
142,2,6:35.0,,A. Wiggins enters the game for A. Bennett,31,37
143,2,6:35.0,J. Green misses free throw 2 of 2,,31,37
144,2,6:35.0,,Defensive rebound by A. Wiggins,31,37
145,2,6:17.0,,K. Martin misses 3-pt jump shot from 24 ft,31,37
146,2,6:16.0,Defensive rebound by M. Conley,,31,37
147,2,6:00.0,M. Conley misses 3-pt jump shot from 25 ft,,31,37
148,2,5:59.0,,Defensive rebound by G. Dieng,31,37
149,2,5:45.0,,G. Dieng misses 2-pt hook shot from 10 ft,31,37
150,2,5:44.0,Defensive rebound by K. Koufos,,31,37
151,2,5:32.0,J. Green makes 2-pt jump shot from 19 ft (assist by N. Calathes),,33,37
152,2,5:09.0,,Offensive foul by G. Dieng (drawn by M. Conley),33,37
153,2,5:09.0,,Turnover by G. Dieng (offensive foul),33,37
154,2,4:54.0,Offensive foul by N. Calathes (drawn by R. Rubio),,33,37
155,2,4:54.0,Turnover by N. Calathes (offensive foul),,33,37
156,2,4:54.0,,A. Bennett enters the game for G. Dieng,33,37
157,2,4:43.0,,Turnover by A. Wiggins (bad pass),33,37
158,2,4:28.0,K. Koufos makes 2-pt hook shot from 3 ft,,35,37
159,2,4:12.0,,R. Rubio misses 2-pt jump shot from 21 ft,35,37
160,2,4:11.0,Defensive rebound by J. Green,,35,37
161,2,4:05.0,J. Green makes 2-pt layup at rim (assist by J. Green),,37,37
162,2,3:55.0,,Minnesota full timeout,37,37
163,2,3:42.0,,K. Martin makes 2-pt jump shot from 11 ft,37,39
164,2,3:21.0,M. Conley makes 2-pt jump shot from 7 ft,,39,39
165,2,3:04.0,,T. Young makes 2-pt layup from 1 ft,39,41
166,2,2:39.0,J. Green misses 2-pt jump shot from 16 ft,,39,41
167,2,2:38.0,,Defensive rebound by R. Rubio,39,41
168,2,2:33.0,,R. Rubio makes 2-pt jump shot from 14 ft,39,43
169,2,2:26.0,Personal foul by R. Rubio (drawn by M. Conley),,39,43
170,2,2:26.0,Memphis full timeout,,39,43
171,2,2:26.0,M. Gasol enters the game for K. Koufos,,39,43
172,2,2:26.0,T. Allen enters the game for N. Calathes,,39,43
173,2,2:16.0,J. Green misses 2-pt layup from 1 ft,,39,43
174,2,2:15.0,,Defensive rebound by T. Young,39,43
175,2,2:11.0,,Turnover by A. Bennett (offensive foul),39,43
176,2,2:11.0,Offensive charge foul by A. Bennett (drawn by M. Gasol),,39,43
177,2,1:56.0,Personal foul by A. Bennett (drawn by M. Gasol),,39,43
178,2,1:47.0,Personal foul by T. Young (drawn by J. Green),,39,43
179,2,1:47.0,J. Green makes free throw 1 of 2,,40,43
180,2,1:47.0,J. Green makes free throw 2 of 2,,41,43
181,2,1:31.0,,K. Martin misses 2-pt jump shot from 16 ft,41,43
182,2,1:30.0,Defensive rebound by M. Conley,,41,43
183,2,1:22.0,J. Green makes 2-pt layup at rim (assist by M. Gasol),,43,43
184,2,1:22.0,Shooting foul by T. Young (drawn by J. Green),,43,43
185,2,1:22.0,J. Green misses free throw 1 of 1,,43,43
186,2,1:21.0,,Defensive rebound by A. Wiggins,43,43
187,2,1:06.0,,R. Rubio misses 2-pt jump shot from 18 ft,43,43
188,2,1:04.0,Defensive rebound by Team,,43,43
189,2,0:52.0,T. Allen misses 2-pt layup at rim,,43,43
190,2,0:50.0,,Defensive rebound by T. Young,43,43
191,2,0:36.0,,T. Young misses 2-pt jump shot from 4 ft,43,43
192,2,0:35.0,Defensive rebound by J. Green,,43,43
193,2,0:29.0,Offensive foul by J. Green (drawn by R. Rubio),,43,43
194,2,0:29.0,Turnover by J. Green (offensive foul),,43,43
195,2,0:12.0,,Personal foul by M. Conley (drawn by R. Rubio),43,43
196,2,0:04.0,,K. Martin misses 2-pt jump shot from 21 ft,43,43
197,2,0:02.0,Defensive rebound by M. Conley,,43,43
198,2,0:00.0,M. Conley misses 3-pt jump shot from 40 ft,,43,43
199,2,0:00.0,Offensive rebound by Team,,43,43
200,3,11:43.0,,Shooting foul by M. Gasol (drawn by N. Peković),43,43
201,3,11:43.0,,N. Peković misses free throw 1 of 2,43,43
202,3,11:43.0,,Offensive rebound by Team,43,43
203,3,11:43.0,,N. Peković makes free throw 2 of 2,43,44
204,3,11:22.0,M. Conley makes 2-pt jump shot from 6 ft,,45,44
205,3,11:07.0,,N. Peković misses 2-pt jump shot from 3 ft (block by M. Gasol),45,44
206,3,11:04.0,,Offensive rebound by A. Wiggins,45,44
207,3,11:01.0,,A. Wiggins makes 2-pt jump shot from 20 ft,45,46
208,3,10:43.0,Shooting foul by N. Peković (drawn by J. Green),,45,46
209,3,10:43.0,J. Green makes free throw 1 of 2,,46,46
210,3,10:43.0,,G. Dieng enters the game for N. Peković,46,46
211,3,10:43.0,J. Green misses free throw 2 of 2,,46,46
212,3,10:43.0,,Defensive rebound by T. Young,46,46
213,3,10:22.0,,K. Martin makes 2-pt jump shot from 15 ft,46,48
214,3,10:00.0,J. Green misses 3-pt jump shot from 25 ft,,46,48
215,3,9:59.0,,Defensive rebound by R. Rubio,46,48
216,3,9:50.0,,Shooting foul by Z. Randolph (drawn by T. Young),46,48
217,3,9:50.0,,T. Young makes free throw 1 of 2,46,49
218,3,9:50.0,,T. Young makes free throw 2 of 2,46,50
219,3,9:35.0,C. Lee misses 2-pt jump shot from 11 ft,,46,50
220,3,9:34.0,,Defensive rebound by K. Martin,46,50
221,3,9:24.0,,R. Rubio makes 3-pt jump shot from 24 ft (assist by T. Young),46,53
222,3,9:07.0,M. Conley misses 2-pt layup from 2 ft,,46,53
223,3,9:06.0,Offensive rebound by M. Gasol,,46,53
224,3,9:00.0,M. Gasol makes 2-pt layup at rim (assist by M. Conley),,48,53
225,3,9:00.0,Shooting foul by A. Wiggins (drawn by M. Gasol),,48,53
226,3,9:00.0,M. Gasol makes free throw 1 of 1,,49,53
227,3,8:47.0,,G. Dieng makes 2-pt jump shot from 14 ft,49,55
228,3,8:33.0,C. Lee makes 3-pt jump shot from 23 ft (assist by J. Green),,52,55
229,3,8:17.0,,K. Martin misses 3-pt jump shot from 23 ft,52,55
230,3,8:16.0,Defensive rebound by Z. Randolph,,52,55
231,3,8:09.0,Shooting foul by T. Young (drawn by M. Conley),,52,55
232,3,8:09.0,M. Conley makes free throw 1 of 2,,53,55
233,3,8:09.0,M. Conley makes free throw 2 of 2,,54,55
234,3,7:49.0,,Turnover by R. Rubio (bad pass; steal by Z. Randolph),54,55
235,3,7:35.0,M. Gasol misses 2-pt jump shot from 11 ft,,54,55
236,3,7:34.0,,Defensive rebound by K. Martin,54,55
237,3,7:28.0,,R. Rubio misses 3-pt jump shot from 24 ft,54,55
238,3,7:27.0,Defensive rebound by Team,,54,55
239,3,7:08.0,J. Green misses 2-pt layup at rim,,54,55
240,3,7:07.0,Offensive rebound by J. Green,,54,55
241,3,7:07.0,J. Green misses 2-pt tip-in at rim,,54,55
242,3,7:05.0,,Defensive rebound by G. Dieng,54,55
243,3,6:58.0,,R. Rubio misses 2-pt jump shot from 20 ft,54,55
244,3,6:57.0,Defensive rebound by Z. Randolph,,54,55
245,3,6:56.0,Turnover by Z. Randolph (bad pass),,54,55
246,3,6:51.0,,R. Rubio makes 2-pt jump shot from 11 ft,54,57
247,3,6:37.0,M. Conley makes 2-pt layup from 1 ft,,56,57
248,3,6:19.0,,Turnover by R. Rubio (bad pass; steal by M. Gasol),56,57
249,3,6:10.0,C. Lee makes 2-pt jump shot from 16 ft (assist by M. Conley),,58,57
250,3,6:08.0,,Minnesota full timeout,58,57
251,3,6:08.0,,M. Williams enters the game for R. Rubio,58,57
252,3,5:53.0,,Turnover by M. Williams (bad pass; steal by M. Gasol),58,57
253,3,5:37.0,Z. Randolph misses 2-pt jump shot from 8 ft,,58,57
254,3,5:36.0,,Defensive rebound by T. Young,58,57
255,3,5:22.0,,Turnover by M. Williams (bad pass; steal by C. Lee),58,57
256,3,5:13.0,J. Green misses 3-pt jump shot from 24 ft,,58,57
257,3,5:11.0,,Defensive rebound by M. Williams,58,57
258,3,4:57.0,,A. Wiggins misses 3-pt jump shot from 24 ft,58,57
259,3,4:55.0,Defensive rebound by M. Conley,,58,57
260,3,4:47.0,Z. Randolph makes 2-pt layup at rim (assist by C. Lee),,60,57
261,3,4:24.0,,M. Williams misses 2-pt jump shot from 16 ft,60,57
262,3,4:23.0,Defensive rebound by Z. Randolph,,60,57
263,3,4:08.0,Z. Randolph misses 2-pt jump shot from 5 ft,,60,57
264,3,4:07.0,,Defensive rebound by G. Dieng,60,57
265,3,3:52.0,,T. Young misses 2-pt layup at rim,60,57
266,3,3:50.0,,Offensive rebound by A. Wiggins,60,57
267,3,3:50.0,,A. Wiggins makes 2-pt dunk at rim,60,59
268,3,3:34.0,T. Allen enters the game for J. Green,,60,59
269,3,3:33.0,Personal foul by M. Williams (drawn by M. Conley),,60,59
270,3,3:23.0,M. Conley makes 3-pt jump shot from 25 ft,,63,59
271,3,3:04.0,,Turnover by A. Wiggins (bad pass; steal by M. Gasol),63,59
272,3,2:56.0,M. Gasol makes 2-pt jump shot from 15 ft (assist by M. Conley),,65,59
273,3,2:56.0,,Minnesota full timeout,65,59
274,3,2:56.0,Memphis full timeout,,65,59
275,3,2:40.0,,Turnover by K. Martin (traveling),65,59
276,3,2:25.0,Turnover by M. Conley (lost ball; steal by T. Young),,65,59
277,3,2:20.0,,T. Young makes 2-pt layup from 2 ft (assist by K. Martin),65,61
278,3,1:56.0,C. Lee misses 2-pt jump shot from 15 ft,,65,61
279,3,1:55.0,,Defensive rebound by Team,65,61
280,3,1:40.0,,K. Martin makes 2-pt jump shot from 14 ft,65,63
281,3,1:18.0,Z. Randolph makes 2-pt layup at rim,,67,63
282,3,1:00.0,,G. Dieng makes 2-pt dunk at rim (assist by M. Williams),67,65
283,3,0:50.0,M. Conley makes 2-pt jump shot from 5 ft,,69,65
284,3,0:39.0,,T. Young misses 3-pt jump shot from 25 ft,69,65
285,3,0:38.0,Defensive rebound by M. Gasol,,69,65
286,3,0:28.0,M. Conley misses 3-pt jump shot from 25 ft,,69,65
287,3,0:27.0,,Defensive rebound by T. Young,69,65
288,3,0:03.0,,K. Martin misses 3-pt jump shot from 24 ft,69,65
289,3,0:01.0,Defensive rebound by Z. Randolph,,69,65
290,3,0:00.0,Z. Randolph misses 3-pt jump shot from 64 ft,,69,65
291,3,0:00.0,Offensive rebound by Team,,69,65
292,4,11:42.0,Z. Randolph misses 2-pt jump shot from 19 ft,,69,65
293,4,11:41.0,,Defensive rebound by K. Martin,69,65
294,4,11:24.0,,M. Williams makes 2-pt jump shot from 19 ft,69,67
295,4,11:02.0,Z. Randolph makes 2-pt layup at rim (assist by M. Conley),,71,67
296,4,10:43.0,,N. Peković misses 2-pt jump shot from 4 ft,71,67
297,4,10:42.0,Defensive rebound by Z. Randolph,,71,67
298,4,10:37.0,C. Lee makes 2-pt layup from 1 ft (assist by M. Conley),,73,67
299,4,10:24.0,,N. Peković makes 2-pt jump shot from 17 ft (assist by M. Williams),73,69
300,4,10:00.0,C. Lee makes 2-pt layup from 3 ft,,75,69
301,4,9:33.0,,Turnover by Team (shot clock),75,69
302,4,9:33.0,N. Calathes enters the game for C. Lee,,75,69
303,4,9:33.0,,Z. LaVine enters the game for K. Martin,75,69
304,4,9:33.0,B. Udrih enters the game for M. Conley,,75,69
305,4,9:16.0,N. Calathes misses 2-pt layup from 1 ft,,75,69
306,4,9:15.0,,Defensive rebound by N. Peković,75,69
