,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CLEVELAND_ACTION,MILWAUKEE_SCORE,CLEVELAND_SCORE
0,1,11:45.0,G. Antetokounmpo misses 2-pt jump shot from 9 ft,,0,0
1,1,11:43.0,,Defensive rebound by S. Marion,0,0
2,1,11:27.0,,K. Love misses 3-pt jump shot from 24 ft,0,0
3,1,11:26.0,Defensive rebound by L. Sanders,,0,0
4,1,11:15.0,O. Mayo misses 2-pt jump shot from 12 ft,,0,0
5,1,11:13.0,,Defensive rebound by K. Love,0,0
6,1,11:10.0,,Shooting foul by O. Mayo (drawn by K. Irving),0,0
7,1,11:10.0,,K. Irving makes free throw 1 of 2,0,1
8,1,11:10.0,,K. Irving makes free throw 2 of 2,0,2
9,1,10:49.0,B. Knight misses 2-pt jump shot from 22 ft,,0,2
10,1,10:48.0,,Defensive rebound by K. Love,0,2
11,1,10:40.0,,Turnover by K. Love (traveling),0,2
12,1,10:27.0,J. Parker misses 2-pt jump shot from 16 ft,,0,2
13,1,10:26.0,,Defensive rebound by A. Varejão,0,2
14,1,10:22.0,,S. Marion misses 2-pt layup from 2 ft (block by O. Mayo),0,2
15,1,10:22.0,,Offensive rebound by Team,0,2
16,1,10:17.0,,A. Varejão misses 2-pt jump shot from 15 ft,0,2
17,1,10:16.0,Defensive rebound by G. Antetokounmpo,,0,2
18,1,10:12.0,Personal block foul by L. James (drawn by G. Antetokounmpo),,0,2
19,1,10:01.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by B. Knight),,2,2
20,1,9:49.0,,L. James misses 2-pt jump shot from 15 ft,2,2
21,1,9:48.0,Defensive rebound by B. Knight,,2,2
22,1,9:44.0,,Violation by K. Irving (kicked ball),2,2
23,1,9:32.0,L. Sanders makes 2-pt layup from 1 ft (assist by J. Parker),,4,2
24,1,9:15.0,,K. Love makes 2-pt layup from 1 ft (assist by A. Varejão),4,4
25,1,9:00.0,B. Knight makes 2-pt jump shot from 19 ft (assist by G. Antetokounmpo),,6,4
26,1,8:37.0,,S. Marion misses 2-pt jump shot from 6 ft,6,4
27,1,8:36.0,Defensive rebound by O. Mayo,,6,4
28,1,8:16.0,G. Antetokounmpo misses 2-pt jump shot from 6 ft,,6,4
29,1,8:13.0,Offensive rebound by L. Sanders,,6,4
30,1,8:13.0,L. Sanders misses 2-pt tip-in from 1 ft,,6,4
31,1,8:10.0,Offensive rebound by J. Parker,,6,4
32,1,8:08.0,G. Antetokounmpo misses 2-pt hook shot from 6 ft,,6,4
33,1,8:05.0,,Defensive rebound by K. Love,6,4
34,1,8:02.0,,S. Marion makes 2-pt layup at rim (assist by L. James),6,6
35,1,7:49.0,O. Mayo misses 2-pt jump shot from 4 ft,,6,6
36,1,7:46.0,,Defensive rebound by Team,6,6
37,1,7:45.0,,K. Irving makes 2-pt jump shot from 5 ft,6,8
38,1,7:45.0,,Shooting foul by B. Knight (drawn by K. Irving),6,8
39,1,7:45.0,,K. Irving misses free throw 1 of 1,6,8
40,1,7:37.0,Defensive rebound by B. Knight,,6,8
41,1,7:37.0,B. Knight misses 2-pt jump shot from 7 ft (block by K. Irving),,6,8
42,1,7:37.0,Offensive rebound by Team,,6,8
43,1,7:23.0,L. Sanders makes 2-pt dunk at rim,,8,8
