,QUARTER,TIME_REMAINING,CHICAGO_ACTION,PHILADELPHIA_ACTION,CHICAGO_SCORE,PHILADELPHIA_SCORE
0,1,11:44.0,,N. Noel misses 2-pt layup from 1 ft (block by N. Mirotić),0,0
1,1,11:42.0,Defensive rebound by P. Gasol,,0,0
2,1,11:24.0,N. Mirotić misses 3-pt jump shot from 22 ft,,0,0
3,1,11:22.0,Offensive rebound by Team,,0,0
4,1,11:17.0,P. Gasol misses 2-pt jump shot from 5 ft,,0,0
5,1,11:15.0,Offensive rebound by P. Gasol,,0,0
6,1,11:15.0,P. Gasol makes 2-pt tip-in at rim,,2,0
7,1,11:03.0,,L. Mbah a Moute makes 2-pt jump shot from 19 ft (assist by J. Richardson),2,2
8,1,10:32.0,A. Brooks makes 3-pt jump shot from 23 ft,,5,2
9,1,10:13.0,,J. Sampson misses 3-pt jump shot from 23 ft,5,2
10,1,10:12.0,Defensive rebound by P. Gasol,,5,2
11,1,10:05.0,Turnover by N. Mirotić (lost ball; steal by J. Richardson),,5,2
12,1,9:57.0,,I. Smith misses 3-pt jump shot from 23 ft,5,2
13,1,9:55.0,Defensive rebound by A. Brooks,,5,2
14,1,9:49.0,P. Gasol makes 2-pt dunk at rim (assist by M. Dunleavy),,7,2
15,1,9:22.0,,I. Smith misses 2-pt jump shot from 15 ft,7,2
16,1,9:20.0,Defensive rebound by P. Gasol,,7,2
17,1,9:07.0,T. Snell makes 3-pt jump shot from 25 ft (assist by P. Gasol),,10,2
18,1,8:49.0,,J. Richardson misses 3-pt jump shot from 25 ft,10,2
19,1,8:47.0,,Offensive rebound by N. Noel,10,2
20,1,8:36.0,,N. Noel makes 2-pt hook shot from 3 ft,10,4
21,1,8:20.0,A. Brooks misses 3-pt jump shot from 25 ft,,10,4
22,1,8:18.0,,Defensive rebound by N. Noel,10,4
23,1,8:08.0,,N. Noel misses 2-pt tip-in at rim,10,4
24,1,8:04.0,Defensive rebound by T. Snell,,10,4
25,1,7:57.0,P. Gasol makes 2-pt dunk at rim (assist by N. Mirotić),,12,4
26,1,7:57.0,,Philadelphia full timeout,12,4
