,QUARTER,TIME_REMAINING,DETROIT_ACTION,SAN ANTONIO_ACTION,DETROIT_SCORE,SAN ANTONIO_SCORE
0,1,11:47.0,,M. Belinelli makes 3-pt jump shot from 24 ft (assist by T. Parker),0,3
1,1,11:32.0,K. Caldwell-Pope misses 2-pt jump shot from 19 ft,,0,3
2,1,11:31.0,,Defensive rebound by M. Belinelli,0,3
3,1,11:23.0,,T. Splitter misses 2-pt layup from 1 ft,0,3
4,1,11:22.0,,Offensive rebound by T. Splitter,0,3
5,1,11:15.0,,D. Green misses 2-pt jump shot from 8 ft,0,3
6,1,11:13.0,,Offensive rebound by T. Splitter,0,3
7,1,11:13.0,,T. Splitter misses 2-pt tip-in at rim,0,3
8,1,11:12.0,,Offensive rebound by D. Green,0,3
9,1,11:12.0,,D. Green makes 2-pt tip-in at rim,0,5
10,1,10:52.0,G. Monroe makes 2-pt jump shot from 5 ft (assist by B. Jennings),,2,5
11,1,10:28.0,,M. Belinelli misses 3-pt jump shot from 23 ft,2,5
12,1,10:27.0,Defensive rebound by G. Monroe,,2,5
13,1,10:21.0,B. Jennings makes 2-pt jump shot from 14 ft,,4,5
14,1,10:08.0,,Shooting foul by G. Monroe (drawn by T. Duncan),4,5
15,1,10:08.0,,T. Duncan misses free throw 1 of 2,4,5
16,1,10:08.0,,Offensive rebound by Team,4,5
17,1,10:08.0,,T. Duncan makes free throw 2 of 2,4,6
18,1,9:51.0,G. Monroe makes 2-pt hook shot from 8 ft,,6,6
19,1,9:34.0,,T. Duncan makes 2-pt jump shot from 6 ft (assist by M. Belinelli),6,8
20,1,9:22.0,A. Drummond makes 2-pt dunk at rim (assist by B. Jennings),,8,8
21,1,9:11.0,,T. Duncan makes 2-pt jump shot from 3 ft (assist by T. Splitter),8,10
22,1,8:54.0,B. Jennings misses 2-pt jump shot from 13 ft,,8,10
23,1,8:53.0,,Defensive rebound by T. Splitter,8,10
24,1,8:35.0,,T. Splitter misses 2-pt layup from 1 ft,8,10
25,1,8:34.0,,Offensive rebound by Team,8,10
26,1,8:32.0,,D. Green makes 2-pt layup from 1 ft (assist by T. Splitter),8,12
27,1,8:16.0,K. Caldwell-Pope misses 2-pt layup from 1 ft (block by T. Duncan),,8,12
28,1,8:14.0,,Defensive rebound by T. Splitter,8,12
29,1,7:55.0,,T. Duncan makes 2-pt jump shot from 18 ft (assist by D. Green),8,14
30,1,7:35.0,G. Monroe makes 2-pt layup at rim,,10,14
31,1,7:10.0,,M. Belinelli misses 3-pt jump shot from 31 ft,10,14
32,1,7:07.0,Defensive rebound by A. Drummond,,10,14
33,1,7:01.0,Turnover by B. Jennings (lost ball; steal by T. Splitter),,10,14
34,1,6:58.0,,Turnover by T. Splitter (lost ball; steal by K. Singler),10,14
35,1,6:49.0,B. Jennings misses 3-pt jump shot from 25 ft,,10,14
36,1,6:48.0,,Defensive rebound by T. Duncan,10,14
37,1,6:39.0,,T. Duncan misses 2-pt layup from 2 ft,10,14
38,1,6:39.0,,Offensive rebound by Team,10,14
39,1,6:39.0,,P. Mills enters the game for D. Green,10,14
40,1,6:39.0,,M. Ginóbili enters the game for T. Duncan,10,14
41,1,6:39.0,,B. Diaw enters the game for T. Splitter,10,14
42,1,6:39.0,,J. Ayres enters the game for M. Belinelli,10,14
43,1,6:39.0,,C. Joseph enters the game for T. Parker,10,14
44,1,6:35.0,,J. Ayres misses 2-pt jump shot from 10 ft,10,14
45,1,6:34.0,Defensive rebound by A. Drummond,,10,14
46,1,6:15.0,Turnover by K. Caldwell-Pope (lost ball; steal by M. Ginóbili),,10,14
47,1,6:10.0,,P. Mills makes 2-pt layup at rim (assist by M. Ginóbili),10,16
48,1,5:48.0,G. Monroe misses 2-pt jump shot from 4 ft,,10,16
49,1,5:47.0,Offensive rebound by G. Monroe,,10,16
50,1,5:46.0,Shooting foul by C. Joseph (drawn by G. Monroe),,10,16
51,1,5:46.0,,San Antonio full timeout,10,16
52,1,5:46.0,G. Monroe makes free throw 1 of 2,,11,16
53,1,5:46.0,G. Monroe makes free throw 2 of 2,,12,16
54,1,5:31.0,,P. Mills misses 2-pt jump shot from 16 ft,12,16
55,1,5:29.0,,Offensive rebound by B. Diaw,12,16
56,1,5:23.0,,M. Ginóbili misses 2-pt layup from 1 ft,12,16
57,1,5:22.0,,Offensive rebound by J. Ayres,12,16
58,1,5:22.0,,J. Ayres makes 2-pt tip-in from 1 ft,12,18
59,1,4:55.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,12,18
60,1,4:53.0,Offensive rebound by G. Monroe,,12,18
61,1,4:50.0,A. Drummond makes 2-pt dunk at rim (assist by G. Monroe),,14,18
62,1,4:32.0,,P. Mills misses 2-pt layup from 2 ft (block by B. Jennings),14,18
63,1,4:30.0,Defensive rebound by G. Monroe,,14,18
64,1,4:28.0,Personal foul by J. Ayres (drawn by G. Monroe),,14,18
65,1,4:28.0,J. Meeks enters the game for K. Singler,,14,18
66,1,4:28.0,J. Jerebko enters the game for A. Drummond,,14,18
67,1,4:28.0,Turnover by B. Jennings (lost ball),,14,18
68,1,4:21.0,,Shooting foul by J. Jerebko (drawn by J. Ayres),14,18
69,1,4:21.0,,J. Ayres makes free throw 1 of 2,14,19
70,1,4:21.0,,J. Ayres makes free throw 2 of 2,14,20
71,1,4:07.0,B. Jennings misses 2-pt jump shot from 17 ft,,14,20
72,1,4:06.0,Offensive rebound by G. Monroe,,14,20
73,1,4:04.0,Turnover by G. Monroe (lost ball; steal by P. Mills),,14,20
74,1,3:58.0,,Turnover by C. Joseph (traveling),14,20
75,1,3:44.0,G. Monroe makes 2-pt jump shot from 17 ft (assist by J. Meeks),,16,20
76,1,3:27.0,,M. Ginóbili makes 3-pt jump shot from 24 ft,16,23
77,1,3:14.0,J. Meeks misses 2-pt jump shot from 20 ft,,16,23
78,1,3:13.0,,Defensive rebound by M. Ginóbili,16,23
79,1,3:06.0,,Shooting block foul by G. Monroe (drawn by B. Diaw),16,23
80,1,3:06.0,,B. Diaw makes free throw 1 of 2,16,24
81,1,3:06.0,A. Drummond enters the game for G. Monroe,,16,24
82,1,3:06.0,,B. Diaw makes free throw 2 of 2,16,25
83,1,2:52.0,J. Meeks misses 2-pt jump shot from 21 ft,,16,25
84,1,2:51.0,,Defensive rebound by Team,16,25
85,1,2:50.0,Detroit full timeout,,16,25
86,1,2:41.0,,J. Ayres makes 2-pt layup from 2 ft (assist by M. Ginóbili),16,27
87,1,2:41.0,,Shooting foul by A. Drummond (drawn by J. Ayres),16,27
88,1,2:41.0,,J. Ayres makes free throw 1 of 1,16,28
89,1,2:25.0,A. Drummond makes 2-pt dunk at rim (assist by B. Jennings),,18,28
90,1,2:05.0,,J. Ayres makes 2-pt dunk at rim (assist by M. Ginóbili),18,30
91,1,1:52.0,Shooting foul by P. Mills (drawn by B. Jennings),,18,30
92,1,1:52.0,B. Jennings makes free throw 1 of 2,,19,30
93,1,1:52.0,,T. Parker enters the game for J. Ayres,19,30
94,1,1:52.0,,M. Belinelli enters the game for B. Diaw,19,30
95,1,1:52.0,,T. Duncan enters the game for M. Ginóbili,19,30
96,1,1:52.0,,T. Splitter enters the game for C. Joseph,19,30
97,1,1:52.0,,D. Green enters the game for P. Mills,19,30
98,1,1:52.0,B. Jennings makes free throw 2 of 2,,20,30
99,1,1:34.0,,Personal foul by B. Jennings (drawn by T. Parker),20,30
100,1,1:34.0,,T. Parker makes free throw 1 of 2,20,31
101,1,1:34.0,D. Augustin enters the game for B. Jennings,,20,31
102,1,1:34.0,,T. Parker misses free throw 2 of 2,20,31
103,1,1:33.0,,Offensive rebound by T. Duncan,20,31
104,1,1:33.0,,T. Duncan makes 2-pt tip-in at rim,20,33
105,1,1:15.0,D. Augustin misses 2-pt jump shot from 6 ft,,20,33
106,1,1:13.0,,Defensive rebound by M. Belinelli,20,33
107,1,1:07.0,,T. Parker misses 2-pt jump shot from 20 ft,20,33
108,1,1:06.0,,Offensive rebound by Team,20,33
109,1,0:56.0,,T. Splitter makes 2-pt jump shot from 4 ft (assist by T. Parker),20,35
110,1,0:43.0,Turnover by A. Drummond (bad pass),,20,35
111,1,0:22.0,,T. Splitter makes 2-pt jump shot from 5 ft (assist by T. Duncan),20,37
112,1,0:05.0,Shooting foul by T. Parker (drawn by A. Drummond),,20,37
113,1,0:05.0,A. Drummond misses free throw 1 of 2,,20,37
114,1,0:05.0,Offensive rebound by Team,,20,37
115,1,0:05.0,,M. Bonner enters the game for T. Splitter,20,37
116,1,0:05.0,A. Drummond misses free throw 2 of 2,,20,37
117,1,0:04.0,,Defensive rebound by T. Duncan,20,37
118,1,0:01.0,,T. Duncan misses 3-pt jump shot from 49 ft,20,37
119,1,0:00.0,Defensive rebound by J. Jerebko,,20,37
120,2,11:49.0,D. Augustin makes 2-pt layup from 2 ft,,22,37
121,2,11:49.0,Shooting block foul by T. Parker (drawn by D. Augustin),,22,37
122,2,11:49.0,D. Augustin makes free throw 1 of 1,,23,37
123,2,11:42.0,,Shooting block foul by D. Augustin (drawn by T. Parker),23,37
124,2,11:42.0,,T. Parker makes free throw 1 of 2,23,38
125,2,11:42.0,,T. Parker makes free throw 2 of 2,23,39
126,2,11:26.0,C. Butler misses 3-pt jump shot from 25 ft,,23,39
127,2,11:25.0,,Defensive rebound by D. Green,23,39
128,2,11:21.0,,Turnover by T. Parker (bad pass),23,39
129,2,11:05.0,Turnover by D. Augustin (lost ball; steal by D. Green),,23,39
130,2,10:59.0,,D. Green misses 2-pt layup from 1 ft,23,39
131,2,10:58.0,Defensive rebound by J. Jerebko,,23,39
132,2,10:44.0,C. Butler makes 2-pt jump shot from 20 ft (assist by J. Meeks),,25,39
133,2,10:28.0,,T. Parker misses 2-pt jump shot from 22 ft,25,39
134,2,10:27.0,Defensive rebound by J. Jerebko,,25,39
135,2,10:17.0,D. Augustin misses 2-pt layup from 2 ft,,25,39
136,2,10:17.0,,Defensive rebound by T. Duncan,25,39
137,2,10:10.0,,M. Belinelli misses 3-pt jump shot from 23 ft,25,39
138,2,10:09.0,Defensive rebound by J. Jerebko,,25,39
139,2,10:00.0,A. Drummond misses 2-pt dunk at rim,,25,39
140,2,9:59.0,Offensive rebound by Team,,25,39
141,2,9:59.0,,C. Joseph enters the game for T. Parker,25,39
142,2,9:48.0,D. Augustin misses 2-pt layup from 2 ft (block by C. Joseph),,25,39
143,2,9:47.0,Offensive rebound by J. Jerebko,,25,39
144,2,9:47.0,J. Jerebko makes 2-pt dunk at rim,,27,39
145,2,9:47.0,,San Antonio full timeout,27,39
146,2,9:34.0,,T. Duncan misses 2-pt jump shot from 13 ft,27,39
147,2,9:33.0,Defensive rebound by A. Drummond,,27,39
148,2,9:19.0,D. Augustin makes 2-pt layup from 2 ft,,29,39
149,2,9:06.0,,T. Splitter makes 2-pt dunk at rim (assist by D. Green),29,41
150,2,8:55.0,D. Augustin misses 2-pt jump shot from 15 ft,,29,41
151,2,8:54.0,,Defensive rebound by D. Green,29,41
152,2,8:46.0,,Personal block foul by C. Butler (drawn by M. Belinelli),29,41
153,2,8:46.0,,B. Diaw enters the game for D. Green,29,41
154,2,8:46.0,,J. Ayres enters the game for T. Duncan,29,41
155,2,8:46.0,,M. Ginóbili enters the game for T. Splitter,29,41
156,2,8:46.0,,P. Mills enters the game for M. Belinelli,29,41
157,2,8:40.0,,Shooting foul by D. Augustin (drawn by J. Ayres),29,41
158,2,8:40.0,,J. Ayres makes free throw 1 of 2,29,42
159,2,8:40.0,,J. Ayres misses free throw 2 of 2,29,42
160,2,8:39.0,Defensive rebound by A. Drummond,,29,42
161,2,8:23.0,J. Meeks misses 2-pt jump shot from 16 ft,,29,42
162,2,8:22.0,Offensive rebound by A. Drummond,,29,42
163,2,8:21.0,Turnover by A. Drummond (traveling),,29,42
164,2,8:13.0,,Turnover by M. Ginóbili (traveling),29,42
165,2,8:04.0,Offensive foul by C. Butler (drawn by C. Joseph),,29,42
166,2,8:04.0,Turnover by C. Butler (offensive foul),,29,42
