,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,ORLANDO_ACTION,SAN ANTONIO_SCORE,ORLANDO_SCORE
0,1,11:42.0,D. Green makes 3-pt jump shot from 23 ft (assist by T. Splitter),,3,0
1,1,11:28.0,,V. Oladipo misses 2-pt jump shot from 20 ft,3,0
2,1,11:26.0,Defensive rebound by K. Leonard,,3,0
3,1,11:15.0,D. Green misses 3-pt jump shot from 22 ft,,3,0
4,1,11:15.0,,Defensive rebound by N. Vučević,3,0
5,1,11:07.0,,N. Vučević misses 2-pt jump shot from 19 ft,3,0
6,1,11:06.0,Defensive rebound by K. Leonard,,3,0
7,1,10:57.0,K. Leonard makes 2-pt jump shot from 19 ft,,5,0
8,1,10:37.0,,T. Harris makes 2-pt jump shot from 15 ft (assist by V. Oladipo),5,2
9,1,10:23.0,T. Parker misses 2-pt jump shot from 18 ft,,5,2
10,1,10:22.0,,Defensive rebound by N. Vučević,5,2
11,1,10:12.0,,N. Vučević misses 2-pt jump shot from 17 ft,5,2
12,1,10:12.0,Defensive rebound by D. Green,,5,2
13,1,10:06.0,Shooting foul by T. Harris (drawn by K. Leonard),,5,2
14,1,10:06.0,K. Leonard makes free throw 1 of 2,,6,2
15,1,10:06.0,K. Leonard makes free throw 2 of 2,,7,2
16,1,9:51.0,,N. Vučević makes 2-pt jump shot from 8 ft,7,4
17,1,9:24.0,Turnover by Team (shot clock),,7,4
18,1,9:12.0,,V. Oladipo makes 2-pt jump shot from 18 ft (assist by N. Vučević),7,6
19,1,8:56.0,T. Splitter misses 2-pt jump shot from 4 ft (block by T. Harris),,7,6
20,1,8:55.0,,Defensive rebound by E. Payton,7,6
21,1,8:50.0,,E. Payton makes 2-pt layup from 2 ft,7,8
22,1,8:28.0,D. Green misses 3-pt jump shot from 26 ft,,7,8
23,1,8:28.0,Offensive rebound by T. Splitter,,7,8
24,1,8:19.0,Turnover by D. Green (bad pass; steal by T. Harris),,7,8
25,1,8:12.0,,T. Harris misses 2-pt jump shot from 16 ft,7,8
26,1,8:11.0,,Offensive rebound by T. Harris,7,8
27,1,7:55.0,,N. Vučević misses 2-pt dunk at rim (block by T. Duncan),7,8
28,1,7:55.0,,Offensive rebound by D. Dedmon,7,8
29,1,7:55.0,,D. Dedmon makes 2-pt tip-in from 1 ft,7,10
30,1,7:55.0,San Antonio full timeout,,7,10
31,1,7:28.0,K. Leonard makes 3-pt jump shot from 23 ft (assist by T. Parker),,10,10
32,1,7:17.0,,V. Oladipo misses 2-pt jump shot from 22 ft,10,10
33,1,7:16.0,,Offensive rebound by N. Vučević,10,10
34,1,7:12.0,,N. Vučević misses 2-pt layup at rim,10,10
35,1,7:11.0,,Offensive rebound by N. Vučević,10,10
36,1,7:11.0,,N. Vučević misses 2-pt tip-in at rim,10,10
37,1,7:09.0,,Offensive rebound by N. Vučević,10,10
38,1,7:09.0,,N. Vučević misses 2-pt tip-in from 1 ft,10,10
39,1,7:08.0,,Offensive rebound by D. Dedmon,10,10
40,1,7:06.0,,Turnover by D. Dedmon (lost ball; steal by K. Leonard),10,10
41,1,6:56.0,Turnover by T. Duncan (bad pass; steal by E. Payton),,10,10
42,1,6:55.0,M. Belinelli enters the game for D. Green,,10,10
43,1,6:55.0,A. Baynes enters the game for T. Duncan,,10,10
44,1,6:43.0,,N. Vučević misses 2-pt jump shot from 18 ft,10,10
45,1,6:42.0,Defensive rebound by T. Splitter,,10,10
46,1,6:26.0,T. Splitter misses 2-pt layup from 2 ft (block by D. Dedmon),,10,10
47,1,6:24.0,,Defensive rebound by V. Oladipo,10,10
48,1,6:19.0,,Turnover by T. Harris (lost ball; steal by K. Leonard),10,10
49,1,6:07.0,A. Baynes makes 2-pt jump shot from 17 ft (assist by T. Parker),,12,10
50,1,5:51.0,,V. Oladipo makes 2-pt jump shot from 9 ft (assist by E. Payton),12,12
51,1,5:37.0,T. Parker makes 2-pt hook shot from 4 ft,,14,12
52,1,5:29.0,,E. Payton misses 2-pt layup at rim,14,12
53,1,5:28.0,Defensive rebound by T. Splitter,,14,12
54,1,5:12.0,K. Leonard misses 2-pt jump shot from 15 ft,,14,12
55,1,5:11.0,,Defensive rebound by V. Oladipo,14,12
56,1,5:06.0,,T. Harris makes 3-pt jump shot from 24 ft (assist by V. Oladipo),14,15
57,1,4:46.0,Turnover by A. Baynes (bad pass; steal by E. Payton),,14,15
58,1,4:42.0,,T. Harris makes 2-pt dunk at rim (assist by E. Payton),14,17
59,1,4:22.0,K. Leonard misses 2-pt jump shot from 8 ft,,14,17
60,1,4:21.0,,Defensive rebound by Team,14,17
61,1,4:21.0,Loose ball foul by T. Splitter (drawn by D. Dedmon),,14,17
62,1,4:21.0,,Orlando full timeout,14,17
63,1,4:21.0,B. Diaw enters the game for K. Leonard,,14,17
64,1,4:21.0,M. Ginóbili enters the game for T. Splitter,,14,17
65,1,4:21.0,C. Joseph enters the game for T. Parker,,14,17
66,1,4:21.0,,K. O'Quinn enters the game for D. Dedmon,14,17
67,1,4:21.0,,M. Harkless enters the game for N. Vučević,14,17
68,1,4:08.0,,T. Harris misses 2-pt layup at rim,14,17
69,1,4:07.0,,Offensive rebound by M. Harkless,14,17
70,1,4:07.0,,M. Harkless misses 2-pt layup from 1 ft,14,17
71,1,4:06.0,,Offensive rebound by M. Harkless,14,17
72,1,4:06.0,,M. Harkless misses 2-pt tip-in from 1 ft,14,17
73,1,4:04.0,Defensive rebound by M. Belinelli,,14,17
74,1,3:53.0,Shooting foul by T. Harris (drawn by A. Baynes),,14,17
75,1,3:53.0,A. Baynes makes free throw 1 of 2,,15,17
76,1,3:53.0,A. Baynes makes free throw 2 of 2,,16,17
77,1,3:38.0,,M. Harkless misses 3-pt jump shot from 23 ft,16,17
78,1,3:37.0,Defensive rebound by C. Joseph,,16,17
79,1,3:27.0,Turnover by B. Diaw (bad pass; steal by E. Payton),,16,17
