,QUARTER,TIME_REMAINING,DETROIT_ACTION,ATLANTA_ACTION,DETROIT_SCORE,ATLANTA_SCORE
0,1,11:43.0,G. Monroe misses 2-pt hook shot from 5 ft,,0,0
1,1,11:42.0,,Defensive rebound by P. Millsap,0,0
2,1,11:22.0,,Turnover by K. Korver (bad pass; steal by K. Caldwell-Pope),0,0
3,1,11:08.0,Turnover by J. Smith (bad pass),,0,0
4,1,10:52.0,,A. Horford misses 2-pt jump shot from 19 ft,0,0
5,1,10:51.0,Defensive rebound by G. Monroe,,0,0
6,1,10:28.0,A. Drummond makes 2-pt hook shot from 4 ft,,2,0
7,1,10:22.0,,P. Millsap makes 2-pt jump shot from 20 ft (assist by J. Teague),2,2
8,1,10:06.0,G. Monroe misses 2-pt jump shot from 5 ft,,2,2
9,1,10:05.0,Offensive rebound by A. Drummond,,2,2
10,1,10:05.0,Shooting foul by D. Carroll (drawn by A. Drummond),,2,2
11,1,10:05.0,A. Drummond makes free throw 1 of 2,,3,2
12,1,10:05.0,A. Drummond misses free throw 2 of 2,,3,2
13,1,10:04.0,,Defensive rebound by D. Carroll,3,2
14,1,9:52.0,,Turnover by K. Korver (lost ball; steal by K. Caldwell-Pope),3,2
15,1,9:46.0,K. Caldwell-Pope makes 2-pt layup from 1 ft,,5,2
16,1,9:30.0,,Turnover by P. Millsap (bad pass; steal by K. Caldwell-Pope),5,2
17,1,9:27.0,Shooting foul by J. Teague (drawn by K. Caldwell-Pope),,5,2
18,1,9:27.0,K. Caldwell-Pope makes free throw 1 of 2,,6,2
19,1,9:27.0,K. Caldwell-Pope makes free throw 2 of 2,,7,2
20,1,9:18.0,,Personal foul by G. Monroe (drawn by P. Millsap),7,2
21,1,9:09.0,,D. Carroll makes 3-pt jump shot from 24 ft (assist by J. Teague),7,5
22,1,8:45.0,J. Smith misses 2-pt hook shot from 9 ft,,7,5
23,1,8:44.0,,Defensive rebound by K. Korver,7,5
24,1,8:24.0,,D. Carroll misses 3-pt jump shot from 24 ft,7,5
25,1,8:22.0,,Offensive rebound by P. Millsap,7,5
26,1,8:20.0,,A. Horford misses 2-pt layup from 1 ft (block by A. Drummond),7,5
27,1,8:20.0,,Offensive rebound by Team,7,5
28,1,8:08.0,,P. Millsap misses 3-pt jump shot from 25 ft,7,5
29,1,8:05.0,Defensive rebound by A. Drummond,,7,5
30,1,7:51.0,A. Drummond makes 2-pt dunk at rim (assist by G. Monroe),,9,5
