,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ORLANDO_ACTION,WASHINGTON_SCORE,ORLANDO_SCORE
0,1,11:44.0,K. Humphries misses 2-pt jump shot from 19 ft,,0,0
1,1,11:43.0,,Defensive rebound by K. O'Quinn,0,0
2,1,11:27.0,,C. Frye makes 2-pt jump shot from 18 ft (assist by K. O'Quinn),0,2
3,1,11:09.0,M. Gortat misses 2-pt jump shot from 13 ft,,0,2
4,1,11:08.0,,Defensive rebound by V. Oladipo,0,2
5,1,10:53.0,,K. O'Quinn makes 2-pt layup from 1 ft,0,4
6,1,10:35.0,M. Gortat makes 2-pt jump shot from 13 ft,,2,4
7,1,10:21.0,,E. Fournier misses 2-pt layup from 2 ft (block by B. Beal),2,4
8,1,10:20.0,,Offensive rebound by K. O'Quinn,2,4
9,1,10:18.0,,K. O'Quinn misses 2-pt layup from 1 ft (block by M. Gortat),2,4
10,1,10:18.0,,Offensive rebound by Team,2,4
11,1,10:11.0,,K. O'Quinn misses 2-pt hook shot from 4 ft,2,4
12,1,10:10.0,Defensive rebound by M. Gortat,,2,4
13,1,10:05.0,K. Humphries makes 2-pt dunk at rim (assist by J. Wall),,4,4
14,1,9:46.0,,K. O'Quinn misses 2-pt layup from 2 ft,4,4
15,1,9:45.0,Defensive rebound by M. Gortat,,4,4
16,1,9:26.0,J. Wall misses 2-pt jump shot from 18 ft,,4,4
17,1,9:26.0,,Defensive rebound by K. O'Quinn,4,4
18,1,9:12.0,,V. Oladipo makes 2-pt jump shot from 22 ft,4,6
19,1,9:04.0,K. Humphries misses 2-pt layup from 1 ft (block by C. Frye),,4,6
20,1,9:03.0,Offensive rebound by B. Beal,,4,6
21,1,8:59.0,B. Beal makes 3-pt jump shot from 23 ft (assist by P. Pierce),,7,6
22,1,8:42.0,,Turnover by V. Oladipo (3 sec),7,6
23,1,8:19.0,M. Gortat misses 2-pt layup from 2 ft (block by K. O'Quinn),,7,6
24,1,8:18.0,Offensive rebound by P. Pierce,,7,6
25,1,8:14.0,K. Humphries makes 2-pt dunk at rim (assist by P. Pierce),,9,6
26,1,8:05.0,,T. Harris makes 2-pt dunk at rim (assist by K. O'Quinn),9,8
27,1,7:46.0,J. Wall misses 2-pt layup from 1 ft,,9,8
28,1,7:46.0,,Defensive rebound by C. Frye,9,8
29,1,7:40.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by V. Oladipo),9,11
30,1,7:23.0,Turnover by P. Pierce (bad pass; steal by V. Oladipo),,9,11
31,1,7:19.0,,E. Fournier makes 2-pt layup at rim,9,13
32,1,6:57.0,J. Wall makes 2-pt jump shot from 15 ft (assist by B. Beal),,11,13
33,1,6:51.0,,Orlando full timeout,11,13
34,1,6:40.0,,T. Harris misses 3-pt jump shot from 24 ft,11,13
35,1,6:39.0,Defensive rebound by J. Wall,,11,13
36,1,6:29.0,B. Beal makes 2-pt jump shot from 19 ft (assist by J. Wall),,13,13
37,1,6:10.0,,E. Fournier misses 2-pt jump shot from 19 ft,13,13
38,1,6:08.0,Defensive rebound by M. Gortat,,13,13
