,QUARTER,TIME_REMAINING,HOUSTON_ACTION,BROOKLYN_ACTION,HOUSTON_SCORE,BROOKLYN_SCORE
0,1,11:46.0,T. Ariza makes 3-pt jump shot from 22 ft (assist by J. Harden),,3,0
1,1,11:25.0,,J. Johnson misses 2-pt jump shot from 13 ft,3,0
2,1,11:24.0,,Offensive rebound by J. Johnson,3,0
3,1,11:21.0,,M. Plumlee makes 2-pt jump shot from 7 ft (assist by K. Garnett),3,2
4,1,11:21.0,Violation by D. Howard (def goaltending),,3,2
5,1,11:09.0,P. Beverley makes 2-pt jump shot from 6 ft,,5,2
6,1,10:47.0,,J. Jack makes 2-pt jump shot from 19 ft,5,4
7,1,10:30.0,Turnover by D. Motiejūnas (lost ball; steal by M. Plumlee),,5,4
8,1,10:25.0,,M. Plumlee makes 2-pt dunk from 2 ft (assist by B. Bogdanović),5,6
9,1,10:11.0,J. Harden makes 2-pt jump shot from 18 ft,,7,6
10,1,9:59.0,,J. Jack makes 2-pt jump shot from 8 ft,7,8
11,1,9:34.0,D. Howard makes 2-pt layup from 2 ft (assist by D. Motiejūnas),,9,8
12,1,9:34.0,Shooting foul by K. Garnett (drawn by D. Howard),,9,8
13,1,9:34.0,D. Howard makes free throw 1 of 1,,10,8
14,1,9:19.0,,Turnover by J. Jack (lost ball),10,8
15,1,9:10.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by P. Beverley),,13,8
16,1,9:10.0,Shooting foul by J. Johnson (drawn by T. Ariza),,13,8
17,1,9:10.0,T. Ariza makes free throw 1 of 1,,14,8
18,1,8:50.0,,M. Plumlee makes 2-pt hook shot from 8 ft,14,10
19,1,8:33.0,P. Beverley makes 3-pt jump shot from 25 ft (assist by J. Harden),,17,10
20,1,8:22.0,,K. Garnett makes 2-pt jump shot from 21 ft (assist by J. Jack),17,12
21,1,8:08.0,Turnover by J. Harden (lost ball; steal by B. Bogdanović),,17,12
22,1,8:02.0,,M. Plumlee makes 2-pt dunk at rim (assist by B. Bogdanović),17,14
23,1,7:53.0,Personal foul by K. Garnett (drawn by D. Howard),,17,14
24,1,7:53.0,,Technical foul by K. Garnett,17,14
25,1,7:53.0,Technical foul by D. Howard,,17,14
26,1,7:53.0,,Technical foul by K. Garnett,17,14
27,1,7:53.0,,B. Lopez enters the game for K. Garnett,17,14
28,1,7:53.0,J. Harden makes technical free throw,,18,14
29,1,7:40.0,J. Harden makes 3-pt jump shot from 22 ft,,21,14
30,1,7:17.0,,J. Johnson misses 3-pt jump shot from 24 ft,21,14
31,1,7:16.0,Defensive rebound by D. Howard,,21,14
32,1,7:07.0,Shooting foul by J. Jack (drawn by J. Harden),,21,14
33,1,7:07.0,J. Harden makes free throw 1 of 2,,22,14
34,1,7:07.0,J. Harden makes free throw 2 of 2,,23,14
35,1,6:52.0,,B. Bogdanović misses 2-pt jump shot from 7 ft,23,14
36,1,6:51.0,,Offensive rebound by B. Lopez,23,14
37,1,6:39.0,,J. Jack misses 2-pt layup from 2 ft,23,14
38,1,6:38.0,Defensive rebound by P. Beverley,,23,14
39,1,6:26.0,P. Beverley misses 3-pt jump shot from 23 ft,,23,14
40,1,6:25.0,Offensive rebound by P. Beverley,,23,14
41,1,6:21.0,D. Motiejūnas misses 2-pt layup from 2 ft (block by B. Lopez),,23,14
42,1,6:19.0,,Defensive rebound by M. Plumlee,23,14
43,1,6:17.0,,M. Plumlee makes 2-pt dunk at rim (assist by J. Johnson),23,16
44,1,6:02.0,D. Howard misses 2-pt layup from 2 ft,,23,16
45,1,6:01.0,Offensive rebound by D. Motiejūnas,,23,16
46,1,6:00.0,D. Motiejūnas makes 2-pt layup at rim,,25,16
47,1,5:54.0,,Turnover by J. Jack (bad pass),25,16
48,1,5:54.0,,Brooklyn full timeout,25,16
49,1,5:54.0,J. Smith enters the game for D. Motiejūnas,,25,16
50,1,5:43.0,P. Beverley makes 2-pt jump shot from 4 ft,,27,16
51,1,5:19.0,,Personal foul by J. Smith (drawn by M. Plumlee),27,16
52,1,5:19.0,,M. Teletović enters the game for M. Plumlee,27,16
53,1,5:10.0,,J. Jack misses 3-pt jump shot from 24 ft,27,16
54,1,5:08.0,Defensive rebound by J. Smith,,27,16
55,1,5:03.0,Turnover by J. Smith (bad pass; steal by B. Bogdanović),,27,16
56,1,4:59.0,,B. Bogdanović makes 2-pt layup at rim (assist by J. Johnson),27,18
57,1,4:59.0,,Shooting foul by P. Beverley (drawn by B. Bogdanović),27,18
58,1,4:59.0,,B. Bogdanović makes free throw 1 of 1,27,19
59,1,4:36.0,J. Harden makes 2-pt jump shot from 18 ft,,29,19
60,1,4:25.0,,A. Anderson enters the game for B. Bogdanović,29,19
61,1,4:25.0,J. Terry enters the game for P. Beverley,,29,19
62,1,4:15.0,,B. Lopez misses 2-pt jump shot from 19 ft,29,19
63,1,4:14.0,Defensive rebound by D. Howard,,29,19
64,1,3:52.0,J. Terry misses 3-pt jump shot from 23 ft,,29,19
65,1,3:51.0,,Defensive rebound by J. Johnson,29,19
66,1,3:41.0,,Turnover by J. Johnson (bad pass; steal by J. Harden),29,19
67,1,3:36.0,J. Harden makes 2-pt layup from 2 ft,,31,19
68,1,3:20.0,,J. Jack makes 2-pt layup at rim,31,21
69,1,3:03.0,T. Ariza misses 3-pt jump shot from 24 ft,,31,21
70,1,3:01.0,,Defensive rebound by M. Teletović,31,21
71,1,2:44.0,,M. Teletović misses 2-pt jump shot from 15 ft,31,21
72,1,2:43.0,Defensive rebound by T. Ariza,,31,21
73,1,2:23.0,Turnover by J. Terry (bad pass; steal by B. Lopez),,31,21
