,QUARTER,TIME_REMAINING,TORONTO_ACTION,MILWAUKEE_ACTION,TORONTO_SCORE,MILWAUKEE_SCORE
0,1,11:44.0,,Z. Pachulia makes 2-pt jump shot from 13 ft (assist by B. Knight),0,2
1,1,11:24.0,K. Lowry makes 2-pt jump shot from 10 ft,,2,2
2,1,11:06.0,,B. Knight misses 3-pt jump shot from 24 ft,2,2
3,1,11:04.0,Defensive rebound by J. Valančiūnas,,2,2
4,1,10:49.0,Turnover by J. Valančiūnas (lost ball; steal by G. Antetokounmpo),,2,2
5,1,10:44.0,,B. Knight misses 2-pt layup at rim (block by K. Lowry),2,2
6,1,10:42.0,,Offensive rebound by Z. Pachulia,2,2
7,1,10:37.0,,J. O'Bryant makes 2-pt layup at rim (assist by Z. Pachulia),2,4
8,1,10:20.0,Personal foul by J. O'Bryant (drawn by K. Lowry),,2,4
9,1,10:10.0,D. DeRozan misses 2-pt jump shot from 19 ft,,2,4
10,1,10:09.0,,Defensive rebound by B. Knight,2,4
11,1,9:54.0,,K. Middleton misses 2-pt jump shot from 15 ft,2,4
12,1,9:53.0,Defensive rebound by D. DeRozan,,2,4
13,1,9:42.0,K. Lowry misses 2-pt jump shot from 16 ft,,2,4
14,1,9:41.0,,Defensive rebound by Z. Pachulia,2,4
15,1,9:24.0,,K. Middleton makes 3-pt jump shot from 24 ft (assist by B. Knight),2,7
16,1,9:08.0,J. Valančiūnas makes 2-pt layup at rim (assist by D. DeRozan),,4,7
17,1,8:57.0,,J. O'Bryant makes 2-pt jump shot from 16 ft (assist by Z. Pachulia),4,9
18,1,8:30.0,J. Valančiūnas misses 2-pt jump shot from 7 ft,,4,9
19,1,8:29.0,Offensive rebound by A. Johnson,,4,9
20,1,8:09.0,A. Johnson makes 2-pt hook shot from 5 ft,,6,9
21,1,7:45.0,,Shooting foul by A. Johnson (drawn by Z. Pachulia),6,9
22,1,7:45.0,,Z. Pachulia makes free throw 1 of 2,6,10
23,1,7:45.0,,Z. Pachulia makes free throw 2 of 2,6,11
24,1,7:31.0,Turnover by D. DeRozan (lost ball; steal by Z. Pachulia),,6,11
25,1,7:17.0,,J. O'Bryant makes 2-pt layup at rim (assist by G. Antetokounmpo),6,13
26,1,7:16.0,,Violation by Team (delay of game),6,13
27,1,6:57.0,G. Vásquez misses 2-pt jump shot from 5 ft,,6,13
28,1,6:55.0,Offensive rebound by J. Valančiūnas,,6,13
29,1,6:54.0,J. Valančiūnas makes 2-pt dunk at rim,,8,13
30,1,6:34.0,,G. Antetokounmpo misses 2-pt jump shot from 8 ft,8,13
31,1,6:33.0,,Offensive rebound by J. O'Bryant,8,13
32,1,6:30.0,,J. O'Bryant misses 2-pt hook shot from 8 ft,8,13
33,1,6:29.0,Defensive rebound by J. Valančiūnas,,8,13
34,1,6:19.0,A. Johnson makes 2-pt layup at rim (assist by G. Vásquez),,10,13
35,1,6:03.0,,Turnover by K. Middleton (bad pass; steal by J. Valančiūnas),10,13
36,1,5:48.0,D. DeRozan misses 2-pt jump shot from 15 ft,,10,13
37,1,5:47.0,Offensive rebound by J. Valančiūnas,,10,13
38,1,5:45.0,J. Valančiūnas makes 2-pt layup at rim,,12,13
39,1,5:30.0,,J. O'Bryant misses 2-pt jump shot from 14 ft,12,13
40,1,5:28.0,,Offensive rebound by Z. Pachulia,12,13
41,1,5:25.0,,G. Antetokounmpo misses 2-pt jump shot from 11 ft,12,13
42,1,5:24.0,,Offensive rebound by J. O'Bryant,12,13
43,1,5:20.0,,K. Middleton misses 3-pt jump shot from 24 ft,12,13
44,1,5:20.0,,Offensive rebound by Team,12,13
45,1,5:20.0,Loose ball foul by K. Lowry (drawn by G. Antetokounmpo),,12,13
46,1,5:20.0,,Milwaukee full timeout,12,13
47,1,5:20.0,P. Patterson enters the game for G. Vásquez,,12,13
48,1,5:20.0,L. Williams enters the game for A. Johnson,,12,13
49,1,5:15.0,,K. Middleton misses 2-pt layup from 3 ft,12,13
50,1,5:13.0,Defensive rebound by J. Valančiūnas,,12,13
51,1,4:54.0,Turnover by J. Valančiūnas (bad pass; steal by B. Knight),,12,13
52,1,4:51.0,,Shooting block foul by L. Williams (drawn by B. Knight),12,13
53,1,4:51.0,,B. Knight makes free throw 1 of 2,12,14
