,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,HOUSTON_ACTION,SACRAMENTO_SCORE,HOUSTON_SCORE
0,1,11:46.0,D. Cousins misses 2-pt jump shot from 14 ft,,0,0
1,1,11:45.0,,Defensive rebound by J. Terry,0,0
2,1,11:37.0,,Turnover by J. Harden (bad pass),0,0
3,1,11:23.0,C. Landry misses 2-pt jump shot from 19 ft,,0,0
4,1,11:22.0,,Defensive rebound by J. Dorsey,0,0
5,1,11:02.0,,T. Ariza misses 3-pt jump shot from 23 ft,0,0
6,1,11:01.0,Defensive rebound by O. Casspi,,0,0
7,1,10:46.0,R. McCallum makes 3-pt jump shot from 23 ft (assist by D. Cousins),,3,0
8,1,10:37.0,,J. Terry misses 3-pt jump shot from 23 ft,3,0
9,1,10:36.0,,Offensive rebound by J. Harden,3,0
10,1,10:28.0,,T. Ariza makes 2-pt dunk at rim,3,2
11,1,10:09.0,B. McLemore misses 2-pt jump shot from 21 ft,,3,2
12,1,10:07.0,,Defensive rebound by J. Terry,3,2
13,1,10:06.0,,Turnover by J. Terry (traveling),3,2
14,1,9:50.0,O. Casspi misses 2-pt jump shot from 10 ft,,3,2
15,1,9:48.0,,Defensive rebound by T. Jones,3,2
16,1,9:42.0,,J. Dorsey makes 2-pt dunk at rim (assist by J. Harden),3,4
17,1,9:30.0,Offensive foul by D. Cousins (drawn by J. Terry),,3,4
18,1,9:30.0,Turnover by D. Cousins (offensive foul),,3,4
19,1,9:17.0,,J. Terry misses 3-pt jump shot from 23 ft,3,4
20,1,9:16.0,Defensive rebound by C. Landry,,3,4
21,1,8:57.0,O. Casspi misses 2-pt jump shot from 3 ft (block by T. Jones),,3,4
22,1,8:55.0,Offensive rebound by O. Casspi,,3,4
23,1,8:54.0,O. Casspi misses 2-pt layup from 2 ft (block by T. Jones),,3,4
24,1,8:54.0,Offensive rebound by O. Casspi,,3,4
25,1,8:54.0,Turnover by O. Casspi (bad pass),,3,4
26,1,8:46.0,,J. Harden misses 2-pt layup from 2 ft (block by D. Cousins),3,4
27,1,8:45.0,,Offensive rebound by T. Jones,3,4
28,1,8:37.0,,T. Jones makes 2-pt dunk at rim (assist by J. Harden),3,6
29,1,8:23.0,Turnover by D. Cousins (traveling),,3,6
30,1,8:08.0,,J. Harden makes 3-pt jump shot from 23 ft (assist by T. Jones),3,9
31,1,7:48.0,Turnover by R. McCallum (bad pass; steal by T. Ariza),,3,9
32,1,7:37.0,,J. Terry misses 3-pt jump shot from 23 ft,3,9
33,1,7:36.0,,Offensive rebound by J. Dorsey,3,9
