,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,WASHINGTON_ACTION,GOLDEN STATE_SCORE,WASHINGTON_SCORE
0,1,11:42.0,,N. Hilário makes 2-pt layup from 1 ft,0,2
1,1,11:34.0,Turnover by H. Barnes (bad pass),,0,2
2,1,11:17.0,,M. Gortat makes 2-pt jump shot from 16 ft (assist by J. Wall),0,4
3,1,11:11.0,D. Green misses 2-pt jump shot from 18 ft,,0,4
4,1,11:09.0,,Defensive rebound by P. Pierce,0,4
5,1,11:03.0,,J. Wall makes 2-pt jump shot from 17 ft,0,6
6,1,10:47.0,D. Green misses 2-pt jump shot from 8 ft,,0,6
7,1,10:46.0,,Defensive rebound by P. Pierce,0,6
8,1,10:41.0,,N. Hilário makes 2-pt layup from 1 ft (assist by P. Pierce),0,8
9,1,10:41.0,,Shooting foul by D. Green (drawn by N. Hilário),0,8
10,1,10:41.0,,N. Hilário makes free throw 1 of 1,0,9
11,1,10:32.0,H. Barnes makes 2-pt layup from 1 ft,,2,9
12,1,10:19.0,,Personal foul by D. Green (drawn by N. Hilário),2,9
13,1,10:19.0,D. Lee enters the game for D. Green,,2,9
14,1,10:19.0,Technical foul by D. Green,,2,9
15,1,10:19.0,,J. Wall misses technical free throw,2,9
16,1,10:19.0,,Offensive rebound by Team,2,9
17,1,10:14.0,,Turnover by N. Hilário (lost ball; steal by S. Curry),2,9
18,1,10:02.0,K. Thompson misses 2-pt jump shot from 13 ft,,2,9
19,1,10:00.0,,Defensive rebound by N. Hilário,2,9
20,1,9:50.0,,Turnover by J. Wall (bad pass),2,9
21,1,9:44.0,S. Curry misses 3-pt jump shot from 25 ft,,2,9
22,1,9:43.0,,Defensive rebound by Team,2,9
23,1,9:43.0,Loose ball foul by A. Bogut (drawn by N. Hilário),,2,9
24,1,9:35.0,,J. Wall misses 2-pt layup from 1 ft,2,9
25,1,9:34.0,Defensive rebound by D. Lee,,2,9
26,1,9:25.0,S. Curry makes 3-pt jump shot from 27 ft,,5,9
27,1,9:07.0,,P. Pierce makes 3-pt jump shot from 26 ft (assist by N. Hilário),5,12
28,1,8:54.0,K. Thompson makes 2-pt jump shot from 12 ft (assist by S. Curry),,7,12
29,1,8:35.0,,N. Hilário misses 2-pt jump shot from 18 ft,7,12
30,1,8:35.0,Defensive rebound by H. Barnes,,7,12
31,1,8:28.0,D. Lee misses 2-pt layup at rim,,7,12
32,1,8:26.0,,Defensive rebound by G. Temple,7,12
33,1,8:20.0,,P. Pierce misses 3-pt jump shot from 26 ft,7,12
34,1,8:19.0,Defensive rebound by A. Bogut,,7,12
35,1,8:11.0,D. Lee makes 2-pt layup at rim (assist by S. Curry),,9,12
36,1,7:59.0,,Turnover by G. Temple (lost ball; steal by K. Thompson),9,12
37,1,7:55.0,S. Curry makes 2-pt dunk at rim (assist by H. Barnes),,11,12
38,1,7:40.0,,J. Wall makes 2-pt layup at rim,11,14
39,1,7:29.0,S. Curry misses 2-pt layup from 1 ft,,11,14
40,1,7:28.0,,Defensive rebound by M. Gortat,11,14
41,1,7:15.0,,G. Temple misses 3-pt jump shot from 24 ft,11,14
42,1,7:14.0,Defensive rebound by D. Lee,,11,14
43,1,7:04.0,K. Thompson makes 2-pt jump shot from 7 ft,,13,14
44,1,6:42.0,,J. Wall misses 3-pt jump shot from 25 ft,13,14
45,1,6:41.0,Defensive rebound by D. Lee,,13,14
46,1,6:27.0,Turnover by K. Thompson (lost ball; steal by G. Temple),,13,14
47,1,6:22.0,,Shooting foul by S. Curry (drawn by P. Pierce),13,14
48,1,6:22.0,,P. Pierce makes free throw 1 of 2,13,15
49,1,6:22.0,Golden State full timeout,,13,15
50,1,6:22.0,,P. Pierce makes free throw 2 of 2,13,16
51,1,6:04.0,A. Bogut misses 2-pt layup at rim,,13,16
52,1,6:03.0,,Defensive rebound by N. Hilário,13,16
53,1,5:58.0,,J. Wall misses 2-pt layup from 1 ft,13,16
54,1,5:57.0,,Offensive rebound by M. Gortat,13,16
55,1,5:55.0,,M. Gortat makes 2-pt tip-in from 1 ft,13,18
56,1,5:47.0,K. Thompson misses 3-pt jump shot from 27 ft,,13,18
57,1,5:46.0,,Defensive rebound by M. Gortat,13,18
58,1,5:36.0,,Turnover by J. Wall (bad pass; steal by S. Curry),13,18
59,1,5:31.0,Personal foul by G. Temple (drawn by S. Curry),,13,18
60,1,5:20.0,A. Bogut misses 2-pt jump shot from 7 ft,,13,18
61,1,5:19.0,,Defensive rebound by N. Hilário,13,18
62,1,5:11.0,,M. Gortat misses 2-pt jump shot from 3 ft,13,18
63,1,5:10.0,Defensive rebound by A. Bogut,,13,18
64,1,5:00.0,D. Lee misses 2-pt layup from 1 ft,,13,18
65,1,4:59.0,,Defensive rebound by M. Gortat,13,18
66,1,4:51.0,,Turnover by P. Pierce (bad pass),13,18
67,1,4:51.0,M. Speights enters the game for A. Bogut,,13,18
68,1,4:51.0,,K. Séraphin enters the game for N. Hilário,13,18
