,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ATLANTA_ACTION,PHILADELPHIA_SCORE,ATLANTA_SCORE
104,2,11:13.0,,Defensive rebound by T. Sefolosha,21,25
105,2,10:50.0,,A. Horford misses 2-pt jump shot from 5 ft (block by N. Noel),21,25
106,2,10:49.0,,Offensive rebound by Team,21,25
107,2,10:49.0,,Turnover by Team (shot clock),21,25
108,2,10:49.0,L. Mbah a Moute enters the game for J. Grant,,21,25
109,2,10:42.0,A. Shved misses 2-pt layup from 1 ft,,21,25
110,2,10:40.0,,Defensive rebound by A. Horford,21,25
111,2,10:30.0,,P. Antić misses 3-pt jump shot from 22 ft,21,25
112,2,10:28.0,Defensive rebound by R. Covington,,21,25
113,2,10:24.0,A. Shved misses 3-pt jump shot from 25 ft,,21,25
114,2,10:22.0,,Defensive rebound by T. Sefolosha,21,25
115,2,10:05.0,,S. Mack makes 3-pt jump shot from 23 ft (assist by T. Sefolosha),21,28
116,2,9:39.0,A. Shved makes 2-pt layup from 3 ft,,23,28
117,2,9:21.0,,T. Sefolosha misses 3-pt jump shot from 24 ft,23,28
118,2,9:20.0,,Offensive rebound by A. Horford,23,28
119,2,9:17.0,,Shooting foul by A. Shved (drawn by S. Mack),23,28
120,2,9:17.0,,S. Mack makes free throw 1 of 2,23,29
121,2,9:17.0,M. Carter-Williams enters the game for K. McDaniels,,23,29
122,2,9:17.0,,S. Mack misses free throw 2 of 2,23,29
123,2,9:16.0,Defensive rebound by R. Covington,,23,29
124,2,9:06.0,A. Shved misses 3-pt jump shot from 24 ft,,23,29
125,2,9:04.0,,Defensive rebound by A. Horford,23,29
126,2,8:53.0,,S. Mack misses 3-pt jump shot from 23 ft,23,29
127,2,8:51.0,Defensive rebound by N. Noel,,23,29
128,2,8:40.0,A. Shved misses 3-pt jump shot from 24 ft,,23,29
129,2,8:39.0,,Defensive rebound by A. Horford,23,29
130,2,8:34.0,,S. Mack makes 2-pt jump shot from 2 ft (assist by A. Horford),23,31
131,2,8:34.0,Philadelphia full timeout,,23,31
132,2,8:34.0,,M. Muscala enters the game for P. Antić,23,31
133,2,8:34.0,,K. Korver enters the game for S. Mack,23,31
134,2,8:34.0,H. Thompson enters the game for A. Shved,,23,31
135,2,8:18.0,R. Covington makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),,26,31
136,2,8:02.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by M. Muscala),26,34
137,2,7:46.0,R. Covington misses 2-pt hook shot from 10 ft,,26,34
138,2,7:45.0,,Defensive rebound by T. Sefolosha,26,34
139,2,7:27.0,,A. Horford misses 2-pt jump shot from 4 ft (block by L. Mbah a Moute),26,34
140,2,7:26.0,,Offensive rebound by Team,26,34
141,2,7:22.0,,D. Schröder misses 2-pt layup from 2 ft,26,34
142,2,7:22.0,,Offensive rebound by M. Muscala,26,34
143,2,7:22.0,,Turnover by Team (shot clock),26,34
144,2,7:08.0,Turnover by M. Carter-Williams (bad pass; steal by D. Schröder),,26,34
145,2,6:54.0,,D. Schröder misses 3-pt jump shot from 24 ft,26,34
146,2,6:53.0,Defensive rebound by N. Noel,,26,34
147,2,6:39.0,Personal foul by D. Schröder (drawn by M. Carter-Williams),,26,34
148,2,6:39.0,,J. Teague enters the game for D. Schröder,26,34
149,2,6:28.0,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by N. Noel),,28,34
150,2,6:10.0,,M. Muscala makes 2-pt jump shot from 10 ft (assist by T. Sefolosha),28,36
151,2,5:53.0,L. Mbah a Moute makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),,31,36
152,2,5:32.0,,T. Sefolosha misses 2-pt jump shot from 22 ft (block by M. Carter-Williams),31,36
153,2,5:30.0,Defensive rebound by L. Mbah a Moute,,31,36
154,2,5:24.0,Turnover by M. Carter-Williams (bad pass; steal by K. Korver),,31,36
155,2,5:03.0,,T. Sefolosha misses 3-pt jump shot from 24 ft,31,36
156,2,5:03.0,,Offensive rebound by Team,31,36
157,2,5:03.0,Loose ball foul by N. Noel (drawn by A. Horford),,31,36
158,2,5:03.0,Official timeout,,31,36
159,2,5:03.0,,D. Carroll enters the game for T. Sefolosha,31,36
160,2,5:03.0,H. Sims enters the game for N. Noel,,31,36
161,2,5:03.0,J. Sampson enters the game for R. Covington,,31,36
162,2,4:56.0,,Personal foul by L. Mbah a Moute (drawn by M. Muscala),31,36
163,2,4:45.0,,D. Carroll makes 3-pt jump shot from 23 ft (assist by J. Teague),31,39
164,2,4:30.0,H. Sims misses 2-pt hook shot from 8 ft,,31,39
165,2,4:28.0,,Defensive rebound by Team,31,39
166,2,4:28.0,,P. Millsap enters the game for A. Horford,31,39
167,2,4:14.0,,P. Millsap makes 2-pt layup at rim,31,41
168,2,3:59.0,L. Mbah a Moute makes 2-pt layup from 2 ft,,33,41
169,2,3:59.0,Shooting foul by P. Millsap (drawn by L. Mbah a Moute),,33,41
170,2,3:59.0,L. Mbah a Moute misses free throw 1 of 1,,33,41
171,2,3:57.0,,Defensive rebound by M. Muscala,33,41
172,2,3:35.0,,P. Millsap misses 2-pt jump shot from 14 ft,33,41
173,2,3:33.0,Defensive rebound by H. Sims,,33,41
174,2,3:13.0,Turnover by L. Mbah a Moute (lost ball; steal by K. Korver),,33,41
175,2,2:59.0,,Shooting foul by J. Sampson (drawn by P. Millsap),33,41
176,2,2:59.0,,Atlanta full timeout,33,41
177,2,2:59.0,,P. Millsap makes free throw 1 of 2,33,42
178,2,2:59.0,,P. Millsap makes free throw 2 of 2,33,43
179,2,2:50.0,H. Sims misses 2-pt jump shot from 19 ft,,33,43
180,2,2:48.0,,Defensive rebound by D. Carroll,33,43
181,2,2:31.0,,M. Muscala makes 2-pt jump shot from 17 ft (assist by J. Teague),33,45
182,2,2:08.0,J. Sampson misses 2-pt layup at rim (block by K. Korver),,33,45
183,2,2:05.0,Offensive rebound by J. Sampson,,33,45
184,2,2:04.0,Turnover by J. Sampson (lost ball; steal by M. Muscala),,33,45
185,2,1:55.0,,Turnover by P. Millsap (lost ball; steal by L. Mbah a Moute),33,45
186,2,1:44.0,M. Carter-Williams makes 2-pt layup at rim,,35,45
187,2,1:35.0,,K. Korver misses 3-pt jump shot from 23 ft,35,45
188,2,1:34.0,Defensive rebound by H. Sims,,35,45
189,2,1:20.0,Personal foul by K. Korver (drawn by L. Mbah a Moute),,35,45
190,2,1:20.0,K. McDaniels enters the game for L. Mbah a Moute,,35,45
191,2,1:20.0,J. Grant enters the game for H. Sims,,35,45
192,2,1:20.0,N. Noel enters the game for J. Sampson,,35,45
193,2,1:06.0,N. Noel misses 2-pt jump shot from 18 ft,,35,45
194,2,1:02.0,Offensive rebound by J. Grant,,35,45
195,2,1:01.0,J. Grant makes 2-pt layup at rim,,37,45
196,2,0:42.0,,D. Carroll misses 2-pt jump shot from 5 ft (block by N. Noel),37,45
197,2,0:40.0,,Offensive rebound by Team,37,45
198,2,0:40.0,,Atlanta full timeout,37,45
199,2,0:36.0,,K. Korver misses 2-pt layup from 1 ft,37,45
200,2,0:34.0,,Offensive rebound by D. Carroll,37,45
201,2,0:34.0,,D. Carroll misses 2-pt tip-in at rim,37,45
202,2,0:33.0,,Offensive rebound by D. Carroll,37,45
203,2,0:30.0,,K. Korver makes 2-pt jump shot from 19 ft (assist by D. Carroll),37,47
204,2,0:25.0,Philadelphia full timeout,,37,47
205,2,0:25.0,,K. Bazemore enters the game for K. Korver,37,47
206,2,0:09.0,Shooting foul by P. Millsap (drawn by N. Noel),,37,47
207,2,0:09.0,N. Noel misses free throw 1 of 2,,37,47
208,2,0:09.0,Offensive rebound by Team,,37,47
209,2,0:09.0,,K. Korver enters the game for K. Bazemore,37,47
210,2,0:09.0,N. Noel makes free throw 2 of 2,,38,47
211,2,0:01.0,,D. Carroll misses 2-pt jump shot from 21 ft,38,47
212,2,0:01.0,Defensive rebound by M. Carter-Williams,,38,47
213,3,11:51.0,Shooting foul by J. Teague (drawn by N. Noel),,38,47
214,3,11:51.0,N. Noel makes free throw 1 of 2,,39,47
215,3,11:51.0,N. Noel misses free throw 2 of 2,,39,47
216,3,11:49.0,,Defensive rebound by D. Carroll,39,47
217,3,11:37.0,,A. Horford misses 2-pt jump shot from 19 ft,39,47
218,3,11:36.0,Defensive rebound by M. Carter-Williams,,39,47
219,3,11:30.0,Turnover by M. Carter-Williams (bad pass; steal by D. Carroll),,39,47
220,3,11:15.0,,Turnover by K. Korver (bad pass),39,47
221,3,11:04.0,H. Thompson misses 3-pt jump shot from 25 ft,,39,47
222,3,11:02.0,,Defensive rebound by P. Millsap,39,47
223,3,10:39.0,,P. Millsap makes 2-pt jump shot from 9 ft,39,49
224,3,10:23.0,M. Carter-Williams makes 2-pt jump shot from 19 ft (assist by N. Noel),,41,49
225,3,10:09.0,,A. Horford makes 2-pt jump shot from 19 ft (assist by J. Teague),41,51
226,3,9:49.0,R. Covington misses 2-pt jump shot from 13 ft,,41,51
227,3,9:46.0,,Defensive rebound by P. Millsap,41,51
228,3,9:33.0,,Turnover by P. Millsap (bad pass; steal by L. Mbah a Moute),41,51
229,3,9:29.0,Personal foul by J. Teague (drawn by R. Covington),,41,51
230,3,9:25.0,R. Covington misses 3-pt jump shot from 25 ft,,41,51
231,3,9:23.0,Offensive rebound by M. Carter-Williams,,41,51
232,3,9:15.0,L. Mbah a Moute makes 3-pt jump shot from 24 ft (assist by H. Thompson),,44,51
233,3,9:06.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by J. Teague),44,54
234,3,8:50.0,N. Noel misses 2-pt layup from 3 ft,,44,54
235,3,8:49.0,,Defensive rebound by K. Korver,44,54
236,3,8:36.0,,Shooting foul by R. Covington (drawn by D. Carroll),44,54
237,3,8:36.0,,D. Carroll makes 2-pt layup from 2 ft (assist by K. Korver),44,56
238,3,8:36.0,,D. Carroll makes free throw 1 of 1,44,57
239,3,8:26.0,Shooting foul by A. Horford (drawn by R. Covington),,44,57
240,3,8:26.0,R. Covington misses free throw 1 of 2,,44,57
241,3,8:26.0,Offensive rebound by Team,,44,57
242,3,8:26.0,R. Covington makes free throw 2 of 2,,45,57
243,3,8:02.0,,D. Carroll misses 2-pt jump shot from 16 ft,45,57
244,3,8:01.0,Defensive rebound by M. Carter-Williams,,45,57
245,3,7:35.0,M. Carter-Williams misses 2-pt jump shot from 20 ft,,45,57
246,3,7:33.0,,Defensive rebound by A. Horford,45,57
247,3,7:26.0,,J. Teague misses 2-pt jump shot from 18 ft,45,57
248,3,7:25.0,Defensive rebound by H. Thompson,,45,57
249,3,7:20.0,Turnover by R. Covington (traveling),,45,57
250,3,7:04.0,,Turnover by J. Teague (bad pass),45,57
251,3,7:04.0,K. McDaniels enters the game for H. Thompson,,45,57
252,3,6:51.0,N. Noel makes 2-pt layup from 1 ft (assist by M. Carter-Williams),,47,57
253,3,6:36.0,,A. Horford misses 2-pt layup from 2 ft,47,57
254,3,6:34.0,,Offensive rebound by D. Carroll,47,57
255,3,6:28.0,,Personal foul by K. McDaniels (drawn by J. Teague),47,57
256,3,6:28.0,J. Grant enters the game for N. Noel,,47,57
257,3,6:21.0,,P. Millsap misses 2-pt layup from 2 ft (block by J. Grant),47,57
258,3,6:19.0,,Offensive rebound by D. Carroll,47,57
259,3,6:17.0,,Personal block foul by R. Covington (drawn by D. Carroll),47,57
260,3,6:16.0,,Personal foul by J. Grant (drawn by A. Horford),47,57
261,3,6:07.0,,D. Carroll makes 3-pt jump shot from 22 ft (assist by P. Millsap),47,60
262,3,5:45.0,J. Grant makes 2-pt layup at rim (assist by K. McDaniels),,49,60
263,3,5:33.0,,A. Horford makes 2-pt layup from 1 ft (assist by P. Millsap),49,62
264,3,5:12.0,,Offensive charge foul by K. McDaniels (drawn by P. Millsap),49,62
265,3,5:12.0,Turnover by K. McDaniels (offensive foul),,49,62
266,3,5:12.0,,Atlanta full timeout,49,62
267,3,5:00.0,,A. Horford misses 2-pt dunk at rim (block by M. Carter-Williams),49,62
268,3,4:57.0,Defensive rebound by R. Covington,,49,62
269,3,4:50.0,K. McDaniels misses 3-pt jump shot from 24 ft,,49,62
270,3,4:49.0,,Defensive rebound by P. Millsap,49,62
271,3,4:34.0,,K. Korver misses 2-pt jump shot from 21 ft,49,62
272,3,4:33.0,Defensive rebound by K. McDaniels,,49,62
273,3,4:25.0,K. McDaniels misses 2-pt layup from 1 ft,,49,62
274,3,4:24.0,Offensive rebound by Team,,49,62
275,3,4:24.0,,P. Antić enters the game for A. Horford,49,62
276,3,4:21.0,J. Grant misses 3-pt jump shot from 24 ft,,49,62
277,3,4:19.0,Offensive rebound by R. Covington,,49,62
278,3,4:18.0,R. Covington makes 2-pt layup at rim,,51,62
279,3,4:02.0,,J. Teague misses 3-pt jump shot from 25 ft,51,62
280,3,4:00.0,Defensive rebound by M. Carter-Williams,,51,62
281,3,3:55.0,Turnover by M. Carter-Williams (lost ball; steal by J. Teague),,51,62
282,3,3:54.0,,Personal foul by R. Covington (drawn by J. Teague),51,62
283,3,3:54.0,H. Thompson enters the game for L. Mbah a Moute,,51,62
284,3,3:54.0,N. Noel enters the game for R. Covington,,51,62
285,3,3:54.0,,S. Mack enters the game for K. Korver,51,62
286,3,3:54.0,,J. Teague makes free throw 1 of 2,51,63
287,3,3:54.0,,J. Teague makes free throw 2 of 2,51,64
288,3,3:43.0,Turnover by N. Noel (lost ball; steal by D. Carroll),,51,64
289,3,3:19.0,,Turnover by Team (shot clock),51,64
290,3,3:19.0,,D. Schröder enters the game for J. Teague,51,64
291,3,3:09.0,K. McDaniels makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),,54,64
292,3,2:47.0,,Shooting foul by K. McDaniels (drawn by D. Carroll),54,64
293,3,2:47.0,Philadelphia full timeout,,54,64
294,3,2:47.0,,D. Carroll misses free throw 1 of 2,54,64
295,3,2:47.0,,Offensive rebound by Team,54,64
296,3,2:47.0,,D. Carroll makes free throw 2 of 2,54,65
297,3,2:31.0,K. McDaniels misses 3-pt jump shot from 24 ft,,54,65
298,3,2:28.0,Offensive rebound by M. Carter-Williams,,54,65
299,3,2:09.0,N. Noel misses 2-pt hook shot from 8 ft,,54,65
300,3,2:08.0,,Defensive rebound by S. Mack,54,65
301,3,1:52.0,,D. Schröder misses 3-pt jump shot from 24 ft,54,65
302,3,1:50.0,Defensive rebound by M. Carter-Williams,,54,65
303,3,1:43.0,M. Carter-Williams misses 2-pt jump shot from 10 ft,,54,65
304,3,1:42.0,,Defensive rebound by P. Millsap,54,65
305,3,1:25.0,,D. Carroll misses 3-pt jump shot from 23 ft,54,65
306,3,1:24.0,Defensive rebound by N. Noel,,54,65
307,3,1:16.0,Personal foul by P. Millsap (drawn by N. Noel),,54,65
308,3,1:16.0,A. Shved enters the game for M. Carter-Williams,,54,65
309,3,1:16.0,,T. Sefolosha enters the game for D. Carroll,54,65
310,3,1:16.0,,A. Horford enters the game for P. Millsap,54,65
311,3,1:03.0,J. Grant misses 2-pt jump shot from 16 ft,,54,65
312,3,1:01.0,,Defensive rebound by T. Sefolosha,54,65
313,3,0:43.0,,A. Horford makes 2-pt jump shot from 6 ft (assist by T. Sefolosha),54,67
314,3,0:35.0,J. Sampson enters the game for J. Grant,,54,67
315,3,0:29.0,Shooting foul by T. Sefolosha (drawn by K. McDaniels),,54,67
316,3,0:29.0,K. McDaniels makes free throw 1 of 2,,55,67
317,3,0:29.0,L. Mbah a Moute enters the game for A. Shved,,55,67
318,3,0:29.0,K. McDaniels makes free throw 2 of 2,,56,67
319,3,0:13.0,,Personal foul by J. Sampson (drawn by A. Horford),56,67
320,3,0:13.0,,A. Horford makes free throw 1 of 2,56,68
321,3,0:13.0,,K. Bazemore enters the game for P. Antić,56,68
322,3,0:13.0,A. Shved enters the game for L. Mbah a Moute,,56,68
323,3,0:13.0,,A. Horford misses free throw 2 of 2,56,68
324,3,0:12.0,Defensive rebound by H. Thompson,,56,68
325,3,0:01.0,Shooting foul by S. Mack (drawn by A. Shved),,56,68
326,3,0:01.0,A. Shved makes free throw 1 of 2,,57,68
327,3,0:01.0,,P. Antić enters the game for K. Bazemore,57,68
328,3,0:01.0,A. Shved makes free throw 2 of 2,,58,68
329,3,0:01.0,,Turnover by P. Antić (bad pass; steal by K. McDaniels),58,68
330,4,11:38.0,,D. Schröder misses 2-pt layup from 3 ft (block by K. McDaniels),58,68
