,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DALLAS_ACTION,PHOENIX_SCORE,DALLAS_SCORE
0,1,11:42.0,M. Morris makes 2-pt jump shot from 9 ft (assist by G. Dragić),,2,0
1,1,11:27.0,,Turnover by J. Nelson (bad pass),2,0
2,1,11:08.0,E. Bledsoe misses 2-pt jump shot from 18 ft,,2,0
3,1,11:06.0,,Defensive rebound by D. Nowitzki,2,0
4,1,11:00.0,,Turnover by J. Nelson (bad pass; steal by P. Tucker),2,0
5,1,10:55.0,Turnover by P. Tucker (bad pass; steal by T. Chandler),,2,0
6,1,10:49.0,,Shooting foul by M. Morris (drawn by D. Nowitzki),2,0
7,1,10:49.0,,D. Nowitzki makes free throw 1 of 2,2,1
8,1,10:49.0,,D. Nowitzki makes free throw 2 of 2,2,2
9,1,10:34.0,Turnover by M. Plumlee (lost ball),,2,2
10,1,10:28.0,,T. Chandler makes 2-pt dunk at rim (assist by M. Ellis),2,4
11,1,10:13.0,M. Morris makes 2-pt jump shot from 21 ft (assist by P. Tucker),,4,4
12,1,9:56.0,,M. Ellis makes 2-pt jump shot from 20 ft,4,6
13,1,9:39.0,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by G. Dragić),,7,6
14,1,9:18.0,,Turnover by D. Nowitzki (bad pass; steal by M. Plumlee),7,6
15,1,9:13.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by G. Dragić),,9,6
16,1,8:55.0,,J. Nelson misses 3-pt jump shot from 27 ft,9,6
17,1,8:54.0,Defensive rebound by M. Plumlee,,9,6
18,1,8:41.0,M. Morris makes 2-pt layup from 3 ft,,11,6
19,1,8:23.0,,C. Parsons misses 2-pt jump shot from 22 ft,11,6
20,1,8:22.0,Defensive rebound by M. Morris,,11,6
21,1,8:15.0,P. Tucker makes 3-pt jump shot from 22 ft (assist by E. Bledsoe),,14,6
22,1,8:13.0,,Dallas full timeout,14,6
23,1,7:56.0,,J. Nelson makes 2-pt layup from 2 ft,14,8
24,1,7:32.0,G. Dragić misses 2-pt jump shot from 21 ft,,14,8
25,1,7:30.0,Offensive rebound by M. Morris,,14,8
26,1,7:26.0,M. Morris misses 3-pt jump shot from 24 ft,,14,8
27,1,7:25.0,Offensive rebound by M. Plumlee,,14,8
28,1,7:22.0,G. Dragić makes 3-pt jump shot from 25 ft (assist by M. Plumlee),,17,8
29,1,7:09.0,,M. Ellis makes 2-pt jump shot from 19 ft,17,10
30,1,6:56.0,M. Plumlee makes 2-pt dunk at rim (assist by G. Dragić),,19,10
31,1,6:37.0,,C. Parsons makes 2-pt layup from 1 ft,19,12
32,1,6:19.0,M. Plumlee makes 2-pt hook shot from 3 ft (assist by E. Bledsoe),,21,12
33,1,5:56.0,,C. Parsons misses 3-pt jump shot from 26 ft,21,12
34,1,5:55.0,Defensive rebound by E. Bledsoe,,21,12
35,1,5:52.0,E. Bledsoe makes 2-pt layup from 1 ft,,23,12
36,1,5:52.0,Shooting foul by J. Nelson (drawn by E. Bledsoe),,23,12
37,1,5:52.0,,A. Aminu enters the game for D. Nowitzki,23,12
38,1,5:52.0,E. Bledsoe makes free throw 1 of 1,,24,12
39,1,5:39.0,,M. Ellis misses 2-pt jump shot from 23 ft,24,12
40,1,5:37.0,Defensive rebound by M. Morris,,24,12
