,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SAN ANTONIO_ACTION,LA CLIPPERS_SCORE,SAN ANTONIO_SCORE
0,1,11:43.0,,T. Parker misses 2-pt jump shot from 16 ft,0,0
1,1,11:42.0,Defensive rebound by B. Griffin,,0,0
2,1,11:23.0,M. Barnes misses 3-pt jump shot from 26 ft,,0,0
3,1,11:21.0,Offensive rebound by B. Griffin,,0,0
4,1,11:10.0,B. Griffin misses 2-pt jump shot from 6 ft,,0,0
5,1,11:09.0,,Defensive rebound by T. Parker,0,0
6,1,11:04.0,,T. Parker misses 2-pt layup from 1 ft (block by D. Jordan),0,0
7,1,11:02.0,,Offensive rebound by T. Splitter,0,0
8,1,10:59.0,,D. Green makes 3-pt jump shot from 24 ft (assist by T. Splitter),0,3
9,1,10:47.0,Shooting foul by K. Leonard (drawn by J. Redick),,0,3
10,1,10:47.0,J. Redick makes free throw 1 of 2,,1,3
11,1,10:47.0,J. Redick makes free throw 2 of 2,,2,3
12,1,10:26.0,,T. Parker makes 2-pt layup from 1 ft,2,5
13,1,10:06.0,Turnover by B. Griffin (lost ball; steal by K. Leonard),,2,5
14,1,9:59.0,,K. Leonard makes 2-pt layup from 1 ft,2,7
15,1,9:51.0,J. Redick misses 3-pt jump shot from 23 ft,,2,7
16,1,9:50.0,,Defensive rebound by T. Duncan,2,7
17,1,9:40.0,,T. Parker misses 2-pt jump shot from 12 ft,2,7
18,1,9:39.0,Defensive rebound by D. Jordan,,2,7
19,1,9:28.0,C. Paul misses 2-pt jump shot from 18 ft,,2,7
20,1,9:27.0,,Defensive rebound by T. Splitter,2,7
21,1,9:13.0,,K. Leonard makes 2-pt jump shot from 14 ft,2,9
22,1,8:58.0,Turnover by B. Griffin (bad pass),,2,9
23,1,8:45.0,,D. Green makes 2-pt layup from 1 ft (assist by T. Splitter),2,11
24,1,8:19.0,B. Griffin misses 2-pt jump shot from 19 ft,,2,11
25,1,8:18.0,,Defensive rebound by Team,2,11
