,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MIAMI_ACTION,ATLANTA_SCORE,MIAMI_SCORE
0,1,11:42.0,,Turnover by L. Deng (lost ball; steal by K. Korver),0,0
1,1,11:34.0,D. Carroll misses 3-pt jump shot from 23 ft,,0,0
2,1,11:33.0,,Defensive rebound by M. Chalmers,0,0
3,1,11:25.0,,Turnover by D. Wade (lost ball; steal by J. Teague),0,0
4,1,11:19.0,P. Millsap misses 2-pt jump shot from 9 ft,,0,0
5,1,11:18.0,,Defensive rebound by C. Bosh,0,0
6,1,11:11.0,,Shooting foul by J. Teague (drawn by L. Deng),0,0
7,1,11:11.0,,L. Deng makes free throw 1 of 2,0,1
8,1,11:11.0,,L. Deng makes free throw 2 of 2,0,2
9,1,10:57.0,K. Korver misses 3-pt jump shot from 24 ft,,0,2
10,1,10:56.0,Offensive rebound by D. Carroll,,0,2
11,1,10:49.0,J. Teague misses 3-pt jump shot from 25 ft,,0,2
12,1,10:48.0,,Defensive rebound by L. Deng,0,2
13,1,10:38.0,,C. Bosh makes 2-pt jump shot from 7 ft (assist by J. McRoberts),0,4
14,1,10:24.0,K. Korver makes 2-pt jump shot from 14 ft (assist by A. Horford),,2,4
15,1,10:00.0,,L. Deng makes 2-pt layup from 2 ft,2,6
16,1,9:40.0,Turnover by P. Millsap (bad pass; steal by L. Deng),,2,6
17,1,9:29.0,Violation by P. Millsap (kicked ball),,2,6
18,1,9:21.0,,D. Wade misses 2-pt jump shot from 20 ft,2,6
19,1,9:20.0,Defensive rebound by J. Teague,,2,6
20,1,9:05.0,Turnover by A. Horford (bad pass; steal by J. McRoberts),,2,6
21,1,9:02.0,,Turnover by J. McRoberts (bad pass; steal by P. Millsap),2,6
22,1,8:45.0,D. Carroll makes 2-pt layup from 1 ft (assist by A. Horford),,4,6
23,1,8:34.0,,D. Wade misses 2-pt jump shot from 20 ft,4,6
24,1,8:33.0,Defensive rebound by D. Carroll,,4,6
25,1,8:17.0,J. Teague makes 3-pt jump shot from 24 ft (assist by P. Millsap),,7,6
26,1,8:05.0,,J. McRoberts makes 2-pt dunk at rim (assist by D. Wade),7,8
27,1,7:52.0,A. Horford makes 2-pt dunk at rim (assist by J. Teague),,9,8
28,1,7:23.0,,C. Bosh misses 2-pt jump shot from 20 ft,9,8
29,1,7:22.0,Defensive rebound by P. Millsap,,9,8
30,1,7:13.0,A. Horford misses 2-pt jump shot from 8 ft,,9,8
31,1,7:12.0,,Defensive rebound by L. Deng,9,8
32,1,7:05.0,,M. Chalmers misses 3-pt jump shot from 25 ft,9,8
33,1,7:04.0,Defensive rebound by K. Korver,,9,8
34,1,7:03.0,Personal foul by M. Chalmers (drawn by J. Teague),,9,8
35,1,7:03.0,,S. Napier enters the game for M. Chalmers,9,8
36,1,7:03.0,,J. Hamilton enters the game for C. Bosh,9,8
37,1,6:50.0,D. Carroll makes 2-pt jump shot from 6 ft (assist by P. Millsap),,11,8
38,1,6:50.0,Shooting foul by D. Wade (drawn by D. Carroll),,11,8
39,1,6:50.0,D. Carroll misses free throw 1 of 1,,11,8
40,1,6:49.0,,Defensive rebound by J. Hamilton,11,8
41,1,6:36.0,,D. Wade misses 2-pt jump shot from 10 ft,11,8
42,1,6:35.0,Defensive rebound by K. Korver,,11,8
43,1,6:27.0,P. Millsap makes 3-pt jump shot from 24 ft (assist by J. Teague),,14,8
44,1,6:27.0,,Miami full timeout,14,8
45,1,6:09.0,,J. Hamilton misses 2-pt jump shot from 19 ft,14,8
46,1,6:08.0,Defensive rebound by Team,,14,8
47,1,5:56.0,Turnover by K. Korver (bad pass),,14,8
48,1,5:39.0,,D. Wade misses 2-pt jump shot from 6 ft,14,8
49,1,5:38.0,Defensive rebound by A. Horford,,14,8
50,1,5:32.0,K. Korver misses 3-pt jump shot from 23 ft,,14,8
51,1,5:31.0,Offensive rebound by P. Millsap,,14,8
52,1,5:30.0,Personal foul by J. McRoberts (drawn by P. Millsap),,14,8
53,1,5:30.0,P. Antić enters the game for A. Horford,,14,8
54,1,5:23.0,Turnover by K. Korver (bad pass; steal by D. Wade),,14,8
55,1,5:06.0,,J. McRoberts misses 2-pt layup from 1 ft,14,8
56,1,5:05.0,,Offensive rebound by D. Wade,14,8
57,1,4:57.0,,Shooting foul by P. Millsap (drawn by L. Deng),14,8
58,1,4:57.0,,L. Deng misses free throw 1 of 2,14,8
59,1,4:57.0,,Offensive rebound by Team,14,8
60,1,4:57.0,,L. Deng makes free throw 2 of 2,14,9
61,1,4:44.0,K. Korver makes 3-pt jump shot from 24 ft (assist by J. Teague),,17,9
62,1,4:23.0,,J. McRoberts makes 2-pt layup at rim (assist by D. Wade),17,11
63,1,4:13.0,,M. Chalmers enters the game for D. Wade,17,11
64,1,4:13.0,,C. Bosh enters the game for J. McRoberts,17,11
65,1,4:07.0,Turnover by P. Antić (bad pass),,17,11
66,1,4:07.0,S. Mack enters the game for K. Korver,,17,11
67,1,3:55.0,,S. Napier makes 3-pt jump shot from 24 ft (assist by C. Bosh),17,14
68,1,3:45.0,,Offensive charge foul by P. Millsap (drawn by J. Hamilton),17,14
69,1,3:45.0,Turnover by P. Millsap (offensive foul),,17,14
70,1,3:45.0,D. Schröder enters the game for J. Teague,,17,14
71,1,3:45.0,M. Scott enters the game for P. Millsap,,17,14
72,1,3:23.0,,Turnover by C. Bosh (bad pass),17,14
73,1,3:09.0,M. Scott makes 2-pt jump shot from 8 ft (assist by D. Schröder),,19,14
74,1,2:56.0,,Turnover by L. Deng (offensive foul),19,14
75,1,2:56.0,Offensive charge foul by L. Deng (drawn by M. Scott),,19,14
76,1,2:56.0,Atlanta full timeout,,19,14
77,1,2:56.0,,J. Ennis enters the game for L. Deng,19,14
78,1,2:42.0,P. Antić misses 2-pt jump shot from 21 ft,,19,14
79,1,2:41.0,Offensive rebound by D. Carroll,,19,14
80,1,2:34.0,P. Antić makes 2-pt jump shot from 22 ft (assist by S. Mack),,21,14
81,1,2:16.0,,Turnover by M. Chalmers (step out of bounds),21,14
82,1,2:16.0,T. Sefolosha enters the game for D. Carroll,,21,14
83,1,1:52.0,P. Antić misses 3-pt jump shot from 24 ft,,21,14
84,1,1:51.0,,Defensive rebound by J. Ennis,21,14
