,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,TORONTO_ACTION,SAN ANTONIO_SCORE,TORONTO_SCORE
0,1,11:50.0,T. Duncan misses 2-pt jump shot from 18 ft,,0,0
1,1,11:49.0,,Defensive rebound by J. Valančiūnas,0,0
2,1,11:30.0,,Shooting foul by T. Duncan (drawn by A. Johnson),0,0
3,1,11:30.0,,A. Johnson makes free throw 1 of 2,0,1
4,1,11:30.0,,A. Johnson makes free throw 2 of 2,0,2
5,1,11:17.0,K. Leonard misses 2-pt jump shot from 19 ft,,0,2
6,1,11:16.0,,Defensive rebound by K. Lowry,0,2
7,1,11:08.0,,K. Lowry makes 2-pt jump shot from 16 ft,0,4
8,1,10:56.0,T. Parker misses 2-pt jump shot from 11 ft,,0,4
9,1,10:55.0,,Defensive rebound by D. DeRozan,0,4
10,1,10:43.0,,K. Lowry makes 3-pt jump shot from 24 ft (assist by A. Johnson),0,7
11,1,10:23.0,K. Leonard misses 2-pt jump shot from 14 ft,,0,7
12,1,10:20.0,,Defensive rebound by D. DeRozan,0,7
13,1,10:06.0,,D. DeRozan misses 2-pt jump shot from 8 ft (block by T. Parker),0,7
14,1,10:04.0,Defensive rebound by T. Parker,,0,7
15,1,10:02.0,Personal foul by K. Lowry (drawn by T. Parker),,0,7
16,1,9:48.0,D. Green makes 2-pt jump shot from 16 ft (assist by T. Duncan),,2,7
17,1,9:31.0,,Turnover by D. DeRozan (lost ball; steal by D. Green),2,7
18,1,9:28.0,Shooting foul by A. Johnson (drawn by D. Green),,2,7
19,1,9:28.0,D. Green makes free throw 1 of 2,,3,7
20,1,9:28.0,D. Green misses free throw 2 of 2,,3,7
21,1,9:25.0,Offensive rebound by A. Baynes,,3,7
22,1,9:20.0,Shooting foul by A. Johnson (drawn by T. Duncan),,3,7
23,1,9:20.0,T. Duncan makes free throw 1 of 2,,4,7
24,1,9:20.0,,P. Patterson enters the game for A. Johnson,4,7
25,1,9:20.0,T. Duncan makes free throw 2 of 2,,5,7
26,1,9:01.0,,J. Valančiūnas misses 2-pt layup from 2 ft (block by D. Green),5,7
27,1,9:00.0,Defensive rebound by K. Leonard,,5,7
28,1,8:53.0,D. Green misses 3-pt jump shot from 24 ft,,5,7
29,1,8:51.0,,Defensive rebound by J. Valančiūnas,5,7
30,1,8:39.0,,J. Johnson makes 2-pt hook shot from 3 ft,5,9
31,1,8:25.0,T. Duncan makes 2-pt jump shot from 17 ft,,7,9
32,1,8:06.0,,D. DeRozan makes 2-pt jump shot from 18 ft,7,11
33,1,7:47.0,T. Parker misses 2-pt hook shot from 8 ft,,7,11
34,1,7:46.0,,Defensive rebound by J. Valančiūnas,7,11
35,1,7:41.0,,Turnover by D. DeRozan (bad pass; steal by T. Duncan),7,11
