,QUARTER,TIME_REMAINING,DALLAS_ACTION,UTAH_ACTION,DALLAS_SCORE,UTAH_SCORE
0,1,11:37.0,,D. Exum makes 2-pt layup from 2 ft,0,2
1,1,11:19.0,A. Stoudemire makes 2-pt hook shot from 5 ft,,2,2
2,1,10:58.0,,R. Gobert misses 2-pt layup at rim,2,2
3,1,10:57.0,Defensive rebound by C. Villanueva,,2,2
4,1,10:51.0,C. Villanueva makes 3-pt jump shot from 24 ft (assist by R. Rondo),,5,2
5,1,10:35.0,,R. Gobert makes 2-pt layup at rim (assist by J. Ingles),5,4
6,1,10:26.0,Turnover by R. Jefferson (traveling),,5,4
7,1,10:10.0,,D. Exum misses 3-pt jump shot from 23 ft,5,4
8,1,10:09.0,,Offensive rebound by Team,5,4
9,1,10:03.0,,R. Hood misses 3-pt jump shot from 23 ft,5,4
10,1,10:01.0,Defensive rebound by R. Felton,,5,4
11,1,9:54.0,C. Villanueva makes 3-pt jump shot from 24 ft (assist by R. Rondo),,8,4
12,1,9:43.0,,Turnover by R. Hood (bad pass; steal by C. Villanueva),8,4
13,1,9:35.0,C. Villanueva misses 2-pt jump shot from 4 ft (block by R. Gobert),,8,4
14,1,9:33.0,,Defensive rebound by R. Gobert,8,4
15,1,9:16.0,,J. Ingles misses 3-pt jump shot from 24 ft,8,4
16,1,9:15.0,,Offensive rebound by T. Booker,8,4
17,1,9:02.0,,D. Exum makes 3-pt jump shot from 22 ft (assist by R. Hood),8,7
18,1,8:42.0,A. Stoudemire misses 2-pt hook shot from 4 ft,,8,7
19,1,8:41.0,,Defensive rebound by R. Gobert,8,7
20,1,8:30.0,,D. Exum misses 3-pt jump shot from 23 ft,8,7
21,1,8:28.0,Defensive rebound by R. Rondo,,8,7
22,1,8:22.0,C. Villanueva misses 3-pt jump shot from 26 ft,,8,7
23,1,8:20.0,,Defensive rebound by J. Ingles,8,7
24,1,8:10.0,,R. Hood misses 3-pt jump shot from 25 ft,8,7
25,1,8:10.0,,Offensive rebound by T. Booker,8,7
26,1,8:10.0,,Shooting foul by C. Villanueva (drawn by T. Booker),8,7
27,1,8:10.0,,T. Booker misses free throw 1 of 2,8,7
28,1,8:10.0,,Offensive rebound by Team,8,7
29,1,8:10.0,,T. Booker makes free throw 2 of 2,8,8
30,1,7:49.0,A. Stoudemire makes 2-pt hook shot from 2 ft,,10,8
31,1,7:37.0,,T. Booker makes 2-pt jump shot from 13 ft,10,10
32,1,7:21.0,A. Stoudemire misses 2-pt jump shot from 16 ft,,10,10
33,1,7:20.0,,Defensive rebound by T. Booker,10,10
34,1,7:04.0,,J. Ingles makes 2-pt layup from 2 ft,10,12
35,1,7:04.0,,Shooting foul by A. Stoudemire (drawn by J. Ingles),10,12
36,1,7:04.0,,J. Ingles makes free throw 1 of 1,10,13
37,1,6:52.0,C. Villanueva makes 2-pt layup from 3 ft (assist by R. Jefferson),,12,13
38,1,6:37.0,,Offensive foul by R. Gobert (drawn by R. Jefferson),12,13
39,1,6:37.0,,Turnover by R. Gobert (offensive foul),12,13
40,1,6:22.0,Turnover by R. Rondo (traveling),,12,13
41,1,6:09.0,,R. Hood misses 2-pt jump shot from 11 ft,12,13
42,1,6:08.0,Defensive rebound by A. Stoudemire,,12,13
43,1,5:56.0,R. Rondo makes 3-pt jump shot from 22 ft (assist by R. Felton),,15,13
44,1,5:49.0,,Utah full timeout,15,13
45,1,5:43.0,,T. Booker makes 2-pt jump shot from 14 ft,15,15
46,1,5:24.0,R. Rondo makes 2-pt hook shot from 5 ft (assist by A. Stoudemire),,17,15
47,1,5:07.0,,R. Gobert makes 2-pt dunk at rim (assist by J. Ingles),17,17
48,1,4:49.0,R. Felton makes 2-pt jump shot from 10 ft,,19,17
49,1,4:32.0,,Personal foul by A. Stoudemire (drawn by R. Gobert),19,17
50,1,4:32.0,,C. Johnson enters the game for R. Hood,19,17
51,1,4:32.0,A. Aminu enters the game for R. Jefferson,,19,17
52,1,4:32.0,B. James enters the game for A. Stoudemire,,19,17
53,1,4:21.0,,J. Ingles misses 3-pt jump shot from 24 ft,19,17
54,1,4:20.0,,Offensive rebound by R. Gobert,19,17
55,1,4:20.0,,Shooting foul by C. Villanueva (drawn by R. Gobert),19,17
56,1,4:20.0,,R. Gobert makes 2-pt layup at rim,19,19
57,1,4:20.0,,R. Gobert makes free throw 1 of 1,19,20
58,1,4:12.0,Turnover by R. Felton (bad pass; steal by D. Exum),,19,20
59,1,4:07.0,,C. Johnson makes 2-pt layup from 1 ft (assist by R. Gobert),19,22
60,1,4:07.0,Dallas full timeout,,19,22
61,1,4:07.0,D. Harris enters the game for C. Villanueva,,19,22
62,1,4:07.0,J. Barea enters the game for R. Rondo,,19,22
63,1,4:07.0,D. Powell enters the game for R. Felton,,19,22
64,1,4:07.0,,J. Evans enters the game for T. Booker,19,22
65,1,3:58.0,,Offensive charge foul by B. James (drawn by D. Exum),19,22
66,1,3:58.0,Turnover by B. James (offensive foul),,19,22
67,1,3:58.0,,B. Cotton enters the game for D. Exum,19,22
68,1,3:45.0,,Turnover by J. Ingles (lost ball),19,22
69,1,3:27.0,B. James misses 2-pt layup from 1 ft,,19,22
70,1,3:26.0,Offensive rebound by D. Powell,,19,22
71,1,3:23.0,Turnover by D. Harris (bad pass; steal by C. Johnson),,19,22
72,1,3:20.0,,Turnover by C. Johnson (bad pass; steal by J. Barea),19,22
73,1,3:01.0,J. Barea misses 2-pt layup from 3 ft,,19,22
74,1,3:00.0,,Defensive rebound by J. Evans,19,22
75,1,2:57.0,Offensive charge foul by C. Johnson (drawn by D. Harris),,19,22
76,1,2:57.0,,Turnover by C. Johnson (offensive foul),19,22
77,1,2:45.0,D. Powell makes 3-pt jump shot from 24 ft (assist by D. Harris),,22,22
78,1,2:30.0,,Turnover by B. Cotton (lost ball),22,22
79,1,2:30.0,,T. Booker enters the game for R. Gobert,22,22
80,1,2:14.0,B. James misses 2-pt jump shot from 4 ft (block by T. Booker),,22,22
81,1,2:13.0,,Defensive rebound by J. Evans,22,22
82,1,2:06.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by B. Cotton),22,25
83,1,1:51.0,D. Harris misses 2-pt layup from 1 ft,,22,25
84,1,1:50.0,,Defensive rebound by T. Booker,22,25
85,1,1:50.0,,Turnover by T. Booker (lost ball),22,25
86,1,1:50.0,,R. Hood enters the game for J. Ingles,22,25
87,1,1:42.0,B. James makes 2-pt dunk at rim (assist by D. Powell),,24,25
88,1,1:24.0,,Shooting foul by D. Powell (drawn by B. Cotton),24,25
89,1,1:24.0,,B. Cotton makes free throw 1 of 2,24,26
90,1,1:24.0,,B. Cotton makes free throw 2 of 2,24,27
91,1,1:06.0,D. Powell misses 2-pt layup from 2 ft,,24,27
92,1,1:05.0,,Defensive rebound by J. Evans,24,27
93,1,0:59.0,,Turnover by T. Booker (lost ball),24,27
94,1,0:44.0,Personal foul by C. Johnson (drawn by D. Harris),,24,27
95,1,0:35.0,Turnover by B. James (3 sec),,24,27
96,1,0:21.0,,B. Cotton makes 2-pt jump shot from 18 ft,24,29
97,1,0:00.0,B. James makes 2-pt layup from 1 ft,,26,29
98,2,11:48.0,D. Powell makes 2-pt jump shot from 17 ft (assist by J. Barea),,28,29
99,2,11:35.0,,B. Cotton makes 2-pt dunk at rim (assist by R. Hood),28,31
100,2,11:25.0,Turnover by J. Barea (bad pass; steal by J. Evans),,28,31
101,2,11:13.0,,R. Hood makes 3-pt jump shot from 23 ft (assist by E. Millsap),28,34
102,2,11:05.0,Personal foul by E. Millsap (drawn by J. Barea),,28,34
103,2,11:05.0,R. Rondo enters the game for D. Harris,,28,34
104,2,10:56.0,D. Powell misses 3-pt jump shot from 24 ft,,28,34
105,2,10:55.0,,Defensive rebound by T. Booker,28,34
106,2,10:40.0,,C. Johnson enters the game for E. Millsap,28,34
107,2,10:33.0,,Shooting foul by J. Barea (drawn by B. Cotton),28,34
108,2,10:33.0,,B. Cotton makes free throw 1 of 2,28,35
109,2,10:33.0,,E. Millsap enters the game for C. Johnson,28,35
110,2,10:33.0,,B. Cotton makes free throw 2 of 2,28,36
111,2,10:21.0,Turnover by R. Rondo (bad pass; steal by R. Hood),,28,36
112,2,10:19.0,,Shooting foul by D. Powell (drawn by J. Evans),28,36
113,2,10:19.0,,J. Evans makes free throw 1 of 2,28,37
114,2,10:19.0,,J. Evans misses free throw 2 of 2,28,37
115,2,10:17.0,Defensive rebound by B. James,,28,37
116,2,10:04.0,R. Rondo misses 2-pt jump shot from 7 ft,,28,37
117,2,10:04.0,Offensive rebound by A. Aminu,,28,37
118,2,10:04.0,Shooting foul by E. Millsap (drawn by A. Aminu),,28,37
119,2,10:04.0,A. Aminu makes free throw 1 of 2,,29,37
120,2,10:04.0,,R. Gobert enters the game for T. Booker,29,37
121,2,10:04.0,,G. Jerrett enters the game for J. Evans,29,37
122,2,10:04.0,A. Aminu makes free throw 2 of 2,,30,37
123,2,9:51.0,,R. Gobert makes 2-pt dunk at rim (assist by R. Hood),30,39
124,2,9:38.0,J. Barea makes 2-pt jump shot from 8 ft,,32,39
125,2,9:38.0,Shooting foul by E. Millsap (drawn by J. Barea),,32,39
126,2,9:38.0,,J. Ingles enters the game for E. Millsap,32,39
127,2,9:38.0,J. Barea makes free throw 1 of 1,,33,39
128,2,9:16.0,,B. Cotton makes 2-pt jump shot from 7 ft,33,41
129,2,9:05.0,J. Barea misses 2-pt jump shot from 9 ft,,33,41
130,2,9:03.0,,Defensive rebound by R. Gobert,33,41
131,2,8:59.0,,B. Cotton misses 3-pt jump shot from 24 ft,33,41
132,2,8:58.0,Defensive rebound by B. James,,33,41
133,2,8:49.0,J. Barea makes 2-pt jump shot from 8 ft,,35,41
134,2,8:22.0,,R. Hood misses 2-pt jump shot from 21 ft,35,41
135,2,8:21.0,Defensive rebound by D. Powell,,35,41
136,2,8:12.0,Turnover by A. Aminu (lost ball; steal by J. Ingles),,35,41
137,2,8:06.0,,R. Gobert makes 2-pt layup from 1 ft (assist by G. Jerrett),35,43
138,2,8:06.0,Dallas full timeout,,35,43
139,2,8:06.0,,C. Johnson enters the game for B. Cotton,35,43
140,2,8:06.0,R. Felton enters the game for B. James,,35,43
141,2,8:06.0,A. Stoudemire enters the game for J. Barea,,35,43
142,2,7:54.0,A. Stoudemire misses 2-pt hook shot from 8 ft (block by R. Gobert),,35,43
143,2,7:51.0,,Defensive rebound by R. Gobert,35,43
144,2,7:36.0,,Turnover by J. Ingles (bad pass),35,43
145,2,7:26.0,A. Stoudemire makes 2-pt jump shot from 13 ft (assist by R. Rondo),,37,43
146,2,7:13.0,,C. Johnson misses 2-pt jump shot from 5 ft (block by D. Powell),37,43
147,2,7:11.0,Defensive rebound by R. Rondo,,37,43
148,2,7:05.0,D. Powell misses 3-pt jump shot from 22 ft,,37,43
149,2,7:04.0,,Defensive rebound by R. Gobert,37,43
150,2,6:47.0,,G. Jerrett makes 2-pt hook shot from 3 ft,37,45
151,2,6:42.0,Shooting foul by R. Hood (drawn by A. Aminu),,37,45
152,2,6:42.0,A. Aminu misses free throw 1 of 2,,37,45
