,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MILWAUKEE_ACTION,GOLDEN STATE_SCORE,MILWAUKEE_SCORE
0,1,11:40.0,D. Lee makes 2-pt layup at rim (assist by S. Curry),,2,0
1,1,11:27.0,,Z. Pachulia misses 2-pt jump shot from 15 ft,2,0
2,1,11:26.0,Defensive rebound by D. Lee,,2,0
3,1,11:14.0,H. Barnes makes 3-pt jump shot from 22 ft (assist by S. Curry),,5,0
4,1,10:58.0,,Shooting foul by D. Lee (drawn by E. İlyasova),5,0
5,1,10:58.0,,E. İlyasova makes free throw 1 of 2,5,1
6,1,10:58.0,,E. İlyasova makes free throw 2 of 2,5,2
7,1,10:48.0,K. Thompson makes 2-pt jump shot from 5 ft (assist by D. Lee),,7,2
8,1,10:30.0,,Z. Pachulia makes 2-pt jump shot from 13 ft (assist by G. Antetokounmpo),7,4
9,1,10:18.0,D. Lee misses 2-pt jump shot from 13 ft,,7,4
10,1,10:17.0,,Defensive rebound by Z. Pachulia,7,4
11,1,10:02.0,,Turnover by K. Middleton (bad pass; steal by H. Barnes),7,4
12,1,9:46.0,Shooting foul by M. Carter-Williams (drawn by H. Barnes),,7,4
13,1,9:46.0,H. Barnes makes free throw 1 of 2,,8,4
14,1,9:46.0,H. Barnes makes free throw 2 of 2,,9,4
15,1,9:38.0,,M. Carter-Williams misses 2-pt jump shot from 6 ft,9,4
16,1,9:37.0,Defensive rebound by D. Lee,,9,4
17,1,9:29.0,H. Barnes misses 3-pt jump shot from 23 ft,,9,4
18,1,9:28.0,Offensive rebound by Team,,9,4
19,1,9:17.0,K. Thompson misses 3-pt jump shot from 25 ft,,9,4
20,1,9:16.0,,Defensive rebound by E. İlyasova,9,4
21,1,9:08.0,,Shooting foul by K. Thompson (drawn by K. Middleton),9,4
22,1,9:08.0,,K. Middleton makes free throw 1 of 2,9,5
23,1,9:08.0,,K. Middleton makes free throw 2 of 2,9,6
24,1,9:00.0,S. Curry makes 3-pt jump shot from 25 ft,,12,6
25,1,8:42.0,,Z. Pachulia misses 2-pt layup at rim (block by A. Bogut),12,6
26,1,8:39.0,Defensive rebound by K. Thompson,,12,6
27,1,8:34.0,K. Thompson misses 3-pt jump shot from 25 ft (block by Z. Pachulia),,12,6
28,1,8:32.0,Offensive rebound by A. Bogut,,12,6
29,1,8:25.0,A. Bogut makes 2-pt layup at rim (assist by S. Curry),,14,6
30,1,8:11.0,,Shooting foul by K. Thompson (drawn by Z. Pachulia),14,6
31,1,8:11.0,,Z. Pachulia makes free throw 1 of 2,14,7
32,1,8:11.0,B. Rush enters the game for K. Thompson,,14,7
33,1,8:11.0,,Z. Pachulia makes free throw 2 of 2,14,8
34,1,7:57.0,A. Bogut misses 2-pt hook shot from 6 ft,,14,8
35,1,7:55.0,,Defensive rebound by E. İlyasova,14,8
36,1,7:47.0,,M. Carter-Williams makes 2-pt dunk at rim,14,10
37,1,7:30.0,Turnover by A. Bogut (lost ball; steal by K. Middleton),,14,10
38,1,7:24.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by K. Middleton),14,12
39,1,7:03.0,B. Rush misses 3-pt jump shot from 23 ft,,14,12
40,1,7:02.0,,Defensive rebound by G. Antetokounmpo,14,12
41,1,6:54.0,,Turnover by G. Antetokounmpo (bad pass; steal by S. Curry),14,12
42,1,6:43.0,Turnover by A. Bogut (bad pass; steal by G. Antetokounmpo),,14,12
