,QUARTER,TIME_REMAINING,TORONTO_ACTION,BROOKLYN_ACTION,TORONTO_SCORE,BROOKLYN_SCORE
0,1,11:43.0,,K. Garnett misses 2-pt jump shot from 20 ft,0,0
1,1,11:42.0,Defensive rebound by G. Vásquez,,0,0
2,1,11:19.0,G. Vásquez makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,3,0
3,1,11:02.0,,J. Jack misses 3-pt jump shot from 23 ft,3,0
4,1,11:01.0,Defensive rebound by G. Vásquez,,3,0
5,1,10:51.0,G. Vásquez misses 3-pt jump shot from 24 ft,,3,0
6,1,10:50.0,Offensive rebound by J. Valančiūnas,,3,0
7,1,10:49.0,J. Valančiūnas makes 2-pt layup from 2 ft,,5,0
8,1,10:33.0,,Turnover by J. Jack (step out of bounds),5,0
9,1,10:14.0,G. Vásquez makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,8,0
10,1,9:51.0,,K. Garnett misses 2-pt jump shot from 17 ft,8,0
11,1,9:50.0,Defensive rebound by J. Valančiūnas,,8,0
12,1,9:38.0,Personal foul by K. Garnett (drawn by A. Johnson),,8,0
13,1,9:24.0,Turnover by Team (shot clock),,8,0
14,1,9:12.0,,A. Anderson misses 3-pt jump shot from 23 ft,8,0
15,1,9:11.0,Defensive rebound by K. Lowry,,8,0
16,1,8:53.0,D. DeRozan makes 2-pt jump shot from 11 ft,,10,0
17,1,8:51.0,,Brooklyn full timeout,10,0
18,1,8:36.0,,K. Garnett misses 2-pt jump shot from 12 ft,10,0
19,1,8:35.0,Defensive rebound by G. Vásquez,,10,0
20,1,8:25.0,J. Valančiūnas makes 2-pt jump shot from 16 ft (assist by D. DeRozan),,12,0
21,1,8:08.0,,J. Jack makes 3-pt jump shot from 24 ft (assist by K. Garnett),12,3
22,1,7:50.0,J. Valančiūnas makes 2-pt jump shot from 12 ft (assist by D. DeRozan),,14,3
23,1,7:35.0,,Personal foul by A. Johnson (drawn by J. Jack),14,3
24,1,7:35.0,,B. Lopez enters the game for M. Plumlee,14,3
25,1,7:22.0,,A. Anderson misses 2-pt layup from 2 ft (block by J. Valančiūnas),14,3
26,1,7:21.0,Defensive rebound by J. Valančiūnas,,14,3
27,1,7:13.0,K. Lowry misses 3-pt jump shot from 25 ft,,14,3
28,1,7:12.0,,Defensive rebound by J. Jack,14,3
29,1,7:06.0,,J. Jack misses 2-pt jump shot from 14 ft,14,3
30,1,7:05.0,Defensive rebound by D. DeRozan,,14,3
31,1,6:57.0,K. Lowry misses 3-pt jump shot from 23 ft,,14,3
32,1,6:56.0,,Defensive rebound by K. Garnett,14,3
33,1,6:44.0,,J. Johnson misses 2-pt jump shot from 13 ft,14,3
34,1,6:43.0,,Offensive rebound by K. Garnett,14,3
35,1,6:42.0,,Turnover by K. Garnett (lost ball; steal by K. Lowry),14,3
36,1,6:38.0,K. Lowry makes 2-pt layup from 1 ft,,16,3
37,1,6:38.0,,Brooklyn full timeout,16,3
38,1,6:38.0,,B. Bogdanović enters the game for A. Anderson,16,3
39,1,6:26.0,,B. Lopez misses 2-pt jump shot from 18 ft,16,3
40,1,6:25.0,Defensive rebound by K. Lowry,,16,3
41,1,6:09.0,G. Vásquez misses 2-pt jump shot from 17 ft,,16,3
42,1,6:08.0,,Defensive rebound by J. Jack,16,3
