,QUARTER,TIME_REMAINING,CHICAGO_ACTION,BOSTON_ACTION,CHICAGO_SCORE,BOSTON_SCORE
0,1,11:46.0,,T. Zeller makes 2-pt jump shot from 16 ft (assist by A. Bradley),0,2
1,1,11:32.0,D. Rose misses 2-pt jump shot from 13 ft,,0,2
2,1,11:31.0,,Defensive rebound by T. Zeller,0,2
3,1,11:20.0,,E. Turner makes 2-pt jump shot from 12 ft,0,4
4,1,11:09.0,J. Butler misses 3-pt jump shot from 25 ft,,0,4
5,1,11:08.0,,Defensive rebound by T. Zeller,0,4
6,1,10:55.0,,T. Zeller misses 2-pt hook shot from 9 ft,0,4
7,1,10:54.0,Defensive rebound by P. Gasol,,0,4
8,1,10:41.0,Turnover by P. Gasol (bad pass),,0,4
9,1,10:28.0,,Turnover by E. Turner (bad pass; steal by J. Butler),0,4
10,1,10:22.0,D. Rose makes 2-pt layup at rim (assist by J. Butler),,2,4
11,1,10:01.0,,J. Sullinger misses 2-pt jump shot from 12 ft,2,4
12,1,10:00.0,Defensive rebound by P. Gasol,,2,4
13,1,9:48.0,D. Rose makes 3-pt jump shot from 25 ft (assist by P. Gasol),,5,4
14,1,9:28.0,,J. Sullinger makes 2-pt jump shot from 18 ft (assist by E. Turner),5,6
15,1,9:06.0,P. Gasol misses 2-pt hook shot from 4 ft,,5,6
16,1,9:05.0,,Defensive rebound by J. Sullinger,5,6
17,1,8:57.0,,J. Sullinger misses 2-pt jump shot from 16 ft,5,6
18,1,8:56.0,Defensive rebound by P. Gasol,,5,6
19,1,8:45.0,Turnover by P. Gasol (bad pass; steal by J. Crowder),,5,6
20,1,8:28.0,,E. Turner makes 2-pt layup at rim,5,8
21,1,8:09.0,T. Gibson misses 2-pt jump shot from 8 ft,,5,8
22,1,8:09.0,Offensive rebound by P. Gasol,,5,8
23,1,8:07.0,P. Gasol makes 2-pt layup from 1 ft,,7,8
24,1,7:57.0,,Turnover by A. Bradley (lost ball; steal by D. Rose),7,8
25,1,7:51.0,D. Rose makes 2-pt layup at rim,,9,8
26,1,7:34.0,,Turnover by A. Bradley (lost ball; steal by K. Hinrich),9,8
27,1,7:31.0,K. Hinrich misses 2-pt layup at rim (block by E. Turner),,9,8
28,1,7:30.0,Offensive rebound by Team,,9,8
29,1,7:30.0,A. Brooks enters the game for D. Rose,,9,8
30,1,7:18.0,J. Butler misses 2-pt jump shot from 19 ft,,9,8
31,1,7:16.0,,Defensive rebound by E. Turner,9,8
32,1,7:14.0,,Turnover by E. Turner (bad pass; steal by J. Butler),9,8
33,1,7:04.0,J. Butler makes 2-pt layup at rim (assist by T. Gibson),,11,8
34,1,6:50.0,,E. Turner makes 2-pt jump shot from 18 ft,11,10
35,1,6:33.0,A. Brooks makes 2-pt layup at rim,,13,10
36,1,6:21.0,,J. Crowder makes 2-pt jump shot from 19 ft (assist by J. Sullinger),13,12
37,1,6:09.0,P. Gasol misses 2-pt jump shot from 17 ft,,13,12
38,1,6:08.0,,Defensive rebound by J. Sullinger,13,12
