,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DALLAS_ACTION,WASHINGTON_SCORE,DALLAS_SCORE
0,1,11:39.0,N. Hilário misses 2-pt layup at rim,,0,0
1,1,11:37.0,,Defensive rebound by T. Chandler,0,0
2,1,11:19.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,0,0
3,1,11:18.0,Defensive rebound by J. Wall,,0,0
4,1,11:03.0,Turnover by P. Pierce (lost ball; steal by C. Parsons),,0,0
5,1,10:58.0,,M. Ellis makes 2-pt layup from 1 ft (assist by R. Rondo),0,2
6,1,10:42.0,N. Hilário makes 2-pt jump shot from 17 ft (assist by B. Beal),,2,2
7,1,10:16.0,,Turnover by R. Rondo (bad pass; steal by B. Beal),2,2
8,1,10:07.0,B. Beal misses 2-pt jump shot from 21 ft,,2,2
9,1,10:07.0,,Defensive rebound by Team,2,2
10,1,9:52.0,,M. Ellis misses 2-pt jump shot from 3 ft,2,2
11,1,9:51.0,Defensive rebound by M. Gortat,,2,2
12,1,9:44.0,P. Pierce makes 3-pt jump shot from 24 ft (assist by J. Wall),,5,2
13,1,9:28.0,,D. Nowitzki misses 2-pt jump shot from 13 ft,5,2
14,1,9:28.0,Defensive rebound by N. Hilário,,5,2
15,1,9:23.0,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),,7,2
16,1,9:10.0,,Personal block foul by P. Pierce (drawn by C. Parsons),7,2
17,1,9:07.0,,Shooting foul by M. Gortat (drawn by C. Parsons),7,2
18,1,9:07.0,,C. Parsons makes 2-pt jump shot from 15 ft,7,4
19,1,9:07.0,,C. Parsons misses free throw 1 of 1,7,4
20,1,9:06.0,Defensive rebound by M. Gortat,,7,4
21,1,8:48.0,M. Gortat misses 2-pt jump shot from 13 ft,,7,4
22,1,8:47.0,,Defensive rebound by T. Chandler,7,4
23,1,8:33.0,,D. Nowitzki misses 2-pt jump shot from 16 ft,7,4
24,1,8:32.0,Defensive rebound by P. Pierce,,7,4
25,1,8:25.0,B. Beal misses 3-pt jump shot from 22 ft,,7,4
26,1,8:24.0,,Defensive rebound by D. Nowitzki,7,4
27,1,8:10.0,,D. Nowitzki makes 2-pt jump shot from 10 ft,7,6
28,1,7:49.0,Personal foul by C. Parsons (drawn by N. Hilário),,7,6
29,1,7:47.0,B. Beal misses 2-pt layup from 1 ft (block by T. Chandler),,7,6
30,1,7:45.0,Offensive rebound by B. Beal,,7,6
31,1,7:38.0,J. Wall makes 2-pt jump shot from 16 ft,,9,6
32,1,7:29.0,,C. Parsons makes 3-pt jump shot from 24 ft,9,9
33,1,7:16.0,P. Pierce misses 3-pt jump shot from 24 ft,,9,9
34,1,7:15.0,,Defensive rebound by T. Chandler,9,9
35,1,7:11.0,,R. Rondo makes 2-pt layup from 3 ft (assist by T. Chandler),9,11
36,1,7:01.0,M. Gortat makes 2-pt layup at rim (assist by N. Hilário),,11,11
37,1,6:47.0,,Personal foul by N. Hilário (drawn by D. Nowitzki),11,11
38,1,6:47.0,,C. Villanueva enters the game for D. Nowitzki,11,11
39,1,6:47.0,,D. Harris enters the game for R. Rondo,11,11
40,1,6:47.0,K. Humphries enters the game for N. Hilário,,11,11
41,1,6:42.0,,Turnover by M. Ellis (bad pass; steal by M. Gortat),11,11
42,1,6:37.0,K. Humphries makes 2-pt dunk at rim (assist by J. Wall),,13,11
43,1,6:17.0,,C. Villanueva makes 2-pt jump shot from 4 ft (assist by D. Harris),13,13
44,1,5:59.0,,Dallas full timeout,13,13
45,1,5:50.0,B. Beal makes 2-pt jump shot from 8 ft (assist by J. Wall),,15,13
46,1,5:31.0,,Turnover by T. Chandler (lost ball),15,13
47,1,5:20.0,K. Humphries misses 2-pt jump shot from 8 ft,,15,13
48,1,5:19.0,,Defensive rebound by T. Chandler,15,13
49,1,5:12.0,,D. Harris makes 2-pt jump shot from 19 ft,15,15
50,1,4:44.0,P. Pierce misses 2-pt jump shot from 18 ft,,15,15
51,1,4:42.0,Offensive rebound by Team,,15,15
52,1,4:41.0,,G. Smith enters the game for T. Chandler,15,15
53,1,4:34.0,Turnover by P. Pierce (traveling),,15,15
