,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,CLEVELAND_ACTION,OKLAHOMA CITY_SCORE,CLEVELAND_SCORE
0,1,11:41.0,K. Durant misses 2-pt jump shot from 14 ft,,0,0
1,1,11:39.0,,Defensive rebound by K. Love,0,0
2,1,11:34.0,,L. James misses 2-pt jump shot from 10 ft,0,0
3,1,11:33.0,Defensive rebound by S. Ibaka,,0,0
4,1,11:26.0,R. Westbrook misses 2-pt jump shot from 8 ft,,0,0
5,1,11:24.0,,Defensive rebound by K. Love,0,0
6,1,11:01.0,,L. James makes 2-pt jump shot from 13 ft,0,2
7,1,10:44.0,S. Ibaka misses 3-pt jump shot from 23 ft,,0,2
8,1,10:43.0,,Defensive rebound by Team,0,2
9,1,10:21.0,,J. Smith misses 3-pt jump shot from 27 ft,0,2
10,1,10:19.0,Defensive rebound by S. Ibaka,,0,2
11,1,10:08.0,S. Ibaka misses 2-pt jump shot from 16 ft,,0,2
12,1,10:07.0,,Defensive rebound by L. James,0,2
13,1,10:02.0,,Shooting foul by K. Durant (drawn by L. James),0,2
14,1,10:02.0,,L. James misses free throw 1 of 2,0,2
15,1,10:02.0,,Offensive rebound by Team,0,2
16,1,10:02.0,,L. James makes free throw 2 of 2,0,3
17,1,9:43.0,R. Westbrook misses 2-pt layup from 2 ft (block by T. Mozgov),,0,3
18,1,9:43.0,Offensive rebound by Team,,0,3
19,1,9:37.0,S. Ibaka misses 3-pt jump shot from 25 ft,,0,3
20,1,9:35.0,Offensive rebound by A. Roberson,,0,3
21,1,9:31.0,K. Durant misses 3-pt jump shot from 25 ft,,0,3
22,1,9:30.0,,Defensive rebound by K. Love,0,3
23,1,9:21.0,,Turnover by K. Irving (lost ball; steal by S. Ibaka),0,3
24,1,9:11.0,K. Durant misses 2-pt jump shot from 6 ft,,0,3
25,1,9:09.0,,Defensive rebound by L. James,0,3
26,1,9:05.0,,L. James misses 2-pt layup at rim,0,3
27,1,9:02.0,Defensive rebound by S. Ibaka,,0,3
28,1,8:54.0,K. Durant makes 3-pt jump shot from 24 ft (assist by A. Roberson),,3,3
29,1,8:36.0,,J. Smith misses 3-pt jump shot from 25 ft,3,3
30,1,8:35.0,,Offensive rebound by K. Love,3,3
31,1,8:30.0,,L. James misses 2-pt layup from 1 ft,3,3
32,1,8:29.0,Defensive rebound by S. Ibaka,,3,3
33,1,8:26.0,R. Westbrook misses 2-pt jump shot from 6 ft (block by T. Mozgov),,3,3
34,1,8:25.0,,Defensive rebound by K. Love,3,3
35,1,8:21.0,,L. James misses 2-pt layup at rim (block by A. Roberson),3,3
36,1,8:21.0,Defensive rebound by K. Durant,,3,3
37,1,8:15.0,Shooting foul by T. Mozgov (drawn by K. Durant),,3,3
38,1,8:15.0,K. Durant makes free throw 1 of 2,,4,3
39,1,8:15.0,K. Durant makes free throw 2 of 2,,5,3
40,1,7:53.0,,K. Love makes 3-pt jump shot from 24 ft (assist by K. Irving),5,6
41,1,7:27.0,R. Westbrook misses 2-pt jump shot from 16 ft,,5,6
42,1,7:26.0,,Defensive rebound by K. Love,5,6
43,1,7:16.0,D. Waiters enters the game for A. Roberson,,5,6
44,1,7:03.0,,J. Smith misses 3-pt jump shot from 23 ft,5,6
45,1,7:01.0,,Offensive rebound by K. Love,5,6
46,1,7:01.0,,K. Love misses 2-pt tip-in at rim,5,6
47,1,7:00.0,Defensive rebound by S. Ibaka,,5,6
48,1,6:48.0,K. Durant makes 2-pt layup from 2 ft,,7,6
49,1,6:40.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by T. Mozgov),7,9
50,1,6:22.0,S. Ibaka misses 2-pt layup at rim,,7,9
51,1,6:21.0,,Defensive rebound by K. Love,7,9
52,1,6:11.0,,Shooting foul by D. Waiters (drawn by J. Smith),7,9
53,1,6:11.0,,J. Smith makes free throw 1 of 2,7,10
54,1,6:11.0,,J. Smith makes free throw 2 of 2,7,11
55,1,5:52.0,R. Westbrook makes 3-pt jump shot from 27 ft (assist by D. Waiters),,10,11
56,1,5:32.0,,Turnover by L. James (traveling),10,11
57,1,5:32.0,,Cleveland full timeout,10,11
58,1,5:32.0,N. Collison enters the game for S. Ibaka,,10,11
59,1,5:17.0,K. Perkins makes 2-pt dunk at rim (assist by R. Westbrook),,12,11
60,1,4:59.0,,K. Irving misses 2-pt jump shot from 5 ft (block by R. Westbrook),12,11
61,1,4:59.0,,Offensive rebound by Team,12,11
62,1,4:59.0,A. Morrow enters the game for K. Durant,,12,11
63,1,4:58.0,Loose ball foul by R. Westbrook (drawn by K. Love),,12,11
64,1,4:43.0,,L. James makes 2-pt jump shot from 19 ft,12,13
65,1,4:30.0,D. Waiters makes 3-pt jump shot from 24 ft,,15,13
66,1,4:13.0,,J. Smith misses 2-pt jump shot from 19 ft,15,13
67,1,4:12.0,Defensive rebound by D. Waiters,,15,13
68,1,3:53.0,Turnover by R. Westbrook (bad pass; steal by T. Mozgov),,15,13
69,1,3:48.0,,L. James makes 2-pt layup at rim (assist by J. Smith),15,15
70,1,3:37.0,N. Collison makes 2-pt layup at rim (assist by R. Westbrook),,17,15
71,1,3:18.0,,K. Love misses 3-pt jump shot from 23 ft,17,15
72,1,3:17.0,Defensive rebound by R. Westbrook,,17,15
73,1,3:11.0,R. Westbrook makes 2-pt jump shot from 14 ft,,19,15
74,1,2:54.0,,K. Irving misses 2-pt layup from 1 ft,19,15
75,1,2:53.0,Defensive rebound by R. Westbrook,,19,15
76,1,2:48.0,A. Morrow makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,22,15
77,1,2:41.0,,Cleveland full timeout,22,15
78,1,2:41.0,Oklahoma City full timeout,,22,15
79,1,2:41.0,S. Ibaka enters the game for K. Perkins,,22,15
80,1,2:41.0,,T. Thompson enters the game for L. James,22,15
81,1,2:41.0,,S. Marion enters the game for T. Mozgov,22,15
82,1,2:29.0,,J. Smith misses 3-pt jump shot from 25 ft,22,15
83,1,2:28.0,,Offensive rebound by Team,22,15
84,1,2:28.0,Loose ball foul by N. Collison (drawn by K. Love),,22,15
85,1,2:12.0,,Personal foul by N. Collison (drawn by K. Love),22,15
86,1,2:12.0,,K. Love misses free throw 1 of 2,22,15
87,1,2:12.0,,Offensive rebound by Team,22,15
88,1,2:12.0,,I. Shumpert enters the game for J. Smith,22,15
89,1,2:12.0,,K. Love makes free throw 2 of 2,22,16
90,1,1:51.0,R. Westbrook misses 2-pt jump shot from 14 ft,,22,16
91,1,1:50.0,,Defensive rebound by T. Thompson,22,16
92,1,1:44.0,,K. Irving misses 2-pt layup at rim (block by S. Ibaka),22,16
93,1,1:41.0,Defensive rebound by D. Waiters,,22,16
94,1,1:29.0,D. Waiters misses 2-pt layup at rim (block by T. Thompson),,22,16
95,1,1:27.0,,Defensive rebound by K. Love,22,16
96,1,1:18.0,,Turnover by I. Shumpert (lost ball; steal by S. Ibaka),22,16
97,1,1:13.0,D. Waiters makes 2-pt layup at rim (assist by S. Ibaka),,24,16
98,1,0:56.0,,Shooting foul by S. Ibaka (drawn by T. Thompson),24,16
99,1,0:56.0,,T. Thompson makes free throw 1 of 2,24,17
100,1,0:56.0,,T. Mozgov enters the game for K. Love,24,17
101,1,0:56.0,K. Durant enters the game for R. Westbrook,,24,17
102,1,0:56.0,R. Jackson enters the game for N. Collison,,24,17
103,1,0:56.0,,T. Thompson makes free throw 2 of 2,24,18
104,1,0:34.0,R. Jackson makes 2-pt jump shot from 7 ft,,26,18
105,1,0:13.0,,T. Thompson misses 2-pt hook shot from 4 ft,26,18
106,1,0:12.0,,Offensive rebound by S. Marion,26,18
107,1,0:12.0,,S. Marion makes 2-pt layup at rim,26,20
108,1,0:00.0,K. Durant misses 3-pt jump shot from 26 ft,,26,20
109,1,0:00.0,Offensive rebound by Team,,26,20
110,2,11:37.0,,Shooting foul by R. Jackson (drawn by L. James),26,20
111,2,11:37.0,,L. James makes free throw 1 of 2,26,21
112,2,11:37.0,,L. James makes free throw 2 of 2,26,22
113,2,11:16.0,S. Ibaka misses 2-pt jump shot from 6 ft,,26,22
114,2,11:14.0,,Defensive rebound by T. Thompson,26,22
115,2,11:04.0,,Shooting foul by A. Morrow (drawn by L. James),26,22
116,2,11:04.0,,L. James makes free throw 1 of 2,26,23
117,2,11:04.0,,L. James makes free throw 2 of 2,26,24
118,2,10:46.0,S. Ibaka makes 2-pt jump shot from 8 ft (assist by K. Durant),,28,24
119,2,10:35.0,,Turnover by L. James (bad pass),28,24
120,2,10:25.0,A. Morrow misses 3-pt jump shot from 23 ft,,28,24
121,2,10:23.0,,Defensive rebound by T. Mozgov,28,24
122,2,10:16.0,,L. James misses 2-pt jump shot from 9 ft,28,24
123,2,10:14.0,Defensive rebound by R. Jackson,,28,24
124,2,10:09.0,R. Jackson misses 2-pt jump shot from 16 ft,,28,24
125,2,10:08.0,,Defensive rebound by T. Thompson,28,24
126,2,9:58.0,,I. Shumpert makes 3-pt jump shot from 22 ft (assist by L. James),28,27
127,2,9:37.0,K. Durant misses 2-pt jump shot from 15 ft,,28,27
128,2,9:36.0,,Defensive rebound by T. Mozgov,28,27
