,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,GOLDEN STATE_ACTION,SAN ANTONIO_SCORE,GOLDEN STATE_SCORE
0,1,11:41.0,T. Duncan misses 2-pt jump shot from 16 ft,,0,0
1,1,11:40.0,,Defensive rebound by K. Thompson,0,0
2,1,11:28.0,,H. Barnes makes 2-pt jump shot from 20 ft (assist by D. Green),0,2
3,1,11:09.0,D. Green makes 2-pt layup from 2 ft,,2,2
4,1,10:52.0,,H. Barnes makes 2-pt dunk from 1 ft (assist by A. Bogut),2,4
5,1,10:29.0,T. Parker makes 2-pt jump shot from 14 ft,,4,4
6,1,10:19.0,K. Anderson enters the game for D. Green,,4,4
7,1,10:17.0,,Shooting foul by K. Anderson (drawn by H. Barnes),4,4
8,1,10:17.0,,H. Barnes makes free throw 1 of 2,4,5
9,1,10:17.0,D. Green enters the game for K. Anderson,,4,5
10,1,10:17.0,,H. Barnes makes free throw 2 of 2,4,6
11,1,9:52.0,T. Duncan misses 2-pt jump shot from 17 ft,,4,6
12,1,9:51.0,,Defensive rebound by S. Curry,4,6
13,1,9:38.0,Violation by T. Duncan (kicked ball),,4,6
14,1,9:34.0,,K. Thompson misses 2-pt jump shot from 16 ft,4,6
15,1,9:33.0,,Offensive rebound by Team,4,6
16,1,9:33.0,Loose ball foul by T. Duncan (drawn by A. Bogut),,4,6
17,1,9:28.0,,S. Curry misses 3-pt jump shot from 26 ft,4,6
18,1,9:28.0,Defensive rebound by K. Leonard,,4,6
19,1,9:21.0,K. Leonard makes 2-pt jump shot from 19 ft,,6,6
20,1,9:10.0,,S. Curry makes 2-pt jump shot from 11 ft,6,8
21,1,8:53.0,T. Parker misses 2-pt jump shot from 17 ft,,6,8
22,1,8:52.0,Offensive rebound by M. Bonner,,6,8
23,1,8:46.0,San Antonio full timeout,,6,8
24,1,8:32.0,K. Leonard makes 2-pt jump shot from 13 ft,,8,8
25,1,8:13.0,,Turnover by S. Curry (bad pass; steal by K. Leonard),8,8
26,1,7:57.0,D. Green misses 3-pt jump shot from 25 ft,,8,8
27,1,7:56.0,,Defensive rebound by D. Green,8,8
28,1,7:46.0,,D. Green misses 2-pt jump shot from 23 ft,8,8
29,1,7:46.0,Defensive rebound by K. Leonard,,8,8
30,1,7:36.0,T. Duncan makes 2-pt jump shot from 17 ft (assist by K. Leonard),,10,8
31,1,7:21.0,,D. Green misses 2-pt jump shot from 17 ft,10,8
32,1,7:20.0,Defensive rebound by T. Duncan,,10,8
33,1,7:13.0,T. Parker misses 2-pt jump shot from 14 ft,,10,8
34,1,7:11.0,,Defensive rebound by A. Bogut,10,8
35,1,7:01.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by K. Thompson),10,11
36,1,6:42.0,D. Green misses 2-pt jump shot from 18 ft,,10,11
37,1,6:41.0,,Defensive rebound by K. Thompson,10,11
38,1,6:35.0,,Turnover by K. Thompson (lost ball; steal by D. Green),10,11
39,1,6:27.0,T. Parker misses 2-pt jump shot from 8 ft,,10,11
40,1,6:25.0,Offensive rebound by K. Leonard,,10,11
41,1,6:15.0,T. Parker makes 2-pt layup from 1 ft,,12,11
42,1,6:15.0,Shooting foul by D. Green (drawn by T. Parker),,12,11
43,1,6:15.0,M. Ginóbili enters the game for D. Green,,12,11
44,1,6:15.0,,A. Iguodala enters the game for D. Green,12,11
45,1,6:15.0,T. Parker makes free throw 1 of 1,,13,11
46,1,5:59.0,,A. Bogut makes 2-pt jump shot from 9 ft (assist by K. Thompson),13,13
47,1,5:42.0,M. Bonner misses 2-pt jump shot from 17 ft,,13,13
48,1,5:40.0,,Defensive rebound by H. Barnes,13,13
49,1,5:34.0,,S. Curry misses 2-pt jump shot from 3 ft,13,13
50,1,5:33.0,Defensive rebound by M. Bonner,,13,13
51,1,5:26.0,M. Bonner misses 2-pt jump shot from 23 ft,,13,13
52,1,5:25.0,,Defensive rebound by H. Barnes,13,13
53,1,5:15.0,,K. Thompson misses 2-pt jump shot from 20 ft,13,13
54,1,5:14.0,Defensive rebound by K. Leonard,,13,13
55,1,5:08.0,,Violation by A. Iguodala (kicked ball),13,13
56,1,5:08.0,A. Baynes enters the game for T. Duncan,,13,13
57,1,5:08.0,C. Joseph enters the game for T. Parker,,13,13
58,1,4:56.0,C. Joseph makes 2-pt jump shot from 14 ft (assist by A. Baynes),,15,13
59,1,4:39.0,,K. Thompson makes 2-pt jump shot from 8 ft (assist by A. Bogut),15,15
60,1,4:23.0,M. Ginóbili makes 2-pt jump shot from 9 ft,,17,15
61,1,3:59.0,,H. Barnes makes 2-pt jump shot from 14 ft,17,17
62,1,3:40.0,K. Leonard makes 2-pt jump shot from 12 ft,,19,17
63,1,3:28.0,,Turnover by H. Barnes (lost ball; steal by C. Joseph),19,17
64,1,3:22.0,C. Joseph misses 2-pt layup from 2 ft (block by H. Barnes),,19,17
