,QUARTER,TIME_REMAINING,ORLANDO_ACTION,BOSTON_ACTION,ORLANDO_SCORE,BOSTON_SCORE
0,1,11:43.0,,T. Zeller makes 2-pt jump shot from 3 ft (assist by R. Rondo),0,2
1,1,11:29.0,N. Vučević makes 2-pt jump shot from 11 ft,,2,2
2,1,11:19.0,,T. Zeller makes 2-pt layup from 1 ft (assist by J. Green),2,4
3,1,11:03.0,V. Oladipo misses 2-pt jump shot from 4 ft,,2,4
4,1,11:02.0,Offensive rebound by N. Vučević,,2,4
5,1,11:02.0,N. Vučević makes 2-pt tip-in from 1 ft,,4,4
6,1,10:48.0,,Turnover by R. Rondo (bad pass),4,4
7,1,10:31.0,N. Vučević makes 2-pt hook shot from 4 ft (assist by E. Fournier),,6,4
8,1,10:15.0,,J. Sullinger makes 2-pt hook shot from 3 ft,6,6
9,1,10:00.0,V. Oladipo misses 2-pt jump shot from 17 ft,,6,6
10,1,9:58.0,,Defensive rebound by T. Zeller,6,6
11,1,9:55.0,,Turnover by R. Rondo (bad pass),6,6
12,1,9:32.0,C. Frye misses 2-pt layup from 2 ft (block by J. Sullinger),,6,6
13,1,9:31.0,Offensive rebound by C. Frye,,6,6
14,1,9:30.0,C. Frye makes 2-pt layup from 1 ft,,8,6
15,1,9:13.0,,J. Green misses 2-pt jump shot from 14 ft,8,6
16,1,9:12.0,Defensive rebound by V. Oladipo,,8,6
17,1,9:06.0,C. Frye misses 3-pt jump shot from 27 ft,,8,6
18,1,9:05.0,,Defensive rebound by J. Green,8,6
19,1,8:53.0,,J. Sullinger makes 2-pt hook shot from 3 ft,8,8
20,1,8:41.0,Shooting foul by J. Green (drawn by T. Harris),,8,8
21,1,8:41.0,T. Harris makes free throw 1 of 2,,9,8
22,1,8:41.0,T. Harris makes free throw 2 of 2,,10,8
23,1,8:26.0,,J. Sullinger misses 2-pt jump shot from 3 ft,10,8
24,1,8:25.0,,Offensive rebound by J. Sullinger,10,8
25,1,8:23.0,,J. Sullinger makes 2-pt layup from 2 ft,10,10
26,1,8:10.0,E. Fournier misses 3-pt jump shot from 24 ft,,10,10
27,1,8:09.0,,Defensive rebound by J. Green,10,10
28,1,8:03.0,,Turnover by J. Green (lost ball; steal by T. Harris),10,10
29,1,8:00.0,Shooting foul by J. Sullinger (drawn by T. Harris),,10,10
30,1,8:00.0,T. Harris misses free throw 1 of 2,,10,10
31,1,8:00.0,Offensive rebound by Team,,10,10
32,1,8:00.0,T. Harris makes free throw 2 of 2,,11,10
33,1,7:49.0,,J. Sullinger makes 3-pt jump shot from 25 ft (assist by R. Rondo),11,13
34,1,7:29.0,C. Frye makes 3-pt jump shot from 26 ft (assist by T. Harris),,14,13
35,1,7:22.0,,Turnover by A. Bradley (bad pass; steal by C. Frye),14,13
36,1,7:14.0,Turnover by V. Oladipo (bad pass),,14,13
37,1,7:02.0,,Turnover by R. Rondo (bad pass; steal by C. Frye),14,13
38,1,6:57.0,E. Fournier misses 2-pt layup at rim,,14,13
39,1,6:56.0,,Defensive rebound by T. Zeller,14,13
40,1,6:49.0,,R. Rondo makes 2-pt jump shot from 18 ft,14,15
41,1,6:35.0,N. Vučević misses 2-pt layup from 2 ft (block by T. Zeller),,14,15
42,1,6:34.0,Offensive rebound by N. Vučević,,14,15
43,1,6:33.0,N. Vučević makes 2-pt layup at rim,,16,15
44,1,6:08.0,,J. Green makes 2-pt jump shot from 9 ft,16,17
45,1,5:52.0,N. Vučević misses 2-pt jump shot from 9 ft,,16,17
46,1,5:51.0,,Defensive rebound by R. Rondo,16,17
47,1,5:38.0,,T. Zeller makes 2-pt layup from 2 ft (assist by R. Rondo),16,19
48,1,5:31.0,Orlando full timeout,,16,19
49,1,5:31.0,,K. Olynyk enters the game for T. Zeller,16,19
50,1,5:22.0,Shooting foul by J. Green (drawn by T. Harris),,16,19
51,1,5:22.0,T. Harris makes free throw 1 of 2,,17,19
52,1,5:22.0,T. Harris makes free throw 2 of 2,,18,19
53,1,5:16.0,,Turnover by R. Rondo (bad pass; steal by E. Fournier),18,19
54,1,5:12.0,E. Fournier makes 2-pt dunk at rim,,20,19
55,1,4:55.0,Violation by N. Vučević (kicked ball),,20,19
56,1,4:55.0,B. Gordon enters the game for C. Frye,,20,19
57,1,4:55.0,,G. Wallace enters the game for J. Green,20,19
58,1,4:40.0,,J. Sullinger misses 2-pt jump shot from 15 ft,20,19
59,1,4:39.0,,Offensive rebound by G. Wallace,20,19
60,1,4:31.0,,Turnover by K. Olynyk (lost ball; steal by T. Harris),20,19
61,1,4:24.0,,B. Bass enters the game for J. Sullinger,20,19
62,1,4:18.0,E. Fournier makes 2-pt layup from 2 ft (assist by N. Vučević),,22,19
63,1,4:03.0,,A. Bradley makes 2-pt layup from 1 ft (assist by R. Rondo),22,21
64,1,3:50.0,T. Harris makes 2-pt jump shot from 15 ft (assist by B. Gordon),,24,21
65,1,3:28.0,,B. Bass makes 2-pt jump shot from 14 ft,24,23
66,1,3:03.0,N. Vučević makes 2-pt hook shot from 6 ft,,26,23
67,1,3:02.0,Violation by Team (delay of game),,26,23
68,1,2:44.0,,B. Bass misses 2-pt jump shot from 17 ft,26,23
69,1,2:43.0,Defensive rebound by N. Vučević,,26,23
70,1,2:32.0,V. Oladipo misses 2-pt layup from 2 ft,,26,23
71,1,2:31.0,Offensive rebound by N. Vučević,,26,23
72,1,2:31.0,N. Vučević makes 2-pt tip-in at rim,,28,23
73,1,2:18.0,,R. Rondo misses 2-pt layup from 2 ft,28,23
74,1,2:17.0,Defensive rebound by N. Vučević,,28,23
75,1,2:09.0,E. Fournier misses 2-pt layup from 1 ft,,28,23
76,1,2:08.0,Offensive rebound by N. Vučević,,28,23
77,1,2:08.0,N. Vučević misses 2-pt tip-in from 1 ft,,28,23
78,1,2:07.0,Offensive rebound by N. Vučević,,28,23
79,1,2:07.0,N. Vučević misses 2-pt tip-in from 1 ft,,28,23
80,1,2:06.0,Offensive rebound by E. Fournier,,28,23
81,1,2:06.0,E. Fournier misses 2-pt tip-in from 2 ft,,28,23
82,1,2:04.0,Offensive rebound by N. Vučević,,28,23
83,1,1:52.0,B. Gordon misses 3-pt jump shot from 25 ft,,28,23
84,1,1:50.0,Offensive rebound by V. Oladipo,,28,23
85,1,1:47.0,Orlando full timeout,,28,23
86,1,1:47.0,,Boston full timeout,28,23
87,1,1:47.0,,E. Turner enters the game for R. Rondo,28,23
88,1,1:47.0,E. Payton enters the game for T. Harris,,28,23
89,1,1:47.0,C. Frye enters the game for N. Vučević,,28,23
90,1,1:47.0,K. O'Quinn enters the game for E. Fournier,,28,23
91,1,1:47.0,M. Harkless enters the game for V. Oladipo,,28,23
92,1,1:43.0,Offensive foul by K. O'Quinn (drawn by B. Bass),,28,23
93,1,1:43.0,Turnover by K. O'Quinn (offensive foul),,28,23
94,1,1:27.0,,K. Olynyk makes 2-pt layup from 1 ft,28,25
95,1,1:10.0,B. Gordon misses 2-pt jump shot from 13 ft,,28,25
96,1,1:09.0,,Defensive rebound by E. Turner,28,25
97,1,0:58.0,,Shooting foul by C. Frye (drawn by B. Bass),28,25
98,1,0:58.0,,B. Bass makes free throw 1 of 2,28,26
99,1,0:58.0,,B. Bass makes free throw 2 of 2,28,27
100,1,0:34.0,B. Gordon misses 2-pt jump shot from 11 ft,,28,27
101,1,0:32.0,,Defensive rebound by G. Wallace,28,27
102,1,0:22.0,,Shooting foul by B. Gordon (drawn by E. Turner),28,27
103,1,0:22.0,,E. Turner makes free throw 1 of 2,28,28
104,1,0:22.0,E. Fournier enters the game for M. Harkless,,28,28
105,1,0:22.0,,E. Turner makes free throw 2 of 2,28,29
106,1,0:02.0,Personal take foul by A. Bradley (drawn by E. Fournier),,28,29
107,1,0:00.0,E. Fournier misses 2-pt jump shot from 5 ft (block by G. Wallace),,28,29
108,1,0:00.0,Offensive rebound by Team,,28,29
109,2,11:36.0,K. O'Quinn misses 2-pt jump shot from 17 ft,,28,29
110,2,11:35.0,,Defensive rebound by E. Turner,28,29
111,2,11:21.0,,K. Olynyk misses 3-pt jump shot from 24 ft,28,29
112,2,11:19.0,Defensive rebound by C. Frye,,28,29
113,2,11:10.0,C. Frye makes 3-pt jump shot from 26 ft (assist by E. Payton),,31,29
114,2,10:50.0,,J. Green misses 3-pt jump shot from 27 ft,31,29
115,2,10:48.0,,Offensive rebound by B. Bass,31,29
116,2,10:37.0,,P. Pressey misses 3-pt jump shot from 25 ft,31,29
117,2,10:35.0,Defensive rebound by C. Frye,,31,29
118,2,10:26.0,M. Harkless misses 3-pt jump shot from 22 ft,,31,29
119,2,10:25.0,,Defensive rebound by E. Turner,31,29
120,2,10:10.0,,P. Pressey makes 2-pt jump shot from 17 ft,31,31
121,2,9:48.0,K. O'Quinn makes 2-pt dunk at rim (assist by E. Payton),,33,31
122,2,9:34.0,,B. Bass misses 2-pt jump shot from 11 ft,33,31
123,2,9:33.0,Defensive rebound by E. Fournier,,33,31
124,2,9:22.0,E. Fournier misses 3-pt jump shot from 25 ft,,33,31
125,2,9:21.0,,Defensive rebound by P. Pressey,33,31
126,2,9:15.0,,E. Turner makes 2-pt jump shot from 15 ft (assist by P. Pressey),33,33
127,2,8:59.0,Turnover by K. O'Quinn (bad pass; steal by P. Pressey),,33,33
128,2,8:56.0,,Personal foul by E. Payton (drawn by P. Pressey),33,33
129,2,8:56.0,Official timeout,,33,33
130,2,8:56.0,,T. Zeller enters the game for K. Olynyk,33,33
131,2,8:56.0,,J. Sullinger enters the game for B. Bass,33,33
132,2,8:46.0,,J. Green misses 2-pt jump shot from 10 ft,33,33
133,2,8:45.0,,Offensive rebound by Team,33,33
134,2,8:37.0,,T. Zeller makes 2-pt layup from 1 ft (assist by P. Pressey),33,35
135,2,8:25.0,C. Frye makes 3-pt jump shot from 26 ft (assist by E. Fournier),,36,35
