,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,CHICAGO_ACTION,CLEVELAND_SCORE,CHICAGO_SCORE
0,1,11:45.0,A. Varejão makes 2-pt jump shot from 12 ft (assist by D. Waiters),,2,0
1,1,11:22.0,,Shooting foul by D. Waiters (drawn by K. Hinrich),2,0
2,1,11:22.0,,K. Hinrich misses free throw 1 of 3,2,0
3,1,11:22.0,,Offensive rebound by Team,2,0
4,1,11:22.0,,K. Hinrich makes free throw 2 of 3,2,1
5,1,11:22.0,,K. Hinrich misses free throw 3 of 3,2,1
6,1,11:22.0,Defensive rebound by K. Love,,2,1
7,1,11:22.0,A. Varejão makes 2-pt layup from 2 ft (assist by L. James),,4,1
8,1,11:02.0,,D. Rose misses 2-pt jump shot from 13 ft,4,1
9,1,11:01.0,Defensive rebound by K. Love,,4,1
10,1,10:54.0,L. James makes 2-pt jump shot from 19 ft,,6,1
11,1,10:37.0,,D. Rose makes 2-pt layup from 1 ft (assist by J. Noah),6,3
12,1,10:08.0,Turnover by A. Varejão (bad pass; steal by K. Hinrich),,6,3
13,1,9:43.0,,Turnover by P. Gasol (bad pass; steal by K. Love),6,3
14,1,9:40.0,Offensive foul by K. Irving (drawn by D. Rose),,6,3
15,1,9:40.0,Turnover by K. Irving (offensive foul),,6,3
16,1,9:23.0,,K. Hinrich misses 3-pt jump shot from 24 ft,6,3
17,1,9:22.0,,Offensive rebound by D. Rose,6,3
18,1,9:19.0,,J. Noah makes 2-pt dunk at rim (assist by D. Rose),6,5
19,1,8:58.0,K. Irving misses 2-pt jump shot from 13 ft,,6,5
20,1,8:57.0,,Defensive rebound by P. Gasol,6,5
21,1,8:44.0,,P. Gasol misses 2-pt hook shot from 5 ft,6,5
22,1,8:44.0,Defensive rebound by A. Varejão,,6,5
23,1,8:38.0,Shooting foul by K. Hinrich (drawn by A. Varejão),,6,5
24,1,8:38.0,A. Varejão makes free throw 1 of 2,,7,5
25,1,8:38.0,A. Varejão makes free throw 2 of 2,,8,5
26,1,8:24.0,,M. Dunleavy makes 2-pt jump shot from 12 ft,8,7
27,1,8:06.0,Shooting foul by J. Noah (drawn by K. Love),,8,7
28,1,8:06.0,K. Love makes free throw 1 of 2,,9,7
29,1,8:06.0,K. Love makes free throw 2 of 2,,10,7
30,1,7:51.0,,P. Gasol makes 2-pt layup from 2 ft (assist by M. Dunleavy),10,9
31,1,7:36.0,K. Love misses 3-pt jump shot from 24 ft,,10,9
